frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.72,8.72,1.33,1.33,-1.33,-0.90,-0.57,7.38,7.38,7.39
20.20,8.72,8.72,1.33,1.33,-1.33,-0.90,-0.59,7.39,7.39,7.38
20.40,8.72,8.72,1.33,1.33,-1.33,-0.90,-0.60,7.39,7.39,7.38
20.61,8.72,8.71,1.33,1.33,-1.33,-0.90,-0.62,7.39,7.38,7.38
20.81,8.71,8.71,1.32,1.33,-1.33,-0.90,-0.64,7.38,7.38,7.38
21.02,8.71,8.71,1.33,1.33,-1.33,-0.90,-0.66,7.38,7.38,7.38
21.23,8.71,8.71,1.33,1.33,-1.33,-0.91,-0.68,7.38,7.38,7.38
21.44,8.71,8.71,1.33,1.33,-1.33,-0.91,-0.70,7.38,7.38,7.38
21.66,8.71,8.71,1.33,1.33,-1.32,-0.91,-0.72,7.38,7.38,7.38
21.87,8.71,8.70,1.33,1.33,-1.32,-0.91,-0.74,7.38,7.38,7.38
22.09,8.70,8.70,1.32,1.32,-1.32,-0.91,-0.76,7.37,7.38,7.38
22.31,8.70,8.70,1.32,1.32,-1.32,-0.91,-0.79,7.37,7.37,7.38
22.54,8.70,8.70,1.32,1.32,-1.32,-0.91,-0.81,7.37,7.37,7.38
22.76,8.70,8.70,1.32,1.32,-1.32,-0.91,-0.83,7.38,7.38,7.38
22.99,8.70,8.70,1.32,1.32,-1.32,-0.91,-0.86,7.38,7.38,7.37
23.22,8.70,8.70,1.32,1.32,-1.32,-0.91,-0.88,7.38,7.38,7.37
23.45,8.69,8.69,1.32,1.32,-1.32,-0.91,-0.91,7.37,7.38,7.37
23.69,8.69,8.68,1.32,1.31,-1.31,-0.91,-0.94,7.38,7.37,7.37
23.92,8.68,8.68,1.31,1.31,-1.31,-0.91,-0.96,7.37,7.37,7.37
24.16,8.67,8.67,1.30,1.30,-1.30,-0.91,-0.99,7.36,7.37,7.37
24.40,8.67,8.66,1.30,1.30,-1.30,-0.91,-1.02,7.37,7.37,7.37
24.65,8.66,8.66,1.29,1.29,-1.29,-0.91,-1.04,7.36,7.37,7.37
24.89,8.66,8.65,1.29,1.29,-1.29,-0.91,-1.07,7.37,7.37,7.37
25.14,8.65,8.65,1.28,1.28,-1.28,-0.91,-1.10,7.36,7.36,7.36
25.39,8.64,8.64,1.27,1.28,-1.28,-0.91,-1.13,7.36,7.36,7.36
25.65,8.64,8.64,1.28,1.28,-1.28,-0.91,-1.16,7.36,7.36,7.36
25.91,8.64,8.63,1.28,1.27,-1.27,-0.91,-1.18,7.36,7.36,7.36
26.16,8.63,8.63,1.27,1.27,-1.27,-0.91,-1.21,7.36,7.36,7.36
26.43,8.63,8.63,1.27,1.27,-1.27,-0.91,-1.24,7.36,7.36,7.36
26.69,8.62,8.62,1.26,1.26,-1.27,-0.91,-1.27,7.35,7.35,7.35
26.96,8.62,8.62,1.26,1.26,-1.26,-0.91,-1.29,7.36,7.35,7.35
27.23,8.61,8.61,1.26,1.26,-1.26,-0.91,-1.32,7.35,7.35,7.35
27.50,8.61,8.60,1.26,1.25,-1.26,-0.91,-1.34,7.35,7.35,7.35
27.77,8.60,8.60,1.25,1.25,-1.25,-0.91,-1.37,7.35,7.35,7.35
28.05,8.59,8.59,1.24,1.25,-1.25,-0.91,-1.39,7.34,7.35,7.35
28.33,8.59,8.58,1.24,1.24,-1.24,-0.91,-1.41,7.35,7.34,7.34
28.62,8.58,8.58,1.24,1.24,-1.23,-0.91,-1.43,7.34,7.34,7.34
28.90,8.57,8.57,1.23,1.23,-1.23,-0.91,-1.45,7.34,7.34,7.34
29.19,8.56,8.56,1.22,1.22,-1.22,-0.91,-1.47,7.34,7.34,7.34
29.48,8.55,8.55,1.21,1.21,-1.21,-0.91,-1.48,7.33,7.33,7.33
29.78,8.54,8.54,1.21,1.21,-1.21,-0.91,-1.49,7.33,7.33,7.33
30.08,8.53,8.53,1.20,1.20,-1.20,-0.91,-1.50,7.33,7.33,7.33
30.38,8.52,8.52,1.19,1.19,-1.19,-0.91,-1.51,7.33,7.33,7.33
30.68,8.51,8.50,1.18,1.18,-1.18,-0.91,-1.52,7.33,7.32,7.32
30.99,8.49,8.49,1.17,1.17,-1.17,-0.91,-1.52,7.32,7.32,7.32
31.30,8.48,8.48,1.16,1.16,-1.16,-0.91,-1.52,7.31,7.31,7.32
31.61,8.47,8.47,1.15,1.15,-1.15,-0.90,-1.52,7.31,7.31,7.31
31.93,8.46,8.46,1.15,1.15,-1.15,-0.90,-1.52,7.31,7.31,7.31
32.24,8.45,8.45,1.14,1.14,-1.14,-0.90,-1.51,7.31,7.31,7.31
32.57,8.44,8.43,1.13,1.13,-1.13,-0.90,-1.51,7.31,7.31,7.30
32.89,8.42,8.42,1.12,1.12,-1.12,-0.90,-1.50,7.30,7.30,7.30
33.22,8.41,8.41,1.11,1.11,-1.11,-0.90,-1.48,7.30,7.30,7.30
33.55,8.40,8.40,1.10,1.10,-1.10,-0.90,-1.47,7.29,7.29,7.29
33.89,8.39,8.38,1.10,1.10,-1.10,-0.90,-1.45,7.29,7.29,7.29
34.23,8.37,8.37,1.08,1.09,-1.09,-0.90,-1.44,7.28,7.28,7.28
34.57,8.36,8.36,1.08,1.08,-1.08,-0.90,-1.42,7.28,7.28,7.28
34.92,8.35,8.35,1.07,1.07,-1.07,-0.90,-1.40,7.28,7.28,7.28
35.27,8.34,8.33,1.07,1.06,-1.06,-0.90,-1.37,7.27,7.27,7.27
35.62,8.32,8.32,1.05,1.05,-1.06,-0.90,-1.35,7.26,7.26,7.27
35.97,8.31,8.31,1.05,1.05,-1.05,-0.90,-1.33,7.26,7.26,7.26
36.33,8.30,8.30,1.04,1.04,-1.04,-0.90,-1.30,7.26,7.25,7.26
36.70,8.29,8.29,1.04,1.03,-1.03,-0.90,-1.28,7.25,7.25,7.25
37.06,8.27,8.27,1.02,1.03,-1.02,-0.89,-1.25,7.24,7.25,7.24
37.43,8.26,8.26,1.02,1.02,-1.01,-0.89,-1.22,7.24,7.24,7.24
37.81,8.24,8.24,1.01,1.00,-1.00,-0.89,-1.20,7.23,7.23,7.23
38.19,8.22,8.22,0.99,0.99,-0.99,-0.89,-1.17,7.22,7.22,7.23
38.57,8.20,8.20,0.98,0.98,-0.98,-0.89,-1.14,7.22,7.22,7.22
38.95,8.18,8.18,0.96,0.97,-0.97,-0.89,-1.12,7.21,7.21,7.21
39.34,8.17,8.16,0.96,0.96,-0.96,-0.89,-1.09,7.21,7.21,7.21
39.74,8.15,8.15,0.95,0.95,-0.95,-0.88,-1.06,7.20,7.20,7.20
40.14,8.13,8.13,0.94,0.94,-0.94,-0.88,-1.03,7.19,7.19,7.19
40.54,8.11,8.11,0.92,0.93,-0.92,-0.88,-1.01,7.19,7.19,7.18
40.94,8.09,8.09,0.91,0.91,-0.91,-0.88,-0.98,7.18,7.18,7.17
41.35,8.07,8.06,0.90,0.90,-0.90,-0.88,-0.96,7.17,7.17,7.17
41.76,8.04,8.04,0.88,0.88,-0.88,-0.87,-0.93,7.15,7.16,7.16
42.18,8.02,8.02,0.87,0.87,-0.87,-0.87,-0.91,7.15,7.15,7.15
42.60,8.00,8.00,0.86,0.86,-0.86,-0.87,-0.88,7.14,7.14,7.14
43.03,7.98,7.98,0.85,0.85,-0.85,-0.87,-0.86,7.13,7.13,7.13
43.46,7.96,7.96,0.84,0.84,-0.84,-0.86,-0.84,7.12,7.12,7.12
43.90,7.94,7.94,0.83,0.83,-0.83,-0.86,-0.81,7.11,7.11,7.11
44.33,7.92,7.92,0.82,0.82,-0.82,-0.86,-0.79,7.10,7.10,7.10
44.78,7.90,7.90,0.81,0.81,-0.81,-0.85,-0.77,7.09,7.09,7.09
