frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.17,5.17,-1.42,-1.41,1.42,0.84,0.00,6.59,6.59,6.58
20.20,5.22,5.21,-1.37,-1.37,1.37,0.81,0.00,6.59,6.59,6.58
20.40,5.26,5.26,-1.32,-1.32,1.33,0.79,0.00,6.58,6.58,6.58
20.61,5.30,5.30,-1.29,-1.28,1.28,0.77,0.00,6.58,6.58,6.58
20.81,5.35,5.34,-1.23,-1.24,1.23,0.75,0.00,6.58,6.58,6.58
21.02,5.39,5.39,-1.19,-1.19,1.19,0.73,0.00,6.58,6.57,6.58
21.23,5.43,5.43,-1.15,-1.15,1.14,0.70,0.01,6.57,6.57,6.58
21.44,5.48,5.48,-1.10,-1.10,1.10,0.68,0.01,6.57,6.57,6.58
21.66,5.53,5.53,-1.05,-1.05,1.05,0.66,0.01,6.58,6.58,6.58
21.87,5.58,5.58,-1.00,-1.00,1.00,0.64,0.01,6.58,6.58,6.58
22.09,5.63,5.63,-0.95,-0.95,0.96,0.62,0.01,6.59,6.58,6.58
22.31,5.67,5.67,-0.91,-0.91,0.91,0.59,0.01,6.58,6.58,6.58
22.54,5.71,5.71,-0.87,-0.87,0.87,0.57,0.01,6.57,6.58,6.57
22.76,5.75,5.75,-0.83,-0.83,0.82,0.55,0.01,6.57,6.57,6.57
22.99,5.79,5.79,-0.79,-0.79,0.78,0.53,0.01,6.57,6.57,6.57
23.22,5.83,5.83,-0.74,-0.74,0.74,0.51,0.01,6.57,6.57,6.57
23.45,5.87,5.87,-0.70,-0.70,0.70,0.49,0.02,6.57,6.57,6.57
23.69,5.91,5.91,-0.66,-0.66,0.66,0.46,0.02,6.57,6.57,6.57
23.92,5.95,5.95,-0.62,-0.62,0.62,0.44,0.02,6.57,6.57,6.57
24.16,5.99,5.99,-0.58,-0.58,0.58,0.42,0.02,6.57,6.57,6.57
24.40,6.03,6.03,-0.54,-0.54,0.54,0.40,0.02,6.57,6.57,6.57
24.65,6.07,6.07,-0.50,-0.50,0.50,0.38,0.02,6.56,6.56,6.56
24.89,6.11,6.11,-0.46,-0.46,0.45,0.36,0.02,6.56,6.56,6.56
25.14,6.15,6.15,-0.41,-0.41,0.41,0.34,0.02,6.56,6.56,6.56
25.39,6.19,6.19,-0.37,-0.37,0.37,0.31,0.02,6.56,6.56,6.56
25.65,6.24,6.23,-0.32,-0.33,0.33,0.29,0.03,6.57,6.56,6.56
25.91,6.27,6.27,-0.29,-0.29,0.29,0.27,0.03,6.56,6.56,6.56
26.16,6.31,6.31,-0.25,-0.25,0.25,0.25,0.03,6.56,6.56,6.56
26.43,6.35,6.34,-0.21,-0.21,0.21,0.23,0.03,6.56,6.56,6.55
26.69,6.38,6.38,-0.18,-0.18,0.18,0.21,0.03,6.55,6.55,6.55
26.96,6.41,6.41,-0.14,-0.14,0.14,0.19,0.03,6.55,6.55,6.55
27.23,6.44,6.44,-0.11,-0.11,0.11,0.16,0.03,6.55,6.55,6.55
27.50,6.47,6.46,-0.08,-0.08,0.08,0.14,0.03,6.55,6.55,6.55
27.77,6.49,6.49,-0.06,-0.06,0.06,0.12,0.03,6.55,6.55,6.55
28.05,6.51,6.51,-0.04,-0.03,0.03,0.10,0.03,6.54,6.54,6.54
28.33,6.54,6.53,-0.00,-0.01,0.00,0.08,0.03,6.54,6.54,6.54
28.62,6.56,6.56,0.02,0.02,-0.02,0.06,0.02,6.54,6.54,6.54
28.90,6.58,6.58,0.04,0.04,-0.04,0.04,0.02,6.53,6.54,6.54
29.19,6.61,6.60,0.07,0.07,-0.07,0.01,0.02,6.54,6.53,6.53
29.48,6.63,6.63,0.10,0.09,-0.09,-0.01,0.02,6.53,6.53,6.53
29.78,6.65,6.65,0.12,0.12,-0.12,-0.03,0.01,6.53,6.53,6.53
30.08,6.67,6.67,0.14,0.14,-0.14,-0.05,0.01,6.53,6.53,6.53
30.38,6.69,6.69,0.16,0.16,-0.16,-0.07,0.01,6.52,6.52,6.52
30.68,6.71,6.71,0.19,0.19,-0.18,-0.09,0.00,6.52,6.52,6.52
30.99,6.73,6.73,0.21,0.21,-0.20,-0.11,-0.00,6.52,6.52,6.52
31.30,6.74,6.74,0.22,0.23,-0.22,-0.13,-0.01,6.51,6.52,6.52
31.61,6.76,6.76,0.24,0.24,-0.24,-0.15,-0.01,6.52,6.51,6.51
31.93,6.77,6.77,0.26,0.26,-0.26,-0.17,-0.02,6.51,6.51,6.51
32.24,6.78,6.78,0.27,0.27,-0.27,-0.19,-0.02,6.50,6.50,6.51
32.57,6.79,6.79,0.29,0.29,-0.29,-0.21,-0.03,6.50,6.50,6.50
32.89,6.81,6.80,0.31,0.31,-0.31,-0.23,-0.04,6.50,6.50,6.50
33.22,6.82,6.82,0.32,0.32,-0.33,-0.25,-0.05,6.49,6.49,6.50
33.55,6.84,6.84,0.35,0.34,-0.34,-0.27,-0.05,6.49,6.49,6.49
33.89,6.85,6.85,0.36,0.36,-0.36,-0.29,-0.06,6.48,6.49,6.49
34.23,6.87,6.87,0.38,0.38,-0.38,-0.31,-0.07,6.48,6.48,6.48
34.57,6.88,6.88,0.40,0.40,-0.40,-0.33,-0.08,6.48,6.48,6.48
34.92,6.90,6.90,0.42,0.42,-0.42,-0.35,-0.09,6.48,6.48,6.47
35.27,6.91,6.91,0.44,0.44,-0.44,-0.36,-0.10,6.47,6.47,6.47
35.62,6.92,6.92,0.45,0.45,-0.45,-0.38,-0.11,6.47,6.47,6.46
35.97,6.93,6.92,0.47,0.47,-0.46,-0.40,-0.12,6.46,6.46,6.46
36.33,6.93,6.93,0.47,0.48,-0.48,-0.41,-0.14,6.45,6.45,6.45
36.70,6.94,6.94,0.49,0.49,-0.49,-0.43,-0.15,6.45,6.45,6.45
37.06,6.95,6.94,0.50,0.50,-0.50,-0.44,-0.16,6.44,6.44,6.44
37.43,6.95,6.95,0.51,0.51,-0.52,-0.45,-0.17,6.43,6.44,6.44
37.81,6.96,6.96,0.53,0.53,-0.53,-0.47,-0.19,6.43,6.43,6.43
