frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.10,-0.10,-6.66,-6.66,6.00,6.40,2.61,5.90,5.90,6.56
20.20,-0.14,-0.15,-6.70,-6.71,6.00,6.38,2.69,5.86,5.85,6.56
20.40,-0.19,-0.19,-6.75,-6.75,6.00,6.36,2.76,5.81,5.81,6.56
20.61,-0.23,-0.23,-6.79,-6.79,6.00,6.34,2.84,5.77,5.77,6.56
20.81,-0.27,-0.28,-6.83,-6.84,6.00,6.32,2.92,5.73,5.72,6.56
21.02,-0.32,-0.32,-6.88,-6.88,6.00,6.31,3.01,5.68,5.68,6.56
21.23,-0.36,-0.36,-6.92,-6.91,6.00,6.29,3.09,5.64,5.64,6.56
21.44,-0.38,-0.39,-6.94,-6.94,6.00,6.27,3.18,5.62,5.61,6.56
21.66,-0.40,-0.40,-6.96,-6.96,6.00,6.25,3.27,5.60,5.60,6.56
21.87,-0.40,-0.39,-6.96,-6.95,6.00,6.23,3.37,5.60,5.61,6.55
22.09,-0.36,-0.37,-6.92,-6.92,6.00,6.22,3.46,5.64,5.63,6.55
22.31,-0.32,-0.32,-6.87,-6.88,6.00,6.20,3.56,5.68,5.68,6.55
22.54,-0.27,-0.27,-6.82,-6.82,6.00,6.18,3.67,5.73,5.73,6.55
22.76,-0.21,-0.21,-6.76,-6.76,6.00,6.16,3.77,5.79,5.79,6.55
22.99,-0.15,-0.16,-6.70,-6.71,6.00,6.14,3.88,5.85,5.84,6.55
23.22,-0.10,-0.10,-6.65,-6.65,6.00,6.13,3.99,5.90,5.90,6.55
23.45,-0.05,-0.05,-6.60,-6.60,6.00,6.11,4.10,5.95,5.95,6.55
23.69,0.01,0.00,-6.54,-6.55,6.00,6.09,4.21,6.01,6.00,6.55
23.92,0.05,0.05,-6.50,-6.49,6.00,6.07,4.33,6.05,6.05,6.55
24.16,0.10,0.10,-6.45,-6.44,6.00,6.05,4.45,6.10,6.10,6.54
24.40,0.15,0.15,-6.39,-6.40,6.00,6.04,4.57,6.15,6.15,6.54
24.65,0.19,0.19,-6.35,-6.35,6.00,6.02,4.69,6.19,6.19,6.54
24.89,0.23,0.23,-6.31,-6.31,6.00,6.00,4.81,6.23,6.23,6.54
25.14,0.26,0.26,-6.28,-6.28,6.00,5.98,4.94,6.26,6.26,6.54
25.39,0.28,0.28,-6.26,-6.26,6.00,5.97,5.07,6.28,6.28,6.54
25.65,0.30,0.30,-6.24,-6.24,6.00,5.95,5.19,6.30,6.30,6.54
25.91,0.32,0.31,-6.22,-6.22,6.00,5.93,5.32,6.32,6.31,6.53
26.16,0.33,0.33,-6.21,-6.21,6.00,5.92,5.45,6.33,6.33,6.53
26.43,0.34,0.34,-6.19,-6.19,6.00,5.90,5.58,6.34,6.34,6.53
26.69,0.35,0.35,-6.18,-6.18,6.00,5.88,5.70,6.35,6.35,6.53
26.96,0.37,0.36,-6.16,-6.16,6.01,5.87,5.83,6.37,6.37,6.53
27.23,0.38,0.38,-6.15,-6.15,6.01,5.85,5.95,6.39,6.39,6.53
