frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.45,9.45,0.16,0.16,-0.16,-1.09,-0.65,9.30,9.30,9.29
20.20,9.49,9.49,0.20,0.20,-0.20,-1.09,-0.67,9.29,9.29,9.29
20.40,9.53,9.53,0.24,0.24,-0.24,-1.10,-0.69,9.29,9.29,9.29
20.61,9.57,9.57,0.28,0.28,-0.28,-1.11,-0.71,9.29,9.29,9.29
20.81,9.61,9.61,0.32,0.32,-0.32,-1.11,-0.73,9.29,9.29,9.29
21.02,9.65,9.65,0.36,0.36,-0.37,-1.12,-0.75,9.29,9.29,9.29
21.23,9.69,9.70,0.40,0.41,-0.41,-1.13,-0.78,9.29,9.29,9.29
21.44,9.74,9.74,0.45,0.45,-0.45,-1.13,-0.80,9.29,9.29,9.29
21.66,9.78,9.78,0.49,0.49,-0.49,-1.14,-0.82,9.29,9.29,9.29
21.87,9.82,9.83,0.54,0.54,-0.54,-1.15,-0.84,9.29,9.29,9.29
22.09,9.86,9.86,0.58,0.58,-0.58,-1.15,-0.87,9.29,9.29,9.29
22.31,9.90,9.90,0.62,0.62,-0.62,-1.16,-0.89,9.29,9.29,9.29
22.54,9.94,9.94,0.66,0.66,-0.66,-1.17,-0.92,9.28,9.28,9.29
22.76,9.98,9.98,0.70,0.70,-0.70,-1.18,-0.94,9.28,9.29,9.28
22.99,10.02,10.02,0.74,0.74,-0.74,-1.19,-0.97,9.28,9.28,9.28
23.22,10.06,10.06,0.78,0.78,-0.78,-1.19,-1.00,9.29,9.28,9.28
23.45,10.09,10.10,0.81,0.82,-0.82,-1.20,-1.03,9.28,9.28,9.28
23.69,10.13,10.13,0.85,0.85,-0.85,-1.21,-1.05,9.28,9.28,9.28
23.92,10.17,10.17,0.89,0.89,-0.89,-1.22,-1.08,9.28,9.28,9.28
24.16,10.20,10.21,0.93,0.93,-0.93,-1.23,-1.11,9.28,9.28,9.28
24.40,10.24,10.24,0.97,0.96,-0.96,-1.24,-1.14,9.28,9.28,9.28
24.65,10.27,10.27,1.00,1.00,-1.00,-1.25,-1.17,9.27,9.27,9.28
24.89,10.30,10.31,1.03,1.03,-1.03,-1.26,-1.20,9.27,9.27,9.27
25.14,10.34,10.34,1.07,1.07,-1.07,-1.27,-1.24,9.28,9.27,9.27
25.39,10.37,10.37,1.10,1.10,-1.10,-1.28,-1.27,9.27,9.27,9.27
25.65,10.40,10.40,1.13,1.13,-1.13,-1.29,-1.30,9.27,9.27,9.27
25.91,10.43,10.43,1.16,1.17,-1.17,-1.30,-1.33,9.27,9.27,9.27
26.16,10.46,10.46,1.20,1.20,-1.20,-1.31,-1.36,9.27,9.27,9.27
26.43,10.49,10.49,1.23,1.23,-1.23,-1.32,-1.39,9.26,9.26,9.27
26.69,10.52,10.52,1.26,1.26,-1.26,-1.33,-1.42,9.26,9.26,9.26
26.96,10.55,10.55,1.29,1.29,-1.29,-1.34,-1.45,9.26,9.26,9.26
27.23,10.58,10.58,1.32,1.32,-1.32,-1.36,-1.48,9.26,9.26,9.26
27.50,10.60,10.61,1.35,1.35,-1.35,-1.37,-1.51,9.25,9.26,9.26
27.77,10.63,10.63,1.38,1.38,-1.38,-1.38,-1.54,9.26,9.26,9.26
28.05,10.66,10.66,1.41,1.41,-1.41,-1.39,-1.57,9.26,9.25,9.25
28.33,10.68,10.69,1.43,1.44,-1.43,-1.41,-1.60,9.25,9.25,9.25
28.62,10.71,10.71,1.46,1.46,-1.46,-1.42,-1.62,9.25,9.25,9.25
28.90,10.73,10.73,1.49,1.49,-1.49,-1.44,-1.65,9.25,9.25,9.25
29.19,10.75,10.76,1.51,1.51,-1.51,-1.45,-1.67,9.24,9.25,9.25
29.48,10.78,10.78,1.54,1.54,-1.54,-1.47,-1.69,9.25,9.24,9.24
29.78,10.80,10.80,1.56,1.56,-1.56,-1.48,-1.72,9.24,9.24,9.24
30.08,10.82,10.82,1.59,1.59,-1.59,-1.50,-1.73,9.24,9.24,9.24
30.38,10.84,10.84,1.61,1.61,-1.61,-1.51,-1.75,9.23,9.23,9.24
30.68,10.86,10.86,1.63,1.63,-1.63,-1.53,-1.77,9.23,9.23,9.23
30.99,10.88,10.88,1.65,1.66,-1.65,-1.55,-1.78,9.23,9.23,9.23
31.30,10.90,10.90,1.68,1.68,-1.68,-1.56,-1.79,9.23,9.23,9.23
31.61,10.92,10.92,1.70,1.70,-1.70,-1.58,-1.80,9.23,9.22,9.22
31.93,10.93,10.94,1.71,1.72,-1.72,-1.60,-1.81,9.22,9.22,9.22
32.24,10.95,10.95,1.74,1.74,-1.74,-1.62,-1.82,9.22,9.22,9.22
32.57,10.97,10.97,1.76,1.76,-1.76,-1.64,-1.82,9.22,9.21,9.21
32.89,10.98,10.99,1.77,1.78,-1.78,-1.66,-1.82,9.21,9.21,9.21
33.22,11.00,11.00,1.80,1.80,-1.80,-1.68,-1.82,9.21,9.21,9.21
33.55,11.01,11.02,1.81,1.82,-1.81,-1.70,-1.82,9.20,9.20,9.20
33.89,11.03,11.03,1.84,1.83,-1.83,-1.72,-1.82,9.20,9.20,9.20
34.23,11.04,11.04,1.85,1.85,-1.85,-1.74,-1.82,9.19,9.19,9.19
34.57,11.05,11.06,1.86,1.87,-1.87,-1.76,-1.82,9.18,9.19,9.19
34.92,11.07,11.07,1.89,1.89,-1.89,-1.78,-1.81,9.19,9.18,9.18
35.27,11.08,11.08,1.90,1.90,-1.90,-1.81,-1.81,9.18,9.18,9.18
35.62,11.09,11.09,1.92,1.92,-1.92,-1.83,-1.80,9.17,9.18,9.17
35.97,11.10,11.10,1.93,1.93,-1.93,-1.85,-1.80,9.17,9.17,9.17
36.33,11.11,11.11,1.95,1.95,-1.95,-1.87,-1.79,9.16,9.17,9.16
36.70,11.12,11.12,1.96,1.96,-1.96,-1.89,-1.78,9.16,9.16,9.16
37.06,11.13,11.13,1.98,1.98,-1.98,-1.92,-1.78,9.16,9.15,9.15
37.43,11.13,11.14,1.99,1.99,-1.99,-1.94,-1.77,9.14,9.15,9.15
37.81,11.14,11.14,2.00,2.00,-2.00,-1.96,-1.77,9.14,9.14,9.14
38.19,11.15,11.15,2.02,2.02,-2.02,-1.98,-1.76,9.14,9.13,9.14
38.57,11.15,11.16,2.03,2.03,-2.03,-2.00,-1.76,9.13,9.13,9.13
38.95,11.16,11.16,2.04,2.04,-2.04,-2.02,-1.75,9.12,9.12,9.12
39.34,11.16,11.17,2.05,2.05,-2.05,-2.04,-1.75,9.11,9.11,9.11
39.74,11.17,11.17,2.07,2.06,-2.06,-2.06,-1.74,9.11,9.11,9.11
40.14,11.17,11.18,2.07,2.08,-2.08,-2.07,-1.74,9.10,9.10,9.10
40.54,11.18,11.18,2.09,2.09,-2.09,-2.09,-1.74,9.10,9.09,9.09
40.94,11.18,11.18,2.10,2.10,-2.10,-2.11,-1.74,9.09,9.09,9.08
41.35,11.18,11.18,2.11,2.11,-2.11,-2.12,-1.74,9.08,9.08,9.08
41.76,11.18,11.18,2.12,2.12,-2.12,-2.13,-1.75,9.07,9.07,9.07
42.18,11.18,11.18,2.13,2.13,-2.13,-2.14,-1.75,9.06,9.06,9.06
42.60,11.18,11.18,2.14,2.14,-2.14,-2.16,-1.76,9.05,9.05,9.05
43.03,11.18,11.18,2.15,2.15,-2.15,-2.17,-1.76,9.04,9.04,9.04
