frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.39,11.39,5.16,5.15,-5.15,-2.98,-1.81,6.24,6.24,6.24
20.20,11.36,11.36,5.13,5.13,-5.13,-2.98,-1.87,6.24,6.24,6.24
20.40,11.33,11.34,5.10,5.10,-5.10,-2.98,-1.92,6.24,6.24,6.24
20.61,11.31,11.31,5.07,5.07,-5.07,-2.98,-1.98,6.23,6.24,6.24
20.81,11.28,11.28,5.05,5.04,-5.05,-2.98,-2.04,6.24,6.23,6.24
21.02,11.25,11.25,5.02,5.02,-5.02,-2.98,-2.10,6.23,6.23,6.24
21.23,11.22,11.23,4.99,4.99,-4.99,-2.98,-2.16,6.23,6.23,6.23
21.44,11.20,11.20,4.97,4.97,-4.97,-2.98,-2.22,6.24,6.23,6.23
21.66,11.17,11.18,4.94,4.94,-4.94,-2.98,-2.29,6.23,6.23,6.23
21.87,11.15,11.15,4.92,4.92,-4.92,-2.98,-2.36,6.23,6.23,6.23
22.09,11.12,11.13,4.89,4.90,-4.89,-2.97,-2.42,6.23,6.23,6.23
22.31,11.10,11.10,4.87,4.87,-4.87,-2.97,-2.50,6.24,6.23,6.23
22.54,11.07,11.07,4.85,4.84,-4.84,-2.97,-2.57,6.23,6.23,6.23
22.76,11.04,11.05,4.82,4.82,-4.81,-2.97,-2.64,6.23,6.23,6.23
22.99,11.01,11.01,4.79,4.79,-4.79,-2.97,-2.72,6.23,6.23,6.23
23.22,10.98,10.98,4.76,4.76,-4.76,-2.97,-2.80,6.23,6.23,6.23
23.45,10.95,10.95,4.73,4.73,-4.73,-2.97,-2.88,6.22,6.22,6.23
23.69,10.92,10.92,4.70,4.70,-4.70,-2.97,-2.96,6.22,6.22,6.22
23.92,10.89,10.90,4.67,4.67,-4.67,-2.97,-3.04,6.22,6.22,6.22
24.16,10.86,10.87,4.64,4.64,-4.64,-2.96,-3.13,6.22,6.22,6.22
24.40,10.84,10.84,4.62,4.62,-4.61,-2.96,-3.22,6.23,6.22,6.22
24.65,10.80,10.81,4.58,4.59,-4.59,-2.96,-3.30,6.22,6.22,6.22
24.89,10.77,10.78,4.56,4.56,-4.56,-2.96,-3.39,6.22,6.22,6.22
25.14,10.74,10.74,4.53,4.53,-4.53,-2.96,-3.48,6.22,6.22,6.22
25.39,10.71,10.71,4.50,4.49,-4.50,-2.96,-3.57,6.22,6.22,6.22
25.65,10.67,10.68,4.46,4.46,-4.46,-2.96,-3.66,6.21,6.21,6.21
25.91,10.65,10.65,4.43,4.43,-4.43,-2.96,-3.75,6.21,6.21,6.21
26.16,10.61,10.61,4.40,4.40,-4.40,-2.95,-3.84,6.21,6.21,6.21
26.43,10.58,10.58,4.38,4.37,-4.37,-2.95,-3.93,6.21,6.21,6.21
26.69,10.54,10.55,4.34,4.34,-4.34,-2.95,-4.01,6.20,6.21,6.21
26.96,10.51,10.51,4.31,4.31,-4.31,-2.95,-4.10,6.21,6.21,6.21
27.23,10.48,10.48,4.28,4.28,-4.28,-2.95,-4.18,6.21,6.21,6.20
27.50,10.44,10.45,4.24,4.25,-4.24,-2.94,-4.26,6.20,6.21,6.20
27.77,10.41,10.41,4.21,4.21,-4.21,-2.94,-4.34,6.20,6.20,6.20
28.05,10.37,10.37,4.18,4.17,-4.18,-2.94,-4.41,6.20,6.20,6.20
28.33,10.33,10.34,4.14,4.14,-4.14,-2.94,-4.48,6.19,6.20,6.20
28.62,10.30,10.30,4.10,4.10,-4.11,-2.94,-4.55,6.19,6.19,6.19
28.90,10.26,10.26,4.07,4.07,-4.07,-2.93,-4.61,6.20,6.19,6.19
29.19,10.22,10.22,4.03,4.03,-4.03,-2.93,-4.66,6.19,6.19,6.19
29.48,10.18,10.19,4.00,4.00,-4.00,-2.93,-4.71,6.19,6.19,6.19
29.78,10.14,10.14,3.96,3.96,-3.96,-2.93,-4.75,6.19,6.19,6.18
30.08,10.11,10.10,3.92,3.92,-3.92,-2.92,-4.79,6.18,6.18,6.18
30.38,10.07,10.06,3.89,3.89,-3.89,-2.92,-4.81,6.18,6.18,6.18
30.68,10.02,10.02,3.85,3.85,-3.85,-2.92,-4.83,6.18,6.18,6.18
30.99,9.98,9.98,3.81,3.81,-3.81,-2.91,-4.85,6.17,6.17,6.17
31.30,9.94,9.94,3.77,3.77,-3.77,-2.91,-4.85,6.17,6.17,6.17
31.61,9.90,9.90,3.74,3.74,-3.74,-2.91,-4.85,6.17,6.17,6.17
31.93,9.87,9.86,3.70,3.70,-3.70,-2.90,-4.83,6.17,6.16,6.16
32.24,9.82,9.83,3.66,3.66,-3.66,-2.90,-4.81,6.16,6.16,6.16
32.57,9.78,9.78,3.63,3.63,-3.63,-2.90,-4.78,6.16,6.16,6.16
32.89,9.74,9.74,3.59,3.59,-3.59,-2.89,-4.75,6.16,6.15,6.15
33.22,9.69,9.70,3.54,3.55,-3.55,-2.89,-4.71,6.15,6.15,6.15
33.55,9.65,9.66,3.51,3.51,-3.51,-2.89,-4.66,6.14,6.15,6.15
33.89,9.61,9.61,3.47,3.47,-3.47,-2.88,-4.61,6.14,6.14,6.14
34.23,9.57,9.57,3.44,3.43,-3.43,-2.88,-4.55,6.14,6.14,6.14
34.57,9.52,9.53,3.39,3.39,-3.39,-2.87,-4.48,6.13,6.13,6.13
34.92,9.48,9.48,3.36,3.35,-3.35,-2.87,-4.41,6.13,6.13,6.13
35.27,9.44,9.44,3.31,3.31,-3.31,-2.86,-4.34,6.12,6.12,6.12
35.62,9.39,9.39,3.28,3.27,-3.27,-2.86,-4.27,6.12,6.12,6.12
35.97,9.34,9.35,3.23,3.23,-3.23,-2.85,-4.19,6.11,6.11,6.11
36.33,9.30,9.30,3.19,3.19,-3.19,-2.85,-4.10,6.11,6.11,6.11
36.70,9.25,9.26,3.15,3.15,-3.15,-2.84,-4.02,6.10,6.10,6.10
37.06,9.21,9.21,3.12,3.11,-3.11,-2.83,-3.93,6.10,6.10,6.10
37.43,9.16,9.17,3.07,3.07,-3.08,-2.83,-3.85,6.09,6.09,6.09
37.81,9.12,9.12,3.04,3.04,-3.04,-2.82,-3.76,6.09,6.09,6.09
38.19,9.07,9.08,3.00,3.00,-3.00,-2.81,-3.67,6.08,6.08,6.08
38.57,9.03,9.03,2.96,2.96,-2.96,-2.81,-3.59,6.08,6.07,6.07
38.95,8.98,8.98,2.92,2.92,-2.92,-2.80,-3.50,6.07,6.07,6.07
39.34,8.93,8.94,2.87,2.88,-2.88,-2.79,-3.41,6.05,6.06,6.06
39.74,8.89,8.89,2.84,2.84,-2.84,-2.78,-3.33,6.05,6.05,6.05
40.14,8.85,8.84,2.80,2.80,-2.80,-2.77,-3.24,6.04,6.04,6.04
40.54,8.79,8.80,2.76,2.76,-2.76,-2.76,-3.16,6.03,6.04,6.04
40.94,8.75,8.75,2.73,2.72,-2.72,-2.75,-3.08,6.03,6.03,6.03
41.35,8.70,8.70,2.68,2.68,-2.68,-2.74,-3.00,6.02,6.02,6.02
41.76,8.65,8.66,2.64,2.64,-2.65,-2.73,-2.92,6.01,6.01,6.01
42.18,8.60,8.61,2.60,2.61,-2.61,-2.72,-2.84,6.00,6.00,6.00
42.60,8.56,8.56,2.57,2.57,-2.57,-2.71,-2.77,6.00,5.99,5.99
43.03,8.51,8.51,2.53,2.53,-2.53,-2.70,-2.69,5.99,5.98,5.98
43.46,8.46,8.47,2.49,2.49,-2.49,-2.68,-2.62,5.97,5.97,5.97
43.90,8.42,8.41,2.45,2.45,-2.45,-2.67,-2.55,5.96,5.96,5.96
44.33,8.36,8.36,2.41,2.41,-2.41,-2.66,-2.48,5.95,5.95,5.95
44.78,8.31,8.31,2.37,2.37,-2.38,-2.64,-2.42,5.94,5.94,5.94
45.23,8.27,8.26,2.34,2.34,-2.34,-2.62,-2.35,5.93,5.93,5.93
