frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.49,2.49,-5.77,-5.77,5.76,5.38,1.70,8.25,8.25,8.26
20.20,2.57,2.57,-5.69,-5.68,5.68,5.33,1.75,8.25,8.25,8.26
20.40,2.65,2.65,-5.60,-5.60,5.60,5.29,1.81,8.26,8.26,8.26
20.61,2.73,2.73,-5.53,-5.53,5.53,5.25,1.86,8.26,8.26,8.26
20.81,2.80,2.80,-5.45,-5.45,5.46,5.20,1.92,8.26,8.27,8.26
21.02,2.87,2.87,-5.38,-5.38,5.39,5.16,1.97,8.27,8.27,8.26
21.23,2.94,2.94,-5.31,-5.32,5.33,5.12,2.03,8.27,8.26,8.25
21.44,2.99,2.99,-5.26,-5.26,5.26,5.07,2.09,8.26,8.26,8.25
21.66,3.04,3.05,-5.21,-5.21,5.21,5.03,2.16,8.25,8.25,8.25
21.87,3.10,3.10,-5.15,-5.15,5.15,4.98,2.22,8.25,8.25,8.25
22.09,3.15,3.15,-5.10,-5.10,5.09,4.94,2.29,8.25,8.25,8.25
22.31,3.20,3.21,-5.05,-5.04,5.04,4.89,2.36,8.24,8.25,8.25
22.54,3.26,3.26,-4.99,-4.99,4.98,4.85,2.43,8.24,8.24,8.25
22.76,3.32,3.32,-4.93,-4.93,4.92,4.81,2.50,8.25,8.25,8.25
22.99,3.38,3.38,-4.87,-4.86,4.87,4.76,2.57,8.25,8.25,8.25
23.22,3.44,3.44,-4.80,-4.80,4.81,4.72,2.65,8.25,8.25,8.25
23.45,3.50,3.50,-4.74,-4.75,4.75,4.67,2.72,8.25,8.25,8.25
23.69,3.55,3.56,-4.69,-4.69,4.69,4.63,2.80,8.24,8.25,8.24
23.92,3.61,3.61,-4.63,-4.63,4.63,4.58,2.88,8.25,8.24,8.24
24.16,3.66,3.66,-4.58,-4.58,4.58,4.54,2.96,8.24,8.24,8.24
24.40,3.71,3.72,-4.53,-4.52,4.52,4.49,3.04,8.24,8.24,8.24
24.65,3.77,3.77,-4.47,-4.47,4.47,4.45,3.13,8.24,8.24,8.24
24.89,3.82,3.82,-4.42,-4.42,4.42,4.40,3.21,8.24,8.24,8.24
