frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.22,3.22,-1.11,-1.10,1.15,-0.24,-0.08,4.37,4.37,4.32
20.20,3.25,3.24,-1.08,-1.08,1.10,-0.25,-0.08,4.34,4.34,4.32
20.40,3.28,3.27,-1.05,-1.05,1.04,-0.25,-0.08,4.32,4.31,4.32
20.61,3.30,3.31,-1.03,-1.01,0.99,-0.25,-0.08,4.28,4.29,4.32
20.81,3.36,3.35,-0.97,-0.97,0.93,-0.25,-0.09,4.29,4.28,4.32
21.02,3.42,3.41,-0.91,-0.91,0.87,-0.26,-0.09,4.29,4.29,4.32
21.23,3.48,3.48,-0.84,-0.84,0.82,-0.26,-0.09,4.29,4.30,4.32
21.44,3.56,3.56,-0.76,-0.76,0.76,-0.26,-0.09,4.32,4.32,4.32
21.66,3.64,3.63,-0.68,-0.69,0.69,-0.27,-0.09,4.33,4.32,4.32
21.87,3.71,3.71,-0.61,-0.61,0.63,-0.27,-0.10,4.33,4.33,4.32
22.09,3.77,3.77,-0.55,-0.55,0.57,-0.27,-0.10,4.33,4.34,4.32
22.31,3.83,3.82,-0.49,-0.50,0.52,-0.28,-0.10,4.34,4.34,4.32
22.54,3.86,3.86,-0.46,-0.46,0.47,-0.28,-0.10,4.33,4.33,4.32
22.76,3.89,3.89,-0.43,-0.43,0.43,-0.28,-0.11,4.32,4.32,4.31
22.99,3.91,3.91,-0.41,-0.41,0.40,-0.29,-0.11,4.30,4.31,4.31
23.22,3.94,3.94,-0.38,-0.38,0.36,-0.29,-0.11,4.30,4.30,4.31
23.45,3.97,3.97,-0.35,-0.34,0.33,-0.29,-0.11,4.30,4.30,4.31
23.69,4.01,4.01,-0.30,-0.30,0.29,-0.30,-0.12,4.30,4.30,4.31
23.92,4.06,4.05,-0.25,-0.25,0.25,-0.30,-0.12,4.30,4.30,4.31
24.16,4.11,4.11,-0.20,-0.20,0.20,-0.31,-0.12,4.31,4.31,4.31
24.40,4.16,4.16,-0.15,-0.15,0.15,-0.31,-0.12,4.31,4.31,4.31
24.65,4.21,4.21,-0.10,-0.10,0.11,-0.32,-0.13,4.31,4.32,4.31
24.89,4.26,4.25,-0.05,-0.05,0.06,-0.32,-0.13,4.32,4.31,4.30
25.14,4.30,4.29,-0.01,-0.01,0.02,-0.32,-0.13,4.31,4.31,4.30
25.39,4.33,4.33,0.03,0.03,-0.03,-0.33,-0.14,4.30,4.30,4.30
25.65,4.37,4.36,0.07,0.06,-0.07,-0.33,-0.14,4.29,4.29,4.30
25.91,4.40,4.40,0.10,0.10,-0.11,-0.34,-0.14,4.28,4.29,4.30
26.16,4.45,4.44,0.15,0.15,-0.15,-0.34,-0.14,4.29,4.29,4.30
26.43,4.49,4.49,0.19,0.19,-0.19,-0.35,-0.15,4.29,4.29,4.30
26.69,4.53,4.53,0.23,0.24,-0.23,-0.36,-0.15,4.30,4.30,4.29
26.96,4.57,4.56,0.27,0.27,-0.26,-0.36,-0.16,4.31,4.30,4.29
27.23,4.60,4.59,0.31,0.30,-0.29,-0.37,-0.16,4.31,4.30,4.29
27.50,4.61,4.61,0.32,0.32,-0.31,-0.37,-0.16,4.29,4.30,4.29
27.77,4.62,4.62,0.33,0.33,-0.33,-0.38,-0.17,4.28,4.29,4.29
28.05,4.63,4.63,0.34,0.34,-0.35,-0.39,-0.17,4.28,4.28,4.28
28.33,4.64,4.64,0.35,0.36,-0.37,-0.39,-0.18,4.27,4.27,4.28
28.62,4.66,4.65,0.38,0.37,-0.38,-0.40,-0.18,4.27,4.27,4.28
28.90,4.67,4.67,0.39,0.39,-0.40,-0.41,-0.18,4.27,4.27,4.28
29.19,4.69,4.69,0.41,0.41,-0.41,-0.42,-0.19,4.27,4.28,4.28
29.48,4.71,4.71,0.43,0.43,-0.43,-0.42,-0.19,4.28,4.28,4.27
