frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.08,6.08,0.26,0.26,-0.26,-1.39,-0.69,5.82,5.82,5.82
20.20,6.12,6.12,0.30,0.30,-0.30,-1.39,-0.71,5.81,5.82,5.82
20.40,6.17,6.16,0.35,0.35,-0.35,-1.39,-0.73,5.82,5.81,5.82
20.61,6.21,6.21,0.39,0.39,-0.39,-1.40,-0.75,5.81,5.81,5.82
20.81,6.25,6.25,0.43,0.44,-0.44,-1.40,-0.77,5.81,5.81,5.81
21.02,6.30,6.29,0.48,0.48,-0.48,-1.40,-0.80,5.82,5.81,5.81
21.23,6.34,6.34,0.52,0.52,-0.52,-1.40,-0.82,5.81,5.81,5.81
21.44,6.38,6.38,0.57,0.57,-0.57,-1.40,-0.84,5.81,5.81,5.81
21.66,6.42,6.42,0.61,0.61,-0.61,-1.41,-0.87,5.81,5.81,5.81
21.87,6.46,6.46,0.65,0.65,-0.65,-1.41,-0.89,5.81,5.81,5.81
22.09,6.50,6.50,0.69,0.69,-0.69,-1.41,-0.92,5.81,5.81,5.81
22.31,6.54,6.54,0.73,0.73,-0.73,-1.41,-0.95,5.81,5.81,5.81
22.54,6.58,6.58,0.77,0.77,-0.77,-1.42,-0.97,5.81,5.81,5.81
22.76,6.62,6.61,0.81,0.81,-0.81,-1.42,-1.00,5.81,5.81,5.81
22.99,6.65,6.65,0.84,0.85,-0.85,-1.42,-1.03,5.80,5.81,5.81
23.22,6.69,6.69,0.88,0.88,-0.88,-1.42,-1.06,5.80,5.81,5.81
23.45,6.73,6.72,0.92,0.92,-0.92,-1.43,-1.09,5.81,5.80,5.80
23.69,6.76,6.76,0.95,0.96,-0.95,-1.43,-1.12,5.80,5.81,5.80
23.92,6.79,6.79,0.99,0.99,-0.99,-1.43,-1.15,5.80,5.80,5.80
24.16,6.82,6.82,1.02,1.02,-1.02,-1.44,-1.18,5.80,5.80,5.80
24.40,6.85,6.85,1.05,1.05,-1.04,-1.44,-1.22,5.80,5.80,5.80
24.65,6.87,6.87,1.07,1.07,-1.07,-1.44,-1.25,5.79,5.80,5.80
