frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.71,7.71,0.95,0.95,-0.94,-1.93,-0.85,6.76,6.76,6.76
20.20,7.74,7.74,0.98,0.98,-0.98,-1.93,-0.88,6.76,6.76,6.76
20.40,7.78,7.77,1.02,1.01,-1.01,-1.93,-0.90,6.76,6.76,6.76
20.61,7.81,7.81,1.05,1.05,-1.05,-1.93,-0.93,6.76,6.76,6.76
20.81,7.84,7.84,1.08,1.08,-1.09,-1.93,-0.96,6.75,6.76,6.76
21.02,7.88,7.87,1.12,1.12,-1.12,-1.93,-0.98,6.76,6.75,6.76
21.23,7.91,7.91,1.15,1.15,-1.16,-1.93,-1.01,6.75,6.75,6.76
21.44,7.95,7.95,1.19,1.19,-1.19,-1.93,-1.04,6.76,6.76,6.76
21.66,7.99,7.98,1.23,1.23,-1.23,-1.93,-1.07,6.76,6.76,6.76
21.87,8.02,8.02,1.26,1.27,-1.27,-1.93,-1.11,6.75,6.76,6.75
22.09,8.06,8.06,1.30,1.30,-1.30,-1.93,-1.14,6.76,6.75,6.75
22.31,8.09,8.09,1.34,1.34,-1.34,-1.93,-1.17,6.75,6.75,6.75
22.54,8.13,8.13,1.38,1.37,-1.37,-1.93,-1.21,6.75,6.75,6.75
22.76,8.16,8.16,1.41,1.41,-1.41,-1.93,-1.24,6.75,6.75,6.75
22.99,8.19,8.19,1.44,1.44,-1.44,-1.93,-1.28,6.75,6.75,6.75
23.22,8.22,8.22,1.47,1.47,-1.47,-1.93,-1.32,6.75,6.75,6.75
23.45,8.25,8.25,1.50,1.50,-1.50,-1.93,-1.35,6.75,6.75,6.75
23.69,8.28,8.28,1.53,1.53,-1.53,-1.93,-1.39,6.75,6.75,6.75
23.92,8.31,8.30,1.56,1.56,-1.56,-1.93,-1.43,6.75,6.74,6.75
24.16,8.33,8.33,1.58,1.59,-1.59,-1.93,-1.47,6.74,6.74,6.74
24.40,8.36,8.36,1.61,1.61,-1.62,-1.93,-1.51,6.74,6.74,6.74
24.65,8.39,8.38,1.65,1.64,-1.64,-1.93,-1.55,6.74,6.74,6.74
24.89,8.41,8.41,1.67,1.67,-1.67,-1.93,-1.59,6.74,6.74,6.74
25.14,8.44,8.44,1.70,1.70,-1.69,-1.93,-1.64,6.74,6.74,6.74
25.39,8.46,8.46,1.72,1.72,-1.72,-1.93,-1.68,6.74,6.74,6.74
25.65,8.48,8.48,1.74,1.74,-1.74,-1.93,-1.72,6.74,6.74,6.74
25.91,8.50,8.50,1.76,1.76,-1.77,-1.93,-1.76,6.73,6.73,6.73
26.16,8.52,8.52,1.78,1.79,-1.79,-1.93,-1.80,6.73,6.73,6.73
26.43,8.55,8.54,1.82,1.81,-1.81,-1.93,-1.85,6.74,6.73,6.73
26.69,8.56,8.56,1.83,1.83,-1.83,-1.93,-1.89,6.73,6.73,6.73
26.96,8.58,8.58,1.85,1.85,-1.85,-1.93,-1.93,6.73,6.73,6.73
27.23,8.60,8.60,1.87,1.87,-1.87,-1.92,-1.97,6.73,6.73,6.73
27.50,8.62,8.62,1.89,1.89,-1.89,-1.92,-2.01,6.73,6.73,6.72
27.77,8.64,8.64,1.92,1.91,-1.91,-1.92,-2.04,6.73,6.72,6.72
28.05,8.65,8.65,1.93,1.93,-1.93,-1.92,-2.08,6.72,6.72,6.72
28.33,8.67,8.66,1.95,1.95,-1.95,-1.92,-2.11,6.72,6.72,6.72
28.62,8.68,8.68,1.96,1.96,-1.96,-1.92,-2.14,6.71,6.71,6.72
28.90,8.69,8.69,1.97,1.98,-1.98,-1.92,-2.17,6.71,6.71,6.71
29.19,8.71,8.70,2.00,1.99,-1.99,-1.92,-2.20,6.71,6.71,6.71
29.48,8.72,8.72,2.01,2.01,-2.01,-1.92,-2.23,6.71,6.71,6.71
29.78,8.73,8.73,2.02,2.02,-2.02,-1.92,-2.25,6.71,6.71,6.71
30.08,8.74,8.74,2.03,2.03,-2.03,-1.92,-2.27,6.70,6.71,6.70
30.38,8.75,8.75,2.05,2.05,-2.05,-1.92,-2.29,6.70,6.70,6.70
30.68,8.76,8.75,2.06,2.06,-2.06,-1.92,-2.30,6.70,6.70,6.70
30.99,8.76,8.76,2.06,2.07,-2.07,-1.92,-2.31,6.69,6.70,6.70
31.30,8.77,8.77,2.07,2.07,-2.08,-1.92,-2.32,6.69,6.69,6.69
31.61,8.78,8.77,2.09,2.08,-2.09,-1.92,-2.32,6.69,6.69,6.69
31.93,8.78,8.78,2.09,2.10,-2.09,-1.92,-2.32,6.68,6.69,6.69
32.24,8.79,8.78,2.10,2.10,-2.10,-1.92,-2.32,6.69,6.68,6.68
32.57,8.79,8.79,2.11,2.11,-2.11,-1.92,-2.32,6.68,6.68,6.68
32.89,8.79,8.79,2.11,2.12,-2.12,-1.92,-2.31,6.67,6.68,6.68
33.22,8.80,8.79,2.13,2.12,-2.12,-1.91,-2.30,6.67,6.67,6.67
33.55,8.80,8.80,2.13,2.13,-2.13,-1.91,-2.29,6.67,6.67,6.67
33.89,8.80,8.80,2.13,2.13,-2.13,-1.91,-2.27,6.66,6.66,6.66
34.23,8.80,8.80,2.14,2.14,-2.14,-1.91,-2.26,6.66,6.66,6.66
34.57,8.80,8.80,2.14,2.14,-2.14,-1.91,-2.24,6.66,6.66,6.66
