frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.33,3.33,-2.79,-2.79,2.79,1.54,0.46,6.12,6.12,6.12
20.20,3.39,3.39,-2.73,-2.73,2.73,1.52,0.47,6.12,6.12,6.12
20.40,3.45,3.45,-2.67,-2.66,2.66,1.51,0.48,6.11,6.12,6.12
20.61,3.52,3.52,-2.60,-2.60,2.60,1.50,0.50,6.12,6.12,6.12
20.81,3.58,3.58,-2.54,-2.54,2.54,1.48,0.51,6.12,6.12,6.12
21.02,3.64,3.64,-2.48,-2.47,2.48,1.47,0.53,6.12,6.12,6.11
21.23,3.70,3.70,-2.41,-2.42,2.42,1.46,0.55,6.12,6.12,6.11
21.44,3.76,3.76,-2.35,-2.36,2.36,1.44,0.56,6.12,6.11,6.11
21.66,3.81,3.81,-2.30,-2.30,2.30,1.43,0.58,6.11,6.11,6.11
21.87,3.87,3.87,-2.24,-2.24,2.24,1.42,0.60,6.11,6.11,6.11
22.09,3.92,3.92,-2.19,-2.19,2.19,1.41,0.62,6.11,6.11,6.11
22.31,3.98,3.98,-2.13,-2.13,2.13,1.39,0.64,6.11,6.11,6.11
22.54,4.03,4.03,-2.08,-2.08,2.08,1.38,0.66,6.11,6.11,6.11
22.76,4.08,4.08,-2.03,-2.03,2.02,1.36,0.68,6.10,6.11,6.11
22.99,4.14,4.14,-1.97,-1.97,1.97,1.35,0.70,6.11,6.11,6.11
23.22,4.19,4.19,-1.92,-1.92,1.92,1.34,0.72,6.11,6.11,6.11
23.45,4.24,4.24,-1.87,-1.87,1.87,1.32,0.74,6.11,6.11,6.11
23.69,4.29,4.29,-1.82,-1.81,1.81,1.31,0.76,6.10,6.10,6.10
23.92,4.34,4.34,-1.76,-1.76,1.76,1.30,0.78,6.10,6.10,6.10
24.16,4.39,4.39,-1.71,-1.72,1.71,1.28,0.80,6.10,6.10,6.10
24.40,4.43,4.43,-1.67,-1.67,1.67,1.27,0.83,6.10,6.10,6.10
24.65,4.48,4.48,-1.62,-1.62,1.62,1.25,0.85,6.10,6.10,6.10
24.89,4.53,4.53,-1.57,-1.57,1.57,1.24,0.87,6.10,6.10,6.10
25.14,4.57,4.57,-1.53,-1.53,1.53,1.22,0.89,6.10,6.10,6.10
25.39,4.61,4.61,-1.49,-1.49,1.49,1.21,0.92,6.10,6.10,6.10
25.65,4.65,4.65,-1.45,-1.44,1.44,1.19,0.94,6.09,6.09,6.09
25.91,4.69,4.69,-1.40,-1.40,1.40,1.18,0.96,6.09,6.09,6.09
26.16,4.73,4.73,-1.36,-1.36,1.36,1.16,0.99,6.09,6.09,6.09
26.43,4.77,4.77,-1.32,-1.32,1.32,1.15,1.01,6.09,6.09,6.09
26.69,4.81,4.81,-1.28,-1.28,1.28,1.13,1.03,6.09,6.09,6.09
26.96,4.85,4.85,-1.24,-1.24,1.24,1.12,1.05,6.09,6.09,6.09
27.23,4.89,4.89,-1.20,-1.20,1.20,1.10,1.07,6.09,6.09,6.08
27.50,4.92,4.92,-1.16,-1.16,1.16,1.09,1.09,6.08,6.08,6.08
27.77,4.96,4.96,-1.12,-1.12,1.12,1.07,1.11,6.08,6.08,6.08
28.05,4.99,4.99,-1.09,-1.09,1.09,1.06,1.13,6.07,6.08,6.08
28.33,5.03,5.03,-1.05,-1.05,1.05,1.04,1.15,6.08,6.08,6.08
28.62,5.06,5.06,-1.02,-1.02,1.02,1.03,1.17,6.07,6.07,6.07
28.90,5.09,5.09,-0.98,-0.98,0.98,1.01,1.18,6.07,6.07,6.07
29.19,5.12,5.12,-0.95,-0.95,0.95,0.99,1.19,6.07,6.07,6.07
29.48,5.15,5.15,-0.92,-0.92,0.92,0.98,1.20,6.07,6.07,6.07
29.78,5.18,5.18,-0.89,-0.89,0.89,0.96,1.21,6.07,6.06,6.06
30.08,5.20,5.20,-0.86,-0.86,0.86,0.94,1.22,6.06,6.06,6.06
30.38,5.23,5.23,-0.83,-0.83,0.83,0.93,1.23,6.06,6.06,6.06
30.68,5.26,5.26,-0.80,-0.80,0.80,0.91,1.23,6.06,6.06,6.06
30.99,5.28,5.28,-0.77,-0.77,0.77,0.89,1.23,6.05,6.06,6.05
31.30,5.31,5.31,-0.74,-0.74,0.75,0.87,1.23,6.05,6.05,6.05
31.61,5.33,5.33,-0.72,-0.72,0.72,0.86,1.23,6.05,6.05,6.05
31.93,5.35,5.35,-0.70,-0.69,0.69,0.84,1.23,6.04,6.04,6.04
32.24,5.37,5.37,-0.67,-0.67,0.67,0.82,1.22,6.04,6.04,6.04
32.57,5.40,5.39,-0.64,-0.64,0.64,0.80,1.21,6.04,6.04,6.04
32.89,5.41,5.41,-0.62,-0.62,0.62,0.78,1.21,6.03,6.03,6.03
33.22,5.43,5.43,-0.60,-0.60,0.60,0.76,1.19,6.03,6.03,6.03
33.55,5.45,5.45,-0.58,-0.58,0.58,0.74,1.18,6.03,6.03,6.03
33.89,5.47,5.47,-0.55,-0.55,0.56,0.72,1.17,6.03,6.02,6.02
34.23,5.48,5.48,-0.54,-0.54,0.54,0.71,1.15,6.01,6.02,6.02
34.57,5.50,5.50,-0.51,-0.52,0.51,0.69,1.13,6.01,6.01,6.01
34.92,5.51,5.51,-0.50,-0.50,0.50,0.67,1.11,6.00,6.01,6.01
35.27,5.53,5.53,-0.47,-0.48,0.48,0.65,1.09,6.00,6.00,6.00
35.62,5.54,5.54,-0.46,-0.46,0.46,0.63,1.07,6.00,6.00,6.00
35.97,5.56,5.56,-0.43,-0.44,0.44,0.61,1.05,6.00,6.00,5.99
36.33,5.57,5.57,-0.42,-0.42,0.42,0.59,1.03,5.99,5.99,5.99
36.70,5.58,5.58,-0.40,-0.40,0.40,0.56,1.00,5.98,5.98,5.98
37.06,5.59,5.59,-0.39,-0.39,0.39,0.54,0.98,5.98,5.98,5.98
37.43,5.60,5.60,-0.37,-0.37,0.37,0.52,0.96,5.97,5.97,5.97
37.81,5.61,5.61,-0.36,-0.36,0.36,0.50,0.93,5.97,5.96,5.97
38.19,5.61,5.61,-0.35,-0.35,0.35,0.48,0.91,5.95,5.96,5.96
38.57,5.62,5.62,-0.33,-0.33,0.33,0.46,0.88,5.95,5.95,5.95
38.95,5.63,5.62,-0.32,-0.32,0.32,0.44,0.86,5.95,5.94,5.95
39.34,5.63,5.63,-0.31,-0.31,0.31,0.42,0.83,5.94,5.94,5.94
39.74,5.63,5.63,-0.30,-0.30,0.30,0.40,0.81,5.93,5.93,5.93
40.14,5.64,5.64,-0.28,-0.29,0.29,0.38,0.79,5.93,5.92,5.92
40.54,5.64,5.64,-0.28,-0.28,0.28,0.37,0.76,5.92,5.92,5.92
40.94,5.64,5.64,-0.27,-0.27,0.27,0.35,0.74,5.91,5.91,5.91
41.35,5.64,5.64,-0.26,-0.26,0.26,0.33,0.72,5.90,5.90,5.90
41.76,5.64,5.64,-0.25,-0.25,0.25,0.31,0.69,5.89,5.89,5.89
42.18,5.64,5.64,-0.24,-0.24,0.24,0.30,0.67,5.88,5.88,5.88
42.60,5.64,5.64,-0.23,-0.23,0.23,0.28,0.65,5.87,5.87,5.87
43.03,5.64,5.64,-0.22,-0.23,0.23,0.27,0.63,5.87,5.86,5.86
43.46,5.63,5.63,-0.22,-0.22,0.22,0.26,0.61,5.85,5.85,5.85
43.90,5.63,5.63,-0.21,-0.21,0.21,0.24,0.59,5.84,5.84,5.84
44.33,5.62,5.62,-0.21,-0.21,0.21,0.23,0.56,5.83,5.83,5.83
44.78,5.62,5.62,-0.20,-0.20,0.20,0.22,0.55,5.82,5.82,5.82
45.23,5.61,5.61,-0.20,-0.20,0.20,0.21,0.53,5.81,5.81,5.81
45.68,5.60,5.60,-0.20,-0.20,0.19,0.20,0.51,5.79,5.79,5.80
46.13,5.59,5.59,-0.19,-0.19,0.19,0.20,0.49,5.78,5.78,5.78
