frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.67,4.67,-0.61,-0.61,0.61,-0.49,-0.25,5.28,5.28,5.28
20.20,4.71,4.72,-0.57,-0.56,0.57,-0.49,-0.26,5.28,5.28,5.28
20.40,4.76,4.76,-0.52,-0.52,0.52,-0.49,-0.26,5.29,5.28,5.28
20.61,4.80,4.80,-0.48,-0.48,0.48,-0.49,-0.27,5.28,5.28,5.28
20.81,4.84,4.85,-0.44,-0.44,0.44,-0.50,-0.28,5.28,5.28,5.28
21.02,4.88,4.88,-0.40,-0.40,0.39,-0.50,-0.29,5.28,5.28,5.28
21.23,4.92,4.92,-0.35,-0.35,0.35,-0.50,-0.29,5.28,5.28,5.28
21.44,4.96,4.96,-0.31,-0.31,0.31,-0.50,-0.30,5.28,5.28,5.28
21.66,5.00,5.00,-0.27,-0.27,0.27,-0.51,-0.31,5.28,5.28,5.28
21.87,5.05,5.05,-0.23,-0.23,0.23,-0.51,-0.32,5.28,5.28,5.28
22.09,5.08,5.08,-0.19,-0.19,0.19,-0.51,-0.33,5.28,5.28,5.28
22.31,5.12,5.12,-0.15,-0.15,0.16,-0.51,-0.34,5.28,5.28,5.28
22.54,5.15,5.16,-0.12,-0.12,0.12,-0.52,-0.35,5.27,5.27,5.27
22.76,5.19,5.19,-0.08,-0.08,0.08,-0.52,-0.36,5.28,5.27,5.27
22.99,5.22,5.23,-0.05,-0.05,0.04,-0.52,-0.37,5.27,5.27,5.27
23.22,5.26,5.26,-0.01,-0.01,0.01,-0.53,-0.38,5.27,5.27,5.27
23.45,5.29,5.30,0.02,0.03,-0.03,-0.53,-0.39,5.27,5.27,5.27
23.69,5.33,5.33,0.06,0.06,-0.06,-0.53,-0.40,5.27,5.27,5.27
23.92,5.36,5.36,0.10,0.10,-0.10,-0.54,-0.41,5.27,5.27,5.27
24.16,5.39,5.40,0.13,0.13,-0.13,-0.54,-0.42,5.26,5.27,5.27
24.40,5.43,5.43,0.17,0.17,-0.16,-0.54,-0.43,5.27,5.27,5.27
24.65,5.46,5.46,0.20,0.20,-0.20,-0.55,-0.44,5.27,5.27,5.26
24.89,5.49,5.49,0.23,0.23,-0.23,-0.55,-0.45,5.27,5.27,5.26
25.14,5.51,5.52,0.25,0.26,-0.26,-0.55,-0.47,5.26,5.26,5.26
25.39,5.55,5.54,0.28,0.28,-0.29,-0.56,-0.48,5.26,5.26,5.26
25.65,5.57,5.57,0.32,0.31,-0.31,-0.56,-0.49,5.26,5.26,5.26
25.91,5.59,5.60,0.34,0.34,-0.34,-0.57,-0.50,5.25,5.26,5.26
26.16,5.62,5.62,0.37,0.37,-0.37,-0.57,-0.51,5.26,5.25,5.26
26.43,5.65,5.65,0.40,0.40,-0.40,-0.58,-0.53,5.26,5.25,5.25
26.69,5.67,5.68,0.42,0.43,-0.42,-0.58,-0.54,5.25,5.26,5.25
26.96,5.70,5.70,0.45,0.45,-0.45,-0.59,-0.55,5.26,5.25,5.25
27.23,5.72,5.72,0.48,0.47,-0.47,-0.59,-0.56,5.25,5.25,5.25
27.50,5.74,5.75,0.50,0.50,-0.50,-0.60,-0.57,5.25,5.25,5.25
27.77,5.76,5.76,0.52,0.52,-0.52,-0.60,-0.58,5.24,5.24,5.25
28.05,5.78,5.78,0.54,0.54,-0.54,-0.61,-0.60,5.24,5.24,5.24
28.33,5.80,5.80,0.56,0.56,-0.56,-0.61,-0.61,5.24,5.24,5.24
28.62,5.82,5.82,0.59,0.59,-0.59,-0.62,-0.62,5.24,5.24,5.24
28.90,5.84,5.84,0.61,0.61,-0.61,-0.63,-0.63,5.24,5.24,5.24
29.19,5.86,5.87,0.63,0.63,-0.63,-0.63,-0.64,5.23,5.24,5.23
29.48,5.88,5.88,0.65,0.65,-0.65,-0.64,-0.65,5.23,5.23,5.23
29.78,5.90,5.90,0.67,0.67,-0.67,-0.65,-0.66,5.23,5.23,5.23
30.08,5.91,5.92,0.69,0.69,-0.69,-0.65,-0.66,5.22,5.23,5.23
30.38,5.93,5.94,0.71,0.71,-0.71,-0.66,-0.67,5.22,5.22,5.22
30.68,5.95,5.95,0.73,0.73,-0.73,-0.67,-0.68,5.23,5.22,5.22
30.99,5.96,5.97,0.75,0.75,-0.75,-0.68,-0.69,5.22,5.22,5.22
31.30,5.97,5.98,0.76,0.76,-0.76,-0.69,-0.69,5.21,5.22,5.22
31.61,5.99,5.99,0.78,0.78,-0.78,-0.69,-0.70,5.22,5.21,5.21
31.93,6.00,6.00,0.80,0.79,-0.79,-0.70,-0.70,5.21,5.21,5.21
32.24,6.01,6.02,0.81,0.81,-0.81,-0.71,-0.71,5.21,5.21,5.21
32.57,6.02,6.02,0.82,0.82,-0.82,-0.72,-0.71,5.20,5.20,5.20
32.89,6.03,6.03,0.84,0.84,-0.84,-0.73,-0.72,5.20,5.20,5.20
33.22,6.04,6.04,0.85,0.85,-0.85,-0.74,-0.72,5.19,5.19,5.19
33.55,6.05,6.06,0.86,0.86,-0.86,-0.75,-0.72,5.19,5.19,5.19
33.89,6.06,6.06,0.88,0.88,-0.88,-0.76,-0.72,5.19,5.19,5.19
34.23,6.07,6.07,0.89,0.89,-0.89,-0.77,-0.73,5.19,5.18,5.18
34.57,6.07,6.08,0.90,0.90,-0.90,-0.78,-0.73,5.17,5.18,5.18
34.92,6.08,6.08,0.91,0.91,-0.91,-0.79,-0.73,5.17,5.17,5.17
35.27,6.09,6.09,0.93,0.92,-0.92,-0.80,-0.73,5.17,5.17,5.17
35.62,6.09,6.10,0.93,0.93,-0.93,-0.82,-0.73,5.16,5.16,5.16
35.97,6.10,6.10,0.95,0.94,-0.94,-0.83,-0.74,5.16,5.16,5.16
36.33,6.10,6.11,0.95,0.95,-0.95,-0.84,-0.74,5.15,5.15,5.15
36.70,6.11,6.11,0.97,0.96,-0.96,-0.85,-0.74,5.15,5.15,5.15
37.06,6.11,6.11,0.97,0.97,-0.97,-0.86,-0.74,5.14,5.14,5.14
37.43,6.11,6.12,0.98,0.98,-0.98,-0.87,-0.74,5.13,5.13,5.14
37.81,6.11,6.12,0.98,0.99,-0.99,-0.89,-0.75,5.13,5.13,5.13
38.19,6.12,6.12,1.00,1.00,-1.00,-0.90,-0.75,5.13,5.13,5.12
38.57,6.12,6.12,1.01,1.01,-1.00,-0.91,-0.75,5.12,5.12,5.12
38.95,6.12,6.12,1.01,1.01,-1.01,-0.92,-0.75,5.11,5.11,5.11
39.34,6.11,6.12,1.01,1.01,-1.02,-0.93,-0.76,5.10,5.10,5.10
39.74,6.11,6.12,1.02,1.02,-1.02,-0.94,-0.76,5.09,5.10,5.10
40.14,6.11,6.11,1.03,1.02,-1.03,-0.95,-0.77,5.09,5.09,5.09
40.54,6.11,6.11,1.03,1.03,-1.03,-0.96,-0.77,5.08,5.08,5.08
40.94,6.10,6.11,1.03,1.03,-1.03,-0.97,-0.78,5.07,5.07,5.07
41.35,6.10,6.10,1.04,1.04,-1.04,-0.97,-0.78,5.07,5.06,5.06
41.76,6.09,6.10,1.04,1.04,-1.04,-0.98,-0.79,5.05,5.05,5.06
42.18,6.09,6.09,1.05,1.05,-1.05,-0.99,-0.80,5.05,5.05,5.05
42.60,6.08,6.09,1.05,1.05,-1.05,-0.99,-0.81,5.03,5.04,5.04
43.03,6.08,6.08,1.06,1.05,-1.05,-1.00,-0.82,5.03,5.03,5.03
43.46,6.07,6.07,1.06,1.06,-1.06,-1.00,-0.83,5.02,5.02,5.02
43.90,6.06,6.07,1.06,1.06,-1.06,-1.01,-0.84,5.01,5.01,5.01
44.33,6.05,6.05,1.06,1.06,-1.06,-1.01,-0.85,5.00,5.00,5.00
44.78,6.04,6.05,1.06,1.06,-1.06,-1.01,-0.86,4.98,4.99,4.98
45.23,6.03,6.03,1.06,1.06,-1.06,-1.01,-0.87,4.97,4.97,4.97
45.68,6.02,6.02,1.06,1.06,-1.06,-1.01,-0.88,4.96,4.96,4.96
