frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.33,7.34,2.57,2.57,-2.55,-2.51,-1.14,4.78,4.78,4.76
20.20,7.36,7.36,2.60,2.60,-2.59,-2.53,-1.17,4.77,4.77,4.76
20.40,7.38,7.39,2.62,2.62,-2.63,-2.54,-1.21,4.76,4.76,4.76
20.61,7.40,7.41,2.64,2.65,-2.66,-2.56,-1.25,4.74,4.75,4.76
20.81,7.43,7.43,2.67,2.67,-2.69,-2.58,-1.28,4.75,4.74,4.76
21.02,7.45,7.45,2.70,2.70,-2.71,-2.59,-1.32,4.74,4.74,4.76
21.23,7.47,7.48,2.72,2.72,-2.73,-2.61,-1.36,4.75,4.75,4.76
21.44,7.50,7.50,2.75,2.74,-2.74,-2.63,-1.41,4.76,4.76,4.76
21.66,7.52,7.52,2.77,2.76,-2.76,-2.65,-1.45,4.77,4.76,4.76
21.87,7.53,7.53,2.78,2.78,-2.77,-2.66,-1.49,4.77,4.77,4.76
22.09,7.53,7.54,2.78,2.78,-2.77,-2.68,-1.54,4.76,4.77,4.76
22.31,7.53,7.53,2.78,2.78,-2.77,-2.70,-1.59,4.77,4.76,4.75
22.54,7.51,7.52,2.76,2.76,-2.76,-2.71,-1.63,4.76,4.76,4.75
22.76,7.49,7.50,2.74,2.74,-2.74,-2.73,-1.68,4.75,4.75,4.75
22.99,7.47,7.47,2.72,2.72,-2.73,-2.74,-1.73,4.75,4.75,4.75
23.22,7.45,7.46,2.70,2.71,-2.71,-2.75,-1.79,4.74,4.74,4.75
23.45,7.44,7.44,2.69,2.69,-2.70,-2.77,-1.84,4.75,4.74,4.75
23.69,7.42,7.43,2.68,2.68,-2.69,-2.78,-1.89,4.74,4.74,4.75
23.92,7.42,7.42,2.68,2.68,-2.68,-2.79,-1.95,4.74,4.74,4.75
24.16,7.42,7.42,2.68,2.68,-2.68,-2.79,-2.00,4.74,4.74,4.75
24.40,7.42,7.43,2.68,2.68,-2.69,-2.80,-2.06,4.74,4.74,4.75
24.65,7.43,7.44,2.69,2.69,-2.69,-2.80,-2.11,4.74,4.74,4.74
24.89,7.44,7.44,2.70,2.70,-2.70,-2.80,-2.17,4.74,4.74,4.74
25.14,7.45,7.45,2.71,2.71,-2.71,-2.80,-2.23,4.75,4.75,4.74
25.39,7.45,7.46,2.71,2.72,-2.71,-2.79,-2.29,4.75,4.75,4.74
25.65,7.45,7.45,2.72,2.71,-2.71,-2.79,-2.34,4.75,4.75,4.74
25.91,7.44,7.44,2.71,2.71,-2.70,-2.78,-2.40,4.75,4.74,4.74
26.16,7.42,7.43,2.69,2.69,-2.69,-2.76,-2.46,4.74,4.74,4.74
26.43,7.40,7.41,2.67,2.67,-2.67,-2.75,-2.51,4.73,4.73,4.73
26.69,7.38,7.38,2.65,2.65,-2.65,-2.73,-2.57,4.73,4.73,4.73
26.96,7.35,7.36,2.62,2.63,-2.63,-2.71,-2.62,4.72,4.73,4.73
27.23,7.33,7.34,2.61,2.61,-2.61,-2.69,-2.67,4.72,4.72,4.73
27.50,7.31,7.31,2.59,2.59,-2.59,-2.67,-2.72,4.72,4.72,4.73
27.77,7.29,7.29,2.57,2.57,-2.57,-2.64,-2.77,4.72,4.72,4.72
28.05,7.27,7.27,2.55,2.55,-2.55,-2.61,-2.82,4.72,4.72,4.72
28.33,7.25,7.25,2.53,2.53,-2.53,-2.58,-2.86,4.72,4.72,4.72
28.62,7.23,7.24,2.52,2.52,-2.51,-2.55,-2.89,4.72,4.72,4.72
28.90,7.21,7.21,2.50,2.50,-2.49,-2.52,-2.93,4.72,4.72,4.72
29.19,7.19,7.19,2.48,2.48,-2.47,-2.49,-2.96,4.72,4.72,4.71
29.48,7.16,7.16,2.45,2.45,-2.45,-2.45,-2.98,4.71,4.71,4.71
29.78,7.13,7.14,2.43,2.43,-2.43,-2.42,-3.00,4.71,4.71,4.71
30.08,7.10,7.11,2.40,2.40,-2.41,-2.38,-3.02,4.70,4.70,4.71
30.38,7.08,7.08,2.38,2.38,-2.38,-2.35,-3.03,4.70,4.70,4.70
30.68,7.05,7.06,2.35,2.36,-2.36,-2.31,-3.03,4.69,4.69,4.70
30.99,7.03,7.04,2.34,2.34,-2.35,-2.27,-3.03,4.69,4.69,4.70
31.30,7.02,7.02,2.33,2.33,-2.33,-2.24,-3.03,4.70,4.69,4.69
31.61,7.00,7.00,2.31,2.31,-2.31,-2.20,-3.02,4.70,4.69,4.69
31.93,6.97,6.98,2.29,2.29,-2.29,-2.16,-3.00,4.69,4.69,4.69
32.24,6.95,6.96,2.27,2.27,-2.26,-2.13,-2.98,4.69,4.69,4.69
32.57,6.93,6.92,2.25,2.24,-2.24,-2.09,-2.95,4.70,4.69,4.68
32.89,6.88,6.89,2.21,2.21,-2.21,-2.05,-2.91,4.68,4.68,4.68
33.22,6.84,6.85,2.17,2.17,-2.17,-2.02,-2.87,4.67,4.67,4.67
33.55,6.80,6.80,2.13,2.13,-2.14,-1.98,-2.83,4.67,4.67,4.67
33.89,6.76,6.76,2.10,2.10,-2.10,-1.94,-2.78,4.67,4.66,4.67
34.23,6.71,6.72,2.05,2.06,-2.06,-1.91,-2.73,4.66,4.66,4.66
34.57,6.67,6.68,2.02,2.02,-2.02,-1.87,-2.67,4.65,4.66,4.66
34.92,6.63,6.63,1.98,1.98,-1.98,-1.84,-2.61,4.65,4.65,4.65
35.27,6.60,6.59,1.95,1.94,-1.94,-1.80,-2.55,4.65,4.65,4.65
35.62,6.54,6.55,1.90,1.90,-1.91,-1.76,-2.48,4.64,4.64,4.64
35.97,6.50,6.51,1.87,1.87,-1.87,-1.73,-2.41,4.63,4.64,4.64
36.33,6.46,6.46,1.83,1.83,-1.83,-1.69,-2.34,4.63,4.63,4.63
36.70,6.42,6.42,1.80,1.79,-1.79,-1.66,-2.27,4.63,4.63,4.63
37.06,6.37,6.38,1.75,1.75,-1.75,-1.62,-2.20,4.63,4.63,4.62
37.43,6.32,6.33,1.71,1.71,-1.70,-1.59,-2.12,4.62,4.62,4.62
