frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.76,-2.76,-9.58,-9.57,6.00,6.46,2.55,3.24,3.24,6.82
20.20,-2.65,-2.65,-9.46,-9.47,6.00,6.43,2.62,3.35,3.35,6.82
20.40,-2.55,-2.54,-9.36,-9.36,6.00,6.39,2.70,3.45,3.46,6.82
20.61,-2.44,-2.44,-9.26,-9.26,6.00,6.36,2.78,3.56,3.56,6.82
20.81,-2.34,-2.34,-9.15,-9.15,6.00,6.32,2.86,3.66,3.66,6.81
21.02,-2.23,-2.23,-9.04,-9.04,6.00,6.29,2.94,3.77,3.77,6.81
21.23,-2.13,-2.13,-8.94,-8.94,6.00,6.25,3.02,3.87,3.87,6.81
21.44,-2.03,-2.03,-8.84,-8.84,6.00,6.22,3.11,3.97,3.97,6.81
21.66,-1.93,-1.93,-8.74,-8.74,6.00,6.18,3.20,4.07,4.07,6.81
21.87,-1.84,-1.83,-8.65,-8.64,6.00,6.15,3.30,4.16,4.17,6.81
22.09,-1.74,-1.74,-8.55,-8.55,6.00,6.12,3.39,4.26,4.26,6.81
22.31,-1.64,-1.64,-8.45,-8.45,6.00,6.09,3.49,4.36,4.36,6.81
22.54,-1.55,-1.54,-8.36,-8.35,6.00,6.05,3.59,4.45,4.46,6.81
22.76,-1.45,-1.45,-8.25,-8.26,6.00,6.02,3.69,4.55,4.55,6.81
22.99,-1.35,-1.35,-8.15,-8.16,6.00,5.99,3.80,4.65,4.65,6.81
23.22,-1.26,-1.25,-8.06,-8.06,6.00,5.97,3.91,4.74,4.75,6.81
23.45,-1.16,-1.16,-7.96,-7.96,6.00,5.94,4.01,4.84,4.84,6.80
23.69,-1.07,-1.07,-7.87,-7.87,6.00,5.91,4.13,4.93,4.93,6.80
23.92,-0.98,-0.98,-7.78,-7.78,6.00,5.89,4.24,5.02,5.02,6.80
24.16,-0.89,-0.89,-7.69,-7.69,6.00,5.87,4.36,5.11,5.11,6.80
24.40,-0.80,-0.80,-7.60,-7.60,6.00,5.84,4.48,5.20,5.20,6.80
24.65,-0.72,-0.71,-7.52,-7.51,6.00,5.83,4.60,5.28,5.29,6.80
24.89,-0.63,-0.63,-7.42,-7.43,6.00,5.81,4.72,5.37,5.37,6.80
25.14,-0.55,-0.54,-7.34,-7.34,6.00,5.80,4.85,5.45,5.46,6.80
25.39,-0.46,-0.46,-7.25,-7.25,6.00,5.79,4.97,5.54,5.54,6.79
25.65,-0.38,-0.38,-7.17,-7.17,6.00,5.79,5.09,5.62,5.62,6.79
25.91,-0.29,-0.29,-7.08,-7.08,6.00,5.78,5.22,5.71,5.71,6.79
26.16,-0.21,-0.21,-7.00,-7.00,6.00,5.79,5.35,5.79,5.79,6.79
26.43,-0.12,-0.12,-6.91,-6.91,6.00,5.80,5.47,5.88,5.88,6.79
26.69,-0.04,-0.04,-6.82,-6.83,6.00,5.81,5.59,5.96,5.96,6.79
26.96,0.04,0.04,-6.74,-6.74,6.00,5.83,5.71,6.04,6.04,6.79
27.23,0.12,0.12,-6.66,-6.66,6.00,5.87,5.83,6.12,6.12,6.78
27.50,0.20,0.20,-6.58,-6.58,6.00,5.90,5.95,6.20,6.20,6.78
27.77,0.28,0.28,-6.50,-6.50,6.00,5.95,6.06,6.29,6.29,6.78
28.05,0.36,0.36,-6.41,-6.42,6.01,5.99,6.17,6.37,6.37,6.78
28.33,0.44,0.44,-6.33,-6.34,6.01,6.04,6.27,6.46,6.45,6.78
28.62,0.51,0.52,-6.26,-6.26,6.01,6.10,6.36,6.52,6.53,6.77
28.90,0.59,0.59,-6.18,-6.18,6.00,6.14,6.45,6.60,6.60,6.77
29.19,0.67,0.67,-6.10,-6.10,5.99,6.18,6.53,6.66,6.65,6.77
29.48,0.74,0.75,-6.02,-6.02,5.96,6.19,6.60,6.70,6.70,6.77
29.78,0.82,0.82,-5.94,-5.94,5.92,6.19,6.66,6.74,6.74,6.76
30.08,0.89,0.89,-5.87,-5.87,5.87,6.15,6.71,6.76,6.76,6.76
30.38,0.96,0.96,-5.80,-5.80,5.81,6.10,6.75,6.77,6.77,6.76
30.68,1.03,1.03,-5.72,-5.72,5.74,6.01,6.78,6.77,6.77,6.76
30.99,1.10,1.10,-5.65,-5.65,5.66,5.91,6.80,6.76,6.76,6.75
31.30,1.17,1.17,-5.58,-5.58,5.58,5.79,6.80,6.76,6.76,6.75
31.61,1.24,1.24,-5.50,-5.51,5.51,5.66,6.80,6.75,6.75,6.75
