frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.59,6.59,-2.28,-2.28,2.23,1.84,0.34,8.82,8.82,8.87
20.20,6.59,6.59,-2.28,-2.28,2.27,1.81,0.35,8.86,8.86,8.87
20.40,6.59,6.59,-2.28,-2.28,2.29,1.79,0.36,8.88,8.88,8.87
20.61,6.59,6.59,-2.28,-2.28,2.31,1.76,0.37,8.90,8.90,8.87
20.81,6.59,6.59,-2.28,-2.28,2.31,1.74,0.38,8.90,8.90,8.87
21.02,6.59,6.59,-2.28,-2.28,2.31,1.71,0.39,8.90,8.90,8.87
21.23,6.59,6.59,-2.28,-2.27,2.29,1.69,0.41,8.89,8.89,8.87
21.44,6.60,6.60,-2.26,-2.27,2.27,1.66,0.42,8.87,8.87,8.87
21.66,6.61,6.61,-2.25,-2.25,2.25,1.64,0.43,8.86,8.86,8.86
21.87,6.63,6.64,-2.23,-2.23,2.21,1.61,0.45,8.85,8.85,8.86
22.09,6.68,6.68,-2.18,-2.19,2.16,1.59,0.46,8.84,8.84,8.86
22.31,6.74,6.75,-2.12,-2.12,2.09,1.56,0.48,8.83,8.84,8.86
22.54,6.83,6.84,-2.03,-2.03,2.00,1.54,0.49,8.83,8.84,8.86
22.76,6.95,6.94,-1.91,-1.92,1.89,1.51,0.51,8.85,8.84,8.86
22.99,7.06,7.07,-1.80,-1.79,1.78,1.48,0.52,8.84,8.85,8.86
23.22,7.19,7.20,-1.67,-1.66,1.67,1.46,0.54,8.86,8.87,8.86
23.45,7.32,7.32,-1.54,-1.54,1.57,1.43,0.56,8.89,8.88,8.86
23.69,7.43,7.42,-1.43,-1.44,1.48,1.40,0.57,8.91,8.89,8.86
23.92,7.48,7.49,-1.37,-1.36,1.41,1.38,0.59,8.89,8.90,8.86
24.16,7.54,7.54,-1.31,-1.32,1.36,1.35,0.61,8.90,8.89,8.85
24.40,7.56,7.55,-1.29,-1.30,1.32,1.32,0.63,8.88,8.87,8.85
24.65,7.55,7.55,-1.30,-1.30,1.30,1.30,0.65,8.85,8.85,8.85
24.89,7.53,7.55,-1.32,-1.30,1.28,1.27,0.66,8.81,8.83,8.85
25.14,7.55,7.55,-1.30,-1.30,1.26,1.24,0.68,8.81,8.81,8.85
25.39,7.58,7.57,-1.27,-1.27,1.23,1.22,0.70,8.81,8.81,8.85
25.65,7.61,7.62,-1.24,-1.23,1.19,1.19,0.72,8.81,8.81,8.85
25.91,7.67,7.68,-1.17,-1.16,1.15,1.16,0.73,8.82,8.83,8.84
26.16,7.75,7.75,-1.09,-1.09,1.09,1.13,0.75,8.85,8.85,8.84
26.43,7.84,7.82,-1.00,-1.02,1.04,1.11,0.77,8.88,8.87,8.84
26.69,7.88,7.88,-0.96,-0.96,1.00,1.08,0.79,8.88,8.88,8.84
26.96,7.91,7.92,-0.93,-0.92,0.95,1.05,0.80,8.87,8.87,8.84
27.23,7.94,7.93,-0.90,-0.90,0.92,1.02,0.82,8.86,8.85,8.84
27.50,7.94,7.94,-0.89,-0.90,0.89,0.99,0.83,8.83,8.83,8.83
27.77,7.94,7.94,-0.89,-0.89,0.87,0.97,0.85,8.81,8.81,8.83
28.05,7.94,7.95,-0.89,-0.88,0.85,0.94,0.86,8.79,8.80,8.83
28.33,7.98,7.98,-0.85,-0.84,0.83,0.91,0.87,8.81,8.81,8.83
28.62,8.03,8.02,-0.80,-0.80,0.80,0.88,0.88,8.83,8.82,8.83
28.90,8.07,8.07,-0.75,-0.76,0.76,0.85,0.89,8.84,8.83,8.82
29.19,8.10,8.11,-0.72,-0.72,0.73,0.82,0.90,8.83,8.83,8.82
29.48,8.14,8.14,-0.68,-0.68,0.68,0.80,0.90,8.83,8.83,8.82
29.78,8.18,8.18,-0.64,-0.64,0.64,0.77,0.91,8.82,8.82,8.82
30.08,8.22,8.22,-0.59,-0.59,0.59,0.74,0.91,8.81,8.81,8.81
30.38,8.26,8.26,-0.55,-0.55,0.54,0.71,0.91,8.80,8.80,8.81
30.68,8.30,8.30,-0.51,-0.50,0.50,0.68,0.91,8.80,8.80,8.81
30.99,8.35,8.35,-0.45,-0.45,0.45,0.65,0.91,8.80,8.80,8.81
31.30,8.40,8.40,-0.40,-0.40,0.40,0.62,0.90,8.80,8.80,8.80
31.61,8.45,8.45,-0.35,-0.35,0.36,0.60,0.90,8.81,8.81,8.80
31.93,8.49,8.49,-0.31,-0.31,0.32,0.57,0.89,8.81,8.81,8.80
32.24,8.52,8.52,-0.27,-0.27,0.28,0.54,0.88,8.80,8.80,8.79
32.57,8.55,8.55,-0.24,-0.24,0.25,0.51,0.86,8.80,8.80,8.79
32.89,8.57,8.57,-0.21,-0.21,0.22,0.48,0.85,8.79,8.79,8.79
33.22,8.59,8.59,-0.19,-0.19,0.19,0.45,0.83,8.78,8.78,8.78
33.55,8.60,8.60,-0.18,-0.17,0.17,0.42,0.81,8.77,8.77,8.78
33.89,8.62,8.62,-0.15,-0.15,0.14,0.40,0.79,8.76,8.76,8.77
34.23,8.64,8.64,-0.13,-0.13,0.12,0.37,0.77,8.76,8.76,8.77
34.57,8.67,8.67,-0.09,-0.09,0.09,0.34,0.75,8.76,8.76,8.77
34.92,8.70,8.70,-0.06,-0.06,0.06,0.31,0.73,8.76,8.76,8.76
35.27,8.73,8.73,-0.02,-0.02,0.03,0.28,0.70,8.76,8.76,8.76
35.62,8.76,8.76,0.01,0.00,0.00,0.25,0.68,8.77,8.76,8.75
35.97,8.77,8.78,0.03,0.03,-0.02,0.23,0.65,8.75,8.75,8.75
