frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.04,13.04,3.48,3.48,-3.49,-3.96,-1.90,9.55,9.55,9.56
20.20,13.07,13.07,3.51,3.51,-3.51,-3.96,-1.96,9.56,9.56,9.56
20.40,13.10,13.10,3.54,3.54,-3.54,-3.97,-2.01,9.56,9.56,9.56
20.61,13.13,13.13,3.57,3.57,-3.57,-3.97,-2.07,9.56,9.56,9.55
20.81,13.15,13.15,3.60,3.60,-3.60,-3.97,-2.13,9.55,9.56,9.55
21.02,13.18,13.18,3.63,3.63,-3.62,-3.97,-2.19,9.55,9.55,9.55
21.23,13.21,13.20,3.66,3.65,-3.65,-3.98,-2.26,9.56,9.55,9.55
21.44,13.23,13.23,3.68,3.68,-3.68,-3.98,-2.32,9.55,9.55,9.55
21.66,13.26,13.26,3.71,3.71,-3.71,-3.98,-2.39,9.55,9.55,9.55
21.87,13.29,13.29,3.74,3.74,-3.74,-3.98,-2.46,9.55,9.55,9.55
22.09,13.32,13.32,3.77,3.77,-3.77,-3.99,-2.53,9.55,9.55,9.55
22.31,13.35,13.35,3.80,3.80,-3.80,-3.99,-2.60,9.55,9.55,9.55
22.54,13.38,13.38,3.83,3.83,-3.83,-3.99,-2.68,9.55,9.55,9.55
22.76,13.41,13.41,3.86,3.86,-3.86,-3.99,-2.75,9.55,9.55,9.55
22.99,13.44,13.44,3.89,3.89,-3.89,-4.00,-2.83,9.55,9.55,9.55
23.22,13.47,13.47,3.92,3.92,-3.92,-4.00,-2.91,9.55,9.54,9.54
23.45,13.49,13.49,3.95,3.95,-3.95,-4.00,-2.99,9.54,9.54,9.54
23.69,13.52,13.52,3.98,3.98,-3.98,-4.00,-3.08,9.54,9.54,9.54
23.92,13.55,13.55,4.01,4.00,-4.00,-4.01,-3.16,9.55,9.54,9.54
24.16,13.57,13.57,4.03,4.03,-4.03,-4.01,-3.25,9.54,9.54,9.54
24.40,13.59,13.59,4.05,4.05,-4.05,-4.01,-3.34,9.54,9.54,9.54
24.65,13.61,13.61,4.07,4.07,-4.07,-4.02,-3.43,9.54,9.54,9.54
24.89,13.63,13.63,4.09,4.09,-4.09,-4.02,-3.52,9.53,9.54,9.54
25.14,13.65,13.65,4.11,4.11,-4.11,-4.02,-3.61,9.54,9.53,9.53
25.39,13.67,13.67,4.14,4.13,-4.13,-4.03,-3.70,9.54,9.54,9.53
25.65,13.68,13.68,4.15,4.15,-4.15,-4.03,-3.79,9.53,9.53,9.53
25.91,13.70,13.70,4.17,4.17,-4.16,-4.03,-3.89,9.54,9.53,9.53
26.16,13.71,13.71,4.18,4.18,-4.18,-4.04,-3.98,9.53,9.53,9.53
26.43,13.72,13.72,4.19,4.19,-4.19,-4.04,-4.07,9.53,9.53,9.53
26.69,13.73,13.73,4.20,4.20,-4.21,-4.04,-4.16,9.52,9.52,9.53
26.96,13.74,13.74,4.22,4.22,-4.22,-4.05,-4.25,9.52,9.52,9.52
27.23,13.76,13.75,4.24,4.23,-4.23,-4.05,-4.34,9.52,9.52,9.52
27.50,13.77,13.77,4.25,4.25,-4.25,-4.05,-4.43,9.52,9.52,9.52
27.77,13.78,13.78,4.26,4.26,-4.27,-4.06,-4.51,9.51,9.52,9.52
28.05,13.80,13.80,4.28,4.28,-4.28,-4.06,-4.59,9.52,9.51,9.52
28.33,13.81,13.81,4.30,4.30,-4.30,-4.06,-4.67,9.51,9.51,9.51
28.62,13.83,13.83,4.32,4.32,-4.32,-4.07,-4.74,9.51,9.51,9.51
28.90,13.85,13.85,4.34,4.34,-4.33,-4.07,-4.81,9.51,9.51,9.51
29.19,13.86,13.86,4.35,4.35,-4.35,-4.08,-4.88,9.51,9.51,9.51
29.48,13.87,13.87,4.36,4.37,-4.36,-4.08,-4.93,9.51,9.51,9.51
29.78,13.88,13.88,4.38,4.38,-4.37,-4.08,-4.99,9.51,9.51,9.50
30.08,13.89,13.89,4.39,4.39,-4.38,-4.09,-5.03,9.51,9.50,9.50
30.38,13.89,13.89,4.39,4.39,-4.39,-4.09,-5.07,9.50,9.50,9.50
30.68,13.89,13.89,4.39,4.40,-4.40,-4.10,-5.11,9.49,9.49,9.49
30.99,13.89,13.89,4.40,4.40,-4.40,-4.10,-5.14,9.48,9.49,9.49
31.30,13.90,13.90,4.41,4.41,-4.41,-4.11,-5.15,9.49,9.49,9.49
31.61,13.90,13.90,4.41,4.42,-4.42,-4.11,-5.17,9.48,9.48,9.49
31.93,13.91,13.91,4.43,4.43,-4.43,-4.11,-5.17,9.48,9.48,9.48
32.24,13.91,13.91,4.43,4.43,-4.43,-4.12,-5.18,9.48,9.48,9.48
32.57,13.92,13.92,4.44,4.44,-4.44,-4.12,-5.17,9.48,9.48,9.48
32.89,13.92,13.92,4.45,4.45,-4.45,-4.13,-5.16,9.47,9.47,9.47
33.22,13.92,13.92,4.45,4.46,-4.45,-4.13,-5.14,9.47,9.47,9.47
33.55,13.93,13.92,4.47,4.46,-4.46,-4.14,-5.12,9.47,9.46,9.46
33.89,13.92,13.92,4.46,4.46,-4.46,-4.14,-5.09,9.46,9.46,9.46
34.23,13.92,13.92,4.46,4.46,-4.46,-4.15,-5.06,9.46,9.46,9.46
34.57,13.92,13.91,4.47,4.46,-4.47,-4.15,-5.02,9.45,9.45,9.45
34.92,13.91,13.91,4.46,4.47,-4.47,-4.16,-4.98,9.44,9.45,9.45
35.27,13.91,13.91,4.47,4.47,-4.47,-4.16,-4.94,9.44,9.44,9.44
35.62,13.91,13.90,4.47,4.47,-4.47,-4.17,-4.89,9.44,9.43,9.44
35.97,13.90,13.90,4.47,4.47,-4.47,-4.17,-4.84,9.43,9.43,9.43
36.33,13.90,13.90,4.47,4.47,-4.47,-4.18,-4.80,9.43,9.43,9.43
36.70,13.90,13.90,4.48,4.47,-4.47,-4.18,-4.75,9.42,9.42,9.42
37.06,13.89,13.89,4.47,4.48,-4.48,-4.19,-4.70,9.41,9.42,9.42
37.43,13.89,13.89,4.48,4.48,-4.47,-4.19,-4.64,9.41,9.41,9.41
37.81,13.88,13.88,4.48,4.48,-4.47,-4.20,-4.59,9.41,9.40,9.40
38.19,13.87,13.87,4.47,4.47,-4.47,-4.21,-4.55,9.40,9.40,9.40
38.57,13.86,13.86,4.47,4.47,-4.47,-4.21,-4.50,9.39,9.39,9.39
38.95,13.85,13.85,4.47,4.47,-4.47,-4.22,-4.45,9.38,9.38,9.38
39.34,13.84,13.84,4.46,4.46,-4.46,-4.22,-4.40,9.38,9.38,9.38
39.74,13.83,13.83,4.46,4.46,-4.46,-4.23,-4.36,9.37,9.37,9.37
40.14,13.82,13.82,4.46,4.46,-4.46,-4.23,-4.32,9.36,9.36,9.36
40.54,13.81,13.81,4.46,4.45,-4.45,-4.24,-4.28,9.36,9.36,9.35
40.94,13.80,13.80,4.45,4.45,-4.45,-4.25,-4.24,9.35,9.35,9.35
41.35,13.78,13.78,4.44,4.45,-4.45,-4.25,-4.21,9.33,9.34,9.34
41.76,13.77,13.77,4.44,4.44,-4.44,-4.26,-4.18,9.33,9.33,9.33
42.18,13.76,13.76,4.44,4.44,-4.44,-4.26,-4.15,9.32,9.32,9.32
42.60,13.75,13.75,4.44,4.44,-4.44,-4.27,-4.12,9.31,9.31,9.31
43.03,13.73,13.73,4.43,4.43,-4.43,-4.28,-4.10,9.30,9.30,9.30
43.46,13.72,13.72,4.43,4.43,-4.42,-4.28,-4.08,9.30,9.29,9.29
43.90,13.70,13.70,4.42,4.42,-4.42,-4.29,-4.06,9.28,9.28,9.28
44.33,13.68,13.68,4.41,4.41,-4.41,-4.29,-4.05,9.27,9.27,9.27
44.78,13.66,13.66,4.40,4.40,-4.40,-4.30,-4.04,9.26,9.26,9.26
45.23,13.64,13.64,4.39,4.39,-4.40,-4.31,-4.03,9.24,9.24,9.25
45.68,13.62,13.62,4.39,4.39,-4.39,-4.31,-4.02,9.23,9.23,9.23
46.13,13.60,13.60,4.38,4.38,-4.38,-4.32,-4.02,9.22,9.22,9.22
46.60,13.59,13.59,4.38,4.38,-4.38,-4.33,-4.02,9.21,9.21,9.21
