frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.70,8.70,0.88,0.88,-0.87,-1.99,-0.95,7.83,7.83,7.82
20.20,8.74,8.74,0.92,0.92,-0.92,-2.00,-0.98,7.82,7.82,7.82
20.40,8.78,8.78,0.96,0.96,-0.96,-2.00,-1.01,7.82,7.82,7.82
20.61,8.82,8.82,1.00,1.00,-1.00,-2.00,-1.04,7.81,7.82,7.82
20.81,8.87,8.86,1.05,1.05,-1.05,-2.01,-1.07,7.82,7.82,7.82
21.02,8.91,8.91,1.09,1.09,-1.09,-2.01,-1.10,7.82,7.81,7.82
21.23,8.95,8.95,1.13,1.14,-1.14,-2.01,-1.13,7.81,7.82,7.82
21.44,9.00,9.00,1.18,1.18,-1.18,-2.02,-1.17,7.82,7.81,7.82
21.66,9.05,9.05,1.23,1.23,-1.23,-2.02,-1.20,7.82,7.81,7.82
21.87,9.09,9.09,1.27,1.28,-1.28,-2.02,-1.24,7.81,7.82,7.82
22.09,9.14,9.14,1.33,1.33,-1.32,-2.03,-1.27,7.82,7.82,7.81
22.31,9.19,9.19,1.38,1.37,-1.37,-2.03,-1.31,7.82,7.82,7.81
22.54,9.23,9.23,1.42,1.42,-1.41,-2.03,-1.35,7.81,7.82,7.81
22.76,9.27,9.27,1.46,1.46,-1.46,-2.04,-1.38,7.81,7.81,7.81
22.99,9.31,9.31,1.50,1.50,-1.50,-2.04,-1.42,7.81,7.81,7.81
23.22,9.35,9.35,1.54,1.54,-1.54,-2.05,-1.47,7.81,7.81,7.81
23.45,9.39,9.39,1.58,1.58,-1.58,-2.05,-1.51,7.81,7.81,7.81
23.69,9.43,9.43,1.62,1.62,-1.62,-2.06,-1.55,7.81,7.81,7.81
23.92,9.47,9.47,1.66,1.66,-1.66,-2.06,-1.59,7.81,7.81,7.81
24.16,9.50,9.50,1.69,1.70,-1.70,-2.06,-1.64,7.80,7.81,7.81
24.40,9.54,9.54,1.74,1.73,-1.73,-2.07,-1.68,7.81,7.80,7.80
24.65,9.57,9.57,1.77,1.77,-1.77,-2.07,-1.73,7.80,7.80,7.80
24.89,9.61,9.61,1.81,1.81,-1.80,-2.08,-1.77,7.81,7.80,7.80
25.14,9.64,9.64,1.84,1.84,-1.84,-2.08,-1.82,7.80,7.80,7.80
25.39,9.67,9.67,1.87,1.87,-1.87,-2.09,-1.86,7.80,7.80,7.80
25.65,9.70,9.70,1.90,1.90,-1.90,-2.10,-1.91,7.80,7.80,7.80
25.91,9.73,9.73,1.93,1.93,-1.93,-2.10,-1.96,7.79,7.79,7.80
26.16,9.76,9.76,1.97,1.97,-1.97,-2.11,-2.00,7.79,7.79,7.79
26.43,9.79,9.79,2.00,2.00,-2.00,-2.11,-2.05,7.79,7.79,7.79
26.69,9.82,9.82,2.03,2.03,-2.02,-2.12,-2.10,7.80,7.79,7.79
26.96,9.84,9.84,2.05,2.05,-2.05,-2.13,-2.14,7.79,7.79,7.79
27.23,9.87,9.87,2.08,2.08,-2.08,-2.13,-2.18,7.79,7.79,7.79
27.50,9.89,9.89,2.10,2.11,-2.11,-2.14,-2.23,7.78,7.79,7.79
27.77,9.92,9.92,2.14,2.13,-2.13,-2.15,-2.27,7.79,7.78,7.78
28.05,9.94,9.94,2.16,2.16,-2.16,-2.15,-2.31,7.78,7.78,7.78
28.33,9.96,9.96,2.18,2.18,-2.18,-2.16,-2.35,7.78,7.78,7.78
28.62,9.98,9.98,2.20,2.21,-2.21,-2.17,-2.39,7.77,7.78,7.78
28.90,10.01,10.01,2.23,2.23,-2.23,-2.18,-2.42,7.78,7.78,7.78
29.19,10.03,10.03,2.26,2.25,-2.25,-2.19,-2.45,7.78,7.77,7.77
29.48,10.04,10.04,2.27,2.27,-2.27,-2.20,-2.48,7.77,7.77,7.77
29.78,10.06,10.06,2.29,2.29,-2.29,-2.20,-2.51,7.76,7.76,7.77
30.08,10.08,10.08,2.31,2.31,-2.32,-2.21,-2.53,7.76,7.76,7.77
30.38,10.10,10.10,2.34,2.34,-2.34,-2.22,-2.56,7.76,7.76,7.76
30.68,10.12,10.12,2.36,2.36,-2.35,-2.23,-2.57,7.77,7.76,7.76
30.99,10.13,10.13,2.37,2.37,-2.37,-2.24,-2.59,7.76,7.76,7.76
31.30,10.14,10.14,2.39,2.39,-2.39,-2.25,-2.60,7.75,7.75,7.75
31.61,10.16,10.16,2.41,2.41,-2.41,-2.27,-2.61,7.75,7.75,7.75
31.93,10.17,10.17,2.42,2.42,-2.42,-2.28,-2.61,7.75,7.75,7.75
32.24,10.18,10.18,2.44,2.44,-2.44,-2.29,-2.62,7.74,7.74,7.74
32.57,10.19,10.19,2.45,2.45,-2.45,-2.30,-2.62,7.74,7.74,7.74
32.89,10.20,10.20,2.46,2.46,-2.46,-2.31,-2.62,7.74,7.74,7.74
33.22,10.21,10.21,2.48,2.48,-2.48,-2.32,-2.61,7.73,7.73,7.73
33.55,10.22,10.22,2.49,2.49,-2.49,-2.34,-2.60,7.73,7.73,7.73
33.89,10.23,10.23,2.50,2.50,-2.50,-2.35,-2.59,7.73,7.72,7.72
34.23,10.23,10.23,2.51,2.51,-2.51,-2.36,-2.58,7.72,7.72,7.72
34.57,10.24,10.24,2.52,2.52,-2.52,-2.38,-2.56,7.72,7.72,7.72
34.92,10.25,10.24,2.54,2.53,-2.53,-2.39,-2.55,7.72,7.71,7.71
35.27,10.25,10.25,2.54,2.54,-2.54,-2.41,-2.53,7.71,7.71,7.71
35.62,10.25,10.25,2.55,2.55,-2.55,-2.42,-2.51,7.70,7.70,7.70
35.97,10.26,10.26,2.56,2.56,-2.56,-2.43,-2.49,7.70,7.70,7.70
36.33,10.26,10.26,2.57,2.57,-2.57,-2.45,-2.47,7.69,7.69,7.69
36.70,10.26,10.26,2.57,2.57,-2.57,-2.46,-2.45,7.69,7.69,7.69
37.06,10.26,10.26,2.58,2.58,-2.58,-2.48,-2.43,7.68,7.68,7.68
37.43,10.26,10.26,2.58,2.58,-2.59,-2.49,-2.41,7.67,7.67,7.67
37.81,10.26,10.26,2.59,2.59,-2.59,-2.50,-2.39,7.67,7.67,7.67
38.19,10.26,10.26,2.60,2.60,-2.60,-2.52,-2.37,7.66,7.66,7.66
38.57,10.26,10.26,2.60,2.60,-2.60,-2.53,-2.35,7.66,7.66,7.66
38.95,10.26,10.26,2.61,2.61,-2.61,-2.54,-2.33,7.65,7.65,7.65
39.34,10.25,10.25,2.61,2.61,-2.61,-2.55,-2.31,7.64,7.64,7.64
39.74,10.25,10.25,2.61,2.62,-2.61,-2.56,-2.30,7.63,7.64,7.63
40.14,10.25,10.24,2.62,2.62,-2.62,-2.57,-2.28,7.63,7.63,7.63
40.54,10.24,10.24,2.62,2.62,-2.62,-2.58,-2.26,7.62,7.62,7.62
40.94,10.23,10.23,2.62,2.62,-2.62,-2.59,-2.25,7.61,7.61,7.61
41.35,10.23,10.23,2.63,2.62,-2.62,-2.60,-2.24,7.61,7.60,7.60
41.76,10.22,10.22,2.63,2.62,-2.62,-2.60,-2.23,7.59,7.59,7.59
42.18,10.21,10.21,2.62,2.63,-2.62,-2.61,-2.22,7.58,7.59,7.58
42.60,10.20,10.20,2.62,2.62,-2.62,-2.61,-2.21,7.57,7.57,7.58
43.03,10.19,10.19,2.62,2.62,-2.62,-2.62,-2.20,7.56,7.56,7.57
43.46,10.18,10.18,2.62,2.62,-2.62,-2.62,-2.20,7.56,7.56,7.56
43.90,10.17,10.17,2.62,2.62,-2.62,-2.62,-2.20,7.55,7.55,7.55
44.33,10.16,10.16,2.62,2.62,-2.62,-2.62,-2.19,7.54,7.53,7.53
44.78,10.14,10.14,2.62,2.62,-2.62,-2.62,-2.20,7.52,7.52,7.52
45.23,10.13,10.13,2.62,2.62,-2.62,-2.62,-2.20,7.51,7.51,7.51
45.68,10.12,10.12,2.62,2.62,-2.62,-2.62,-2.20,7.50,7.50,7.50
46.13,10.10,10.10,2.61,2.61,-2.61,-2.61,-2.21,7.48,7.49,7.49
46.60,10.09,10.09,2.62,2.61,-2.61,-2.61,-2.21,7.48,7.47,7.47
47.06,10.07,10.07,2.61,2.61,-2.61,-2.61,-2.22,7.46,7.46,7.46
47.53,10.06,10.06,2.61,2.61,-2.61,-2.61,-2.23,7.45,7.45,7.45
48.01,10.04,10.04,2.61,2.60,-2.61,-2.60,-2.24,7.43,7.43,7.43
48.49,10.02,10.02,2.60,2.60,-2.60,-2.60,-2.26,7.41,7.42,7.42
48.97,10.00,10.00,2.60,2.60,-2.60,-2.60,-2.27,7.40,7.40,7.40
49.46,9.99,9.99,2.60,2.60,-2.60,-2.59,-2.29,7.39,7.39,7.39
49.96,9.97,9.97,2.60,2.60,-2.60,-2.59,-2.31,7.37,7.37,7.37
50.46,9.95,9.95,2.60,2.60,-2.59,-2.59,-2.32,7.36,7.36,7.35
50.96,9.93,9.93,2.59,2.59,-2.59,-2.58,-2.34,7.34,7.34,7.34
51.47,9.90,9.90,2.58,2.58,-2.59,-2.58,-2.36,7.31,7.32,7.32
51.99,9.88,9.88,2.58,2.58,-2.58,-2.58,-2.38,7.30,7.30,7.30
52.51,9.86,9.86,2.58,2.58,-2.58,-2.57,-2.41,7.28,7.28,7.28
53.03,9.84,9.84,2.58,2.58,-2.58,-2.57,-2.43,7.26,7.26,7.26
53.56,9.81,9.81,2.57,2.57,-2.57,-2.57,-2.45,7.24,7.24,7.24
54.10,9.79,9.79,2.57,2.57,-2.57,-2.57,-2.47,7.22,7.22,7.22
54.64,9.76,9.76,2.56,2.56,-2.57,-2.56,-2.49,7.19,7.19,7.20
55.18,9.74,9.74,2.57,2.56,-2.56,-2.56,-2.52,7.18,7.17,7.17
55.74,9.71,9.71,2.56,2.56,-2.56,-2.56,-2.54,7.15,7.15,7.15
56.29,9.69,9.69,2.56,2.56,-2.56,-2.56,-2.56,7.13,7.13,7.13
56.86,9.66,9.66,2.56,2.56,-2.56,-2.56,-2.58,7.10,7.10,7.10
57.42,9.63,9.63,2.55,2.55,-2.56,-2.56,-2.60,7.07,7.07,7.08
58.00,9.60,9.60,2.55,2.55,-2.56,-2.56,-2.62,7.04,7.05,7.05
58.58,9.58,9.58,2.56,2.55,-2.55,-2.56,-2.64,7.03,7.02,7.02
59.16,9.55,9.55,2.55,2.56,-2.55,-2.55,-2.65,7.00,7.00,6.99
59.76,9.52,9.52,2.55,2.55,-2.55,-2.55,-2.67,6.97,6.97,6.97
60.35,9.49,9.49,2.55,2.55,-2.55,-2.55,-2.68,6.94,6.94,6.94
60.96,9.45,9.45,2.54,2.55,-2.55,-2.55,-2.69,6.90,6.90,6.90
61.57,9.42,9.42,2.55,2.55,-2.55,-2.55,-2.70,6.87,6.87,6.87
