frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.92,5.92,-0.20,-0.20,0.20,-0.60,-0.29,6.12,6.12,6.12
20.20,5.95,5.95,-0.17,-0.17,0.17,-0.60,-0.30,6.11,6.12,6.12
20.40,5.99,5.99,-0.13,-0.13,0.13,-0.60,-0.31,6.12,6.12,6.12
20.61,6.02,6.02,-0.10,-0.10,0.10,-0.60,-0.32,6.11,6.12,6.12
20.81,6.06,6.05,-0.06,-0.06,0.06,-0.60,-0.32,6.12,6.11,6.12
21.02,6.09,6.09,-0.03,-0.03,0.03,-0.60,-0.33,6.11,6.11,6.11
21.23,6.12,6.12,0.00,0.01,-0.01,-0.61,-0.34,6.11,6.11,6.11
21.44,6.16,6.15,0.04,0.04,-0.04,-0.61,-0.35,6.12,6.11,6.11
21.66,6.19,6.19,0.07,0.07,-0.07,-0.61,-0.36,6.11,6.11,6.11
21.87,6.22,6.22,0.11,0.11,-0.11,-0.61,-0.37,6.11,6.11,6.11
22.09,6.25,6.25,0.14,0.14,-0.14,-0.61,-0.39,6.11,6.11,6.11
22.31,6.28,6.28,0.17,0.17,-0.17,-0.61,-0.40,6.11,6.11,6.11
22.54,6.31,6.31,0.20,0.20,-0.20,-0.62,-0.41,6.11,6.11,6.11
22.76,6.34,6.34,0.23,0.23,-0.23,-0.62,-0.42,6.11,6.11,6.11
22.99,6.37,6.37,0.26,0.26,-0.26,-0.62,-0.43,6.11,6.11,6.11
23.22,6.40,6.40,0.29,0.29,-0.29,-0.62,-0.44,6.11,6.11,6.11
23.45,6.42,6.42,0.31,0.32,-0.32,-0.62,-0.46,6.10,6.11,6.10
23.69,6.45,6.45,0.34,0.34,-0.34,-0.63,-0.47,6.11,6.10,6.10
23.92,6.47,6.47,0.37,0.37,-0.37,-0.63,-0.48,6.10,6.10,6.10
24.16,6.50,6.49,0.40,0.39,-0.39,-0.63,-0.50,6.10,6.10,6.10
24.40,6.52,6.52,0.42,0.42,-0.42,-0.63,-0.51,6.10,6.10,6.10
24.65,6.54,6.54,0.44,0.44,-0.44,-0.64,-0.52,6.09,6.10,6.10
24.89,6.57,6.56,0.47,0.47,-0.47,-0.64,-0.54,6.10,6.10,6.10
25.14,6.59,6.59,0.49,0.49,-0.49,-0.64,-0.55,6.10,6.10,6.10
25.39,6.61,6.61,0.51,0.51,-0.51,-0.64,-0.56,6.09,6.10,6.10
25.65,6.63,6.63,0.53,0.53,-0.54,-0.65,-0.58,6.09,6.09,6.09
25.91,6.65,6.65,0.56,0.56,-0.56,-0.65,-0.59,6.09,6.09,6.09
26.16,6.67,6.67,0.58,0.58,-0.58,-0.65,-0.61,6.09,6.09,6.09
26.43,6.69,6.69,0.60,0.60,-0.60,-0.66,-0.62,6.09,6.09,6.09
26.69,6.71,6.71,0.62,0.62,-0.62,-0.66,-0.63,6.09,6.09,6.09
26.96,6.72,6.72,0.63,0.63,-0.63,-0.66,-0.65,6.08,6.09,6.09
27.23,6.74,6.74,0.65,0.65,-0.65,-0.67,-0.66,6.09,6.08,6.08
27.50,6.75,6.75,0.67,0.67,-0.67,-0.67,-0.67,6.08,6.08,6.08
27.77,6.77,6.76,0.69,0.68,-0.69,-0.68,-0.69,6.08,6.08,6.08
28.05,6.78,6.78,0.70,0.70,-0.70,-0.68,-0.70,6.08,6.08,6.08
28.33,6.79,6.79,0.71,0.72,-0.72,-0.68,-0.71,6.07,6.08,6.08
28.62,6.81,6.80,0.73,0.73,-0.73,-0.69,-0.72,6.08,6.07,6.07
28.90,6.82,6.82,0.75,0.75,-0.75,-0.69,-0.73,6.07,6.07,6.07
29.19,6.83,6.83,0.76,0.76,-0.76,-0.70,-0.74,6.07,6.07,6.07
29.48,6.84,6.84,0.77,0.77,-0.77,-0.70,-0.75,6.07,6.07,6.07
29.78,6.85,6.85,0.78,0.78,-0.78,-0.71,-0.76,6.06,6.06,6.06
30.08,6.86,6.86,0.80,0.80,-0.80,-0.72,-0.77,6.06,6.06,6.06
30.38,6.87,6.87,0.81,0.81,-0.81,-0.72,-0.77,6.06,6.06,6.06
30.68,6.88,6.87,0.82,0.82,-0.82,-0.73,-0.78,6.06,6.06,6.06
30.99,6.88,6.88,0.82,0.83,-0.83,-0.73,-0.78,6.05,6.05,6.05
31.30,6.89,6.89,0.84,0.84,-0.84,-0.74,-0.79,6.05,6.05,6.05
31.61,6.90,6.89,0.85,0.85,-0.85,-0.75,-0.79,6.05,6.05,6.05
31.93,6.90,6.90,0.85,0.86,-0.86,-0.75,-0.79,6.04,6.04,6.04
32.24,6.91,6.90,0.87,0.86,-0.86,-0.76,-0.79,6.04,6.04,6.04
32.57,6.91,6.91,0.87,0.87,-0.87,-0.77,-0.79,6.04,6.04,6.04
32.89,6.91,6.91,0.87,0.88,-0.88,-0.77,-0.79,6.03,6.03,6.03
33.22,6.92,6.91,0.89,0.89,-0.89,-0.78,-0.79,6.03,6.03,6.03
33.55,6.92,6.92,0.89,0.89,-0.89,-0.79,-0.79,6.03,6.03,6.03
33.89,6.92,6.92,0.90,0.90,-0.90,-0.80,-0.78,6.02,6.02,6.02
34.23,6.92,6.92,0.90,0.90,-0.90,-0.80,-0.78,6.02,6.02,6.02
34.57,6.92,6.92,0.91,0.91,-0.91,-0.81,-0.78,6.01,6.01,6.01
34.92,6.92,6.92,0.91,0.91,-0.91,-0.82,-0.77,6.01,6.01,6.01
35.27,6.92,6.92,0.91,0.92,-0.91,-0.82,-0.77,6.00,6.00,6.00
35.62,6.92,6.92,0.92,0.92,-0.92,-0.83,-0.76,6.00,6.00,6.00
35.97,6.92,6.92,0.92,0.92,-0.92,-0.83,-0.75,6.00,6.00,5.99
36.33,6.91,6.91,0.92,0.92,-0.92,-0.84,-0.75,5.99,5.99,5.99
36.70,6.91,6.91,0.93,0.92,-0.92,-0.84,-0.74,5.98,5.98,5.98
37.06,6.90,6.90,0.92,0.92,-0.92,-0.85,-0.74,5.97,5.98,5.98
37.43,6.90,6.89,0.93,0.92,-0.92,-0.85,-0.73,5.97,5.97,5.97
37.81,6.89,6.89,0.92,0.92,-0.92,-0.85,-0.72,5.96,5.96,5.96
38.19,6.88,6.88,0.92,0.92,-0.92,-0.86,-0.72,5.95,5.96,5.96
38.57,6.88,6.87,0.93,0.92,-0.92,-0.86,-0.71,5.96,5.95,5.95
38.95,6.87,6.87,0.92,0.92,-0.92,-0.86,-0.71,5.95,5.95,5.95
39.34,6.86,6.86,0.92,0.92,-0.92,-0.86,-0.70,5.94,5.94,5.94
39.74,6.85,6.85,0.92,0.92,-0.92,-0.86,-0.69,5.93,5.93,5.93
40.14,6.84,6.84,0.91,0.91,-0.92,-0.86,-0.69,5.92,5.92,5.92
40.54,6.83,6.83,0.91,0.91,-0.91,-0.86,-0.68,5.92,5.92,5.92
40.94,6.82,6.82,0.91,0.91,-0.91,-0.85,-0.68,5.91,5.91,5.91
41.35,6.81,6.80,0.91,0.91,-0.91,-0.85,-0.68,5.90,5.90,5.90
41.76,6.79,6.79,0.90,0.90,-0.90,-0.85,-0.67,5.89,5.89,5.89
42.18,6.78,6.78,0.90,0.90,-0.90,-0.85,-0.67,5.88,5.88,5.88
42.60,6.77,6.76,0.90,0.89,-0.89,-0.84,-0.67,5.87,5.87,5.87
43.03,6.75,6.75,0.89,0.89,-0.89,-0.84,-0.67,5.86,5.86,5.86
