frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.33,2.33,-3.07,-3.07,3.07,2.42,0.57,5.40,5.41,5.40
20.20,2.39,2.39,-3.01,-3.01,3.01,2.39,0.59,5.41,5.40,5.40
20.40,2.44,2.45,-2.96,-2.96,2.96,2.36,0.61,5.40,5.40,5.40
20.61,2.50,2.50,-2.90,-2.90,2.90,2.34,0.63,5.40,5.40,5.40
20.81,2.56,2.56,-2.84,-2.84,2.84,2.31,0.65,5.41,5.40,5.40
21.02,2.61,2.62,-2.79,-2.78,2.79,2.28,0.67,5.40,5.40,5.40
21.23,2.67,2.67,-2.73,-2.73,2.73,2.25,0.69,5.40,5.40,5.40
21.44,2.73,2.73,-2.67,-2.67,2.67,2.22,0.71,5.40,5.40,5.40
21.66,2.78,2.79,-2.62,-2.61,2.61,2.20,0.73,5.40,5.40,5.40
21.87,2.84,2.84,-2.55,-2.56,2.56,2.17,0.75,5.40,5.40,5.40
22.09,2.89,2.90,-2.50,-2.50,2.50,2.14,0.78,5.39,5.40,5.40
22.31,2.95,2.95,-2.44,-2.44,2.44,2.11,0.80,5.40,5.40,5.40
22.54,3.01,3.01,-2.38,-2.39,2.39,2.08,0.82,5.40,5.40,5.40
22.76,3.06,3.07,-2.33,-2.33,2.33,2.05,0.85,5.39,5.40,5.39
22.99,3.12,3.12,-2.27,-2.27,2.28,2.02,0.87,5.40,5.40,5.39
23.22,3.17,3.17,-2.22,-2.22,2.22,1.99,0.90,5.40,5.40,5.39
23.45,3.22,3.22,-2.17,-2.17,2.17,1.97,0.93,5.39,5.39,5.39
23.69,3.27,3.27,-2.12,-2.12,2.12,1.94,0.95,5.39,5.39,5.39
23.92,3.31,3.32,-2.08,-2.07,2.07,1.91,0.98,5.39,5.39,5.39
24.16,3.36,3.36,-2.03,-2.03,2.02,1.88,1.01,5.39,5.39,5.39
24.40,3.41,3.41,-1.97,-1.98,1.98,1.85,1.04,5.39,5.39,5.39
24.65,3.45,3.46,-1.93,-1.93,1.93,1.82,1.07,5.38,5.39,5.39
24.89,3.50,3.50,-1.88,-1.88,1.88,1.79,1.10,5.39,5.38,5.38
