frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.40,1.40,-5.22,-5.22,5.22,5.09,1.69,6.61,6.61,6.61
20.20,1.45,1.45,-5.17,-5.17,5.17,5.05,1.74,6.61,6.61,6.61
20.40,1.50,1.50,-5.12,-5.11,5.12,5.01,1.79,6.61,6.61,6.61
20.61,1.55,1.55,-5.07,-5.07,5.07,4.97,1.84,6.61,6.61,6.61
20.81,1.60,1.59,-5.01,-5.02,5.02,4.93,1.90,6.62,6.61,6.61
21.02,1.64,1.64,-4.97,-4.97,4.97,4.89,1.95,6.61,6.61,6.61
21.23,1.69,1.69,-4.92,-4.92,4.92,4.85,2.01,6.61,6.61,6.61
21.44,1.74,1.74,-4.87,-4.87,4.87,4.81,2.07,6.61,6.61,6.61
21.66,1.79,1.79,-4.82,-4.82,4.82,4.77,2.13,6.61,6.61,6.61
21.87,1.84,1.83,-4.77,-4.77,4.77,4.73,2.19,6.61,6.61,6.61
22.09,1.88,1.88,-4.73,-4.73,4.73,4.69,2.26,6.60,6.61,6.61
22.31,1.93,1.93,-4.68,-4.68,4.68,4.65,2.33,6.61,6.61,6.61
22.54,1.98,1.97,-4.63,-4.63,4.63,4.61,2.39,6.61,6.61,6.61
22.76,2.02,2.02,-4.59,-4.58,4.58,4.57,2.46,6.60,6.60,6.60
22.99,2.07,2.07,-4.54,-4.54,4.54,4.53,2.54,6.61,6.60,6.60
23.22,2.11,2.11,-4.50,-4.49,4.49,4.49,2.61,6.60,6.60,6.60
23.45,2.16,2.15,-4.44,-4.45,4.45,4.45,2.68,6.60,6.60,6.60
23.69,2.20,2.20,-4.40,-4.40,4.40,4.42,2.76,6.60,6.60,6.60
23.92,2.24,2.24,-4.36,-4.36,4.36,4.38,2.84,6.60,6.60,6.60
24.16,2.29,2.28,-4.31,-4.31,4.31,4.34,2.92,6.60,6.60,6.60
24.40,2.33,2.33,-4.27,-4.27,4.27,4.30,3.00,6.60,6.60,6.60
24.65,2.37,2.37,-4.23,-4.23,4.23,4.26,3.08,6.59,6.60,6.60
24.89,2.41,2.41,-4.19,-4.19,4.19,4.22,3.16,6.59,6.59,6.59
25.14,2.45,2.45,-4.14,-4.14,4.14,4.19,3.24,6.59,6.59,6.59
25.39,2.49,2.49,-4.10,-4.10,4.10,4.15,3.33,6.59,6.59,6.59
25.65,2.53,2.52,-4.06,-4.07,4.07,4.11,3.41,6.59,6.59,6.59
25.91,2.56,2.56,-4.03,-4.03,4.03,4.08,3.50,6.58,6.59,6.59
26.16,2.60,2.60,-3.99,-3.99,3.99,4.04,3.58,6.59,6.59,6.59
26.43,2.64,2.63,-3.95,-3.95,3.95,4.00,3.66,6.59,6.59,6.59
26.69,2.67,2.67,-3.92,-3.91,3.91,3.97,3.74,6.58,6.59,6.58
26.96,2.71,2.70,-3.87,-3.88,3.88,3.93,3.82,6.59,6.58,6.58
27.23,2.74,2.74,-3.84,-3.84,3.84,3.90,3.90,6.58,6.58,6.58
27.50,2.77,2.77,-3.81,-3.81,3.81,3.86,3.98,6.57,6.58,6.58
27.77,2.81,2.80,-3.77,-3.77,3.77,3.83,4.05,6.58,6.58,6.58
28.05,2.84,2.84,-3.74,-3.74,3.74,3.79,4.12,6.57,6.57,6.57
28.33,2.87,2.87,-3.70,-3.70,3.70,3.76,4.19,6.57,6.57,6.57
28.62,2.90,2.90,-3.67,-3.67,3.67,3.72,4.25,6.56,6.57,6.57
28.90,2.94,2.93,-3.63,-3.63,3.63,3.69,4.31,6.57,6.57,6.57
29.19,2.97,2.97,-3.60,-3.60,3.60,3.66,4.36,6.57,6.57,6.57
29.48,3.00,3.00,-3.57,-3.56,3.57,3.63,4.41,6.57,6.57,6.56
29.78,3.03,3.03,-3.53,-3.53,3.54,3.59,4.45,6.56,6.56,6.56
30.08,3.06,3.05,-3.50,-3.50,3.50,3.56,4.48,6.56,6.56,6.56
30.38,3.08,3.08,-3.48,-3.47,3.47,3.53,4.51,6.55,6.55,6.56
30.68,3.11,3.11,-3.44,-3.45,3.44,3.50,4.53,6.55,6.55,6.55
30.99,3.14,3.13,-3.41,-3.42,3.41,3.47,4.55,6.55,6.55,6.55
31.30,3.16,3.16,-3.39,-3.38,3.38,3.44,4.56,6.54,6.55,6.55
31.61,3.19,3.19,-3.36,-3.35,3.36,3.41,4.56,6.54,6.54,6.54
31.93,3.22,3.21,-3.32,-3.33,3.33,3.38,4.55,6.54,6.54,6.54
32.24,3.24,3.24,-3.30,-3.30,3.30,3.35,4.54,6.54,6.54,6.54
32.57,3.26,3.26,-3.28,-3.27,3.27,3.32,4.52,6.53,6.53,6.53
32.89,3.29,3.28,-3.24,-3.25,3.24,3.29,4.50,6.53,6.53,6.53
33.22,3.31,3.31,-3.22,-3.22,3.22,3.26,4.47,6.53,6.53,6.53
33.55,3.33,3.33,-3.19,-3.19,3.19,3.23,4.43,6.52,6.52,6.52
33.89,3.35,3.35,-3.17,-3.17,3.17,3.20,4.39,6.52,6.52,6.52
34.23,3.37,3.37,-3.15,-3.15,3.15,3.18,4.34,6.51,6.51,6.51
34.57,3.39,3.39,-3.12,-3.12,3.12,3.15,4.29,6.51,6.51,6.51
34.92,3.41,3.41,-3.10,-3.10,3.10,3.12,4.24,6.51,6.51,6.50
35.27,3.43,3.42,-3.07,-3.08,3.08,3.10,4.18,6.50,6.50,6.50
35.62,3.44,3.44,-3.06,-3.05,3.05,3.07,4.12,6.49,6.49,6.49
35.97,3.46,3.46,-3.03,-3.03,3.03,3.04,4.05,6.49,6.49,6.49
36.33,3.48,3.48,-3.01,-3.01,3.01,3.02,3.99,6.48,6.48,6.48
36.70,3.50,3.50,-2.98,-2.98,2.98,2.99,3.92,6.48,6.48,6.48
37.06,3.52,3.52,-2.96,-2.96,2.96,2.97,3.85,6.47,6.47,6.47
37.43,3.54,3.53,-2.93,-2.93,2.93,2.95,3.78,6.47,6.47,6.47
37.81,3.55,3.55,-2.91,-2.91,2.91,2.92,3.71,6.46,6.46,6.46
38.19,3.57,3.57,-2.89,-2.89,2.89,2.90,3.64,6.45,6.46,6.46
38.57,3.59,3.58,-2.86,-2.86,2.87,2.87,3.58,6.45,6.45,6.45
38.95,3.60,3.60,-2.84,-2.84,2.85,2.85,3.51,6.44,6.44,6.44
39.34,3.61,3.61,-2.83,-2.83,2.83,2.83,3.44,6.44,6.44,6.43
39.74,3.62,3.62,-2.81,-2.81,2.81,2.81,3.37,6.43,6.43,6.43
40.14,3.63,3.62,-2.79,-2.80,2.80,2.79,3.31,6.42,6.42,6.42
40.54,3.63,3.63,-2.78,-2.78,2.78,2.76,3.25,6.41,6.41,6.41
40.94,3.64,3.64,-2.77,-2.77,2.76,2.74,3.18,6.40,6.40,6.40
41.35,3.65,3.65,-2.75,-2.75,2.75,2.72,3.12,6.39,6.39,6.40
41.76,3.66,3.66,-2.73,-2.73,2.73,2.70,3.06,6.39,6.39,6.39
42.18,3.67,3.67,-2.71,-2.71,2.71,2.68,3.01,6.38,6.38,6.38
42.60,3.68,3.68,-2.69,-2.69,2.69,2.66,2.95,6.37,6.37,6.37
43.03,3.69,3.69,-2.67,-2.67,2.67,2.64,2.90,6.36,6.36,6.36
43.46,3.70,3.70,-2.65,-2.65,2.65,2.62,2.85,6.35,6.35,6.35
43.90,3.71,3.71,-2.63,-2.63,2.63,2.60,2.80,6.34,6.34,6.34
44.33,3.71,3.71,-2.62,-2.62,2.62,2.58,2.76,6.32,6.33,6.33
44.78,3.72,3.72,-2.60,-2.60,2.60,2.56,2.72,6.32,6.32,6.32
45.23,3.72,3.72,-2.59,-2.58,2.58,2.55,2.67,6.30,6.30,6.30
45.68,3.73,3.73,-2.56,-2.57,2.57,2.53,2.63,6.29,6.29,6.29
46.13,3.73,3.73,-2.55,-2.55,2.55,2.51,2.60,6.28,6.28,6.28
46.60,3.74,3.74,-2.53,-2.53,2.53,2.49,2.56,6.27,6.27,6.27
47.06,3.74,3.74,-2.52,-2.52,2.52,2.47,2.53,6.26,6.25,6.25
47.53,3.74,3.74,-2.50,-2.50,2.50,2.45,2.50,6.24,6.24,6.24
48.01,3.74,3.74,-2.49,-2.48,2.48,2.44,2.47,6.22,6.22,6.23
48.49,3.75,3.74,-2.46,-2.47,2.46,2.42,2.44,6.21,6.21,6.21
48.97,3.75,3.75,-2.45,-2.45,2.45,2.40,2.42,6.19,6.19,6.20
49.46,3.75,3.75,-2.43,-2.43,2.43,2.38,2.39,6.18,6.18,6.18
49.96,3.76,3.75,-2.41,-2.41,2.41,2.37,2.37,6.17,6.16,6.16
50.46,3.76,3.76,-2.39,-2.39,2.39,2.35,2.35,6.15,6.15,6.15
50.96,3.76,3.76,-2.37,-2.37,2.37,2.33,2.33,6.13,6.13,6.13
51.47,3.76,3.76,-2.35,-2.35,2.35,2.31,2.31,6.11,6.11,6.11
51.99,3.76,3.76,-2.33,-2.33,2.34,2.30,2.30,6.09,6.09,6.09
52.51,3.76,3.75,-2.32,-2.32,2.32,2.28,2.28,6.08,6.07,6.07
53.03,3.75,3.75,-2.31,-2.30,2.30,2.26,2.26,6.05,6.05,6.05
53.56,3.75,3.75,-2.28,-2.28,2.28,2.24,2.25,6.03,6.03,6.03
54.10,3.75,3.75,-2.26,-2.26,2.26,2.22,2.23,6.01,6.01,6.01
54.64,3.75,3.75,-2.24,-2.24,2.24,2.21,2.22,5.99,5.99,5.99
55.18,3.75,3.75,-2.22,-2.22,2.22,2.19,2.21,5.97,5.97,5.97
55.74,3.74,3.74,-2.21,-2.20,2.20,2.17,2.19,5.94,5.94,5.94
56.29,3.74,3.74,-2.18,-2.18,2.18,2.15,2.18,5.92,5.92,5.92
56.86,3.73,3.73,-2.17,-2.16,2.16,2.13,2.16,5.89,5.89,5.89
57.42,3.73,3.73,-2.14,-2.14,2.14,2.11,2.15,5.87,5.87,5.87
58.00,3.72,3.72,-2.12,-2.12,2.12,2.09,2.13,5.84,5.84,5.84
58.58,3.72,3.71,-2.10,-2.10,2.10,2.07,2.11,5.82,5.81,5.81
59.16,3.71,3.71,-2.08,-2.08,2.08,2.05,2.09,5.79,5.79,5.79
59.76,3.70,3.70,-2.06,-2.06,2.06,2.03,2.07,5.75,5.76,5.76
60.35,3.70,3.69,-2.03,-2.03,2.03,2.01,2.05,5.73,5.73,5.73
60.96,3.69,3.69,-2.01,-2.01,2.01,1.99,2.03,5.70,5.70,5.70
61.57,3.68,3.68,-1.99,-1.99,1.99,1.97,2.01,5.67,5.67,5.67
62.18,3.67,3.67,-1.97,-1.97,1.97,1.94,1.98,5.63,5.63,5.63
62.80,3.66,3.66,-1.94,-1.94,1.94,1.92,1.95,5.60,5.60,5.60
63.43,3.65,3.65,-1.92,-1.92,1.92,1.90,1.93,5.56,5.56,5.57
64.07,3.64,3.64,-1.89,-1.89,1.89,1.87,1.90,5.53,5.53,5.53
64.71,3.63,3.63,-1.87,-1.87,1.87,1.85,1.86,5.49,5.49,5.49
65.35,3.62,3.62,-1.84,-1.84,1.84,1.82,1.83,5.46,5.46,5.46
66.01,3.61,3.61,-1.81,-1.81,1.81,1.80,1.79,5.42,5.42,5.42
66.67,3.60,3.60,-1.78,-1.78,1.79,1.77,1.76,5.38,5.38,5.38
67.33,3.59,3.58,-1.75,-1.76,1.76,1.75,1.72,5.34,5.34,5.34
68.01,3.57,3.57,-1.73,-1.73,1.73,1.72,1.68,5.30,5.30,5.30
