frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.50,3.50,-2.09,-2.09,2.09,1.68,0.61,5.58,5.58,5.58
20.20,3.53,3.53,-2.06,-2.06,2.06,1.68,0.63,5.58,5.58,5.58
20.40,3.56,3.55,-2.03,-2.03,2.03,1.68,0.65,5.59,5.58,5.58
20.61,3.58,3.58,-2.01,-2.00,2.00,1.67,0.67,5.58,5.58,5.58
20.81,3.61,3.60,-1.97,-1.98,1.98,1.67,0.69,5.58,5.58,5.58
21.02,3.63,3.63,-1.95,-1.95,1.95,1.67,0.71,5.58,5.58,5.58
21.23,3.66,3.65,-1.92,-1.93,1.93,1.67,0.73,5.58,5.58,5.58
21.44,3.68,3.68,-1.90,-1.90,1.90,1.67,0.75,5.58,5.58,5.58
21.66,3.70,3.70,-1.88,-1.88,1.88,1.66,0.77,5.57,5.58,5.58
21.87,3.73,3.72,-1.85,-1.85,1.85,1.66,0.80,5.58,5.58,5.58
22.09,3.75,3.75,-1.83,-1.83,1.83,1.66,0.82,5.58,5.58,5.58
22.31,3.77,3.77,-1.81,-1.81,1.81,1.65,0.84,5.58,5.58,5.58
22.54,3.79,3.79,-1.79,-1.79,1.79,1.65,0.87,5.57,5.58,5.57
22.76,3.81,3.81,-1.77,-1.77,1.77,1.65,0.89,5.58,5.57,5.57
22.99,3.83,3.82,-1.75,-1.75,1.75,1.65,0.92,5.58,5.57,5.57
23.22,3.84,3.84,-1.74,-1.73,1.73,1.64,0.95,5.57,5.57,5.57
23.45,3.86,3.86,-1.71,-1.71,1.71,1.64,0.97,5.57,5.57,5.57
23.69,3.88,3.87,-1.69,-1.70,1.70,1.63,1.00,5.57,5.57,5.57
23.92,3.89,3.89,-1.68,-1.68,1.68,1.63,1.03,5.57,5.57,5.57
24.16,3.91,3.90,-1.66,-1.66,1.66,1.63,1.06,5.57,5.57,5.57
24.40,3.92,3.92,-1.65,-1.65,1.65,1.62,1.09,5.56,5.56,5.57
24.65,3.94,3.93,-1.63,-1.63,1.63,1.62,1.12,5.57,5.56,5.56
24.89,3.95,3.95,-1.62,-1.61,1.62,1.61,1.15,5.56,5.56,5.56
25.14,3.97,3.96,-1.60,-1.60,1.60,1.61,1.18,5.57,5.56,5.56
25.39,3.98,3.98,-1.58,-1.59,1.59,1.60,1.21,5.56,5.56,5.56
25.65,3.99,3.99,-1.57,-1.57,1.57,1.60,1.24,5.56,5.56,5.56
