frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-23.49,-23.49,-27.35,-27.35,6.00,5.79,2.71,-17.49,-17.49,3.87
20.20,-23.37,-23.36,-27.23,-27.23,6.00,5.79,2.79,-17.37,-17.36,3.86
20.40,-23.23,-23.23,-27.10,-27.10,6.00,5.79,2.86,-17.23,-17.23,3.86
20.61,-23.11,-23.11,-26.97,-26.97,6.00,5.79,2.94,-17.11,-17.11,3.86
20.81,-22.98,-22.98,-26.85,-26.85,6.00,5.80,3.03,-16.98,-16.98,3.86
21.02,-22.86,-22.86,-26.72,-26.72,6.00,5.80,3.11,-16.86,-16.86,3.86
21.23,-22.74,-22.73,-26.60,-26.59,6.00,5.80,3.20,-16.74,-16.73,3.86
21.44,-22.60,-22.60,-26.46,-26.47,6.00,5.80,3.29,-16.60,-16.60,3.86
21.66,-22.48,-22.48,-26.34,-26.34,6.00,5.81,3.39,-16.48,-16.48,3.86
21.87,-22.34,-22.34,-26.20,-26.20,6.00,5.81,3.48,-16.34,-16.34,3.86
22.09,-22.21,-22.21,-26.07,-26.07,6.00,5.81,3.58,-16.21,-16.21,3.86
22.31,-22.08,-22.08,-25.94,-25.94,6.00,5.81,3.68,-16.08,-16.08,3.86
22.54,-21.96,-21.96,-25.81,-25.81,6.00,5.81,3.79,-15.96,-15.96,3.86
22.76,-21.82,-21.83,-25.68,-25.68,6.00,5.82,3.89,-15.82,-15.83,3.86
22.99,-21.70,-21.70,-25.55,-25.55,6.00,5.82,4.00,-15.70,-15.70,3.85
23.22,-21.57,-21.57,-25.42,-25.42,6.00,5.82,4.11,-15.57,-15.57,3.85
23.45,-21.43,-21.44,-25.29,-25.29,6.00,5.82,4.23,-15.43,-15.44,3.85
23.69,-21.31,-21.31,-25.16,-25.16,6.00,5.83,4.34,-15.31,-15.31,3.85
23.92,-21.17,-21.17,-25.02,-25.02,6.00,5.83,4.46,-15.17,-15.17,3.85
24.16,-21.04,-21.04,-24.89,-24.89,6.00,5.83,4.58,-15.04,-15.04,3.85
24.40,-20.91,-20.91,-24.76,-24.76,6.00,5.84,4.71,-14.91,-14.91,3.85
24.65,-20.79,-20.79,-24.63,-24.63,6.00,5.84,4.83,-14.79,-14.79,3.85
24.89,-20.66,-20.66,-24.51,-24.50,6.00,5.84,4.96,-14.66,-14.66,3.85
25.14,-20.53,-20.53,-24.38,-24.38,6.00,5.84,5.09,-14.53,-14.53,3.84
25.39,-20.40,-20.41,-24.25,-24.25,6.00,5.85,5.22,-14.40,-14.41,3.84
25.65,-20.29,-20.28,-24.13,-24.12,6.00,5.85,5.35,-14.29,-14.28,3.84
25.91,-20.16,-20.16,-24.00,-24.00,6.00,5.85,5.48,-14.16,-14.16,3.84
26.16,-20.03,-20.03,-23.87,-23.87,6.00,5.86,5.61,-14.03,-14.03,3.84
26.43,-19.91,-19.91,-23.74,-23.74,6.00,5.86,5.74,-13.91,-13.91,3.84
26.69,-19.79,-19.79,-23.62,-23.62,6.00,5.86,5.87,-13.79,-13.79,3.83
26.96,-19.67,-19.67,-23.50,-23.50,6.00,5.87,6.00,-13.67,-13.67,3.83
27.23,-19.55,-19.55,-23.38,-23.38,6.00,5.87,6.12,-13.55,-13.55,3.83
27.50,-19.44,-19.43,-23.27,-23.26,6.00,5.87,6.25,-13.44,-13.43,3.83
27.77,-19.31,-19.31,-23.14,-23.14,6.00,5.88,6.37,-13.31,-13.31,3.83
28.05,-19.19,-19.20,-23.02,-23.02,6.00,5.88,6.49,-13.19,-13.20,3.83
28.33,-19.08,-19.08,-22.91,-22.91,6.00,5.88,6.59,-13.08,-13.08,3.82
28.62,-18.97,-18.97,-22.79,-22.79,6.00,5.89,6.70,-12.97,-12.97,3.82
28.90,-18.85,-18.85,-22.67,-22.67,6.00,5.89,6.80,-12.85,-12.85,3.82
29.19,-18.74,-18.74,-22.55,-22.55,6.00,5.89,6.89,-12.74,-12.74,3.82
29.48,-18.62,-18.63,-22.44,-22.44,6.00,5.90,6.98,-12.62,-12.63,3.81
29.78,-18.52,-18.51,-22.33,-22.32,6.00,5.90,7.06,-12.52,-12.51,3.81
30.08,-18.40,-18.40,-22.21,-22.21,6.00,5.90,7.12,-12.40,-12.40,3.81
30.38,-18.29,-18.29,-22.09,-22.09,6.00,5.91,7.18,-12.29,-12.29,3.81
30.68,-18.18,-18.18,-21.98,-21.98,6.00,5.91,7.23,-12.18,-12.18,3.80
30.99,-18.07,-18.07,-21.87,-21.87,6.00,5.92,7.27,-12.07,-12.07,3.80
31.30,-17.96,-17.96,-21.75,-21.75,6.00,5.92,7.30,-11.96,-11.96,3.80
31.61,-17.85,-17.85,-21.64,-21.64,6.00,5.92,7.32,-11.85,-11.85,3.79
31.93,-17.75,-17.74,-21.54,-21.53,6.00,5.93,7.32,-11.75,-11.74,3.79
32.24,-17.63,-17.64,-21.42,-21.42,6.00,5.93,7.32,-11.63,-11.64,3.79
32.57,-17.54,-17.53,-21.32,-21.32,6.00,5.94,7.31,-11.54,-11.53,3.78
32.89,-17.42,-17.43,-21.20,-21.21,6.00,5.94,7.29,-11.42,-11.43,3.78
33.22,-17.32,-17.32,-21.10,-21.10,6.00,5.94,7.26,-11.32,-11.32,3.78
33.55,-17.21,-17.22,-20.99,-20.99,6.00,5.95,7.23,-11.21,-11.22,3.77
33.89,-17.12,-17.11,-20.88,-20.88,6.00,5.95,7.19,-11.12,-11.11,3.77
34.23,-17.01,-17.01,-20.77,-20.77,6.00,5.96,7.14,-11.01,-11.01,3.76
34.57,-16.91,-16.91,-20.67,-20.67,6.00,5.96,7.08,-10.91,-10.91,3.76
34.92,-16.81,-16.81,-20.56,-20.56,6.00,5.97,7.02,-10.81,-10.81,3.76
35.27,-16.71,-16.71,-20.46,-20.46,6.00,5.97,6.96,-10.71,-10.71,3.75
35.62,-16.61,-16.60,-20.35,-20.35,6.00,5.97,6.89,-10.61,-10.60,3.75
35.97,-16.50,-16.50,-20.24,-20.24,6.00,5.98,6.82,-10.50,-10.50,3.74
36.33,-16.39,-16.40,-20.13,-20.14,6.00,5.98,6.75,-10.39,-10.40,3.74
36.70,-16.31,-16.30,-20.04,-20.03,6.00,5.99,6.68,-10.31,-10.30,3.73
37.06,-16.20,-16.20,-19.93,-19.93,6.00,5.99,6.61,-10.20,-10.20,3.72
37.43,-16.10,-16.11,-19.82,-19.83,6.00,6.00,6.54,-10.10,-10.11,3.72
37.81,-16.02,-16.01,-19.73,-19.72,6.00,6.00,6.46,-10.02,-10.01,3.71
38.19,-15.92,-15.92,-19.62,-19.63,6.00,6.01,6.39,-9.92,-9.92,3.71
38.57,-15.83,-15.83,-19.53,-19.52,6.00,6.01,6.32,-9.83,-9.83,3.70
38.95,-15.73,-15.73,-19.43,-19.42,6.00,6.02,6.26,-9.73,-9.73,3.69
39.34,-15.63,-15.64,-19.32,-19.32,6.00,6.02,6.19,-9.63,-9.64,3.69
39.74,-15.55,-15.55,-19.22,-19.22,6.00,6.02,6.13,-9.55,-9.55,3.68
40.14,-15.46,-15.46,-19.13,-19.13,6.00,6.03,6.07,-9.46,-9.46,3.67
40.54,-15.37,-15.37,-19.03,-19.03,6.00,6.03,6.02,-9.37,-9.37,3.66
40.94,-15.28,-15.28,-18.93,-18.93,6.00,6.04,5.97,-9.28,-9.28,3.65
41.35,-15.19,-15.19,-18.83,-18.83,6.00,6.04,5.92,-9.19,-9.19,3.65
41.76,-15.10,-15.10,-18.74,-18.74,6.00,6.05,5.87,-9.10,-9.10,3.64
42.18,-15.01,-15.01,-18.64,-18.64,6.00,6.05,5.83,-9.01,-9.01,3.63
42.60,-14.92,-14.93,-18.54,-18.54,6.00,6.06,5.80,-8.92,-8.93,3.62
43.03,-14.84,-14.84,-18.44,-18.45,6.00,6.06,5.76,-8.84,-8.84,3.61
43.46,-14.76,-14.75,-18.35,-18.35,6.00,6.07,5.74,-8.76,-8.75,3.60
43.90,-14.68,-14.67,-18.27,-18.26,6.00,6.07,5.71,-8.68,-8.67,3.59
44.33,-14.58,-14.59,-18.16,-18.17,6.00,6.08,5.69,-8.58,-8.59,3.58
44.78,-14.51,-14.51,-18.07,-18.07,6.00,6.08,5.68,-8.51,-8.51,3.57
45.23,-14.43,-14.42,-17.98,-17.98,6.00,6.09,5.67,-8.43,-8.42,3.56
45.68,-14.35,-14.35,-17.89,-17.89,6.00,6.09,5.66,-8.35,-8.35,3.54
46.13,-14.26,-14.27,-17.80,-17.80,6.00,6.09,5.66,-8.26,-8.27,3.53
46.60,-14.19,-14.19,-17.70,-17.70,6.00,6.10,5.66,-8.19,-8.19,3.52
47.06,-14.11,-14.10,-17.61,-17.61,6.00,6.10,5.67,-8.11,-8.10,3.50
47.53,-14.03,-14.03,-17.52,-17.52,6.00,6.11,5.67,-8.03,-8.03,3.49
48.01,-13.95,-13.95,-17.42,-17.43,6.00,6.11,5.69,-7.95,-7.95,3.48
48.49,-13.88,-13.87,-17.34,-17.33,6.00,6.12,5.71,-7.88,-7.87,3.46
48.97,-13.80,-13.79,-17.24,-17.24,6.00,6.12,5.73,-7.80,-7.79,3.45
49.46,-13.72,-13.72,-17.15,-17.15,6.00,6.12,5.75,-7.72,-7.72,3.43
49.96,-13.65,-13.64,-17.06,-17.06,6.00,6.13,5.78,-7.65,-7.64,3.41
50.46,-13.58,-13.57,-16.97,-16.97,6.00,6.13,5.81,-7.58,-7.57,3.40
50.96,-13.50,-13.50,-16.87,-16.88,6.00,6.14,5.84,-7.50,-7.50,3.38
51.47,-13.43,-13.43,-16.79,-16.79,6.00,6.14,5.87,-7.43,-7.43,3.36
51.99,-13.36,-13.35,-16.70,-16.70,6.00,6.14,5.91,-7.36,-7.35,3.34
52.51,-13.29,-13.28,-16.61,-16.61,6.00,6.15,5.95,-7.29,-7.28,3.32
53.03,-13.21,-13.21,-16.51,-16.52,6.00,6.15,5.99,-7.21,-7.21,3.30
53.56,-13.15,-13.14,-16.43,-16.43,6.00,6.15,6.03,-7.15,-7.14,3.28
54.10,-13.08,-13.07,-16.34,-16.33,6.00,6.16,6.07,-7.08,-7.07,3.26
54.64,-13.01,-13.01,-16.25,-16.25,6.00,6.16,6.11,-7.01,-7.01,3.24
55.18,-12.94,-12.94,-16.15,-16.16,6.00,6.16,6.15,-6.94,-6.94,3.22
55.74,-12.88,-12.87,-16.07,-16.07,6.00,6.17,6.19,-6.88,-6.87,3.19
56.29,-12.81,-12.81,-15.97,-15.98,6.00,6.17,6.23,-6.81,-6.81,3.17
56.86,-12.74,-12.74,-15.88,-15.88,6.00,6.17,6.27,-6.74,-6.74,3.14
57.42,-12.67,-12.67,-15.79,-15.79,6.00,6.17,6.30,-6.67,-6.67,3.12
58.00,-12.61,-12.61,-15.70,-15.70,6.00,6.18,6.33,-6.61,-6.61,3.09
58.58,-12.55,-12.55,-15.61,-15.61,6.00,6.18,6.36,-6.55,-6.55,3.07
59.16,-12.48,-12.48,-15.52,-15.52,6.00,6.18,6.38,-6.48,-6.48,3.04
59.76,-12.42,-12.42,-15.42,-15.43,6.00,6.18,6.41,-6.42,-6.42,3.01
60.35,-12.36,-12.36,-15.33,-15.33,6.00,6.18,6.42,-6.36,-6.36,2.98
60.96,-12.30,-12.29,-15.24,-15.24,6.00,6.18,6.43,-6.30,-6.29,2.95
61.57,-12.24,-12.24,-15.15,-15.15,6.00,6.18,6.44,-6.24,-6.24,2.92
62.18,-12.18,-12.17,-15.06,-15.06,6.00,6.18,6.44,-6.18,-6.17,2.88
62.80,-12.12,-12.12,-14.97,-14.97,6.00,6.18,6.44,-6.12,-6.12,2.85
63.43,-12.06,-12.06,-14.87,-14.88,6.00,6.19,6.43,-6.06,-6.06,2.82
64.07,-12.01,-12.00,-14.79,-14.78,6.00,6.19,6.42,-6.01,-6.00,2.78
64.71,-11.95,-11.95,-14.69,-14.69,6.00,6.19,6.40,-5.95,-5.95,2.75
65.35,-11.89,-11.89,-14.59,-14.60,6.00,6.18,6.38,-5.89,-5.89,2.71
66.01,-11.84,-11.83,-14.51,-14.50,6.00,6.18,6.36,-5.84,-5.83,2.67
66.67,-11.78,-11.78,-14.41,-14.41,6.00,6.18,6.33,-5.78,-5.78,2.63
67.33,-11.73,-11.73,-14.32,-14.32,6.00,6.18,6.29,-5.73,-5.73,2.59
68.01,-11.68,-11.67,-14.23,-14.22,6.00,6.18,6.26,-5.68,-5.67,2.55
68.69,-11.62,-11.62,-14.12,-14.13,6.00,6.18,6.22,-5.62,-5.62,2.51
69.37,-11.57,-11.56,-14.03,-14.03,6.00,6.18,6.17,-5.57,-5.56,2.47
70.07,-11.51,-11.51,-13.93,-13.93,6.00,6.17,6.13,-5.51,-5.51,2.42
70.77,-11.46,-11.46,-13.83,-13.83,6.00,6.17,6.08,-5.46,-5.46,2.38
71.48,-11.41,-11.40,-13.74,-13.73,6.00,6.17,6.04,-5.41,-5.40,2.33
72.19,-11.36,-11.35,-13.64,-13.64,6.00,6.17,5.99,-5.36,-5.35,2.28
72.91,-11.30,-11.30,-13.53,-13.54,6.00,6.16,5.94,-5.30,-5.30,2.23
73.64,-11.26,-11.25,-13.44,-13.44,6.00,6.16,5.90,-5.26,-5.25,2.19
74.38,-11.21,-11.20,-13.34,-13.34,6.00,6.16,5.85,-5.21,-5.20,2.14
75.12,-11.16,-11.16,-13.24,-13.24,6.00,6.15,5.81,-5.16,-5.16,2.08
75.87,-11.11,-11.10,-13.14,-13.14,6.00,6.15,5.76,-5.11,-5.10,2.03
76.63,-11.06,-11.06,-13.03,-13.03,6.00,6.14,5.72,-5.06,-5.06,1.98
77.40,-11.01,-11.01,-12.93,-12.93,6.00,6.14,5.68,-5.01,-5.01,1.92
78.17,-10.97,-10.96,-12.83,-12.83,6.00,6.13,5.65,-4.97,-4.96,1.87
78.95,-10.92,-10.92,-12.73,-12.73,6.00,6.13,5.61,-4.92,-4.92,1.81
79.74,-10.87,-10.87,-12.62,-12.62,6.00,6.12,5.58,-4.87,-4.87,1.75
80.54,-10.83,-10.82,-12.52,-12.52,6.00,6.12,5.56,-4.83,-4.82,1.70
81.35,-10.78,-10.78,-12.41,-12.41,6.00,6.11,5.53,-4.78,-4.78,1.64
82.16,-10.74,-10.73,-12.31,-12.31,6.00,6.11,5.51,-4.74,-4.73,1.58
82.98,-10.69,-10.69,-12.20,-12.20,6.00,6.10,5.49,-4.69,-4.69,1.52
83.81,-10.65,-10.64,-12.10,-12.10,6.00,6.10,5.48,-4.65,-4.64,1.45
