frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.74,5.73,-0.12,-0.12,0.12,-0.94,-0.43,5.86,5.86,5.85
20.20,5.77,5.77,-0.09,-0.08,0.08,-0.94,-0.45,5.85,5.85,5.85
20.40,5.81,5.81,-0.05,-0.05,0.05,-0.94,-0.46,5.85,5.85,5.85
20.61,5.85,5.84,-0.01,-0.01,0.01,-0.94,-0.47,5.85,5.85,5.85
20.81,5.88,5.88,0.03,0.03,-0.03,-0.94,-0.49,5.85,5.85,5.85
21.02,5.92,5.92,0.07,0.07,-0.07,-0.94,-0.50,5.85,5.85,5.85
21.23,5.96,5.95,0.11,0.11,-0.11,-0.94,-0.52,5.85,5.85,5.85
21.44,6.00,5.99,0.15,0.14,-0.14,-0.94,-0.53,5.85,5.85,5.85
21.66,6.03,6.03,0.18,0.18,-0.18,-0.95,-0.55,5.84,5.85,5.85
21.87,6.07,6.07,0.22,0.22,-0.22,-0.95,-0.56,5.85,5.85,5.85
22.09,6.11,6.10,0.26,0.26,-0.26,-0.95,-0.58,5.85,5.85,5.85
22.31,6.15,6.14,0.30,0.30,-0.30,-0.95,-0.60,5.85,5.85,5.85
22.54,6.18,6.18,0.33,0.33,-0.33,-0.95,-0.61,5.84,5.84,5.84
22.76,6.22,6.21,0.37,0.37,-0.37,-0.95,-0.63,5.85,5.84,5.84
22.99,6.25,6.25,0.40,0.41,-0.41,-0.95,-0.65,5.84,5.84,5.84
23.22,6.29,6.28,0.44,0.44,-0.44,-0.95,-0.67,5.85,5.84,5.84
23.45,6.32,6.32,0.48,0.47,-0.47,-0.96,-0.69,5.84,5.84,5.84
23.69,6.35,6.35,0.51,0.51,-0.51,-0.96,-0.71,5.84,5.84,5.84
23.92,6.38,6.38,0.54,0.54,-0.54,-0.96,-0.73,5.84,5.84,5.84
24.16,6.41,6.41,0.57,0.57,-0.57,-0.96,-0.75,5.84,5.84,5.84
24.40,6.44,6.44,0.60,0.60,-0.60,-0.96,-0.77,5.84,5.84,5.84
