frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.99,9.99,2.87,2.87,-2.87,-1.72,-1.18,7.11,7.11,7.11
20.20,9.98,9.98,2.86,2.87,-2.86,-1.72,-1.22,7.11,7.12,7.11
20.40,9.98,9.97,2.86,2.86,-2.85,-1.72,-1.26,7.12,7.12,7.11
20.61,9.97,9.96,2.86,2.85,-2.85,-1.72,-1.29,7.12,7.11,7.11
20.81,9.96,9.96,2.85,2.85,-2.85,-1.72,-1.33,7.11,7.11,7.11
21.02,9.95,9.95,2.84,2.84,-2.85,-1.72,-1.37,7.10,7.10,7.11
21.23,9.95,9.95,2.84,2.84,-2.85,-1.72,-1.41,7.09,7.09,7.11
21.44,9.96,9.96,2.85,2.85,-2.86,-1.72,-1.46,7.10,7.10,7.11
21.66,9.98,9.97,2.87,2.87,-2.87,-1.72,-1.50,7.10,7.10,7.11
21.87,10.00,10.00,2.89,2.89,-2.89,-1.72,-1.55,7.11,7.10,7.11
22.09,10.02,10.02,2.91,2.91,-2.91,-1.72,-1.59,7.11,7.11,7.11
22.31,10.04,10.04,2.93,2.93,-2.92,-1.71,-1.64,7.11,7.11,7.10
22.54,10.06,10.05,2.95,2.95,-2.94,-1.71,-1.69,7.12,7.11,7.10
22.76,10.06,10.06,2.95,2.96,-2.95,-1.71,-1.74,7.11,7.11,7.10
22.99,10.07,10.06,2.96,2.96,-2.95,-1.71,-1.79,7.11,7.11,7.10
23.22,10.06,10.06,2.96,2.96,-2.95,-1.71,-1.84,7.10,7.10,7.10
23.45,10.05,10.05,2.95,2.95,-2.95,-1.71,-1.90,7.10,7.10,7.10
23.69,10.04,10.04,2.94,2.94,-2.95,-1.71,-1.95,7.09,7.09,7.10
23.92,10.03,10.03,2.93,2.93,-2.94,-1.71,-2.01,7.08,7.09,7.10
24.16,10.03,10.03,2.93,2.93,-2.94,-1.71,-2.06,7.09,7.09,7.10
24.40,10.03,10.03,2.93,2.93,-2.93,-1.71,-2.12,7.09,7.09,7.10
24.65,10.03,10.03,2.93,2.93,-2.93,-1.70,-2.18,7.10,7.10,7.09
24.89,10.03,10.02,2.93,2.93,-2.92,-1.70,-2.24,7.11,7.10,7.09
25.14,10.01,10.01,2.91,2.91,-2.90,-1.70,-2.30,7.10,7.10,7.09
25.39,9.99,9.99,2.90,2.90,-2.89,-1.70,-2.36,7.10,7.10,7.09
25.65,9.96,9.96,2.87,2.87,-2.87,-1.70,-2.41,7.09,7.09,7.09
25.91,9.94,9.93,2.85,2.84,-2.84,-1.70,-2.47,7.09,7.09,7.09
26.16,9.90,9.90,2.81,2.81,-2.82,-1.70,-2.53,7.08,7.08,7.09
26.43,9.87,9.87,2.78,2.79,-2.80,-1.69,-2.59,7.07,7.07,7.08
26.69,9.85,9.85,2.76,2.76,-2.77,-1.69,-2.65,7.07,7.07,7.08
26.96,9.83,9.83,2.75,2.75,-2.75,-1.69,-2.70,7.07,7.07,7.08
27.23,9.82,9.81,2.74,2.73,-2.74,-1.69,-2.76,7.08,7.08,7.08
27.50,9.80,9.80,2.72,2.72,-2.72,-1.69,-2.81,7.08,7.08,7.08
27.77,9.79,9.79,2.71,2.71,-2.70,-1.69,-2.86,7.08,7.08,7.07
28.05,9.78,9.77,2.70,2.70,-2.69,-1.68,-2.91,7.09,7.08,7.07
28.33,9.75,9.75,2.68,2.68,-2.67,-1.68,-2.95,7.08,7.08,7.07
28.62,9.72,9.72,2.65,2.65,-2.65,-1.68,-2.99,7.06,7.07,7.07
28.90,9.70,9.69,2.63,2.63,-2.64,-1.68,-3.03,7.06,7.06,7.07
29.19,9.68,9.68,2.61,2.61,-2.62,-1.68,-3.07,7.06,7.05,7.06
29.48,9.66,9.66,2.59,2.60,-2.60,-1.67,-3.09,7.05,7.06,7.06
29.78,9.65,9.64,2.59,2.58,-2.58,-1.67,-3.12,7.06,7.06,7.06
30.08,9.63,9.63,2.57,2.57,-2.56,-1.67,-3.14,7.06,7.06,7.06
30.38,9.61,9.61,2.55,2.55,-2.54,-1.67,-3.16,7.06,7.06,7.05
30.68,9.59,9.58,2.54,2.53,-2.52,-1.67,-3.17,7.07,7.06,7.05
30.99,9.55,9.55,2.50,2.50,-2.50,-1.66,-3.17,7.05,7.05,7.05
31.30,9.51,9.51,2.46,2.47,-2.47,-1.66,-3.17,7.04,7.04,7.04
31.61,9.48,9.48,2.43,2.43,-2.44,-1.66,-3.17,7.04,7.03,7.04
31.93,9.45,9.45,2.41,2.41,-2.41,-1.66,-3.16,7.03,7.03,7.04
32.24,9.42,9.42,2.38,2.38,-2.38,-1.65,-3.14,7.03,7.03,7.03
32.57,9.39,9.39,2.35,2.35,-2.35,-1.65,-3.12,7.03,7.03,7.03
32.89,9.36,9.36,2.33,2.33,-2.33,-1.65,-3.10,7.03,7.03,7.03
33.22,9.33,9.33,2.30,2.30,-2.30,-1.64,-3.07,7.03,7.03,7.02
33.55,9.30,9.30,2.28,2.28,-2.28,-1.64,-3.04,7.02,7.02,7.02
33.89,9.27,9.27,2.25,2.25,-2.25,-1.64,-3.00,7.02,7.01,7.02
34.23,9.24,9.24,2.22,2.22,-2.23,-1.63,-2.96,7.01,7.01,7.01
34.57,9.21,9.21,2.20,2.20,-2.20,-1.63,-2.91,7.00,7.00,7.01
34.92,9.19,9.18,2.18,2.18,-2.18,-1.63,-2.86,7.00,7.00,7.00
35.27,9.16,9.16,2.16,2.16,-2.16,-1.62,-2.81,7.00,7.00,7.00
35.62,9.14,9.13,2.14,2.14,-2.14,-1.62,-2.76,7.00,7.00,6.99
35.97,9.11,9.11,2.12,2.12,-2.12,-1.61,-2.70,6.99,6.99,6.99
36.33,9.08,9.08,2.09,2.09,-2.09,-1.61,-2.64,6.98,6.98,6.98
36.70,9.05,9.05,2.07,2.07,-2.07,-1.60,-2.58,6.98,6.98,6.98
37.06,9.02,9.02,2.04,2.04,-2.04,-1.60,-2.52,6.97,6.97,6.97
37.43,8.99,8.98,2.02,2.02,-2.02,-1.59,-2.46,6.97,6.97,6.97
37.81,8.95,8.95,1.99,1.99,-1.99,-1.59,-2.40,6.96,6.96,6.96
38.19,8.92,8.92,1.96,1.96,-1.96,-1.58,-2.34,6.95,6.96,6.95
38.57,8.89,8.88,1.94,1.93,-1.93,-1.58,-2.27,6.95,6.95,6.95
38.95,8.85,8.85,1.91,1.91,-1.91,-1.57,-2.21,6.94,6.94,6.94
39.34,8.81,8.81,1.87,1.88,-1.88,-1.57,-2.15,6.93,6.93,6.93
39.74,8.78,8.77,1.85,1.85,-1.85,-1.56,-2.09,6.92,6.92,6.93
40.14,8.74,8.74,1.82,1.82,-1.83,-1.55,-2.02,6.91,6.91,6.92
40.54,8.71,8.71,1.80,1.80,-1.80,-1.55,-1.96,6.91,6.91,6.91
40.94,8.68,8.68,1.77,1.77,-1.77,-1.54,-1.90,6.90,6.90,6.90
41.35,8.65,8.64,1.75,1.75,-1.75,-1.53,-1.84,6.90,6.90,6.89
41.76,8.61,8.60,1.72,1.72,-1.71,-1.52,-1.79,6.89,6.89,6.89
42.18,8.56,8.56,1.68,1.69,-1.68,-1.52,-1.73,6.87,6.88,6.88
42.60,8.52,8.51,1.65,1.65,-1.64,-1.51,-1.67,6.87,6.87,6.87
43.03,8.47,8.46,1.61,1.61,-1.60,-1.50,-1.62,6.86,6.86,6.86
43.46,8.41,8.41,1.56,1.56,-1.56,-1.49,-1.56,6.85,6.85,6.85
43.90,8.36,8.35,1.52,1.51,-1.51,-1.48,-1.51,6.84,6.84,6.84
44.33,8.29,8.29,1.46,1.46,-1.47,-1.47,-1.46,6.82,6.82,6.83
44.78,8.23,8.23,1.41,1.41,-1.42,-1.46,-1.40,6.81,6.81,6.81
45.23,8.17,8.17,1.36,1.37,-1.37,-1.45,-1.35,6.79,6.79,6.80
45.68,8.12,8.12,1.33,1.33,-1.33,-1.44,-1.31,6.79,6.78,6.79
46.13,8.07,8.07,1.29,1.29,-1.29,-1.43,-1.26,6.78,6.78,6.78
46.60,8.02,8.02,1.25,1.25,-1.25,-1.41,-1.21,6.77,6.77,6.77
47.06,7.97,7.97,1.21,1.21,-1.21,-1.40,-1.17,6.76,6.76,6.75
47.53,7.92,7.91,1.18,1.17,-1.17,-1.39,-1.12,6.75,6.74,6.74
48.01,7.86,7.86,1.13,1.13,-1.13,-1.37,-1.08,6.72,6.72,6.72
48.49,7.80,7.80,1.09,1.09,-1.10,-1.36,-1.04,6.70,6.70,6.71
48.97,7.75,7.75,1.05,1.05,-1.07,-1.34,-1.00,6.68,6.68,6.69
49.46,7.71,7.70,1.03,1.03,-1.04,-1.32,-0.96,6.67,6.67,6.68
49.96,7.67,7.67,1.00,1.00,-1.01,-1.31,-0.92,6.66,6.66,6.66
50.46,7.63,7.63,0.98,0.98,-0.98,-1.29,-0.88,6.65,6.65,6.64
50.96,7.59,7.59,0.96,0.96,-0.95,-1.27,-0.84,6.63,6.64,6.63
51.47,7.55,7.54,0.94,0.93,-0.92,-1.25,-0.81,6.62,6.62,6.61
51.99,7.50,7.49,0.91,0.90,-0.89,-1.23,-0.77,6.60,6.60,6.59
52.51,7.44,7.44,0.87,0.87,-0.86,-1.21,-0.74,6.57,6.57,6.57
53.03,7.38,7.38,0.82,0.83,-0.83,-1.18,-0.71,6.54,6.55,6.55
