frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.86,3.86,-2.29,-2.29,2.29,1.11,0.40,6.15,6.15,6.15
20.20,3.90,3.90,-2.25,-2.25,2.25,1.11,0.41,6.15,6.15,6.15
20.40,3.94,3.94,-2.21,-2.21,2.21,1.11,0.43,6.15,6.15,6.15
20.61,3.98,3.98,-2.17,-2.17,2.17,1.11,0.44,6.15,6.15,6.15
20.81,4.02,4.02,-2.13,-2.13,2.13,1.11,0.45,6.15,6.15,6.15
21.02,4.05,4.06,-2.10,-2.09,2.09,1.11,0.47,6.14,6.15,6.15
21.23,4.09,4.09,-2.06,-2.06,2.05,1.11,0.48,6.14,6.15,6.15
21.44,4.13,4.13,-2.01,-2.02,2.01,1.11,0.50,6.15,6.14,6.15
21.66,4.17,4.17,-1.98,-1.97,1.97,1.11,0.51,6.15,6.15,6.15
21.87,4.21,4.21,-1.93,-1.93,1.93,1.11,0.53,6.15,6.15,6.15
22.09,4.25,4.25,-1.89,-1.89,1.90,1.11,0.54,6.15,6.15,6.15
22.31,4.29,4.29,-1.85,-1.85,1.86,1.10,0.56,6.15,6.15,6.14
22.54,4.32,4.33,-1.82,-1.82,1.82,1.10,0.57,6.14,6.14,6.14
22.76,4.36,4.36,-1.78,-1.78,1.78,1.10,0.59,6.14,6.14,6.14
22.99,4.39,4.39,-1.75,-1.75,1.75,1.10,0.61,6.14,6.14,6.14
23.22,4.43,4.43,-1.71,-1.71,1.71,1.10,0.63,6.14,6.14,6.14
23.45,4.46,4.47,-1.68,-1.67,1.67,1.10,0.65,6.14,6.14,6.14
23.69,4.50,4.50,-1.64,-1.64,1.64,1.10,0.66,6.14,6.14,6.14
23.92,4.53,4.53,-1.60,-1.60,1.60,1.10,0.68,6.14,6.14,6.14
24.16,4.56,4.57,-1.57,-1.57,1.57,1.10,0.70,6.13,6.14,6.14
24.40,4.60,4.60,-1.53,-1.54,1.54,1.10,0.72,6.14,6.14,6.14
24.65,4.63,4.63,-1.50,-1.50,1.50,1.10,0.74,6.14,6.14,6.13
24.89,4.66,4.66,-1.47,-1.47,1.47,1.09,0.76,6.14,6.14,6.13
25.14,4.69,4.69,-1.44,-1.44,1.44,1.09,0.78,6.14,6.13,6.13
25.39,4.71,4.72,-1.42,-1.41,1.41,1.09,0.80,6.13,6.13,6.13
25.65,4.74,4.74,-1.39,-1.39,1.38,1.09,0.82,6.13,6.13,6.13
25.91,4.77,4.77,-1.35,-1.36,1.36,1.09,0.84,6.13,6.13,6.13
26.16,4.79,4.80,-1.33,-1.33,1.33,1.09,0.86,6.12,6.13,6.13
26.43,4.82,4.82,-1.30,-1.30,1.30,1.09,0.88,6.13,6.12,6.12
26.69,4.84,4.85,-1.28,-1.28,1.28,1.09,0.90,6.12,6.12,6.12
26.96,4.87,4.87,-1.25,-1.25,1.25,1.09,0.92,6.12,6.12,6.12
27.23,4.89,4.89,-1.23,-1.23,1.23,1.08,0.94,6.12,6.12,6.12
27.50,4.91,4.91,-1.20,-1.20,1.20,1.08,0.96,6.11,6.12,6.12
27.77,4.93,4.94,-1.18,-1.18,1.18,1.08,0.98,6.11,6.11,6.12
28.05,4.96,4.96,-1.15,-1.15,1.15,1.08,0.99,6.12,6.11,6.11
