frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.83,2.83,-3.70,-3.69,3.70,3.42,0.64,6.53,6.53,6.52
20.20,2.91,2.91,-3.61,-3.61,3.61,3.36,0.66,6.52,6.52,6.52
20.40,2.99,2.99,-3.53,-3.53,3.53,3.30,0.68,6.52,6.52,6.52
20.61,3.07,3.07,-3.45,-3.45,3.45,3.25,0.70,6.52,6.52,6.52
20.81,3.15,3.15,-3.37,-3.37,3.37,3.19,0.72,6.52,6.52,6.52
21.02,3.23,3.23,-3.29,-3.29,3.29,3.14,0.74,6.52,6.52,6.52
21.23,3.31,3.30,-3.21,-3.21,3.21,3.08,0.77,6.52,6.52,6.52
21.44,3.38,3.38,-3.14,-3.14,3.14,3.02,0.79,6.52,6.52,6.52
21.66,3.45,3.45,-3.07,-3.06,3.06,2.97,0.81,6.51,6.52,6.52
21.87,3.53,3.52,-2.99,-2.99,2.99,2.91,0.84,6.52,6.52,6.52
22.09,3.60,3.60,-2.92,-2.92,2.92,2.86,0.87,6.52,6.52,6.52
22.31,3.67,3.67,-2.85,-2.85,2.85,2.80,0.89,6.52,6.52,6.51
22.54,3.74,3.74,-2.78,-2.78,2.78,2.75,0.92,6.52,6.52,6.51
22.76,3.80,3.80,-2.71,-2.71,2.71,2.69,0.95,6.51,6.51,6.51
22.99,3.87,3.87,-2.64,-2.65,2.64,2.64,0.98,6.51,6.51,6.51
23.22,3.93,3.93,-2.58,-2.58,2.58,2.58,1.01,6.51,6.51,6.51
23.45,4.00,4.00,-2.51,-2.51,2.51,2.53,1.04,6.51,6.51,6.51
23.69,4.06,4.06,-2.45,-2.45,2.45,2.48,1.07,6.50,6.51,6.51
23.92,4.13,4.13,-2.38,-2.38,2.38,2.42,1.10,6.51,6.51,6.51
24.16,4.19,4.19,-2.32,-2.32,2.32,2.37,1.13,6.51,6.51,6.51
24.40,4.25,4.25,-2.26,-2.26,2.26,2.31,1.16,6.51,6.51,6.51
24.65,4.31,4.31,-2.20,-2.20,2.19,2.26,1.19,6.50,6.50,6.50
24.89,4.37,4.37,-2.13,-2.13,2.13,2.21,1.23,6.50,6.50,6.50
25.14,4.43,4.43,-2.07,-2.07,2.07,2.16,1.26,6.50,6.50,6.50
25.39,4.49,4.49,-2.01,-2.01,2.01,2.10,1.29,6.50,6.50,6.50
25.65,4.55,4.55,-1.95,-1.95,1.95,2.05,1.33,6.50,6.50,6.50
25.91,4.60,4.60,-1.90,-1.90,1.90,2.00,1.36,6.49,6.50,6.50
26.16,4.66,4.65,-1.84,-1.84,1.84,1.95,1.39,6.50,6.50,6.50
26.43,4.71,4.71,-1.79,-1.79,1.79,1.90,1.42,6.49,6.49,6.49
26.69,4.76,4.76,-1.73,-1.73,1.73,1.85,1.45,6.49,6.49,6.49
26.96,4.81,4.81,-1.68,-1.68,1.68,1.79,1.48,6.49,6.49,6.49
