frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.83,4.83,-2.19,-2.19,2.20,1.34,0.31,7.03,7.02,7.02
20.20,4.88,4.88,-2.14,-2.14,2.14,1.33,0.32,7.02,7.02,7.02
20.40,4.94,4.94,-2.08,-2.09,2.08,1.32,0.33,7.02,7.02,7.02
20.61,4.99,4.99,-2.03,-2.03,2.03,1.30,0.34,7.02,7.02,7.02
20.81,5.04,5.04,-1.98,-1.98,1.98,1.29,0.35,7.02,7.02,7.02
21.02,5.10,5.10,-1.92,-1.92,1.92,1.28,0.36,7.02,7.02,7.02
21.23,5.15,5.15,-1.87,-1.87,1.87,1.26,0.37,7.02,7.02,7.02
21.44,5.20,5.20,-1.82,-1.82,1.82,1.25,0.38,7.02,7.02,7.02
21.66,5.25,5.25,-1.77,-1.77,1.77,1.24,0.39,7.02,7.02,7.02
21.87,5.30,5.30,-1.72,-1.72,1.72,1.22,0.40,7.02,7.02,7.02
22.09,5.35,5.35,-1.67,-1.67,1.67,1.21,0.42,7.02,7.01,7.02
22.31,5.39,5.39,-1.62,-1.62,1.62,1.19,0.43,7.01,7.01,7.01
22.54,5.44,5.44,-1.58,-1.57,1.57,1.18,0.44,7.01,7.01,7.01
22.76,5.49,5.49,-1.52,-1.53,1.53,1.17,0.46,7.02,7.01,7.01
22.99,5.53,5.53,-1.48,-1.48,1.48,1.15,0.47,7.01,7.01,7.01
23.22,5.58,5.58,-1.43,-1.43,1.44,1.14,0.49,7.02,7.01,7.01
23.45,5.62,5.62,-1.39,-1.39,1.39,1.12,0.50,7.01,7.01,7.01
23.69,5.66,5.66,-1.35,-1.35,1.35,1.11,0.52,7.01,7.01,7.01
23.92,5.70,5.70,-1.31,-1.31,1.31,1.10,0.53,7.01,7.01,7.01
24.16,5.74,5.74,-1.27,-1.27,1.26,1.08,0.55,7.00,7.00,7.01
24.40,5.78,5.78,-1.23,-1.23,1.22,1.07,0.56,7.00,7.00,7.00
24.65,5.82,5.82,-1.18,-1.18,1.18,1.05,0.58,7.00,7.00,7.00
24.89,5.86,5.86,-1.14,-1.14,1.14,1.04,0.59,7.00,7.00,7.00
25.14,5.90,5.90,-1.10,-1.10,1.10,1.02,0.61,7.00,7.00,7.00
25.39,5.94,5.94,-1.06,-1.06,1.06,1.01,0.62,7.00,7.00,7.00
25.65,5.97,5.97,-1.03,-1.03,1.03,0.99,0.64,6.99,7.00,7.00
25.91,6.01,6.01,-0.99,-0.99,0.99,0.98,0.66,7.00,7.00,7.00
26.16,6.04,6.04,-0.96,-0.95,0.95,0.96,0.67,6.99,6.99,7.00
26.43,6.08,6.08,-0.92,-0.92,0.92,0.95,0.69,7.00,6.99,6.99
26.69,6.11,6.11,-0.88,-0.88,0.88,0.93,0.70,6.99,6.99,6.99
26.96,6.14,6.14,-0.85,-0.85,0.85,0.92,0.72,6.99,6.99,6.99
27.23,6.17,6.17,-0.82,-0.82,0.82,0.90,0.73,6.99,6.99,6.99
27.50,6.20,6.20,-0.79,-0.79,0.79,0.89,0.74,6.98,6.99,6.99
27.77,6.23,6.23,-0.75,-0.75,0.75,0.87,0.76,6.98,6.98,6.98
28.05,6.26,6.26,-0.72,-0.72,0.72,0.86,0.77,6.98,6.98,6.98
