frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.47,13.47,7.61,7.61,-7.61,-6.31,-3.21,5.86,5.86,5.86
20.20,13.45,13.45,7.59,7.59,-7.59,-6.31,-3.30,5.86,5.86,5.86
20.40,13.43,13.43,7.57,7.58,-7.58,-6.31,-3.39,5.85,5.86,5.86
20.61,13.42,13.42,7.57,7.56,-7.56,-6.31,-3.49,5.86,5.85,5.86
20.81,13.40,13.40,7.55,7.55,-7.55,-6.31,-3.58,5.85,5.85,5.85
21.02,13.39,13.39,7.54,7.53,-7.54,-6.31,-3.69,5.85,5.85,5.85
21.23,13.37,13.37,7.52,7.52,-7.52,-6.31,-3.79,5.85,5.85,5.85
21.44,13.36,13.36,7.51,7.51,-7.51,-6.30,-3.90,5.85,5.85,5.85
21.66,13.35,13.35,7.50,7.50,-7.50,-6.30,-4.00,5.85,5.85,5.85
21.87,13.34,13.34,7.49,7.49,-7.49,-6.30,-4.12,5.85,5.85,5.85
22.09,13.32,13.32,7.47,7.47,-7.47,-6.30,-4.23,5.85,5.85,5.85
22.31,13.31,13.31,7.46,7.46,-7.46,-6.30,-4.35,5.85,5.85,5.85
22.54,13.30,13.30,7.45,7.45,-7.45,-6.30,-4.47,5.85,5.85,5.85
22.76,13.28,13.28,7.43,7.43,-7.43,-6.30,-4.60,5.85,5.85,5.85
22.99,13.26,13.26,7.41,7.42,-7.41,-6.29,-4.72,5.85,5.85,5.85
23.22,13.24,13.24,7.40,7.40,-7.40,-6.29,-4.86,5.84,5.84,5.85
23.45,13.22,13.22,7.38,7.38,-7.38,-6.29,-4.99,5.84,5.84,5.84
23.69,13.20,13.20,7.36,7.36,-7.36,-6.29,-5.13,5.84,5.84,5.84
23.92,13.18,13.18,7.34,7.34,-7.34,-6.29,-5.27,5.84,5.84,5.84
24.16,13.17,13.17,7.33,7.33,-7.33,-6.29,-5.41,5.84,5.84,5.84
24.40,13.15,13.15,7.31,7.31,-7.31,-6.28,-5.55,5.84,5.84,5.84
24.65,13.13,13.13,7.29,7.30,-7.30,-6.28,-5.70,5.84,5.84,5.84
24.89,13.12,13.12,7.28,7.28,-7.28,-6.28,-5.85,5.84,5.84,5.84
25.14,13.10,13.10,7.26,7.26,-7.27,-6.28,-6.00,5.83,5.83,5.84
