frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.39,6.39,0.60,0.60,-0.59,-1.00,-0.59,5.79,5.79,5.79
20.20,6.42,6.42,0.63,0.63,-0.63,-1.00,-0.60,5.79,5.79,5.79
20.40,6.45,6.45,0.66,0.66,-0.66,-1.01,-0.62,5.79,5.79,5.79
20.61,6.48,6.48,0.69,0.69,-0.69,-1.01,-0.64,5.79,5.79,5.79
20.81,6.51,6.51,0.72,0.72,-0.72,-1.02,-0.66,5.79,5.79,5.79
21.02,6.54,6.54,0.75,0.75,-0.75,-1.02,-0.68,5.79,5.79,5.79
21.23,6.57,6.57,0.78,0.78,-0.78,-1.02,-0.70,5.79,5.79,5.79
21.44,6.60,6.60,0.81,0.81,-0.81,-1.03,-0.72,5.79,5.79,5.79
21.66,6.63,6.63,0.84,0.84,-0.84,-1.03,-0.74,5.79,5.79,5.79
21.87,6.66,6.66,0.87,0.87,-0.87,-1.04,-0.76,5.79,5.79,5.79
22.09,6.69,6.69,0.90,0.90,-0.90,-1.04,-0.79,5.79,5.79,5.78
22.31,6.72,6.72,0.93,0.93,-0.93,-1.05,-0.81,5.79,5.79,5.78
22.54,6.74,6.74,0.95,0.96,-0.96,-1.06,-0.83,5.78,5.78,5.78
22.76,6.77,6.77,0.99,0.98,-0.98,-1.06,-0.86,5.78,5.78,5.78
22.99,6.79,6.79,1.01,1.01,-1.01,-1.07,-0.88,5.78,5.78,5.78
23.22,6.82,6.82,1.04,1.04,-1.03,-1.07,-0.91,5.78,5.78,5.78
23.45,6.84,6.84,1.06,1.06,-1.06,-1.08,-0.94,5.78,5.78,5.78
23.69,6.86,6.86,1.08,1.08,-1.08,-1.09,-0.96,5.78,5.78,5.78
23.92,6.88,6.88,1.10,1.10,-1.10,-1.09,-0.99,5.78,5.78,5.78
24.16,6.90,6.90,1.12,1.12,-1.12,-1.10,-1.02,5.77,5.77,5.78
24.40,6.92,6.92,1.14,1.14,-1.14,-1.11,-1.05,5.77,5.77,5.77
24.65,6.94,6.94,1.16,1.16,-1.16,-1.12,-1.08,5.77,5.77,5.77
24.89,6.96,6.96,1.19,1.18,-1.18,-1.13,-1.10,5.78,5.77,5.77
25.14,6.97,6.97,1.20,1.20,-1.20,-1.14,-1.13,5.77,5.77,5.77
25.39,6.99,6.98,1.22,1.22,-1.22,-1.14,-1.16,5.77,5.77,5.77
25.65,7.00,7.00,1.23,1.23,-1.23,-1.15,-1.19,5.77,5.77,5.77
25.91,7.01,7.01,1.24,1.25,-1.25,-1.16,-1.22,5.76,5.76,5.77
26.16,7.03,7.02,1.26,1.26,-1.26,-1.17,-1.25,5.77,5.76,5.76
26.43,7.04,7.04,1.27,1.27,-1.27,-1.18,-1.28,5.76,5.76,5.76
26.69,7.05,7.05,1.29,1.29,-1.29,-1.19,-1.31,5.76,5.76,5.76
26.96,7.06,7.06,1.30,1.30,-1.30,-1.20,-1.33,5.76,5.76,5.76
27.23,7.07,7.06,1.31,1.31,-1.31,-1.21,-1.36,5.76,5.76,5.76
27.50,7.07,7.07,1.31,1.32,-1.32,-1.22,-1.39,5.75,5.76,5.76
27.77,7.08,7.08,1.32,1.32,-1.32,-1.24,-1.41,5.75,5.75,5.75
28.05,7.09,7.08,1.34,1.33,-1.33,-1.25,-1.43,5.76,5.75,5.75
28.33,7.09,7.09,1.34,1.34,-1.34,-1.26,-1.46,5.75,5.75,5.75
28.62,7.09,7.09,1.34,1.34,-1.34,-1.27,-1.48,5.74,5.75,5.75
28.90,7.10,7.09,1.35,1.35,-1.35,-1.28,-1.50,5.75,5.75,5.75
29.19,7.10,7.10,1.35,1.35,-1.35,-1.29,-1.51,5.74,5.74,5.74
29.48,7.10,7.10,1.36,1.36,-1.36,-1.30,-1.53,5.74,5.74,5.74
29.78,7.10,7.10,1.36,1.36,-1.36,-1.31,-1.54,5.74,5.74,5.74
