frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.28,2.28,-3.52,-3.52,3.52,2.30,0.81,5.80,5.80,5.80
20.20,2.34,2.34,-3.46,-3.46,3.46,2.29,0.83,5.80,5.80,5.80
20.40,2.40,2.40,-3.40,-3.40,3.40,2.28,0.86,5.81,5.80,5.80
20.61,2.46,2.46,-3.34,-3.35,3.35,2.27,0.88,5.81,5.80,5.80
20.81,2.51,2.51,-3.29,-3.29,3.29,2.25,0.91,5.80,5.80,5.80
21.02,2.57,2.57,-3.23,-3.23,3.23,2.24,0.94,5.80,5.80,5.80
21.23,2.63,2.63,-3.17,-3.17,3.17,2.23,0.96,5.80,5.80,5.80
21.44,2.68,2.68,-3.12,-3.12,3.11,2.22,0.99,5.80,5.80,5.80
21.66,2.74,2.74,-3.06,-3.06,3.06,2.21,1.02,5.80,5.80,5.80
21.87,2.80,2.80,-3.00,-3.00,3.00,2.20,1.06,5.80,5.80,5.80
22.09,2.86,2.86,-2.94,-2.94,2.94,2.18,1.09,5.80,5.80,5.80
22.31,2.91,2.91,-2.88,-2.88,2.88,2.17,1.12,5.79,5.80,5.80
22.54,2.97,2.97,-2.83,-2.83,2.83,2.16,1.15,5.80,5.79,5.80
22.76,3.02,3.02,-2.77,-2.77,2.77,2.15,1.19,5.79,5.79,5.79
22.99,3.08,3.08,-2.71,-2.72,2.72,2.14,1.22,5.80,5.79,5.79
23.22,3.13,3.13,-2.66,-2.66,2.66,2.12,1.26,5.79,5.79,5.79
23.45,3.18,3.18,-2.61,-2.61,2.61,2.11,1.29,5.79,5.79,5.79
23.69,3.23,3.23,-2.56,-2.56,2.56,2.10,1.33,5.79,5.79,5.79
23.92,3.27,3.27,-2.52,-2.52,2.52,2.09,1.37,5.79,5.79,5.79
24.16,3.32,3.32,-2.47,-2.47,2.47,2.07,1.41,5.79,5.79,5.79
24.40,3.36,3.36,-2.43,-2.42,2.42,2.06,1.45,5.78,5.79,5.79
24.65,3.41,3.41,-2.38,-2.38,2.38,2.05,1.49,5.79,5.78,5.79
24.89,3.45,3.45,-2.33,-2.33,2.33,2.03,1.53,5.78,5.78,5.78
25.14,3.49,3.50,-2.29,-2.29,2.29,2.02,1.57,5.78,5.78,5.78
25.39,3.54,3.54,-2.24,-2.24,2.24,2.01,1.61,5.78,5.78,5.78
25.65,3.58,3.58,-2.20,-2.20,2.20,1.99,1.65,5.78,5.78,5.78
25.91,3.62,3.62,-2.16,-2.16,2.16,1.98,1.69,5.78,5.78,5.78
26.16,3.66,3.66,-2.12,-2.12,2.12,1.97,1.73,5.78,5.78,5.78
26.43,3.70,3.70,-2.08,-2.08,2.08,1.95,1.77,5.78,5.78,5.78
26.69,3.74,3.74,-2.03,-2.04,2.04,1.94,1.81,5.78,5.77,5.77
26.96,3.77,3.77,-2.00,-2.00,2.00,1.93,1.85,5.77,5.77,5.77
27.23,3.81,3.81,-1.96,-1.96,1.96,1.91,1.88,5.77,5.77,5.77
27.50,3.84,3.84,-1.93,-1.92,1.92,1.90,1.92,5.77,5.77,5.77
27.77,3.88,3.88,-1.89,-1.89,1.89,1.88,1.95,5.77,5.77,5.77
28.05,3.91,3.91,-1.85,-1.85,1.85,1.87,1.99,5.76,5.76,5.76
28.33,3.94,3.94,-1.82,-1.82,1.82,1.85,2.02,5.76,5.76,5.76
28.62,3.97,3.97,-1.79,-1.79,1.79,1.84,2.05,5.76,5.76,5.76
28.90,4.01,4.00,-1.75,-1.75,1.75,1.82,2.08,5.76,5.76,5.76
29.19,4.03,4.03,-1.72,-1.72,1.72,1.81,2.10,5.75,5.76,5.76
29.48,4.06,4.06,-1.69,-1.69,1.69,1.79,2.12,5.75,5.75,5.75
29.78,4.09,4.09,-1.66,-1.66,1.66,1.78,2.14,5.75,5.75,5.75
30.08,4.12,4.12,-1.63,-1.63,1.63,1.76,2.16,5.75,5.75,5.75
30.38,4.14,4.14,-1.60,-1.60,1.60,1.74,2.17,5.74,5.75,5.75
30.68,4.16,4.16,-1.58,-1.58,1.58,1.73,2.18,5.74,5.74,5.74
30.99,4.19,4.19,-1.55,-1.55,1.55,1.71,2.19,5.74,5.74,5.74
31.30,4.21,4.21,-1.53,-1.53,1.53,1.69,2.19,5.74,5.74,5.74
31.61,4.23,4.23,-1.50,-1.50,1.50,1.67,2.19,5.73,5.73,5.73
31.93,4.25,4.25,-1.48,-1.48,1.48,1.66,2.19,5.73,5.73,5.73
32.24,4.27,4.27,-1.46,-1.46,1.46,1.64,2.18,5.73,5.73,5.73
32.57,4.29,4.29,-1.43,-1.43,1.43,1.62,2.17,5.72,5.72,5.72
32.89,4.31,4.31,-1.41,-1.41,1.41,1.60,2.16,5.72,5.72,5.72
33.22,4.32,4.33,-1.39,-1.39,1.39,1.58,2.15,5.71,5.72,5.72
33.55,4.34,4.34,-1.37,-1.37,1.37,1.56,2.13,5.71,5.71,5.71
33.89,4.36,4.36,-1.35,-1.35,1.35,1.54,2.11,5.71,5.71,5.71
34.23,4.37,4.37,-1.33,-1.33,1.33,1.52,2.09,5.70,5.71,5.70
34.57,4.39,4.39,-1.31,-1.31,1.31,1.50,2.06,5.70,5.70,5.70
34.92,4.40,4.40,-1.29,-1.29,1.30,1.48,2.03,5.70,5.70,5.69
35.27,4.41,4.41,-1.28,-1.28,1.28,1.46,2.01,5.69,5.69,5.69
35.62,4.42,4.42,-1.26,-1.26,1.26,1.44,1.98,5.68,5.68,5.69
35.97,4.43,4.43,-1.25,-1.25,1.25,1.41,1.94,5.68,5.68,5.68
36.33,4.44,4.44,-1.23,-1.23,1.23,1.39,1.91,5.67,5.67,5.67
36.70,4.45,4.45,-1.22,-1.22,1.22,1.37,1.88,5.67,5.67,5.67
37.06,4.46,4.46,-1.20,-1.20,1.20,1.35,1.85,5.67,5.66,5.66
37.43,4.47,4.47,-1.19,-1.19,1.19,1.32,1.81,5.66,5.66,5.66
37.81,4.47,4.47,-1.18,-1.18,1.18,1.30,1.78,5.65,5.65,5.65
38.19,4.48,4.48,-1.16,-1.17,1.17,1.28,1.74,5.65,5.64,5.65
38.57,4.48,4.48,-1.16,-1.16,1.16,1.26,1.71,5.64,5.64,5.64
38.95,4.48,4.49,-1.15,-1.15,1.15,1.23,1.67,5.63,5.63,5.63
39.34,4.49,4.49,-1.13,-1.14,1.14,1.21,1.64,5.63,5.62,5.62
39.74,4.49,4.49,-1.13,-1.13,1.13,1.19,1.61,5.62,5.62,5.62
40.14,4.49,4.49,-1.12,-1.12,1.12,1.17,1.57,5.61,5.61,5.61
40.54,4.49,4.49,-1.11,-1.11,1.11,1.15,1.54,5.60,5.60,5.60
40.94,4.49,4.49,-1.10,-1.10,1.10,1.13,1.51,5.59,5.59,5.59
41.35,4.49,4.49,-1.09,-1.10,1.10,1.11,1.48,5.59,5.59,5.59
41.76,4.49,4.49,-1.09,-1.09,1.09,1.09,1.45,5.58,5.58,5.58
42.18,4.48,4.48,-1.09,-1.08,1.08,1.08,1.42,5.56,5.57,5.57
42.60,4.48,4.48,-1.08,-1.08,1.08,1.06,1.39,5.56,5.56,5.56
43.03,4.48,4.48,-1.07,-1.07,1.07,1.05,1.37,5.55,5.55,5.55
43.46,4.47,4.47,-1.07,-1.06,1.07,1.04,1.34,5.54,5.54,5.54
43.90,4.47,4.47,-1.06,-1.06,1.06,1.02,1.32,5.53,5.53,5.53
44.33,4.46,4.46,-1.06,-1.06,1.06,1.02,1.29,5.52,5.52,5.52
44.78,4.45,4.45,-1.06,-1.06,1.05,1.01,1.27,5.50,5.50,5.51
45.23,4.44,4.44,-1.05,-1.05,1.05,1.00,1.25,5.49,5.49,5.49
45.68,4.43,4.43,-1.05,-1.05,1.05,1.00,1.23,5.48,5.48,5.48
46.13,4.43,4.42,-1.04,-1.05,1.05,0.99,1.21,5.48,5.47,5.47
46.60,4.41,4.41,-1.05,-1.04,1.04,0.99,1.19,5.45,5.46,5.46
47.06,4.40,4.40,-1.04,-1.04,1.04,0.99,1.17,5.44,5.44,5.44
47.53,4.39,4.39,-1.04,-1.04,1.04,0.99,1.16,5.43,5.43,5.43
48.01,4.38,4.38,-1.03,-1.04,1.04,0.99,1.14,5.42,5.42,5.42
48.49,4.37,4.37,-1.03,-1.03,1.03,1.00,1.13,5.40,5.40,5.40
48.97,4.35,4.35,-1.03,-1.03,1.03,1.00,1.11,5.38,5.39,5.39
49.46,4.34,4.34,-1.03,-1.03,1.03,1.00,1.10,5.37,5.37,5.37
49.96,4.32,4.32,-1.03,-1.03,1.03,1.01,1.09,5.35,5.35,5.35
50.46,4.31,4.31,-1.03,-1.03,1.03,1.01,1.07,5.34,5.34,5.34
50.96,4.29,4.29,-1.03,-1.03,1.03,1.02,1.06,5.32,5.32,5.32
51.47,4.27,4.28,-1.03,-1.03,1.03,1.02,1.05,5.30,5.30,5.30
51.99,4.26,4.26,-1.02,-1.02,1.02,1.03,1.04,5.29,5.28,5.28
52.51,4.24,4.24,-1.02,-1.02,1.02,1.03,1.03,5.26,5.26,5.26
53.03,4.22,4.22,-1.02,-1.02,1.02,1.04,1.02,5.24,5.24,5.24
53.56,4.20,4.20,-1.02,-1.02,1.02,1.04,1.02,5.22,5.22,5.22
54.10,4.18,4.18,-1.02,-1.02,1.02,1.05,1.01,5.20,5.20,5.20
54.64,4.16,4.16,-1.02,-1.02,1.02,1.05,1.00,5.18,5.18,5.18
55.18,4.14,4.14,-1.02,-1.02,1.02,1.06,0.99,5.16,5.16,5.16
55.74,4.11,4.12,-1.02,-1.02,1.02,1.06,0.98,5.13,5.13,5.13
56.29,4.09,4.09,-1.02,-1.02,1.02,1.06,0.97,5.11,5.11,5.11
56.86,4.07,4.07,-1.01,-1.02,1.02,1.07,0.97,5.09,5.08,5.08
57.42,4.04,4.04,-1.02,-1.01,1.02,1.07,0.96,5.06,5.06,5.06
58.00,4.02,4.02,-1.01,-1.01,1.01,1.07,0.95,5.03,5.03,5.03
58.58,3.99,3.99,-1.01,-1.01,1.01,1.07,0.94,5.00,5.00,5.00
59.16,3.97,3.97,-1.01,-1.01,1.01,1.07,0.93,4.98,4.98,4.98
59.76,3.94,3.94,-1.01,-1.01,1.01,1.07,0.92,4.95,4.95,4.95
60.35,3.91,3.92,-1.01,-1.00,1.00,1.07,0.91,4.91,4.92,4.92
60.96,3.89,3.89,-1.00,-1.00,1.00,1.07,0.90,4.89,4.89,4.89
61.57,3.86,3.86,-1.00,-1.00,1.00,1.07,0.88,4.86,4.86,4.86
62.18,3.83,3.83,-0.99,-0.99,0.99,1.06,0.87,4.82,4.82,4.82
62.80,3.80,3.80,-0.99,-0.99,0.99,1.06,0.86,4.79,4.79,4.79
63.43,3.77,3.77,-0.99,-0.99,0.98,1.05,0.84,4.75,4.75,4.76
64.07,3.74,3.74,-0.98,-0.98,0.98,1.05,0.83,4.72,4.72,4.72
64.71,3.71,3.71,-0.97,-0.97,0.97,1.04,0.81,4.68,4.68,4.68
65.35,3.68,3.68,-0.97,-0.97,0.97,1.04,0.80,4.65,4.65,4.65
66.01,3.65,3.65,-0.96,-0.96,0.96,1.03,0.78,4.61,4.61,4.61
66.67,3.62,3.62,-0.95,-0.95,0.95,1.02,0.76,4.57,4.57,4.57
67.33,3.58,3.58,-0.95,-0.95,0.95,1.01,0.75,4.53,4.53,4.53
68.01,3.55,3.55,-0.94,-0.94,0.94,1.00,0.73,4.49,4.49,4.49
68.69,3.52,3.52,-0.93,-0.93,0.93,0.99,0.71,4.45,4.45,4.45
69.37,3.49,3.49,-0.91,-0.92,0.92,0.98,0.69,4.41,4.41,4.40
70.07,3.45,3.45,-0.91,-0.91,0.91,0.97,0.67,4.36,4.36,4.36
70.77,3.42,3.42,-0.89,-0.90,0.90,0.96,0.65,4.32,4.32,4.32
71.48,3.38,3.38,-0.89,-0.89,0.89,0.95,0.63,4.27,4.27,4.27
72.19,3.35,3.35,-0.87,-0.87,0.87,0.93,0.60,4.22,4.22,4.22
72.91,3.31,3.31,-0.86,-0.86,0.86,0.92,0.58,4.17,4.17,4.17
73.64,3.28,3.28,-0.84,-0.85,0.85,0.91,0.56,4.13,4.12,4.12
74.38,3.24,3.24,-0.83,-0.83,0.83,0.89,0.54,4.07,4.07,4.07
75.12,3.20,3.20,-0.82,-0.82,0.82,0.87,0.52,4.02,4.02,4.02
75.87,3.17,3.17,-0.80,-0.80,0.80,0.86,0.50,3.97,3.97,3.97
76.63,3.13,3.13,-0.79,-0.79,0.79,0.84,0.47,3.92,3.92,3.92
77.40,3.09,3.09,-0.77,-0.77,0.77,0.82,0.45,3.86,3.86,3.86
78.17,3.06,3.06,-0.75,-0.75,0.75,0.80,0.43,3.81,3.81,3.81
78.95,3.02,3.02,-0.73,-0.73,0.73,0.78,0.41,3.75,3.75,3.75
79.74,2.98,2.98,-0.71,-0.71,0.71,0.76,0.39,3.69,3.69,3.69
80.54,2.94,2.94,-0.70,-0.69,0.69,0.74,0.36,3.63,3.63,3.64
81.35,2.91,2.91,-0.67,-0.67,0.67,0.71,0.34,3.58,3.58,3.58
82.16,2.87,2.87,-0.65,-0.65,0.65,0.69,0.32,3.52,3.52,3.52
82.98,2.83,2.83,-0.62,-0.62,0.63,0.67,0.30,3.46,3.46,3.46
83.81,2.79,2.79,-0.60,-0.60,0.60,0.64,0.28,3.39,3.39,3.39
84.65,2.75,2.75,-0.58,-0.58,0.58,0.62,0.26,3.33,3.33,3.33
85.50,2.71,2.71,-0.56,-0.56,0.56,0.59,0.23,3.27,3.27,3.27
86.35,2.67,2.67,-0.53,-0.53,0.53,0.56,0.21,3.20,3.20,3.20
87.22,2.63,2.63,-0.51,-0.51,0.51,0.54,0.19,3.14,3.14,3.14
88.09,2.59,2.59,-0.48,-0.48,0.48,0.51,0.17,3.07,3.07,3.07
88.97,2.55,2.55,-0.45,-0.45,0.45,0.48,0.15,3.01,3.01,3.01
89.86,2.51,2.51,-0.43,-0.43,0.43,0.45,0.13,2.94,2.94,2.94
90.76,2.47,2.47,-0.40,-0.40,0.40,0.42,0.11,2.87,2.87,2.87
91.66,2.43,2.43,-0.37,-0.37,0.37,0.39,0.09,2.80,2.80,2.80
92.58,2.39,2.39,-0.34,-0.34,0.34,0.36,0.07,2.73,2.73,2.73
93.51,2.35,2.35,-0.31,-0.31,0.31,0.33,0.05,2.66,2.66,2.66
94.44,2.31,2.31,-0.28,-0.28,0.28,0.30,0.03,2.59,2.59,2.59
95.39,2.27,2.27,-0.25,-0.25,0.25,0.27,0.01,2.52,2.52,2.52
96.34,2.23,2.23,-0.22,-0.22,0.22,0.23,-0.01,2.45,2.45,2.45
97.30,2.19,2.19,-0.19,-0.19,0.19,0.20,-0.03,2.38,2.38,2.38
98.28,2.15,2.15,-0.16,-0.16,0.16,0.17,-0.05,2.31,2.31,2.31
99.26,2.11,2.11,-0.12,-0.12,0.12,0.13,-0.07,2.23,2.23,2.23
100.25,2.07,2.07,-0.09,-0.09,0.09,0.10,-0.09,2.16,2.16,2.16
101.25,2.03,2.03,-0.06,-0.06,0.06,0.07,-0.11,2.09,2.09,2.09
102.27,1.99,1.99,-0.03,-0.03,0.03,0.03,-0.13,2.02,2.02,2.02
103.29,1.95,1.95,0.01,0.01,-0.01,-0.00,-0.15,1.94,1.94,1.94
104.32,1.91,1.91,0.04,0.04,-0.04,-0.04,-0.16,1.87,1.87,1.87
105.37,1.87,1.87,0.07,0.07,-0.07,-0.07,-0.18,1.80,1.80,1.80
106.42,1.83,1.83,0.11,0.11,-0.11,-0.11,-0.20,1.72,1.72,1.72
107.48,1.79,1.79,0.14,0.14,-0.14,-0.14,-0.22,1.65,1.65,1.65
108.56,1.75,1.75,0.17,0.17,-0.17,-0.18,-0.24,1.58,1.58,1.58
109.64,1.71,1.71,0.21,0.20,-0.21,-0.21,-0.26,1.50,1.50,1.51
110.74,1.67,1.67,0.24,0.24,-0.24,-0.24,-0.27,1.43,1.43,1.43
111.85,1.63,1.63,0.27,0.27,-0.27,-0.28,-0.29,1.36,1.36,1.36
112.97,1.60,1.60,0.31,0.31,-0.31,-0.31,-0.31,1.29,1.29,1.29
114.10,1.56,1.56,0.34,0.34,-0.34,-0.35,-0.33,1.22,1.22,1.22
115.24,1.52,1.52,0.38,0.38,-0.37,-0.38,-0.34,1.15,1.15,1.15
116.39,1.48,1.48,0.41,0.41,-0.41,-0.41,-0.36,1.07,1.07,1.07
117.55,1.44,1.44,0.44,0.44,-0.44,-0.45,-0.38,1.00,1.00,1.00
118.73,1.41,1.41,0.48,0.47,-0.47,-0.48,-0.39,0.94,0.93,0.93
119.92,1.37,1.37,0.51,0.51,-0.51,-0.51,-0.41,0.86,0.86,0.87
121.12,1.33,1.33,0.53,0.54,-0.54,-0.54,-0.43,0.79,0.80,0.80
122.33,1.30,1.30,0.57,0.57,-0.57,-0.58,-0.44,0.73,0.73,0.73
