frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.07,1.07,-4.87,-4.87,4.87,4.63,1.45,5.94,5.94,5.94
20.20,1.12,1.12,-4.82,-4.82,4.82,4.59,1.49,5.94,5.94,5.94
20.40,1.17,1.17,-4.77,-4.77,4.77,4.55,1.54,5.94,5.94,5.94
20.61,1.22,1.22,-4.72,-4.72,4.72,4.51,1.58,5.94,5.94,5.94
20.81,1.27,1.27,-4.67,-4.67,4.67,4.47,1.63,5.94,5.94,5.94
21.02,1.32,1.32,-4.62,-4.62,4.62,4.44,1.68,5.94,5.94,5.94
21.23,1.37,1.37,-4.57,-4.57,4.57,4.40,1.73,5.93,5.93,5.94
21.44,1.42,1.42,-4.52,-4.52,4.52,4.36,1.78,5.93,5.93,5.93
21.66,1.47,1.47,-4.47,-4.47,4.46,4.32,1.84,5.93,5.93,5.93
21.87,1.52,1.52,-4.41,-4.41,4.41,4.28,1.89,5.93,5.93,5.93
22.09,1.58,1.57,-4.35,-4.36,4.36,4.25,1.95,5.94,5.93,5.93
22.31,1.63,1.63,-4.30,-4.30,4.31,4.21,2.01,5.93,5.93,5.93
22.54,1.68,1.68,-4.25,-4.25,4.25,4.17,2.06,5.93,5.93,5.93
22.76,1.73,1.73,-4.20,-4.20,4.20,4.13,2.13,5.93,5.93,5.93
22.99,1.78,1.78,-4.15,-4.15,4.15,4.10,2.19,5.93,5.93,5.93
23.22,1.83,1.83,-4.10,-4.10,4.10,4.06,2.25,5.93,5.93,5.93
23.45,1.88,1.88,-4.05,-4.05,4.05,4.02,2.32,5.93,5.93,5.93
23.69,1.93,1.92,-4.00,-4.00,4.00,3.98,2.38,5.93,5.93,5.93
23.92,1.97,1.97,-3.96,-3.96,3.96,3.95,2.45,5.93,5.93,5.92
24.16,2.01,2.01,-3.91,-3.91,3.91,3.91,2.52,5.92,5.92,5.92
24.40,2.06,2.05,-3.86,-3.87,3.87,3.87,2.59,5.92,5.92,5.92
24.65,2.10,2.10,-3.82,-3.82,3.82,3.83,2.66,5.92,5.92,5.92
24.89,2.14,2.14,-3.78,-3.78,3.78,3.80,2.73,5.91,5.92,5.92
25.14,2.19,2.18,-3.73,-3.73,3.73,3.76,2.80,5.92,5.92,5.92
25.39,2.23,2.23,-3.69,-3.69,3.69,3.72,2.88,5.92,5.92,5.92
25.65,2.27,2.27,-3.65,-3.64,3.64,3.69,2.95,5.91,5.92,5.91
25.91,2.32,2.31,-3.60,-3.60,3.60,3.65,3.02,5.92,5.91,5.91
26.16,2.36,2.36,-3.55,-3.55,3.56,3.62,3.09,5.92,5.91,5.91
26.43,2.40,2.40,-3.51,-3.51,3.52,3.58,3.16,5.91,5.91,5.91
26.69,2.44,2.43,-3.47,-3.47,3.47,3.54,3.23,5.91,5.91,5.91
26.96,2.47,2.47,-3.44,-3.44,3.43,3.51,3.30,5.90,5.91,5.91
27.23,2.51,2.51,-3.40,-3.40,3.40,3.47,3.37,5.90,5.90,5.91
27.50,2.55,2.54,-3.36,-3.36,3.36,3.44,3.44,5.90,5.90,5.90
27.77,2.58,2.58,-3.32,-3.32,3.32,3.40,3.50,5.90,5.90,5.90
28.05,2.62,2.62,-3.28,-3.28,3.28,3.37,3.56,5.90,5.90,5.90
28.33,2.65,2.65,-3.25,-3.25,3.25,3.33,3.62,5.90,5.90,5.90
28.62,2.69,2.69,-3.21,-3.21,3.21,3.30,3.67,5.90,5.90,5.89
28.90,2.72,2.72,-3.17,-3.18,3.18,3.26,3.72,5.89,5.89,5.89
29.19,2.75,2.75,-3.14,-3.14,3.14,3.23,3.76,5.89,5.89,5.89
29.48,2.78,2.78,-3.11,-3.11,3.11,3.20,3.80,5.89,5.89,5.89
29.78,2.81,2.81,-3.08,-3.08,3.08,3.16,3.84,5.88,5.88,5.89
30.08,2.84,2.84,-3.05,-3.05,3.04,3.13,3.86,5.88,5.88,5.88
30.38,2.87,2.87,-3.01,-3.01,3.01,3.10,3.89,5.88,5.88,5.88
30.68,2.90,2.90,-2.98,-2.98,2.98,3.06,3.90,5.88,5.87,5.88
30.99,2.93,2.93,-2.95,-2.95,2.95,3.03,3.92,5.87,5.87,5.87
31.30,2.96,2.96,-2.91,-2.91,2.91,3.00,3.92,5.87,5.87,5.87
31.61,3.00,2.99,-2.87,-2.88,2.88,2.97,3.92,5.88,5.87,5.87
31.93,3.02,3.02,-2.85,-2.84,2.85,2.93,3.91,5.86,5.87,5.86
32.24,3.05,3.05,-2.81,-2.81,2.81,2.90,3.90,5.86,5.86,5.86
32.57,3.08,3.08,-2.78,-2.78,2.78,2.87,3.88,5.86,5.86,5.86
32.89,3.11,3.11,-2.75,-2.75,2.75,2.84,3.85,5.86,5.86,5.85
33.22,3.13,3.13,-2.72,-2.72,2.72,2.81,3.82,5.85,5.85,5.85
33.55,3.16,3.16,-2.69,-2.69,2.69,2.78,3.79,5.85,5.85,5.85
33.89,3.18,3.18,-2.66,-2.66,2.66,2.75,3.75,5.84,5.84,5.84
34.23,3.21,3.21,-2.63,-2.63,2.63,2.71,3.70,5.84,5.84,5.84
34.57,3.23,3.23,-2.61,-2.60,2.60,2.68,3.65,5.83,5.83,5.83
34.92,3.26,3.25,-2.57,-2.57,2.58,2.65,3.60,5.83,5.83,5.83
35.27,3.28,3.28,-2.55,-2.55,2.55,2.62,3.55,5.83,5.83,5.82
35.62,3.30,3.30,-2.52,-2.52,2.52,2.60,3.49,5.82,5.82,5.82
35.97,3.32,3.32,-2.50,-2.50,2.49,2.57,3.43,5.81,5.81,5.81
36.33,3.34,3.34,-2.47,-2.47,2.47,2.54,3.37,5.80,5.81,5.81
36.70,3.37,3.36,-2.44,-2.44,2.44,2.51,3.31,5.81,5.80,5.80
37.06,3.39,3.39,-2.41,-2.41,2.41,2.48,3.24,5.80,5.80,5.80
37.43,3.41,3.41,-2.38,-2.38,2.39,2.45,3.18,5.79,5.79,5.79
37.81,3.43,3.43,-2.36,-2.36,2.36,2.42,3.11,5.79,5.79,5.79
38.19,3.45,3.45,-2.33,-2.33,2.33,2.39,3.04,5.78,5.78,5.78
38.57,3.47,3.47,-2.31,-2.31,2.31,2.37,2.98,5.77,5.77,5.77
38.95,3.49,3.48,-2.28,-2.28,2.28,2.34,2.91,5.77,5.77,5.77
39.34,3.50,3.50,-2.26,-2.26,2.26,2.31,2.85,5.76,5.76,5.76
39.74,3.52,3.52,-2.23,-2.23,2.23,2.28,2.79,5.75,5.75,5.75
40.14,3.54,3.53,-2.21,-2.21,2.21,2.26,2.72,5.75,5.74,5.74
40.54,3.55,3.55,-2.19,-2.19,2.19,2.23,2.66,5.73,5.74,5.74
40.94,3.57,3.56,-2.16,-2.16,2.16,2.20,2.60,5.73,5.73,5.73
41.35,3.58,3.58,-2.14,-2.14,2.14,2.18,2.54,5.71,5.72,5.72
41.76,3.60,3.60,-2.11,-2.11,2.11,2.15,2.49,5.71,5.71,5.71
42.18,3.62,3.62,-2.08,-2.09,2.09,2.12,2.43,5.70,5.70,5.70
42.60,3.64,3.63,-2.06,-2.06,2.06,2.10,2.37,5.70,5.70,5.69
43.03,3.65,3.65,-2.04,-2.04,2.04,2.07,2.32,5.69,5.69,5.68
43.46,3.66,3.66,-2.02,-2.01,2.02,2.05,2.27,5.67,5.67,5.67
43.90,3.67,3.67,-2.00,-2.00,1.99,2.02,2.22,5.66,5.66,5.66
44.33,3.68,3.68,-1.97,-1.97,1.97,1.99,2.17,5.65,5.65,5.65
44.78,3.69,3.69,-1.95,-1.95,1.95,1.97,2.13,5.64,5.64,5.64
45.23,3.70,3.70,-1.93,-1.93,1.93,1.94,2.09,5.63,5.63,5.63
45.68,3.71,3.71,-1.91,-1.91,1.91,1.92,2.04,5.62,5.62,5.62
46.13,3.72,3.72,-1.89,-1.89,1.89,1.89,2.00,5.61,5.61,5.60
46.60,3.73,3.72,-1.86,-1.87,1.87,1.87,1.96,5.60,5.59,5.59
47.06,3.73,3.73,-1.85,-1.85,1.85,1.84,1.93,5.57,5.58,5.58
47.53,3.74,3.74,-1.83,-1.83,1.83,1.82,1.89,5.56,5.56,5.56
48.01,3.75,3.74,-1.80,-1.81,1.81,1.79,1.86,5.55,5.55,5.55
48.49,3.75,3.75,-1.79,-1.78,1.78,1.77,1.82,5.53,5.54,5.54
48.97,3.76,3.76,-1.76,-1.76,1.76,1.74,1.79,5.52,5.52,5.52
49.46,3.77,3.76,-1.74,-1.74,1.74,1.72,1.76,5.51,5.51,5.50
49.96,3.77,3.77,-1.72,-1.72,1.72,1.69,1.73,5.49,5.49,5.49
50.46,3.78,3.77,-1.69,-1.70,1.70,1.67,1.71,5.47,5.47,5.47
50.96,3.78,3.78,-1.68,-1.67,1.67,1.64,1.68,5.45,5.45,5.45
51.47,3.79,3.79,-1.65,-1.65,1.65,1.61,1.65,5.43,5.43,5.44
51.99,3.80,3.79,-1.62,-1.62,1.62,1.59,1.63,5.42,5.42,5.42
52.51,3.80,3.80,-1.60,-1.60,1.60,1.56,1.61,5.40,5.40,5.40
53.03,3.81,3.81,-1.57,-1.57,1.57,1.54,1.58,5.38,5.38,5.38
53.56,3.81,3.81,-1.55,-1.55,1.55,1.51,1.56,5.35,5.36,5.36
54.10,3.82,3.81,-1.52,-1.52,1.52,1.49,1.54,5.34,5.34,5.34
54.64,3.82,3.82,-1.50,-1.50,1.50,1.46,1.51,5.31,5.31,5.31
55.18,3.82,3.82,-1.47,-1.47,1.47,1.43,1.49,5.29,5.29,5.29
55.74,3.83,3.82,-1.44,-1.44,1.44,1.41,1.47,5.27,5.27,5.27
56.29,3.83,3.83,-1.42,-1.42,1.42,1.38,1.45,5.24,5.24,5.24
56.86,3.83,3.83,-1.39,-1.39,1.39,1.35,1.43,5.22,5.22,5.22
57.42,3.83,3.83,-1.37,-1.36,1.36,1.32,1.40,5.19,5.19,5.19
58.00,3.84,3.83,-1.33,-1.33,1.33,1.30,1.38,5.17,5.17,5.17
58.58,3.84,3.84,-1.30,-1.30,1.30,1.27,1.36,5.14,5.14,5.14
59.16,3.84,3.84,-1.27,-1.27,1.28,1.24,1.33,5.11,5.11,5.11
59.76,3.84,3.84,-1.25,-1.25,1.25,1.21,1.31,5.08,5.08,5.08
60.35,3.84,3.84,-1.22,-1.22,1.22,1.18,1.28,5.06,5.05,5.05
60.96,3.83,3.83,-1.19,-1.19,1.19,1.15,1.25,5.02,5.02,5.02
61.57,3.83,3.83,-1.16,-1.17,1.16,1.12,1.22,4.99,4.99,4.99
62.18,3.82,3.82,-1.14,-1.14,1.14,1.09,1.19,4.95,4.96,4.96
62.80,3.82,3.82,-1.11,-1.11,1.11,1.06,1.16,4.93,4.92,4.93
63.43,3.81,3.81,-1.08,-1.08,1.08,1.03,1.13,4.89,4.89,4.89
64.07,3.81,3.81,-1.05,-1.05,1.05,1.00,1.10,4.86,4.86,4.86
64.71,3.80,3.80,-1.02,-1.02,1.02,0.96,1.06,4.82,4.82,4.82
65.35,3.80,3.80,-0.99,-0.99,0.99,0.93,1.03,4.78,4.78,4.78
66.01,3.79,3.79,-0.96,-0.95,0.95,0.90,0.99,4.74,4.74,4.74
66.67,3.79,3.79,-0.92,-0.92,0.92,0.86,0.95,4.71,4.71,4.71
67.33,3.78,3.78,-0.89,-0.89,0.89,0.83,0.91,4.66,4.66,4.67
68.01,3.78,3.78,-0.85,-0.85,0.85,0.80,0.87,4.63,4.62,4.62
68.69,3.77,3.77,-0.81,-0.81,0.81,0.76,0.83,4.58,4.58,4.58
69.37,3.77,3.76,-0.77,-0.78,0.77,0.72,0.78,4.54,4.54,4.54
70.07,3.76,3.76,-0.74,-0.74,0.74,0.69,0.74,4.49,4.49,4.50
70.77,3.75,3.75,-0.70,-0.70,0.70,0.65,0.69,4.45,4.45,4.45
71.48,3.75,3.74,-0.66,-0.66,0.66,0.61,0.65,4.41,4.40,4.40
72.19,3.74,3.74,-0.62,-0.62,0.62,0.57,0.60,4.36,4.36,4.36
72.91,3.73,3.73,-0.58,-0.58,0.58,0.54,0.55,4.31,4.31,4.31
73.64,3.72,3.72,-0.54,-0.54,0.54,0.50,0.50,4.26,4.26,4.26
74.38,3.71,3.71,-0.50,-0.50,0.50,0.46,0.46,4.21,4.21,4.21
75.12,3.70,3.70,-0.46,-0.46,0.46,0.42,0.41,4.16,4.16,4.16
75.87,3.69,3.68,-0.42,-0.42,0.42,0.38,0.36,4.11,4.11,4.11
76.63,3.67,3.67,-0.38,-0.38,0.38,0.33,0.31,4.05,4.05,4.05
77.40,3.66,3.66,-0.34,-0.34,0.34,0.29,0.25,4.00,4.00,4.00
78.17,3.65,3.65,-0.29,-0.30,0.30,0.25,0.20,3.94,3.94,3.94
78.95,3.64,3.63,-0.25,-0.25,0.25,0.21,0.15,3.89,3.89,3.89
79.74,3.62,3.62,-0.21,-0.21,0.21,0.16,0.10,3.83,3.83,3.83
80.54,3.61,3.61,-0.16,-0.16,0.16,0.12,0.05,3.77,3.77,3.77
81.35,3.60,3.59,-0.11,-0.12,0.12,0.07,-0.01,3.72,3.71,3.71
82.16,3.58,3.58,-0.07,-0.07,0.07,0.03,-0.06,3.65,3.65,3.65
82.98,3.57,3.57,-0.02,-0.02,0.02,-0.02,-0.11,3.59,3.59,3.59
83.81,3.55,3.55,0.02,0.02,-0.02,-0.06,-0.17,3.53,3.53,3.53
84.65,3.54,3.54,0.07,0.07,-0.07,-0.11,-0.22,3.47,3.47,3.47
85.50,3.52,3.52,0.12,0.12,-0.12,-0.16,-0.28,3.40,3.40,3.40
86.35,3.51,3.50,0.17,0.17,-0.17,-0.20,-0.33,3.34,3.34,3.34
87.22,3.49,3.49,0.22,0.22,-0.22,-0.25,-0.39,3.27,3.27,3.27
88.09,3.47,3.47,0.26,0.27,-0.27,-0.30,-0.44,3.20,3.21,3.21
88.97,3.46,3.45,0.32,0.31,-0.32,-0.35,-0.50,3.14,3.14,3.14
89.86,3.44,3.44,0.37,0.37,-0.37,-0.40,-0.56,3.07,3.07,3.07
90.76,3.42,3.42,0.41,0.42,-0.42,-0.45,-0.61,3.00,3.00,3.00
91.66,3.41,3.40,0.47,0.47,-0.47,-0.50,-0.67,2.94,2.94,2.94
92.58,3.39,3.39,0.52,0.52,-0.52,-0.55,-0.73,2.87,2.87,2.87
93.51,3.37,3.37,0.57,0.57,-0.57,-0.59,-0.79,2.80,2.80,2.80
94.44,3.35,3.35,0.62,0.62,-0.62,-0.64,-0.84,2.73,2.73,2.73
95.39,3.33,3.33,0.67,0.67,-0.67,-0.69,-0.90,2.66,2.66,2.66
96.34,3.31,3.31,0.72,0.72,-0.72,-0.74,-0.96,2.58,2.58,2.58
97.30,3.29,3.29,0.77,0.77,-0.78,-0.79,-1.02,2.51,2.51,2.51
98.28,3.27,3.27,0.83,0.83,-0.83,-0.84,-1.08,2.44,2.44,2.44
99.26,3.25,3.25,0.88,0.88,-0.88,-0.89,-1.14,2.37,2.37,2.37
100.25,3.23,3.23,0.93,0.93,-0.93,-0.94,-1.20,2.30,2.30,2.30
101.25,3.21,3.21,0.98,0.98,-0.98,-0.99,-1.26,2.22,2.22,2.22
102.27,3.19,3.19,1.04,1.04,-1.04,-1.04,-1.32,2.15,2.15,2.15
103.29,3.17,3.17,1.09,1.09,-1.09,-1.09,-1.38,2.08,2.08,2.08
104.32,3.15,3.14,1.14,1.14,-1.14,-1.14,-1.43,2.01,2.00,2.00
105.37,3.12,3.12,1.19,1.19,-1.19,-1.19,-1.49,1.93,1.93,1.93
106.42,3.10,3.10,1.24,1.24,-1.24,-1.23,-1.55,1.86,1.86,1.86
107.48,3.08,3.08,1.29,1.29,-1.29,-1.28,-1.60,1.79,1.79,1.79
108.56,3.06,3.06,1.34,1.34,-1.34,-1.33,-1.66,1.72,1.71,1.71
109.64,3.03,3.03,1.39,1.39,-1.39,-1.38,-1.71,1.64,1.64,1.64
110.74,3.01,3.01,1.44,1.44,-1.44,-1.42,-1.76,1.57,1.57,1.57
111.85,2.98,2.98,1.48,1.48,-1.49,-1.47,-1.82,1.49,1.49,1.50
112.97,2.96,2.96,1.53,1.53,-1.53,-1.51,-1.86,1.43,1.42,1.42
114.10,2.93,2.93,1.58,1.58,-1.58,-1.56,-1.91,1.35,1.35,1.35
115.24,2.91,2.90,1.63,1.62,-1.62,-1.60,-1.95,1.28,1.28,1.28
116.39,2.88,2.88,1.67,1.67,-1.67,-1.64,-2.00,1.21,1.21,1.21
117.55,2.85,2.85,1.71,1.71,-1.71,-1.69,-2.03,1.13,1.14,1.14
118.73,2.83,2.82,1.76,1.75,-1.76,-1.73,-2.07,1.07,1.07,1.07
