frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.71,6.71,0.80,0.79,-0.79,-1.14,-0.64,5.92,5.92,5.91
20.20,6.74,6.74,0.83,0.83,-0.83,-1.14,-0.66,5.91,5.91,5.91
20.40,6.77,6.77,0.86,0.86,-0.86,-1.15,-0.68,5.91,5.91,5.91
20.61,6.81,6.80,0.90,0.89,-0.90,-1.15,-0.70,5.91,5.91,5.91
20.81,6.84,6.84,0.93,0.93,-0.93,-1.15,-0.72,5.91,5.90,5.91
21.02,6.87,6.87,0.96,0.96,-0.97,-1.16,-0.74,5.90,5.90,5.91
21.23,6.90,6.90,0.99,0.99,-1.00,-1.16,-0.76,5.90,5.90,5.91
21.44,6.94,6.94,1.03,1.03,-1.03,-1.17,-0.78,5.91,5.91,5.91
21.66,6.97,6.97,1.06,1.06,-1.06,-1.17,-0.81,5.91,5.91,5.91
21.87,7.00,7.00,1.09,1.09,-1.09,-1.18,-0.83,5.91,5.91,5.91
22.09,7.02,7.02,1.11,1.12,-1.11,-1.18,-0.86,5.90,5.91,5.90
22.31,7.05,7.04,1.14,1.14,-1.14,-1.19,-0.88,5.91,5.91,5.90
22.54,7.07,7.06,1.16,1.16,-1.16,-1.19,-0.91,5.91,5.90,5.90
22.76,7.08,7.08,1.18,1.18,-1.18,-1.20,-0.94,5.90,5.90,5.90
22.99,7.10,7.10,1.20,1.20,-1.20,-1.21,-0.96,5.90,5.90,5.90
23.22,7.12,7.11,1.22,1.21,-1.22,-1.21,-0.99,5.90,5.90,5.90
23.45,7.13,7.13,1.23,1.23,-1.24,-1.22,-1.02,5.89,5.90,5.90
23.69,7.15,7.15,1.25,1.25,-1.25,-1.23,-1.05,5.89,5.90,5.90
23.92,7.17,7.17,1.27,1.27,-1.27,-1.23,-1.08,5.90,5.90,5.90
24.16,7.19,7.19,1.29,1.29,-1.29,-1.24,-1.11,5.90,5.90,5.90
24.40,7.20,7.20,1.30,1.31,-1.30,-1.25,-1.14,5.89,5.90,5.89
24.65,7.22,7.22,1.32,1.32,-1.32,-1.26,-1.17,5.90,5.90,5.89
24.89,7.23,7.23,1.34,1.34,-1.33,-1.27,-1.20,5.89,5.89,5.89
25.14,7.24,7.24,1.35,1.35,-1.35,-1.28,-1.24,5.89,5.89,5.89
25.39,7.25,7.25,1.36,1.36,-1.36,-1.29,-1.27,5.89,5.89,5.89
25.65,7.26,7.26,1.37,1.37,-1.37,-1.30,-1.30,5.89,5.89,5.89
25.91,7.27,7.27,1.38,1.38,-1.38,-1.31,-1.33,5.88,5.88,5.89
26.16,7.28,7.28,1.39,1.39,-1.39,-1.32,-1.36,5.88,5.88,5.88
26.43,7.29,7.29,1.40,1.40,-1.41,-1.33,-1.39,5.88,5.88,5.88
26.69,7.30,7.30,1.42,1.42,-1.42,-1.34,-1.42,5.88,5.88,5.88
26.96,7.31,7.31,1.43,1.43,-1.43,-1.35,-1.45,5.88,5.88,5.88
27.23,7.32,7.31,1.44,1.44,-1.44,-1.36,-1.48,5.88,5.88,5.88
27.50,7.32,7.32,1.44,1.45,-1.45,-1.37,-1.51,5.87,5.88,5.88
27.77,7.33,7.33,1.45,1.45,-1.45,-1.38,-1.54,5.88,5.88,5.87
28.05,7.34,7.33,1.47,1.46,-1.46,-1.39,-1.56,5.88,5.88,5.87
28.33,7.33,7.33,1.46,1.46,-1.46,-1.40,-1.59,5.87,5.87,5.87
28.62,7.33,7.33,1.46,1.46,-1.46,-1.41,-1.61,5.87,5.87,5.87
28.90,7.32,7.32,1.45,1.45,-1.45,-1.42,-1.63,5.87,5.86,5.87
29.19,7.31,7.31,1.44,1.45,-1.45,-1.43,-1.65,5.86,5.86,5.86
29.48,7.30,7.30,1.44,1.44,-1.44,-1.43,-1.67,5.86,5.86,5.86
29.78,7.29,7.29,1.43,1.43,-1.43,-1.44,-1.68,5.86,5.86,5.86
30.08,7.28,7.28,1.42,1.42,-1.42,-1.45,-1.69,5.86,5.86,5.86
30.38,7.27,7.27,1.42,1.42,-1.41,-1.45,-1.70,5.86,5.86,5.85
30.68,7.26,7.26,1.41,1.41,-1.41,-1.46,-1.71,5.85,5.85,5.85
30.99,7.25,7.25,1.40,1.40,-1.40,-1.46,-1.71,5.84,5.84,5.85
31.30,7.24,7.24,1.39,1.40,-1.40,-1.46,-1.71,5.83,5.84,5.84
31.61,7.24,7.24,1.40,1.40,-1.41,-1.46,-1.71,5.83,5.83,5.84
31.93,7.25,7.25,1.41,1.41,-1.42,-1.46,-1.71,5.83,5.83,5.84
32.24,7.26,7.26,1.42,1.42,-1.43,-1.46,-1.70,5.83,5.83,5.83
32.57,7.27,7.27,1.44,1.44,-1.44,-1.45,-1.69,5.83,5.83,5.83
32.89,7.28,7.28,1.45,1.45,-1.45,-1.45,-1.68,5.83,5.83,5.83
33.22,7.29,7.29,1.46,1.47,-1.46,-1.44,-1.67,5.83,5.83,5.82
33.55,7.30,7.29,1.48,1.47,-1.46,-1.43,-1.65,5.84,5.83,5.82
33.89,7.28,7.28,1.46,1.47,-1.46,-1.42,-1.63,5.82,5.82,5.82
34.23,7.26,7.26,1.45,1.45,-1.45,-1.42,-1.62,5.81,5.81,5.81
34.57,7.25,7.24,1.44,1.43,-1.44,-1.41,-1.59,5.81,5.80,5.81
34.92,7.22,7.22,1.42,1.42,-1.42,-1.39,-1.57,5.80,5.80,5.80
35.27,7.20,7.20,1.40,1.40,-1.41,-1.38,-1.55,5.79,5.79,5.80
35.62,7.18,7.18,1.39,1.38,-1.39,-1.37,-1.52,5.79,5.79,5.79
35.97,7.16,7.16,1.37,1.37,-1.37,-1.36,-1.49,5.78,5.78,5.79
36.33,7.14,7.14,1.36,1.35,-1.36,-1.34,-1.46,5.78,5.78,5.78
36.70,7.12,7.12,1.34,1.34,-1.34,-1.33,-1.44,5.78,5.78,5.78
37.06,7.10,7.10,1.33,1.33,-1.33,-1.32,-1.41,5.77,5.77,5.77
37.43,7.09,7.08,1.32,1.32,-1.31,-1.30,-1.38,5.78,5.77,5.77
37.81,7.06,7.06,1.30,1.30,-1.29,-1.29,-1.35,5.76,5.76,5.76
38.19,7.03,7.03,1.28,1.28,-1.28,-1.28,-1.32,5.75,5.76,5.75
38.57,7.01,7.00,1.26,1.26,-1.26,-1.26,-1.28,5.75,5.75,5.75
38.95,6.98,6.98,1.24,1.24,-1.24,-1.25,-1.25,5.74,5.74,5.74
39.34,6.96,6.95,1.23,1.22,-1.23,-1.24,-1.22,5.73,5.73,5.73
39.74,6.93,6.93,1.20,1.21,-1.21,-1.22,-1.19,5.72,5.72,5.72
40.14,6.91,6.91,1.19,1.19,-1.20,-1.21,-1.16,5.71,5.71,5.72
40.54,6.90,6.89,1.19,1.18,-1.19,-1.20,-1.14,5.71,5.71,5.71
40.94,6.88,6.88,1.18,1.18,-1.18,-1.18,-1.11,5.70,5.70,5.70
41.35,6.87,6.87,1.17,1.17,-1.17,-1.17,-1.08,5.70,5.70,5.69
41.76,6.85,6.85,1.16,1.16,-1.16,-1.16,-1.05,5.69,5.69,5.68
42.18,6.83,6.83,1.15,1.15,-1.15,-1.14,-1.02,5.67,5.68,5.68
42.60,6.81,6.81,1.14,1.14,-1.14,-1.13,-1.00,5.66,5.66,5.67
43.03,6.79,6.79,1.13,1.13,-1.13,-1.12,-0.97,5.65,5.66,5.66
43.46,6.77,6.77,1.12,1.12,-1.12,-1.11,-0.94,5.65,5.65,5.65
43.90,6.75,6.74,1.11,1.11,-1.11,-1.09,-0.92,5.64,5.64,5.64
44.33,6.72,6.72,1.09,1.09,-1.09,-1.08,-0.90,5.63,5.63,5.62
44.78,6.69,6.69,1.07,1.08,-1.07,-1.07,-0.87,5.62,5.62,5.61
45.23,6.66,6.66,1.06,1.05,-1.05,-1.06,-0.85,5.60,5.60,5.60
45.68,6.63,6.62,1.04,1.04,-1.04,-1.04,-0.83,5.59,5.59,5.59
46.13,6.59,6.59,1.01,1.02,-1.02,-1.03,-0.81,5.57,5.57,5.58
46.60,6.57,6.56,1.00,1.00,-1.00,-1.02,-0.79,5.56,5.56,5.56
47.06,6.54,6.54,0.99,0.98,-0.99,-1.01,-0.77,5.55,5.55,5.55
47.53,6.51,6.51,0.97,0.98,-0.98,-0.99,-0.75,5.53,5.54,5.54
48.01,6.49,6.49,0.96,0.96,-0.97,-0.98,-0.73,5.52,5.52,5.52
48.49,6.47,6.46,0.96,0.96,-0.96,-0.97,-0.71,5.51,5.51,5.51
48.97,6.44,6.44,0.94,0.95,-0.95,-0.95,-0.69,5.49,5.49,5.49
49.46,6.42,6.42,0.94,0.94,-0.94,-0.94,-0.68,5.48,5.48,5.48
49.96,6.40,6.39,0.94,0.93,-0.93,-0.93,-0.66,5.47,5.47,5.46
50.46,6.36,6.36,0.91,0.92,-0.91,-0.91,-0.65,5.45,5.45,5.44
50.96,6.33,6.33,0.90,0.90,-0.90,-0.90,-0.63,5.43,5.43,5.43
51.47,6.29,6.29,0.88,0.88,-0.88,-0.89,-0.62,5.41,5.41,5.41
51.99,6.25,6.25,0.86,0.86,-0.86,-0.87,-0.60,5.39,5.39,5.39
52.51,6.21,6.21,0.84,0.84,-0.84,-0.86,-0.59,5.37,5.37,5.37
53.03,6.17,6.17,0.82,0.82,-0.82,-0.84,-0.58,5.34,5.35,5.35
53.56,6.14,6.13,0.81,0.81,-0.81,-0.83,-0.57,5.33,5.33,5.33
54.10,6.10,6.10,0.79,0.79,-0.79,-0.81,-0.56,5.31,5.31,5.31
54.64,6.07,6.07,0.78,0.78,-0.78,-0.79,-0.55,5.29,5.29,5.29
55.18,6.03,6.03,0.76,0.77,-0.76,-0.78,-0.54,5.26,5.27,5.26
55.74,6.00,6.00,0.76,0.75,-0.75,-0.76,-0.53,5.25,5.24,5.24
56.29,5.96,5.96,0.74,0.74,-0.74,-0.75,-0.52,5.22,5.22,5.22
56.86,5.92,5.92,0.73,0.73,-0.73,-0.73,-0.51,5.19,5.19,5.19
57.42,5.88,5.88,0.71,0.71,-0.71,-0.72,-0.51,5.16,5.16,5.17
58.00,5.84,5.84,0.70,0.70,-0.70,-0.70,-0.50,5.14,5.14,5.14
58.58,5.80,5.80,0.69,0.69,-0.69,-0.69,-0.50,5.11,5.11,5.11
59.16,5.77,5.76,0.68,0.68,-0.68,-0.67,-0.49,5.09,5.08,5.08
59.76,5.73,5.73,0.67,0.67,-0.67,-0.66,-0.49,5.05,5.05,5.06
60.35,5.69,5.69,0.66,0.67,-0.67,-0.65,-0.48,5.02,5.03,5.03
60.96,5.66,5.65,0.66,0.66,-0.66,-0.63,-0.48,5.00,5.00,4.99
61.57,5.62,5.62,0.65,0.65,-0.65,-0.62,-0.48,4.97,4.97,4.96
62.18,5.58,5.58,0.65,0.65,-0.64,-0.61,-0.48,4.93,4.94,4.93
62.80,5.54,5.53,0.64,0.64,-0.63,-0.61,-0.47,4.90,4.90,4.90
63.43,5.49,5.49,0.62,0.63,-0.62,-0.60,-0.47,4.86,4.87,4.86
64.07,5.44,5.44,0.61,0.61,-0.61,-0.59,-0.47,4.83,4.83,4.83
64.71,5.40,5.39,0.61,0.60,-0.60,-0.59,-0.48,4.80,4.79,4.79
65.35,5.35,5.35,0.59,0.59,-0.59,-0.59,-0.48,4.75,4.75,4.76
66.01,5.30,5.30,0.58,0.58,-0.58,-0.59,-0.48,4.71,4.71,4.72
66.67,5.25,5.25,0.57,0.57,-0.58,-0.59,-0.48,4.67,4.67,4.68
67.33,5.21,5.21,0.57,0.57,-0.57,-0.59,-0.49,4.63,4.64,4.64
68.01,5.17,5.17,0.57,0.57,-0.57,-0.59,-0.49,4.60,4.60,4.60
68.69,5.13,5.12,0.57,0.57,-0.57,-0.60,-0.49,4.56,4.56,4.55
69.37,5.08,5.08,0.57,0.57,-0.57,-0.60,-0.50,4.51,4.51,4.51
70.07,5.04,5.04,0.57,0.57,-0.57,-0.61,-0.51,4.47,4.47,4.47
70.77,5.00,4.99,0.57,0.57,-0.57,-0.62,-0.51,4.43,4.42,4.42
71.48,4.95,4.95,0.57,0.57,-0.57,-0.62,-0.52,4.38,4.38,4.38
72.19,4.91,4.91,0.58,0.58,-0.57,-0.63,-0.53,4.33,4.33,4.33
72.91,4.86,4.86,0.58,0.57,-0.58,-0.64,-0.54,4.28,4.28,4.28
73.64,4.81,4.81,0.58,0.58,-0.58,-0.65,-0.54,4.23,4.23,4.23
74.38,4.76,4.76,0.58,0.58,-0.58,-0.66,-0.55,4.18,4.18,4.18
75.12,4.72,4.71,0.59,0.58,-0.58,-0.67,-0.56,4.13,4.13,4.13
75.87,4.67,4.67,0.59,0.59,-0.59,-0.68,-0.57,4.08,4.08,4.08
76.63,4.62,4.62,0.59,0.59,-0.59,-0.69,-0.59,4.02,4.02,4.02
77.40,4.57,4.57,0.60,0.60,-0.60,-0.70,-0.60,3.97,3.97,3.97
78.17,4.52,4.52,0.60,0.61,-0.61,-0.71,-0.61,3.91,3.91,3.92
78.95,4.48,4.47,0.62,0.62,-0.62,-0.72,-0.62,3.86,3.86,3.86
79.74,4.43,4.43,0.63,0.63,-0.62,-0.73,-0.64,3.80,3.80,3.80
80.54,4.38,4.38,0.63,0.64,-0.63,-0.74,-0.65,3.74,3.75,3.74
81.35,4.33,4.33,0.64,0.64,-0.64,-0.74,-0.66,3.68,3.68,3.68
82.16,4.28,4.28,0.65,0.65,-0.65,-0.75,-0.68,3.62,3.62,3.62
82.98,4.23,4.23,0.66,0.66,-0.67,-0.76,-0.70,3.56,3.56,3.56
83.81,4.18,4.18,0.68,0.68,-0.68,-0.77,-0.71,3.50,3.50,3.50
84.65,4.13,4.13,0.69,0.69,-0.69,-0.77,-0.73,3.44,3.44,3.44
85.50,4.08,4.08,0.70,0.70,-0.70,-0.78,-0.75,3.38,3.37,3.37
86.35,4.03,4.03,0.72,0.72,-0.72,-0.79,-0.77,3.31,3.31,3.31
87.22,3.98,3.98,0.73,0.73,-0.73,-0.79,-0.78,3.25,3.25,3.25
88.09,3.93,3.92,0.75,0.75,-0.75,-0.80,-0.80,3.18,3.18,3.18
88.97,3.87,3.87,0.76,0.76,-0.76,-0.81,-0.82,3.11,3.11,3.11
89.86,3.82,3.82,0.77,0.77,-0.78,-0.81,-0.85,3.04,3.04,3.05
90.76,3.77,3.77,0.79,0.79,-0.79,-0.82,-0.87,2.98,2.98,2.98
91.66,3.72,3.72,0.81,0.81,-0.81,-0.82,-0.89,2.91,2.91,2.91
92.58,3.67,3.66,0.83,0.83,-0.82,-0.83,-0.91,2.84,2.84,2.84
93.51,3.61,3.61,0.84,0.84,-0.84,-0.83,-0.93,2.77,2.77,2.77
94.44,3.56,3.56,0.86,0.86,-0.86,-0.84,-0.96,2.70,2.70,2.70
95.39,3.51,3.51,0.88,0.88,-0.88,-0.84,-0.98,2.63,2.63,2.63
96.34,3.46,3.45,0.90,0.90,-0.90,-0.85,-1.01,2.56,2.56,2.56
97.30,3.40,3.40,0.91,0.92,-0.92,-0.85,-1.03,2.48,2.49,2.49
98.28,3.35,3.35,0.93,0.93,-0.93,-0.86,-1.06,2.41,2.41,2.41
99.26,3.30,3.29,0.96,0.95,-0.95,-0.86,-1.08,2.35,2.34,2.34
100.25,3.24,3.24,0.97,0.97,-0.97,-0.87,-1.11,2.27,2.27,2.27
101.25,3.19,3.19,0.99,0.99,-0.99,-0.88,-1.14,2.20,2.20,2.20
102.27,3.14,3.13,1.01,1.01,-1.01,-0.88,-1.16,2.13,2.12,2.12
103.29,3.08,3.08,1.03,1.03,-1.03,-0.89,-1.19,2.05,2.05,2.05
104.32,3.03,3.03,1.05,1.05,-1.05,-0.89,-1.21,1.98,1.98,1.98
105.37,2.98,2.98,1.07,1.07,-1.07,-0.90,-1.24,1.91,1.90,1.90
106.42,2.93,2.93,1.10,1.10,-1.09,-0.90,-1.27,1.83,1.83,1.83
107.48,2.88,2.87,1.12,1.12,-1.11,-0.91,-1.29,1.76,1.76,1.76
108.56,2.82,2.82,1.13,1.14,-1.14,-0.92,-1.32,1.68,1.68,1.69
109.64,2.77,2.77,1.15,1.16,-1.16,-0.93,-1.34,1.61,1.61,1.61
110.74,2.72,2.72,1.18,1.18,-1.18,-0.93,-1.36,1.54,1.54,1.54
111.85,2.67,2.67,1.20,1.20,-1.20,-0.94,-1.39,1.47,1.47,1.47
112.97,2.62,2.61,1.22,1.22,-1.22,-0.95,-1.41,1.40,1.40,1.40
114.10,2.56,2.56,1.23,1.24,-1.24,-0.96,-1.43,1.32,1.33,1.32
115.24,2.51,2.51,1.25,1.25,-1.25,-0.97,-1.45,1.25,1.25,1.25
116.39,2.46,2.45,1.28,1.27,-1.27,-0.98,-1.47,1.19,1.18,1.18
117.55,2.40,2.40,1.29,1.29,-1.29,-0.99,-1.48,1.11,1.11,1.11
118.73,2.35,2.34,1.31,1.30,-1.30,-1.00,-1.50,1.05,1.04,1.04
119.92,2.29,2.29,1.32,1.32,-1.31,-1.01,-1.51,0.97,0.97,0.97
121.12,2.23,2.23,1.32,1.33,-1.33,-1.02,-1.52,0.90,0.90,0.90
122.33,2.18,2.17,1.34,1.34,-1.34,-1.04,-1.53,0.84,0.83,0.84
123.55,2.12,2.12,1.35,1.35,-1.35,-1.05,-1.53,0.77,0.77,0.77
124.79,2.06,2.06,1.36,1.36,-1.36,-1.06,-1.54,0.70,0.70,0.70
126.03,2.01,2.00,1.37,1.37,-1.37,-1.08,-1.54,0.64,0.63,0.63
127.29,1.95,1.95,1.38,1.38,-1.38,-1.09,-1.54,0.57,0.57,0.57
128.57,1.90,1.90,1.39,1.39,-1.39,-1.11,-1.54,0.51,0.50,0.50
129.85,1.85,1.84,1.41,1.40,-1.40,-1.12,-1.54,0.44,0.44,0.44
131.15,1.79,1.79,1.41,1.41,-1.41,-1.14,-1.53,0.37,0.38,0.38
132.46,1.74,1.74,1.42,1.42,-1.42,-1.16,-1.53,0.31,0.32,0.32
133.79,1.69,1.69,1.43,1.43,-1.43,-1.18,-1.52,0.26,0.25,0.25
135.12,1.64,1.63,1.44,1.44,-1.44,-1.19,-1.51,0.20,0.19,0.19
136.48,1.58,1.58,1.44,1.45,-1.45,-1.21,-1.50,0.13,0.14,0.13
137.84,1.53,1.53,1.45,1.45,-1.45,-1.23,-1.48,0.08,0.08,0.08
139.22,1.48,1.47,1.46,1.45,-1.46,-1.25,-1.47,0.02,0.02,0.02
140.61,1.42,1.42,1.46,1.46,-1.46,-1.27,-1.45,-0.04,-0.04,-0.04
142.02,1.37,1.37,1.46,1.46,-1.46,-1.29,-1.44,-0.09,-0.09,-0.09
143.44,1.32,1.31,1.47,1.46,-1.46,-1.31,-1.42,-0.14,-0.15,-0.15
144.87,1.26,1.26,1.46,1.46,-1.46,-1.33,-1.41,-0.21,-0.20,-0.20
146.32,1.21,1.21,1.46,1.46,-1.46,-1.35,-1.39,-0.26,-0.26,-0.25
147.78,1.16,1.16,1.46,1.46,-1.46,-1.37,-1.37,-0.31,-0.31,-0.31
149.26,1.11,1.11,1.46,1.46,-1.46,-1.39,-1.35,-0.36,-0.36,-0.36
150.75,1.06,1.06,1.46,1.46,-1.46,-1.41,-1.34,-0.40,-0.40,-0.41
152.26,1.01,1.01,1.46,1.46,-1.46,-1.43,-1.32,-0.45,-0.45,-0.45
153.78,0.96,0.96,1.46,1.46,-1.46,-1.45,-1.30,-0.50,-0.50,-0.50
155.32,0.91,0.91,1.46,1.46,-1.46,-1.47,-1.28,-0.55,-0.55,-0.55
156.88,0.87,0.86,1.46,1.46,-1.46,-1.48,-1.27,-0.59,-0.60,-0.59
158.44,0.82,0.82,1.46,1.46,-1.46,-1.50,-1.25,-0.64,-0.64,-0.64
160.03,0.78,0.78,1.46,1.46,-1.46,-1.51,-1.23,-0.69,-0.69,-0.68
161.63,0.74,0.74,1.47,1.47,-1.47,-1.53,-1.22,-0.73,-0.73,-0.73
163.24,0.70,0.70,1.47,1.48,-1.47,-1.54,-1.20,-0.78,-0.77,-0.78
164.88,0.67,0.66,1.48,1.48,-1.48,-1.55,-1.19,-0.81,-0.82,-0.82
166.53,0.63,0.63,1.48,1.49,-1.49,-1.56,-1.18,-0.86,-0.86,-0.86
168.19,0.60,0.60,1.49,1.49,-1.49,-1.56,-1.16,-0.90,-0.90,-0.89
169.87,0.57,0.57,1.50,1.50,-1.50,-1.57,-1.15,-0.93,-0.93,-0.93
171.57,0.54,0.54,1.51,1.51,-1.51,-1.57,-1.14,-0.97,-0.97,-0.97
173.29,0.52,0.52,1.52,1.52,-1.51,-1.57,-1.13,-1.00,-1.00,-1.00
175.02,0.49,0.49,1.53,1.52,-1.52,-1.57,-1.12,-1.03,-1.03,-1.04
176.77,0.46,0.46,1.53,1.53,-1.52,-1.57,-1.11,-1.07,-1.07,-1.07
178.54,0.42,0.42,1.52,1.52,-1.53,-1.56,-1.11,-1.11,-1.11,-1.10
180.32,0.39,0.39,1.52,1.52,-1.53,-1.56,-1.10,-1.14,-1.14,-1.14
182.13,0.36,0.36,1.52,1.52,-1.52,-1.55,-1.10,-1.17,-1.17,-1.17
183.95,0.33,0.32,1.52,1.52,-1.52,-1.54,-1.09,-1.19,-1.20,-1.20
185.79,0.29,0.29,1.51,1.51,-1.51,-1.52,-1.09,-1.23,-1.22,-1.23
187.65,0.25,0.25,1.50,1.51,-1.51,-1.51,-1.08,-1.26,-1.25,-1.25
189.52,0.22,0.21,1.50,1.50,-1.50,-1.49,-1.08,-1.28,-1.28,-1.28
191.42,0.18,0.18,1.49,1.49,-1.48,-1.48,-1.08,-1.31,-1.31,-1.31
193.33,0.14,0.14,1.47,1.47,-1.47,-1.46,-1.08,-1.33,-1.33,-1.33
195.27,0.10,0.10,1.46,1.46,-1.46,-1.43,-1.08,-1.36,-1.36,-1.36
197.22,0.06,0.06,1.44,1.44,-1.44,-1.41,-1.08,-1.38,-1.38,-1.38
199.19,0.02,0.01,1.42,1.42,-1.42,-1.39,-1.08,-1.40,-1.41,-1.41
201.18,-0.03,-0.03,1.40,1.40,-1.40,-1.36,-1.08,-1.43,-1.43,-1.43
203.19,-0.07,-0.07,1.38,1.38,-1.38,-1.34,-1.08,-1.45,-1.45,-1.45
205.23,-0.11,-0.11,1.36,1.36,-1.36,-1.31,-1.09,-1.47,-1.47,-1.47
207.28,-0.15,-0.15,1.34,1.34,-1.34,-1.29,-1.09,-1.49,-1.49,-1.49
209.35,-0.19,-0.20,1.32,1.32,-1.32,-1.26,-1.09,-1.51,-1.51,-1.51
211.44,-0.24,-0.24,1.29,1.29,-1.30,-1.23,-1.09,-1.54,-1.53,-1.53
213.56,-0.28,-0.28,1.27,1.27,-1.27,-1.21,-1.10,-1.56,-1.56,-1.55
215.69,-0.32,-0.32,1.25,1.25,-1.25,-1.18,-1.10,-1.57,-1.58,-1.57
217.85,-0.36,-0.36,1.23,1.23,-1.23,-1.15,-1.10,-1.59,-1.59,-1.59
220.03,-0.39,-0.40,1.21,1.21,-1.21,-1.12,-1.11,-1.60,-1.60,-1.61
222.23,-0.43,-0.43,1.19,1.19,-1.19,-1.10,-1.11,-1.62,-1.62,-1.62
224.45,-0.47,-0.47,1.17,1.17,-1.16,-1.07,-1.11,-1.64,-1.63,-1.64
226.70,-0.51,-0.51,1.14,1.14,-1.14,-1.04,-1.11,-1.65,-1.65,-1.65
228.96,-0.55,-0.55,1.12,1.12,-1.12,-1.02,-1.11,-1.67,-1.67,-1.67
231.25,-0.59,-0.59,1.09,1.09,-1.09,-0.99,-1.11,-1.69,-1.69,-1.68
233.57,-0.63,-0.63,1.06,1.07,-1.07,-0.96,-1.11,-1.70,-1.70,-1.70
235.90,-0.67,-0.67,1.05,1.04,-1.04,-0.94,-1.10,-1.72,-1.72,-1.72
238.26,-0.71,-0.71,1.02,1.02,-1.02,-0.91,-1.10,-1.73,-1.73,-1.73
240.64,-0.75,-0.75,0.99,0.99,-0.99,-0.89,-1.09,-1.75,-1.75,-1.75
243.05,-0.79,-0.79,0.97,0.97,-0.97,-0.86,-1.09,-1.76,-1.76,-1.76
245.48,-0.83,-0.83,0.94,0.94,-0.94,-0.84,-1.08,-1.77,-1.77,-1.77
247.93,-0.86,-0.87,0.92,0.92,-0.92,-0.81,-1.07,-1.78,-1.78,-1.78
250.41,-0.90,-0.90,0.89,0.89,-0.89,-0.79,-1.06,-1.79,-1.79,-1.79
252.92,-0.93,-0.93,0.87,0.87,-0.87,-0.77,-1.05,-1.80,-1.80,-1.80
255.45,-0.97,-0.97,0.84,0.84,-0.84,-0.75,-1.03,-1.81,-1.81,-1.81
258.00,-1.00,-1.01,0.82,0.82,-0.82,-0.72,-1.02,-1.82,-1.82,-1.82
260.58,-1.04,-1.04,0.79,0.79,-0.79,-0.70,-1.00,-1.84,-1.83,-1.83
263.19,-1.07,-1.07,0.77,0.77,-0.77,-0.68,-0.98,-1.84,-1.84,-1.84
265.82,-1.10,-1.10,0.75,0.75,-0.75,-0.66,-0.96,-1.85,-1.85,-1.85
268.48,-1.13,-1.14,0.73,0.72,-0.72,-0.64,-0.94,-1.85,-1.86,-1.86
271.16,-1.17,-1.17,0.69,0.70,-0.70,-0.62,-0.92,-1.87,-1.87,-1.87
273.87,-1.20,-1.20,0.67,0.67,-0.68,-0.60,-0.89,-1.88,-1.88,-1.88
276.61,-1.23,-1.23,0.65,0.65,-0.65,-0.58,-0.87,-1.88,-1.89,-1.88
279.38,-1.26,-1.26,0.63,0.63,-0.63,-0.56,-0.84,-1.89,-1.89,-1.89
282.17,-1.29,-1.29,0.60,0.60,-0.60,-0.54,-0.82,-1.89,-1.89,-1.90
284.99,-1.31,-1.32,0.58,0.58,-0.58,-0.52,-0.79,-1.89,-1.89,-1.89
287.84,-1.34,-1.34,0.55,0.55,-0.55,-0.50,-0.76,-1.89,-1.89,-1.89
290.72,-1.37,-1.37,0.52,0.52,-0.52,-0.48,-0.73,-1.90,-1.90,-1.90
293.63,-1.40,-1.40,0.50,0.50,-0.50,-0.47,-0.71,-1.90,-1.90,-1.90
296.57,-1.43,-1.43,0.47,0.47,-0.47,-0.45,-0.68,-1.90,-1.90,-1.90
299.53,-1.45,-1.46,0.44,0.44,-0.44,-0.43,-0.65,-1.89,-1.90,-1.89
302.53,-1.48,-1.48,0.42,0.41,-0.41,-0.41,-0.62,-1.90,-1.90,-1.90
305.55,-1.51,-1.51,0.38,0.39,-0.39,-0.39,-0.58,-1.90,-1.90,-1.90
308.61,-1.54,-1.54,0.36,0.36,-0.36,-0.38,-0.55,-1.90,-1.90,-1.90
311.69,-1.56,-1.57,0.33,0.33,-0.33,-0.36,-0.52,-1.90,-1.90,-1.90
314.81,-1.59,-1.59,0.31,0.31,-0.31,-0.34,-0.49,-1.90,-1.90,-1.90
317.96,-1.61,-1.61,0.28,0.28,-0.28,-0.32,-0.46,-1.89,-1.89,-1.90
321.14,-1.64,-1.64,0.26,0.26,-0.25,-0.30,-0.43,-1.90,-1.90,-1.90
324.35,-1.66,-1.67,0.23,0.23,-0.23,-0.29,-0.40,-1.89,-1.90,-1.89
327.59,-1.69,-1.69,0.20,0.20,-0.20,-0.27,-0.36,-1.90,-1.89,-1.89
330.87,-1.71,-1.71,0.18,0.18,-0.18,-0.25,-0.33,-1.89,-1.89,-1.89
