frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.92,4.92,-3.14,-3.15,3.15,2.31,0.63,8.07,8.07,8.06
20.20,4.97,4.97,-3.09,-3.09,3.09,2.29,0.65,8.06,8.06,8.06
20.40,5.03,5.03,-3.03,-3.03,3.03,2.27,0.67,8.06,8.06,8.06
20.61,5.09,5.09,-2.97,-2.97,2.97,2.24,0.69,8.05,8.06,8.06
20.81,5.15,5.15,-2.91,-2.91,2.90,2.22,0.71,8.06,8.05,8.06
21.02,5.21,5.21,-2.85,-2.85,2.84,2.20,0.73,8.06,8.05,8.06
21.23,5.26,5.27,-2.80,-2.79,2.78,2.18,0.75,8.05,8.05,8.06
21.44,5.33,5.33,-2.73,-2.73,2.73,2.15,0.77,8.06,8.05,8.06
21.66,5.39,5.39,-2.67,-2.67,2.67,2.13,0.80,8.06,8.06,8.06
21.87,5.45,5.45,-2.60,-2.60,2.61,2.11,0.82,8.06,8.06,8.06
22.09,5.51,5.51,-2.54,-2.55,2.55,2.08,0.85,8.06,8.06,8.06
22.31,5.56,5.56,-2.49,-2.49,2.50,2.06,0.87,8.06,8.06,8.05
22.54,5.61,5.61,-2.44,-2.44,2.45,2.04,0.90,8.06,8.06,8.05
22.76,5.66,5.66,-2.39,-2.40,2.40,2.01,0.93,8.06,8.05,8.05
22.99,5.70,5.70,-2.35,-2.35,2.35,1.99,0.95,8.05,8.05,8.05
23.22,5.75,5.75,-2.30,-2.30,2.30,1.97,0.98,8.05,8.05,8.05
23.45,5.80,5.80,-2.25,-2.25,2.25,1.94,1.01,8.05,8.04,8.05
23.69,5.85,5.85,-2.20,-2.20,2.19,1.92,1.04,8.04,8.04,8.05
23.92,5.90,5.90,-2.15,-2.14,2.14,1.90,1.07,8.04,8.04,8.05
24.16,5.96,5.96,-2.08,-2.09,2.08,1.87,1.10,8.04,8.04,8.05
24.40,6.02,6.02,-2.02,-2.03,2.03,1.85,1.13,8.05,8.04,8.04
24.65,6.07,6.07,-1.97,-1.97,1.97,1.83,1.16,8.04,8.04,8.04
24.89,6.13,6.13,-1.91,-1.91,1.91,1.80,1.19,8.05,8.04,8.04
