frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.79,1.78,-6.97,-6.98,6.00,5.89,2.27,7.79,7.78,8.76
20.20,1.85,1.85,-6.91,-6.91,6.00,5.87,2.34,7.85,7.85,8.76
20.40,1.92,1.91,-6.84,-6.85,6.00,5.85,2.41,7.92,7.91,8.76
20.61,1.97,1.98,-6.78,-6.78,6.00,5.83,2.48,7.97,7.98,8.76
20.81,2.04,2.04,-6.72,-6.72,6.00,5.81,2.55,8.04,8.04,8.76
21.02,2.10,2.10,-6.66,-6.66,6.00,5.79,2.62,8.10,8.10,8.76
21.23,2.16,2.16,-6.60,-6.60,6.00,5.77,2.70,8.16,8.16,8.76
21.44,2.22,2.22,-6.54,-6.54,6.00,5.75,2.78,8.22,8.22,8.76
21.66,2.28,2.28,-6.48,-6.48,6.00,5.73,2.86,8.28,8.28,8.76
21.87,2.34,2.34,-6.42,-6.42,6.00,5.71,2.94,8.34,8.34,8.75
22.09,2.40,2.40,-6.36,-6.36,6.00,5.69,3.03,8.40,8.40,8.75
22.31,2.46,2.45,-6.30,-6.30,6.01,5.67,3.11,8.46,8.46,8.75
22.54,2.51,2.51,-6.25,-6.24,6.01,5.65,3.20,8.51,8.52,8.75
22.76,2.57,2.57,-6.18,-6.18,6.01,5.63,3.30,8.58,8.58,8.75
22.99,2.63,2.62,-6.12,-6.13,6.00,5.61,3.39,8.63,8.62,8.75
23.22,2.68,2.68,-6.07,-6.07,5.99,5.59,3.49,8.67,8.67,8.75
23.45,2.73,2.73,-6.02,-6.02,5.97,5.56,3.59,8.70,8.70,8.75
23.69,2.79,2.78,-5.96,-5.96,5.95,5.54,3.69,8.73,8.73,8.75
23.92,2.84,2.83,-5.91,-5.91,5.91,5.52,3.79,8.75,8.74,8.75
24.16,2.88,2.88,-5.87,-5.86,5.87,5.50,3.90,8.75,8.75,8.74
24.40,2.93,2.93,-5.82,-5.82,5.82,5.47,4.00,8.75,8.75,8.74
24.65,2.98,2.98,-5.77,-5.77,5.77,5.45,4.11,8.75,8.75,8.74
24.89,3.03,3.03,-5.71,-5.71,5.72,5.43,4.22,8.74,8.74,8.74
25.14,3.08,3.08,-5.66,-5.66,5.66,5.40,4.33,8.74,8.74,8.74
25.39,3.13,3.13,-5.61,-5.61,5.61,5.38,4.44,8.74,8.74,8.74
25.65,3.18,3.18,-5.56,-5.56,5.56,5.36,4.55,8.74,8.74,8.74
