frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,1.19,1.19,-2.62,-2.62,2.62,1.51,0.54,3.81,3.81,3.81
20.20,1.25,1.24,-2.56,-2.57,2.57,1.50,0.56,3.81,3.81,3.81
20.40,1.30,1.30,-2.51,-2.51,2.51,1.49,0.58,3.81,3.81,3.81
20.61,1.36,1.35,-2.45,-2.46,2.46,1.48,0.60,3.81,3.81,3.81
20.81,1.41,1.41,-2.40,-2.40,2.40,1.47,0.61,3.81,3.81,3.81
21.02,1.46,1.46,-2.35,-2.35,2.35,1.46,0.63,3.81,3.81,3.81
21.23,1.52,1.51,-2.29,-2.30,2.30,1.45,0.65,3.82,3.81,3.81
21.44,1.56,1.56,-2.25,-2.25,2.25,1.45,0.67,3.81,3.81,3.81
21.66,1.61,1.61,-2.20,-2.20,2.20,1.44,0.69,3.80,3.81,3.81
21.87,1.66,1.66,-2.15,-2.15,2.15,1.43,0.71,3.81,3.80,3.81
22.09,1.71,1.71,-2.10,-2.10,2.10,1.42,0.73,3.80,3.80,3.81
22.31,1.76,1.76,-2.05,-2.05,2.05,1.41,0.76,3.80,3.80,3.80
22.54,1.81,1.81,-2.00,-2.00,1.99,1.40,0.78,3.80,3.80,3.80
22.76,1.86,1.86,-1.94,-1.95,1.94,1.39,0.80,3.80,3.80,3.80
22.99,1.91,1.91,-1.89,-1.89,1.89,1.38,0.83,3.80,3.80,3.80
23.22,1.96,1.96,-1.84,-1.84,1.84,1.37,0.85,3.80,3.80,3.80
23.45,2.02,2.01,-1.78,-1.78,1.79,1.36,0.88,3.81,3.80,3.80
23.69,2.07,2.06,-1.73,-1.73,1.74,1.35,0.90,3.81,3.80,3.80
23.92,2.11,2.11,-1.69,-1.69,1.69,1.34,0.93,3.80,3.80,3.80
24.16,2.15,2.15,-1.65,-1.65,1.65,1.33,0.95,3.80,3.80,3.80
24.40,2.19,2.19,-1.61,-1.61,1.61,1.32,0.98,3.80,3.79,3.79
24.65,2.22,2.22,-1.58,-1.57,1.57,1.31,1.01,3.79,3.79,3.79
24.89,2.26,2.26,-1.53,-1.54,1.54,1.30,1.03,3.79,3.79,3.79
25.14,2.29,2.29,-1.50,-1.50,1.50,1.29,1.06,3.79,3.79,3.79
25.39,2.32,2.32,-1.47,-1.47,1.47,1.28,1.09,3.79,3.79,3.79
25.65,2.35,2.35,-1.44,-1.44,1.44,1.27,1.12,3.79,3.79,3.79
25.91,2.38,2.38,-1.41,-1.41,1.41,1.26,1.14,3.78,3.78,3.79
26.16,2.41,2.41,-1.38,-1.38,1.37,1.24,1.17,3.78,3.78,3.78
26.43,2.44,2.44,-1.35,-1.35,1.34,1.23,1.20,3.78,3.78,3.78
26.69,2.47,2.47,-1.31,-1.31,1.31,1.22,1.22,3.78,3.78,3.78
26.96,2.51,2.50,-1.27,-1.28,1.28,1.21,1.25,3.79,3.78,3.78
27.23,2.54,2.53,-1.24,-1.24,1.25,1.20,1.27,3.78,3.78,3.78
27.50,2.56,2.56,-1.22,-1.21,1.22,1.18,1.30,3.77,3.78,3.78
27.77,2.59,2.59,-1.19,-1.19,1.19,1.17,1.32,3.77,3.77,3.77
28.05,2.62,2.61,-1.15,-1.16,1.16,1.16,1.35,3.77,3.77,3.77
28.33,2.64,2.64,-1.13,-1.13,1.13,1.15,1.37,3.77,3.77,3.77
28.62,2.67,2.67,-1.10,-1.10,1.10,1.13,1.39,3.77,3.77,3.77
