frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.28,3.28,-1.04,-1.03,1.06,0.83,0.33,4.34,4.34,4.31
20.20,3.29,3.28,-1.03,-1.03,1.04,0.82,0.34,4.33,4.32,4.31
20.40,3.29,3.29,-1.03,-1.03,1.02,0.82,0.35,4.31,4.31,4.31
20.61,3.30,3.30,-1.02,-1.01,1.00,0.82,0.36,4.30,4.30,4.31
20.81,3.32,3.32,-0.99,-1.00,0.97,0.82,0.38,4.29,4.29,4.31
21.02,3.34,3.34,-0.97,-0.97,0.95,0.82,0.39,4.28,4.29,4.31
21.23,3.38,3.38,-0.93,-0.93,0.92,0.82,0.40,4.29,4.29,4.31
21.44,3.42,3.42,-0.89,-0.89,0.88,0.82,0.41,4.30,4.30,4.31
21.66,3.47,3.47,-0.84,-0.84,0.84,0.82,0.42,4.31,4.31,4.31
21.87,3.52,3.52,-0.79,-0.79,0.80,0.82,0.44,4.32,4.31,4.31
22.09,3.56,3.56,-0.75,-0.75,0.76,0.82,0.45,4.32,4.32,4.31
22.31,3.60,3.60,-0.71,-0.71,0.72,0.82,0.46,4.32,4.32,4.31
22.54,3.63,3.62,-0.68,-0.68,0.69,0.82,0.48,4.32,4.31,4.31
22.76,3.65,3.65,-0.66,-0.66,0.66,0.82,0.49,4.31,4.31,4.30
22.99,3.66,3.66,-0.65,-0.64,0.64,0.82,0.50,4.29,4.30,4.30
23.22,3.68,3.68,-0.63,-0.63,0.62,0.82,0.52,4.29,4.29,4.30
23.45,3.69,3.69,-0.61,-0.61,0.60,0.81,0.53,4.29,4.29,4.30
23.69,3.71,3.71,-0.59,-0.59,0.59,0.81,0.55,4.30,4.30,4.30
23.92,3.72,3.72,-0.58,-0.58,0.59,0.81,0.57,4.31,4.30,4.30
24.16,3.72,3.72,-0.58,-0.58,0.59,0.81,0.58,4.31,4.31,4.30
24.40,3.71,3.71,-0.59,-0.59,0.61,0.81,0.60,4.32,4.32,4.30
24.65,3.69,3.68,-0.61,-0.61,0.64,0.81,0.61,4.32,4.32,4.30
24.89,3.65,3.64,-0.65,-0.65,0.67,0.81,0.63,4.32,4.31,4.29
25.14,3.60,3.59,-0.70,-0.70,0.70,0.81,0.65,4.30,4.30,4.29
25.39,3.54,3.54,-0.76,-0.75,0.74,0.81,0.66,4.27,4.28,4.29
25.65,3.50,3.50,-0.79,-0.79,0.76,0.81,0.68,4.26,4.26,4.29
25.91,3.48,3.48,-0.81,-0.81,0.78,0.81,0.70,4.26,4.26,4.29
26.16,3.47,3.47,-0.82,-0.81,0.79,0.80,0.71,4.26,4.26,4.29
26.43,3.49,3.49,-0.80,-0.80,0.78,0.80,0.73,4.27,4.27,4.29
26.69,3.52,3.52,-0.77,-0.77,0.77,0.80,0.75,4.29,4.29,4.28
26.96,3.55,3.54,-0.74,-0.74,0.76,0.80,0.76,4.31,4.30,4.28
27.23,3.57,3.57,-0.71,-0.72,0.74,0.80,0.78,4.31,4.30,4.28
27.50,3.58,3.58,-0.70,-0.70,0.72,0.80,0.80,4.30,4.30,4.28
27.77,3.58,3.58,-0.70,-0.70,0.70,0.80,0.81,4.28,4.28,4.28
28.05,3.58,3.58,-0.70,-0.70,0.69,0.80,0.82,4.26,4.26,4.27
28.33,3.58,3.58,-0.70,-0.69,0.67,0.79,0.84,4.25,4.25,4.27
28.62,3.59,3.59,-0.68,-0.68,0.66,0.79,0.85,4.25,4.26,4.27
28.90,3.61,3.61,-0.66,-0.66,0.66,0.79,0.86,4.27,4.26,4.27
29.19,3.62,3.62,-0.65,-0.65,0.66,0.79,0.87,4.28,4.28,4.27
29.48,3.63,3.62,-0.64,-0.64,0.66,0.79,0.88,4.29,4.29,4.26
29.78,3.62,3.62,-0.64,-0.64,0.67,0.79,0.89,4.29,4.29,4.26
30.08,3.60,3.59,-0.66,-0.66,0.68,0.79,0.90,4.28,4.28,4.26
30.38,3.57,3.56,-0.69,-0.69,0.69,0.79,0.91,4.26,4.25,4.26
30.68,3.53,3.53,-0.73,-0.72,0.69,0.78,0.91,4.22,4.23,4.25
30.99,3.52,3.52,-0.73,-0.73,0.70,0.78,0.92,4.21,4.21,4.25
31.30,3.52,3.52,-0.73,-0.72,0.69,0.78,0.92,4.21,4.22,4.25
31.61,3.55,3.55,-0.70,-0.70,0.68,0.78,0.92,4.23,4.23,4.24
31.93,3.58,3.57,-0.66,-0.67,0.67,0.78,0.92,4.25,4.25,4.24
32.24,3.60,3.60,-0.64,-0.64,0.66,0.78,0.92,4.26,4.26,4.24
