frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.98,7.98,2.41,2.41,-2.40,-2.03,-1.00,5.58,5.57,5.57
20.20,7.98,7.98,2.41,2.41,-2.41,-2.03,-1.03,5.57,5.57,5.57
20.40,7.98,7.98,2.41,2.42,-2.42,-2.03,-1.06,5.56,5.56,5.57
20.61,7.98,7.98,2.41,2.42,-2.42,-2.03,-1.09,5.56,5.56,5.57
20.81,7.99,7.99,2.43,2.42,-2.43,-2.03,-1.12,5.57,5.56,5.57
21.02,7.99,7.99,2.43,2.42,-2.42,-2.03,-1.16,5.57,5.56,5.56
21.23,7.98,7.99,2.42,2.42,-2.42,-2.02,-1.19,5.56,5.57,5.56
21.44,7.98,7.98,2.42,2.41,-2.41,-2.02,-1.23,5.57,5.57,5.56
21.66,7.97,7.97,2.41,2.41,-2.40,-2.02,-1.26,5.57,5.57,5.56
21.87,7.95,7.95,2.39,2.39,-2.39,-2.02,-1.30,5.56,5.57,5.56
22.09,7.94,7.93,2.38,2.37,-2.37,-2.02,-1.34,5.57,5.56,5.56
22.31,7.91,7.91,2.35,2.35,-2.35,-2.02,-1.38,5.56,5.56,5.56
22.54,7.89,7.89,2.33,2.33,-2.33,-2.01,-1.42,5.56,5.56,5.56
22.76,7.87,7.87,2.31,2.31,-2.31,-2.01,-1.46,5.56,5.56,5.56
22.99,7.84,7.84,2.28,2.29,-2.29,-2.01,-1.51,5.55,5.55,5.56
23.22,7.82,7.82,2.26,2.27,-2.27,-2.01,-1.55,5.55,5.55,5.56
23.45,7.81,7.81,2.26,2.25,-2.26,-2.00,-1.60,5.55,5.55,5.55
23.69,7.79,7.80,2.24,2.24,-2.24,-2.00,-1.64,5.55,5.55,5.55
23.92,7.79,7.79,2.24,2.24,-2.24,-2.00,-1.69,5.56,5.55,5.55
24.16,7.78,7.78,2.23,2.23,-2.23,-2.00,-1.74,5.55,5.55,5.55
24.40,7.78,7.78,2.23,2.23,-2.23,-1.99,-1.78,5.56,5.55,5.55
24.65,7.77,7.77,2.22,2.22,-2.22,-1.99,-1.83,5.55,5.55,5.55
24.89,7.77,7.77,2.22,2.22,-2.22,-1.99,-1.88,5.55,5.55,5.55
25.14,7.77,7.77,2.22,2.22,-2.23,-1.99,-1.93,5.54,5.54,5.55
25.39,7.77,7.77,2.23,2.22,-2.23,-1.98,-1.98,5.54,5.54,5.54
25.65,7.77,7.77,2.23,2.23,-2.23,-1.98,-2.03,5.54,5.54,5.54
25.91,7.77,7.77,2.23,2.23,-2.24,-1.98,-2.08,5.53,5.54,5.54
26.16,7.78,7.78,2.24,2.24,-2.24,-1.97,-2.13,5.54,5.54,5.54
26.43,7.78,7.78,2.24,2.24,-2.23,-1.97,-2.18,5.55,5.55,5.54
26.69,7.77,7.77,2.23,2.24,-2.22,-1.97,-2.22,5.55,5.55,5.54
26.96,7.76,7.76,2.23,2.22,-2.21,-1.96,-2.27,5.55,5.55,5.54
27.23,7.73,7.73,2.20,2.20,-2.19,-1.96,-2.32,5.54,5.54,5.53
27.50,7.70,7.70,2.17,2.17,-2.16,-1.96,-2.36,5.54,5.54,5.53
27.77,7.66,7.66,2.13,2.13,-2.14,-1.95,-2.40,5.52,5.53,5.53
28.05,7.63,7.63,2.10,2.10,-2.11,-1.95,-2.44,5.52,5.52,5.53
28.33,7.60,7.60,2.07,2.08,-2.09,-1.94,-2.48,5.51,5.51,5.53
28.62,7.58,7.58,2.06,2.06,-2.08,-1.94,-2.52,5.50,5.51,5.52
28.90,7.57,7.57,2.05,2.05,-2.06,-1.94,-2.55,5.51,5.51,5.52
29.19,7.57,7.57,2.05,2.05,-2.06,-1.93,-2.58,5.51,5.52,5.52
29.48,7.58,7.57,2.06,2.06,-2.05,-1.93,-2.60,5.53,5.53,5.52
29.78,7.57,7.57,2.06,2.06,-2.04,-1.92,-2.62,5.53,5.53,5.51
30.08,7.56,7.56,2.05,2.05,-2.03,-1.92,-2.64,5.53,5.53,5.51
30.38,7.54,7.54,2.03,2.03,-2.02,-1.91,-2.66,5.52,5.52,5.51
30.68,7.51,7.51,2.00,2.01,-2.00,-1.91,-2.67,5.51,5.51,5.51
30.99,7.48,7.48,1.98,1.98,-1.99,-1.90,-2.67,5.50,5.50,5.50
31.30,7.46,7.46,1.96,1.96,-1.97,-1.89,-2.67,5.50,5.49,5.50
31.61,7.43,7.44,1.93,1.94,-1.95,-1.89,-2.67,5.48,5.49,5.50
31.93,7.42,7.42,1.93,1.92,-1.93,-1.88,-2.66,5.49,5.49,5.49
32.24,7.40,7.40,1.91,1.91,-1.92,-1.88,-2.65,5.48,5.48,5.49
32.57,7.39,7.39,1.90,1.90,-1.91,-1.87,-2.64,5.48,5.48,5.49
32.89,7.38,7.38,1.90,1.90,-1.90,-1.86,-2.62,5.48,5.48,5.48
33.22,7.37,7.37,1.89,1.89,-1.89,-1.86,-2.59,5.48,5.49,5.48
33.55,7.36,7.36,1.89,1.88,-1.87,-1.85,-2.57,5.49,5.48,5.48
33.89,7.34,7.34,1.87,1.87,-1.86,-1.84,-2.54,5.48,5.48,5.47
34.23,7.31,7.31,1.84,1.85,-1.84,-1.83,-2.51,5.47,5.47,5.47
34.57,7.28,7.28,1.82,1.82,-1.82,-1.82,-2.47,5.46,5.46,5.46
34.92,7.25,7.25,1.79,1.79,-1.80,-1.82,-2.43,5.45,5.45,5.46
