frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.52,7.52,0.98,0.97,-0.97,-0.94,-0.34,6.54,6.54,6.54
20.20,7.51,7.51,0.97,0.97,-0.97,-0.94,-0.35,6.54,6.54,6.54
20.40,7.51,7.51,0.97,0.97,-0.97,-0.94,-0.37,6.54,6.54,6.54
20.61,7.51,7.50,0.97,0.96,-0.96,-0.94,-0.38,6.54,6.54,6.54
20.81,7.50,7.50,0.96,0.96,-0.96,-0.93,-0.39,6.54,6.54,6.54
21.02,7.50,7.50,0.96,0.96,-0.96,-0.93,-0.40,6.54,6.54,6.54
21.23,7.50,7.50,0.96,0.96,-0.96,-0.93,-0.41,6.54,6.54,6.54
21.44,7.50,7.50,0.96,0.96,-0.96,-0.93,-0.42,6.54,6.54,6.54
21.66,7.50,7.50,0.96,0.96,-0.96,-0.92,-0.43,6.53,6.53,6.54
21.87,7.50,7.50,0.96,0.97,-0.97,-0.92,-0.45,6.53,6.53,6.54
22.09,7.51,7.50,0.97,0.97,-0.97,-0.92,-0.46,6.54,6.53,6.54
22.31,7.51,7.51,0.97,0.97,-0.97,-0.91,-0.47,6.53,6.53,6.53
22.54,7.51,7.51,0.97,0.98,-0.98,-0.91,-0.49,6.53,6.54,6.53
22.76,7.52,7.51,0.99,0.98,-0.98,-0.91,-0.50,6.54,6.54,6.53
22.99,7.52,7.51,0.99,0.98,-0.98,-0.90,-0.51,6.54,6.54,6.53
23.22,7.51,7.51,0.98,0.98,-0.97,-0.90,-0.53,6.53,6.53,6.53
23.45,7.50,7.50,0.97,0.97,-0.97,-0.90,-0.54,6.53,6.53,6.53
23.69,7.49,7.49,0.96,0.96,-0.96,-0.90,-0.56,6.53,6.53,6.53
23.92,7.48,7.48,0.95,0.95,-0.95,-0.89,-0.57,6.53,6.53,6.53
24.16,7.46,7.46,0.93,0.93,-0.93,-0.89,-0.59,6.52,6.53,6.53
24.40,7.45,7.45,0.92,0.92,-0.92,-0.88,-0.61,6.53,6.53,6.52
24.65,7.43,7.43,0.90,0.91,-0.90,-0.88,-0.62,6.52,6.52,6.52
24.89,7.42,7.41,0.90,0.89,-0.89,-0.88,-0.64,6.52,6.52,6.52
25.14,7.40,7.40,0.88,0.88,-0.88,-0.87,-0.65,6.51,6.51,6.52
25.39,7.39,7.39,0.87,0.87,-0.88,-0.87,-0.67,6.51,6.51,6.52
25.65,7.39,7.39,0.87,0.87,-0.88,-0.87,-0.69,6.51,6.51,6.52
25.91,7.39,7.39,0.87,0.87,-0.88,-0.86,-0.70,6.51,6.51,6.52
26.16,7.40,7.39,0.88,0.88,-0.88,-0.86,-0.72,6.52,6.51,6.51
26.43,7.40,7.40,0.88,0.88,-0.88,-0.85,-0.74,6.52,6.52,6.51
26.69,7.40,7.40,0.89,0.89,-0.88,-0.85,-0.75,6.52,6.52,6.51
26.96,7.40,7.40,0.89,0.89,-0.87,-0.85,-0.77,6.52,6.52,6.51
27.23,7.39,7.38,0.88,0.87,-0.86,-0.84,-0.78,6.53,6.52,6.51
27.50,7.36,7.36,0.85,0.85,-0.84,-0.84,-0.80,6.52,6.52,6.51
27.77,7.33,7.33,0.82,0.83,-0.82,-0.83,-0.81,6.51,6.51,6.50
28.05,7.30,7.30,0.80,0.79,-0.80,-0.83,-0.83,6.50,6.50,6.50
28.33,7.27,7.27,0.77,0.77,-0.77,-0.83,-0.84,6.50,6.50,6.50
