frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.36,9.36,2.83,2.83,-2.82,-2.73,-1.31,6.54,6.54,6.53
20.20,9.36,9.36,2.83,2.83,-2.83,-2.75,-1.35,6.53,6.53,6.53
20.40,9.36,9.36,2.83,2.84,-2.84,-2.77,-1.39,6.52,6.52,6.53
20.61,9.37,9.37,2.84,2.84,-2.85,-2.80,-1.43,6.52,6.52,6.52
20.81,9.38,9.38,2.85,2.85,-2.86,-2.82,-1.47,6.52,6.52,6.52
21.02,9.39,9.39,2.86,2.86,-2.87,-2.85,-1.52,6.52,6.52,6.52
21.23,9.40,9.40,2.87,2.87,-2.88,-2.87,-1.56,6.52,6.52,6.52
21.44,9.41,9.41,2.89,2.89,-2.88,-2.90,-1.61,6.52,6.52,6.52
21.66,9.42,9.42,2.90,2.90,-2.90,-2.92,-1.66,6.52,6.52,6.52
21.87,9.43,9.43,2.91,2.91,-2.91,-2.95,-1.71,6.52,6.52,6.52
22.09,9.44,9.44,2.92,2.92,-2.91,-2.97,-1.75,6.52,6.52,6.52
22.31,9.44,9.44,2.92,2.92,-2.92,-2.99,-1.81,6.52,6.52,6.52
22.54,9.45,9.45,2.93,2.93,-2.93,-3.01,-1.86,6.52,6.52,6.52
22.76,9.45,9.45,2.93,2.93,-2.93,-3.02,-1.92,6.51,6.52,6.52
22.99,9.46,9.46,2.94,2.94,-2.94,-3.03,-1.97,6.52,6.52,6.52
23.22,9.46,9.46,2.94,2.94,-2.94,-3.03,-2.03,6.52,6.52,6.51
23.45,9.46,9.46,2.94,2.94,-2.94,-3.04,-2.09,6.51,6.51,6.51
23.69,9.46,9.46,2.94,2.94,-2.95,-3.03,-2.15,6.51,6.51,6.51
23.92,9.46,9.46,2.95,2.95,-2.95,-3.03,-2.21,6.51,6.51,6.51
24.16,9.46,9.46,2.95,2.95,-2.95,-3.02,-2.27,6.51,6.51,6.51
24.40,9.46,9.46,2.95,2.95,-2.95,-3.01,-2.33,6.51,6.51,6.51
24.65,9.46,9.45,2.95,2.95,-2.95,-3.00,-2.39,6.51,6.51,6.51
24.89,9.45,9.45,2.94,2.95,-2.95,-2.98,-2.46,6.50,6.51,6.51
25.14,9.45,9.45,2.94,2.94,-2.94,-2.97,-2.52,6.50,6.50,6.51
25.39,9.45,9.44,2.94,2.94,-2.94,-2.95,-2.59,6.51,6.50,6.50
25.65,9.44,9.44,2.94,2.94,-2.94,-2.94,-2.65,6.50,6.51,6.50
25.91,9.44,9.44,2.94,2.93,-2.93,-2.92,-2.72,6.51,6.50,6.50
26.16,9.43,9.43,2.93,2.93,-2.93,-2.91,-2.78,6.50,6.50,6.50
26.43,9.42,9.42,2.92,2.92,-2.92,-2.90,-2.85,6.50,6.50,6.50
26.69,9.41,9.41,2.91,2.91,-2.92,-2.89,-2.91,6.49,6.49,6.50
26.96,9.41,9.40,2.91,2.91,-2.91,-2.87,-2.97,6.49,6.49,6.49
27.23,9.40,9.40,2.91,2.91,-2.91,-2.87,-3.03,6.49,6.49,6.49
27.50,9.40,9.40,2.91,2.91,-2.90,-2.86,-3.09,6.49,6.49,6.49
27.77,9.39,9.39,2.90,2.90,-2.90,-2.85,-3.14,6.49,6.49,6.49
28.05,9.39,9.39,2.90,2.90,-2.90,-2.85,-3.20,6.49,6.49,6.49
28.33,9.38,9.38,2.89,2.90,-2.90,-2.84,-3.25,6.48,6.48,6.48
28.62,9.38,9.38,2.90,2.89,-2.89,-2.84,-3.30,6.49,6.48,6.48
28.90,9.37,9.37,2.89,2.89,-2.89,-2.84,-3.34,6.48,6.48,6.48
29.19,9.36,9.36,2.88,2.88,-2.88,-2.84,-3.38,6.48,6.48,6.48
29.48,9.35,9.35,2.87,2.87,-2.87,-2.84,-3.42,6.48,6.48,6.48
29.78,9.34,9.34,2.86,2.87,-2.86,-2.84,-3.45,6.48,6.48,6.47
30.08,9.33,9.32,2.86,2.85,-2.85,-2.84,-3.47,6.48,6.47,6.47
30.38,9.31,9.31,2.84,2.84,-2.84,-2.84,-3.50,6.47,6.47,6.47
30.68,9.29,9.29,2.82,2.83,-2.83,-2.83,-3.51,6.46,6.46,6.46
30.99,9.28,9.28,2.82,2.81,-2.82,-2.83,-3.53,6.46,6.46,6.46
31.30,9.27,9.26,2.81,2.80,-2.81,-2.83,-3.53,6.46,6.46,6.46
31.61,9.25,9.25,2.79,2.79,-2.80,-2.82,-3.53,6.45,6.45,6.46
31.93,9.24,9.24,2.79,2.79,-2.79,-2.81,-3.53,6.45,6.45,6.45
32.24,9.23,9.23,2.78,2.78,-2.78,-2.81,-3.52,6.44,6.45,6.45
32.57,9.23,9.22,2.78,2.78,-2.78,-2.79,-3.50,6.45,6.45,6.45
32.89,9.21,9.21,2.77,2.77,-2.77,-2.78,-3.48,6.44,6.44,6.44
33.22,9.20,9.20,2.76,2.76,-2.76,-2.77,-3.46,6.44,6.44,6.44
33.55,9.19,9.18,2.75,2.75,-2.75,-2.75,-3.43,6.44,6.44,6.43
33.89,9.17,9.17,2.74,2.74,-2.73,-2.74,-3.40,6.43,6.43,6.43
34.23,9.15,9.15,2.72,2.72,-2.72,-2.72,-3.36,6.43,6.43,6.43
34.57,9.12,9.12,2.70,2.70,-2.70,-2.70,-3.32,6.42,6.42,6.42
34.92,9.10,9.10,2.68,2.68,-2.68,-2.68,-3.28,6.42,6.42,6.42
35.27,9.07,9.07,2.66,2.66,-2.66,-2.66,-3.23,6.41,6.41,6.41
35.62,9.05,9.04,2.64,2.64,-2.64,-2.64,-3.18,6.41,6.40,6.41
35.97,9.02,9.02,2.62,2.62,-2.62,-2.62,-3.13,6.39,6.40,6.40
36.33,9.00,9.00,2.60,2.60,-2.61,-2.60,-3.08,6.39,6.39,6.40
36.70,8.99,8.98,2.60,2.59,-2.60,-2.58,-3.03,6.39,6.39,6.39
37.06,8.97,8.97,2.58,2.58,-2.58,-2.56,-2.97,6.38,6.39,6.39
37.43,8.96,8.96,2.58,2.58,-2.57,-2.54,-2.92,6.38,6.38,6.38
37.81,8.94,8.94,2.56,2.56,-2.56,-2.52,-2.86,6.38,6.38,6.37
38.19,8.92,8.92,2.55,2.55,-2.55,-2.51,-2.81,6.37,6.37,6.37
38.57,8.90,8.90,2.54,2.54,-2.53,-2.49,-2.75,6.36,6.36,6.36
38.95,8.88,8.87,2.52,2.52,-2.52,-2.47,-2.70,6.36,6.36,6.35
39.34,8.85,8.85,2.50,2.50,-2.50,-2.45,-2.65,6.35,6.35,6.35
39.74,8.82,8.82,2.48,2.48,-2.48,-2.43,-2.59,6.34,6.34,6.34
40.14,8.79,8.79,2.46,2.46,-2.46,-2.42,-2.54,6.33,6.33,6.33
40.54,8.77,8.76,2.44,2.44,-2.44,-2.40,-2.49,6.33,6.32,6.32
40.94,8.74,8.74,2.42,2.42,-2.42,-2.38,-2.44,6.32,6.32,6.32
41.35,8.71,8.71,2.40,2.40,-2.40,-2.37,-2.39,6.31,6.31,6.31
41.76,8.68,8.67,2.38,2.37,-2.37,-2.35,-2.34,6.30,6.30,6.30
42.18,8.64,8.64,2.35,2.35,-2.35,-2.33,-2.30,6.29,6.29,6.29
42.60,8.61,8.61,2.33,2.33,-2.33,-2.32,-2.25,6.28,6.28,6.28
43.03,8.58,8.58,2.31,2.31,-2.31,-2.30,-2.21,6.27,6.27,6.27
43.46,8.55,8.55,2.29,2.29,-2.29,-2.29,-2.17,6.26,6.26,6.26
43.90,8.52,8.52,2.27,2.27,-2.27,-2.27,-2.13,6.25,6.25,6.25
44.33,8.49,8.49,2.25,2.25,-2.25,-2.25,-2.09,6.24,6.24,6.24
44.78,8.46,8.46,2.23,2.23,-2.23,-2.24,-2.05,6.23,6.23,6.23
45.23,8.43,8.43,2.21,2.21,-2.21,-2.22,-2.01,6.22,6.22,6.22
45.68,8.40,8.40,2.19,2.19,-2.19,-2.21,-1.98,6.21,6.21,6.20
46.13,8.36,8.36,2.17,2.17,-2.17,-2.19,-1.95,6.19,6.19,6.19
46.60,8.33,8.32,2.15,2.14,-2.14,-2.17,-1.92,6.18,6.18,6.18
47.06,8.29,8.29,2.12,2.12,-2.12,-2.16,-1.89,6.16,6.16,6.17
47.53,8.25,8.25,2.10,2.10,-2.10,-2.14,-1.86,6.15,6.15,6.15
48.01,8.22,8.21,2.08,2.08,-2.08,-2.12,-1.84,6.14,6.13,6.14
48.49,8.18,8.18,2.05,2.05,-2.06,-2.10,-1.81,6.12,6.12,6.12
48.97,8.14,8.14,2.03,2.03,-2.03,-2.09,-1.79,6.10,6.11,6.11
49.46,8.11,8.10,2.02,2.01,-2.01,-2.07,-1.77,6.10,6.09,6.09
49.96,8.07,8.07,1.99,1.99,-1.99,-2.05,-1.75,6.08,6.08,6.08
50.46,8.03,8.03,1.97,1.97,-1.97,-2.03,-1.73,6.06,6.06,6.06
50.96,7.99,7.98,1.95,1.94,-1.94,-2.01,-1.71,6.04,6.04,6.04
51.47,7.94,7.94,1.91,1.92,-1.92,-1.99,-1.69,6.02,6.02,6.02
51.99,7.90,7.90,1.89,1.89,-1.90,-1.97,-1.68,6.00,6.00,6.00
52.51,7.86,7.86,1.87,1.87,-1.88,-1.95,-1.66,5.98,5.98,5.99
53.03,7.82,7.82,1.85,1.85,-1.85,-1.92,-1.65,5.96,5.97,5.97
53.56,7.78,7.78,1.83,1.83,-1.83,-1.90,-1.64,5.95,5.95,5.94
54.10,7.74,7.74,1.81,1.81,-1.81,-1.88,-1.63,5.93,5.93,5.92
54.64,7.69,7.69,1.79,1.79,-1.79,-1.85,-1.62,5.90,5.91,5.90
55.18,7.65,7.64,1.77,1.77,-1.77,-1.83,-1.60,5.88,5.88,5.88
55.74,7.60,7.60,1.74,1.74,-1.74,-1.80,-1.60,5.85,5.85,5.86
56.29,7.55,7.55,1.72,1.72,-1.72,-1.78,-1.59,5.82,5.83,5.83
56.86,7.51,7.51,1.70,1.70,-1.70,-1.75,-1.58,5.80,5.80,5.81
57.42,7.47,7.46,1.69,1.68,-1.68,-1.72,-1.57,5.78,5.78,5.78
58.00,7.42,7.42,1.66,1.67,-1.67,-1.69,-1.56,5.75,5.75,5.75
58.58,7.38,7.38,1.65,1.65,-1.65,-1.67,-1.55,5.73,5.73,5.73
59.16,7.34,7.33,1.64,1.64,-1.63,-1.64,-1.54,5.70,5.70,5.70
59.76,7.29,7.29,1.62,1.62,-1.62,-1.61,-1.54,5.67,5.67,5.67
60.35,7.25,7.25,1.61,1.60,-1.60,-1.58,-1.53,5.64,5.64,5.64
60.96,7.20,7.20,1.59,1.59,-1.59,-1.55,-1.52,5.61,5.61,5.61
61.57,7.15,7.15,1.57,1.57,-1.57,-1.52,-1.51,5.57,5.58,5.58
62.18,7.10,7.10,1.55,1.55,-1.56,-1.50,-1.51,5.54,5.54,5.55
62.80,7.05,7.05,1.53,1.54,-1.54,-1.47,-1.50,5.51,5.51,5.51
63.43,7.00,7.00,1.52,1.52,-1.51,-1.44,-1.49,5.49,5.49,5.48
64.07,6.95,6.94,1.50,1.50,-1.49,-1.42,-1.48,5.46,5.46,5.44
64.71,6.88,6.88,1.47,1.47,-1.46,-1.39,-1.47,5.42,5.42,5.41
65.35,6.81,6.81,1.44,1.44,-1.43,-1.37,-1.47,5.37,5.37,5.37
66.01,6.73,6.73,1.40,1.40,-1.41,-1.35,-1.46,5.32,5.32,5.33
66.67,6.67,6.67,1.37,1.37,-1.39,-1.33,-1.45,5.28,5.28,5.29
67.33,6.61,6.61,1.35,1.35,-1.37,-1.31,-1.44,5.24,5.24,5.25
