frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.49,-1.49,-4.69,-4.69,4.69,2.91,0.84,3.20,3.20,3.20
20.20,-1.34,-1.34,-4.57,-4.57,4.57,2.90,0.86,3.23,3.23,3.23
20.40,-1.20,-1.19,-4.46,-4.46,4.45,2.90,0.89,3.25,3.26,3.26
20.61,-1.05,-1.05,-4.33,-4.34,4.34,2.90,0.91,3.29,3.29,3.28
20.81,-0.91,-0.91,-4.22,-4.22,4.23,2.89,0.94,3.32,3.32,3.31
21.02,-0.78,-0.78,-4.12,-4.11,4.12,2.89,0.96,3.34,3.34,3.34
21.23,-0.65,-0.65,-4.00,-4.01,4.01,2.88,0.99,3.36,3.36,3.35
21.44,-0.54,-0.54,-3.90,-3.90,3.91,2.88,1.02,3.37,3.37,3.36
21.66,-0.44,-0.44,-3.81,-3.80,3.81,2.87,1.05,3.37,3.38,3.37
21.87,-0.34,-0.34,-3.71,-3.71,3.72,2.87,1.08,3.38,3.38,3.37
22.09,-0.25,-0.25,-3.63,-3.63,3.63,2.86,1.11,3.38,3.37,3.38
22.31,-0.17,-0.17,-3.55,-3.54,3.53,2.85,1.14,3.37,3.37,3.38
22.54,-0.08,-0.08,-3.46,-3.46,3.44,2.85,1.17,3.36,3.36,3.38
22.76,0.01,0.01,-3.37,-3.36,3.35,2.84,1.21,3.36,3.36,3.38
22.99,0.11,0.11,-3.26,-3.26,3.26,2.83,1.24,3.37,3.37,3.37
23.22,0.21,0.21,-3.15,-3.16,3.16,2.83,1.28,3.37,3.37,3.37
23.45,0.30,0.30,-3.06,-3.06,3.07,2.82,1.31,3.38,3.38,3.36
23.69,0.39,0.39,-2.97,-2.97,2.99,2.81,1.35,3.37,3.38,3.36
23.92,0.47,0.47,-2.89,-2.90,2.90,2.80,1.39,3.37,3.37,3.36
24.16,0.55,0.55,-2.82,-2.82,2.82,2.79,1.42,3.37,3.37,3.37
