frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.72,2.72,-1.80,-1.80,1.79,1.04,0.05,4.51,4.51,4.53
20.20,2.84,2.84,-1.71,-1.71,1.71,1.03,0.05,4.55,4.55,4.55
20.40,2.95,2.96,-1.63,-1.63,1.63,1.03,0.05,4.59,4.59,4.58
20.61,3.06,3.06,-1.54,-1.55,1.56,1.03,0.05,4.62,4.62,4.60
20.81,3.16,3.16,-1.47,-1.47,1.48,1.03,0.05,4.65,4.64,4.63
21.02,3.25,3.26,-1.41,-1.40,1.41,1.02,0.06,4.66,4.66,4.66
21.23,3.34,3.34,-1.33,-1.33,1.33,1.02,0.06,4.68,4.68,4.67
21.44,3.42,3.42,-1.26,-1.26,1.26,1.02,0.06,4.69,4.68,4.68
21.66,3.49,3.50,-1.20,-1.19,1.19,1.01,0.06,4.69,4.69,4.69
21.87,3.57,3.57,-1.13,-1.13,1.12,1.01,0.06,4.69,4.69,4.69
22.09,3.64,3.64,-1.06,-1.06,1.05,1.01,0.06,4.70,4.69,4.70
22.31,3.71,3.71,-0.98,-0.99,0.98,1.00,0.06,4.70,4.70,4.70
22.54,3.78,3.78,-0.92,-0.91,0.91,1.00,0.06,4.69,4.70,4.70
22.76,3.85,3.85,-0.84,-0.84,0.84,0.99,0.07,4.69,4.69,4.70
22.99,3.92,3.92,-0.76,-0.77,0.77,0.99,0.07,4.69,4.69,4.69
23.22,3.99,3.99,-0.69,-0.69,0.70,0.98,0.07,4.69,4.69,4.69
23.45,4.06,4.06,-0.62,-0.62,0.63,0.98,0.07,4.69,4.69,4.69
23.69,4.13,4.13,-0.55,-0.56,0.56,0.97,0.07,4.69,4.69,4.69
23.92,4.19,4.20,-0.49,-0.49,0.49,0.97,0.07,4.69,4.69,4.68
24.16,4.25,4.26,-0.44,-0.43,0.43,0.96,0.07,4.68,4.68,4.69
24.40,4.31,4.31,-0.38,-0.38,0.37,0.96,0.08,4.68,4.68,4.69
24.65,4.36,4.37,-0.32,-0.32,0.32,0.95,0.08,4.68,4.68,4.68
24.89,4.41,4.42,-0.27,-0.27,0.27,0.94,0.08,4.68,4.69,4.68
25.14,4.45,4.46,-0.23,-0.22,0.23,0.94,0.08,4.69,4.69,4.68
25.39,4.49,4.49,-0.19,-0.19,0.20,0.93,0.08,4.69,4.69,4.68
25.65,4.50,4.51,-0.17,-0.17,0.18,0.92,0.09,4.68,4.69,4.68
25.91,4.51,4.51,-0.15,-0.16,0.17,0.91,0.09,4.68,4.68,4.67
26.16,4.51,4.51,-0.15,-0.16,0.16,0.91,0.09,4.67,4.67,4.67
26.43,4.50,4.50,-0.16,-0.16,0.16,0.90,0.10,4.66,4.66,4.66
26.69,4.49,4.49,-0.17,-0.17,0.16,0.89,0.10,4.65,4.65,4.66
26.96,4.48,4.49,-0.18,-0.18,0.16,0.88,0.10,4.64,4.65,4.66
27.23,4.48,4.48,-0.18,-0.18,0.16,0.87,0.11,4.65,4.65,4.66
27.50,4.48,4.48,-0.18,-0.18,0.17,0.86,0.11,4.66,4.65,4.66
27.77,4.47,4.48,-0.17,-0.18,0.18,0.84,0.11,4.65,4.66,4.65
28.05,4.46,4.46,-0.18,-0.18,0.19,0.83,0.12,4.66,4.66,4.65
28.33,4.44,4.44,-0.19,-0.20,0.21,0.82,0.12,4.66,4.65,4.64
28.62,4.41,4.41,-0.22,-0.22,0.23,0.81,0.13,4.65,4.65,4.63
28.90,4.37,4.37,-0.26,-0.26,0.26,0.79,0.13,4.63,4.63,4.63
29.19,4.33,4.33,-0.29,-0.29,0.28,0.77,0.14,4.62,4.62,4.62
29.48,4.29,4.30,-0.34,-0.33,0.31,0.76,0.14,4.61,4.61,4.63
29.78,4.26,4.27,-0.35,-0.35,0.34,0.74,0.15,4.60,4.61,4.62
30.08,4.24,4.24,-0.37,-0.37,0.37,0.72,0.16,4.61,4.61,4.62
30.38,4.21,4.22,-0.39,-0.39,0.39,0.70,0.17,4.61,4.61,4.60
30.68,4.19,4.19,-0.41,-0.41,0.42,0.68,0.17,4.61,4.61,4.60
30.99,4.16,4.16,-0.43,-0.43,0.44,0.65,0.18,4.61,4.61,4.59
31.30,4.13,4.13,-0.45,-0.46,0.46,0.63,0.19,4.60,4.59,4.59
31.61,4.09,4.10,-0.49,-0.48,0.48,0.60,0.20,4.58,4.58,4.58
31.93,4.06,4.06,-0.51,-0.51,0.50,0.57,0.21,4.56,4.56,4.57
32.24,4.04,4.04,-0.52,-0.52,0.51,0.54,0.22,4.55,4.55,4.56
32.57,4.03,4.04,-0.52,-0.52,0.51,0.51,0.23,4.55,4.55,4.56
32.89,4.04,4.04,-0.51,-0.51,0.51,0.47,0.24,4.56,4.55,4.55
33.22,4.05,4.05,-0.49,-0.49,0.50,0.43,0.25,4.56,4.56,4.54
33.55,4.06,4.06,-0.48,-0.47,0.49,0.39,0.26,4.55,4.55,4.54
33.89,4.07,4.07,-0.45,-0.46,0.46,0.35,0.28,4.53,4.53,4.53
34.23,4.09,4.09,-0.43,-0.43,0.42,0.30,0.29,4.51,4.51,4.52
34.57,4.11,4.12,-0.40,-0.39,0.37,0.25,0.31,4.48,4.49,4.51
34.92,4.16,4.17,-0.33,-0.33,0.31,0.20,0.32,4.47,4.47,4.50
35.27,4.23,4.23,-0.26,-0.26,0.24,0.15,0.33,4.48,4.48,4.49
35.62,4.31,4.31,-0.17,-0.17,0.17,0.09,0.35,4.49,4.49,4.48
35.97,4.39,4.39,-0.07,-0.08,0.10,0.03,0.37,4.50,4.49,4.47
36.33,4.45,4.45,-0.01,-0.00,0.03,-0.04,0.38,4.48,4.48,4.46
36.70,4.50,4.50,0.05,0.06,-0.04,-0.10,0.40,4.47,4.47,4.45
37.06,4.54,4.54,0.11,0.10,-0.10,-0.17,0.42,4.45,4.44,4.43
37.43,4.57,4.58,0.14,0.15,-0.15,-0.23,0.44,4.42,4.43,4.43
37.81,4.60,4.61,0.19,0.19,-0.20,-0.30,0.46,4.41,4.41,4.42
38.19,4.64,4.64,0.24,0.23,-0.24,-0.36,0.47,4.41,4.40,4.40
38.57,4.66,4.67,0.27,0.27,-0.27,-0.42,0.50,4.39,4.39,4.40
38.95,4.69,4.69,0.31,0.31,-0.31,-0.47,0.52,4.38,4.38,4.38
39.34,4.70,4.71,0.34,0.34,-0.35,-0.52,0.54,4.35,4.36,4.37
39.74,4.73,4.73,0.38,0.38,-0.40,-0.55,0.56,4.34,4.34,4.35
40.14,4.75,4.76,0.41,0.41,-0.43,-0.58,0.58,4.32,4.33,4.35
40.54,4.78,4.79,0.45,0.45,-0.46,-0.59,0.61,4.33,4.33,4.33
40.94,4.81,4.81,0.49,0.49,-0.47,-0.58,0.63,4.34,4.34,4.33
41.35,4.82,4.82,0.51,0.51,-0.48,-0.56,0.66,4.35,4.35,4.31
41.76,4.81,4.80,0.51,0.50,-0.47,-0.53,0.68,4.35,4.34,4.30
42.18,4.75,4.76,0.46,0.46,-0.45,-0.48,0.71,4.31,4.31,4.30
42.60,4.68,4.68,0.40,0.40,-0.41,-0.42,0.73,4.27,4.27,4.28
43.03,4.60,4.61,0.33,0.34,-0.37,-0.35,0.76,4.24,4.24,4.27
43.46,4.52,4.53,0.27,0.28,-0.31,-0.26,0.79,4.21,4.22,4.26
43.90,4.46,4.46,0.24,0.23,-0.24,-0.17,0.82,4.22,4.22,4.23
44.33,4.39,4.39,0.18,0.18,-0.17,-0.06,0.85,4.22,4.22,4.21
44.78,4.30,4.30,0.11,0.11,-0.09,0.05,0.88,4.22,4.21,4.19
45.23,4.19,4.18,0.01,0.01,-0.00,0.16,0.91,4.18,4.18,4.17
45.68,4.05,4.06,-0.10,-0.10,0.09,0.28,0.94,4.15,4.15,4.16
46.13,3.92,3.93,-0.21,-0.21,0.20,0.40,0.98,4.12,4.13,4.14
46.60,3.79,3.79,-0.33,-0.33,0.32,0.53,1.01,4.12,4.12,4.13
47.06,3.64,3.64,-0.46,-0.46,0.47,0.66,1.04,4.11,4.11,4.11
47.53,3.48,3.48,-0.60,-0.61,0.63,0.80,1.08,4.11,4.10,4.09
48.01,3.28,3.29,-0.79,-0.78,0.80,0.93,1.11,4.09,4.09,4.08
