frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.71,5.71,1.63,1.63,-1.65,-2.47,-2.24,4.06,4.06,4.08
20.20,5.87,5.87,1.76,1.76,-1.76,-2.50,-2.31,4.10,4.11,4.11
20.40,6.03,6.02,1.89,1.89,-1.88,-2.53,-2.37,4.15,4.15,4.14
20.61,6.16,6.17,2.01,2.00,-1.99,-2.56,-2.44,4.18,4.18,4.16
20.81,6.31,6.31,2.12,2.12,-2.10,-2.60,-2.51,4.21,4.21,4.19
21.02,6.44,6.44,2.22,2.22,-2.21,-2.63,-2.59,4.23,4.22,4.22
21.23,6.56,6.56,2.33,2.33,-2.32,-2.67,-2.66,4.23,4.24,4.23
21.44,6.68,6.68,2.44,2.44,-2.44,-2.70,-2.74,4.24,4.24,4.24
21.66,6.79,6.79,2.54,2.54,-2.54,-2.74,-2.82,4.24,4.25,4.25
21.87,6.90,6.90,2.65,2.65,-2.65,-2.78,-2.90,4.25,4.25,4.25
22.09,7.01,7.01,2.75,2.76,-2.76,-2.82,-2.98,4.25,4.25,4.26
22.31,7.13,7.13,2.87,2.87,-2.88,-2.87,-3.07,4.25,4.25,4.26
22.54,7.25,7.25,2.99,2.99,-3.00,-2.91,-3.16,4.24,4.24,4.25
22.76,7.37,7.37,3.11,3.12,-3.13,-2.96,-3.25,4.24,4.24,4.25
22.99,7.50,7.50,3.25,3.25,-3.26,-3.01,-3.34,4.24,4.24,4.24
23.22,7.64,7.63,3.39,3.39,-3.39,-3.06,-3.44,4.25,4.25,4.24
23.45,7.77,7.76,3.53,3.52,-3.52,-3.11,-3.53,4.25,4.25,4.24
23.69,7.89,7.89,3.64,3.65,-3.64,-3.16,-3.63,4.24,4.25,4.24
23.92,8.01,8.01,3.77,3.77,-3.76,-3.22,-3.73,4.25,4.25,4.24
24.16,8.13,8.12,3.88,3.88,-3.88,-3.28,-3.84,4.25,4.25,4.25
24.40,8.23,8.23,3.98,3.99,-3.98,-3.34,-3.94,4.24,4.25,4.25
24.65,8.33,8.33,4.09,4.09,-4.08,-3.40,-4.05,4.24,4.24,4.24
24.89,8.42,8.42,4.18,4.18,-4.18,-3.47,-4.15,4.24,4.24,4.24
25.14,8.50,8.50,4.26,4.26,-4.26,-3.53,-4.26,4.24,4.24,4.24
25.39,8.58,8.57,4.34,4.34,-4.34,-3.60,-4.37,4.24,4.23,4.23
25.65,8.64,8.64,4.40,4.41,-4.41,-3.68,-4.48,4.22,4.23,4.23
25.91,8.71,8.71,4.48,4.48,-4.48,-3.75,-4.59,4.22,4.22,4.22
26.16,8.77,8.76,4.55,4.54,-4.54,-3.83,-4.70,4.23,4.22,4.22
26.43,8.82,8.82,4.60,4.60,-4.60,-3.91,-4.81,4.22,4.22,4.22
26.69,8.87,8.87,4.65,4.65,-4.65,-3.99,-4.92,4.21,4.22,4.22
26.96,8.92,8.92,4.70,4.70,-4.70,-4.08,-5.02,4.22,4.22,4.22
27.23,8.96,8.96,4.74,4.74,-4.74,-4.17,-5.13,4.21,4.22,4.22
27.50,9.00,8.99,4.78,4.78,-4.78,-4.25,-5.23,4.22,4.22,4.22
27.77,9.02,9.02,4.81,4.81,-4.81,-4.35,-5.33,4.21,4.21,4.20
28.05,9.04,9.04,4.84,4.84,-4.83,-4.44,-5.42,4.21,4.21,4.20
28.33,9.05,9.05,4.86,4.85,-4.85,-4.54,-5.51,4.20,4.20,4.19
28.62,9.06,9.06,4.87,4.87,-4.86,-4.64,-5.59,4.19,4.19,4.19
28.90,9.06,9.06,4.87,4.87,-4.87,-4.74,-5.67,4.18,4.18,4.19
29.19,9.06,9.06,4.88,4.88,-4.88,-4.84,-5.74,4.18,4.18,4.18
29.48,9.06,9.06,4.87,4.88,-4.89,-4.94,-5.80,4.17,4.17,4.18
29.78,9.07,9.06,4.89,4.89,-4.89,-5.04,-5.86,4.18,4.18,4.17
30.08,9.07,9.07,4.90,4.90,-4.89,-5.14,-5.91,4.18,4.18,4.17
30.38,9.07,9.07,4.91,4.91,-4.89,-5.25,-5.95,4.17,4.18,4.16
30.68,9.07,9.07,4.91,4.91,-4.90,-5.35,-5.98,4.17,4.16,4.16
30.99,9.07,9.06,4.92,4.92,-4.92,-5.44,-6.00,4.15,4.15,4.14
31.30,9.07,9.07,4.93,4.93,-4.95,-5.54,-6.01,4.12,4.12,4.14
31.61,9.09,9.09,4.95,4.96,-4.98,-5.63,-6.02,4.10,4.11,4.14
31.93,9.13,9.13,5.00,5.00,-5.03,-5.72,-6.01,4.09,4.10,4.13
32.24,9.20,9.20,5.08,5.07,-5.09,-5.80,-5.99,4.11,4.11,4.12
32.57,9.27,9.27,5.15,5.16,-5.15,-5.88,-5.97,4.11,4.12,4.11
32.89,9.36,9.35,5.25,5.25,-5.22,-5.95,-5.94,4.14,4.13,4.11
33.22,9.43,9.43,5.33,5.32,-5.29,-6.01,-5.89,4.13,4.13,4.10
33.55,9.49,9.49,5.39,5.39,-5.37,-6.07,-5.85,4.12,4.12,4.09
33.89,9.54,9.53,5.46,5.45,-5.45,-6.11,-5.79,4.09,4.09,4.08
34.23,9.58,9.58,5.50,5.51,-5.53,-6.15,-5.73,4.05,4.05,4.08
34.57,9.64,9.64,5.57,5.57,-5.61,-6.17,-5.66,4.03,4.03,4.07
34.92,9.71,9.71,5.65,5.66,-5.70,-6.19,-5.59,4.01,4.02,4.05
35.27,9.81,9.81,5.76,5.76,-5.78,-6.20,-5.51,4.02,4.02,4.05
35.62,9.91,9.90,5.87,5.87,-5.87,-6.20,-5.44,4.04,4.04,4.04
35.97,10.00,9.99,5.98,5.97,-5.95,-6.19,-5.35,4.05,4.05,4.02
36.33,10.06,10.06,6.04,6.04,-6.01,-6.17,-5.27,4.05,4.05,4.02
36.70,10.10,10.09,6.09,6.09,-6.06,-6.14,-5.18,4.04,4.04,4.00
37.06,10.10,10.10,6.11,6.10,-6.08,-6.10,-5.09,4.02,4.02,3.99
37.43,10.08,10.08,6.09,6.10,-6.08,-6.06,-5.00,3.99,4.00,3.99
37.81,10.04,10.04,6.07,6.07,-6.06,-6.01,-4.91,3.97,3.98,3.97
