frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.97,8.97,3.94,3.93,-3.94,-3.71,-1.99,5.03,5.03,5.04
20.20,8.97,8.98,3.91,3.91,-3.92,-3.73,-2.05,5.06,5.06,5.06
20.40,8.98,8.99,3.89,3.89,-3.90,-3.74,-2.10,5.09,5.09,5.09
20.61,9.00,9.00,3.89,3.88,-3.88,-3.75,-2.16,5.12,5.12,5.11
20.81,9.02,9.02,3.88,3.88,-3.87,-3.76,-2.22,5.15,5.15,5.14
21.02,9.04,9.04,3.87,3.87,-3.86,-3.78,-2.29,5.18,5.18,5.17
21.23,9.05,9.05,3.87,3.86,-3.86,-3.79,-2.35,5.20,5.19,5.18
21.44,9.05,9.05,3.86,3.86,-3.86,-3.80,-2.42,5.20,5.20,5.19
21.66,9.05,9.05,3.85,3.86,-3.86,-3.82,-2.49,5.20,5.20,5.20
21.87,9.06,9.06,3.86,3.86,-3.86,-3.83,-2.56,5.20,5.20,5.20
22.09,9.07,9.07,3.86,3.86,-3.87,-3.84,-2.64,5.20,5.20,5.21
22.31,9.09,9.09,3.88,3.88,-3.89,-3.86,-2.71,5.20,5.20,5.21
22.54,9.11,9.11,3.90,3.90,-3.91,-3.87,-2.79,5.20,5.20,5.21
22.76,9.14,9.14,3.93,3.94,-3.94,-3.88,-2.87,5.20,5.20,5.21
22.99,9.17,9.17,3.97,3.97,-3.97,-3.90,-2.95,5.21,5.21,5.20
23.22,9.20,9.20,4.00,4.01,-3.99,-3.91,-3.03,5.21,5.21,5.20
23.45,9.23,9.23,4.04,4.03,-4.02,-3.93,-3.12,5.21,5.21,5.20
23.69,9.25,9.25,4.06,4.05,-4.04,-3.94,-3.20,5.21,5.21,5.20
23.92,9.26,9.27,4.07,4.07,-4.06,-3.96,-3.29,5.20,5.21,5.19
24.16,9.28,9.28,4.08,4.08,-4.08,-3.97,-3.38,5.20,5.20,5.20
24.40,9.29,9.29,4.09,4.09,-4.10,-3.99,-3.47,5.19,5.19,5.20
24.65,9.30,9.31,4.11,4.11,-4.12,-4.01,-3.56,5.18,5.18,5.19
24.89,9.33,9.33,4.14,4.14,-4.15,-4.02,-3.66,5.18,5.18,5.19
25.14,9.36,9.36,4.17,4.17,-4.18,-4.04,-3.75,5.18,5.18,5.19
25.39,9.39,9.40,4.20,4.21,-4.21,-4.06,-3.85,5.18,5.18,5.19
25.65,9.43,9.43,4.24,4.25,-4.24,-4.07,-3.94,5.19,5.19,5.19
25.91,9.47,9.47,4.29,4.29,-4.27,-4.09,-4.04,5.20,5.19,5.18
26.16,9.49,9.49,4.32,4.32,-4.30,-4.11,-4.14,5.20,5.20,5.18
26.43,9.51,9.51,4.34,4.33,-4.31,-4.12,-4.23,5.20,5.19,5.17
26.69,9.51,9.51,4.34,4.34,-4.33,-4.14,-4.33,5.18,5.18,5.17
26.96,9.51,9.51,4.34,4.34,-4.34,-4.16,-4.42,5.17,5.17,5.17
27.23,9.51,9.51,4.34,4.34,-4.35,-4.18,-4.51,5.16,5.16,5.17
27.50,9.51,9.51,4.34,4.35,-4.37,-4.20,-4.60,5.15,5.15,5.17
27.77,9.52,9.52,4.36,4.36,-4.38,-4.22,-4.69,5.14,5.15,5.16
28.05,9.54,9.54,4.38,4.39,-4.40,-4.23,-4.77,5.15,5.15,5.16
28.33,9.57,9.57,4.43,4.42,-4.41,-4.25,-4.85,5.16,5.16,5.15
28.62,9.59,9.59,4.45,4.45,-4.43,-4.27,-4.93,5.16,5.16,5.14
28.90,9.61,9.61,4.47,4.47,-4.46,-4.29,-5.00,5.16,5.15,5.14
29.19,9.62,9.62,4.49,4.48,-4.48,-4.31,-5.07,5.14,5.14,5.13
29.48,9.63,9.63,4.49,4.50,-4.51,-4.33,-5.13,5.13,5.13,5.14
29.78,9.64,9.64,4.51,4.51,-4.53,-4.35,-5.18,5.11,5.11,5.13
30.08,9.66,9.66,4.54,4.54,-4.55,-4.37,-5.23,5.11,5.11,5.13
30.38,9.68,9.69,4.57,4.57,-4.57,-4.39,-5.28,5.11,5.12,5.11
30.68,9.71,9.71,4.60,4.60,-4.59,-4.41,-5.31,5.12,5.12,5.11
30.99,9.73,9.73,4.63,4.62,-4.60,-4.43,-5.34,5.13,5.12,5.10
31.30,9.73,9.73,4.63,4.63,-4.62,-4.45,-5.37,5.11,5.11,5.10
31.61,9.73,9.73,4.64,4.64,-4.64,-4.47,-5.38,5.09,5.09,5.09
31.93,9.72,9.73,4.64,4.64,-4.66,-4.50,-5.39,5.06,5.07,5.08
32.24,9.73,9.73,4.66,4.65,-4.68,-4.52,-5.40,5.05,5.05,5.07
32.57,9.74,9.75,4.67,4.68,-4.71,-4.54,-5.39,5.03,5.04,5.07
32.89,9.77,9.78,4.71,4.71,-4.73,-4.56,-5.38,5.04,5.05,5.06
33.22,9.81,9.81,4.76,4.76,-4.75,-4.58,-5.37,5.06,5.06,5.05
33.55,9.85,9.84,4.80,4.80,-4.77,-4.60,-5.35,5.08,5.08,5.05
33.89,9.86,9.86,4.83,4.82,-4.78,-4.62,-5.32,5.08,5.08,5.04
34.23,9.84,9.84,4.81,4.81,-4.79,-4.64,-5.29,5.05,5.05,5.03
34.57,9.81,9.81,4.79,4.79,-4.79,-4.66,-5.25,5.02,5.02,5.02
34.92,9.77,9.78,4.76,4.77,-4.79,-4.69,-5.22,4.98,4.99,5.01
35.27,9.75,9.75,4.75,4.75,-4.78,-4.71,-5.18,4.97,4.97,5.00
35.62,9.74,9.74,4.75,4.75,-4.77,-4.73,-5.13,4.97,4.97,4.99
35.97,9.74,9.74,4.76,4.76,-4.76,-4.75,-5.09,4.98,4.98,4.98
36.33,9.74,9.74,4.77,4.77,-4.76,-4.77,-5.04,4.98,4.98,4.97
36.70,9.73,9.73,4.77,4.77,-4.76,-4.79,-4.99,4.98,4.97,4.96
37.06,9.71,9.71,4.77,4.76,-4.76,-4.81,-4.95,4.96,4.96,4.94
37.43,9.69,9.70,4.75,4.76,-4.76,-4.83,-4.90,4.93,4.94,4.94
37.81,9.68,9.68,4.76,4.75,-4.76,-4.85,-4.85,4.92,4.92,4.93
38.19,9.67,9.67,4.76,4.75,-4.76,-4.86,-4.80,4.91,4.91,4.91
38.57,9.66,9.66,4.75,4.76,-4.77,-4.88,-4.76,4.89,4.89,4.91
38.95,9.65,9.65,4.76,4.76,-4.77,-4.90,-4.71,4.88,4.88,4.89
39.34,9.65,9.65,4.77,4.77,-4.78,-4.92,-4.67,4.87,4.87,4.88
39.74,9.66,9.66,4.80,4.80,-4.79,-4.93,-4.63,4.87,4.87,4.86
40.14,9.66,9.66,4.80,4.81,-4.79,-4.95,-4.59,4.87,4.87,4.86
40.54,9.67,9.66,4.83,4.82,-4.80,-4.96,-4.55,4.87,4.86,4.84
40.94,9.64,9.64,4.81,4.81,-4.80,-4.97,-4.52,4.84,4.84,4.84
41.35,9.62,9.62,4.80,4.80,-4.80,-4.98,-4.49,4.82,4.82,4.82
41.76,9.59,9.60,4.78,4.79,-4.80,-4.99,-4.46,4.79,4.80,4.81
42.18,9.59,9.59,4.79,4.79,-4.80,-5.00,-4.43,4.79,4.79,4.81
42.60,9.59,9.59,4.80,4.80,-4.80,-5.01,-4.41,4.79,4.79,4.79
43.03,9.60,9.60,4.82,4.82,-4.81,-5.01,-4.39,4.79,4.78,4.78
43.46,9.59,9.59,4.83,4.83,-4.83,-5.02,-4.37,4.76,4.76,4.77
43.90,9.58,9.58,4.84,4.84,-4.85,-5.02,-4.36,4.73,4.73,4.74
44.33,9.57,9.58,4.85,4.86,-4.87,-5.02,-4.35,4.70,4.71,4.72
44.78,9.58,9.59,4.88,4.88,-4.90,-5.01,-4.35,4.69,4.69,4.70
45.23,9.60,9.60,4.92,4.92,-4.92,-5.01,-4.34,4.68,4.68,4.68
45.68,9.62,9.61,4.96,4.95,-4.93,-5.00,-4.34,4.69,4.68,4.67
46.13,9.61,9.61,4.97,4.96,-4.95,-4.98,-4.34,4.67,4.66,4.65
46.60,9.59,9.59,4.95,4.96,-4.95,-4.97,-4.35,4.64,4.64,4.64
47.06,9.56,9.57,4.94,4.95,-4.94,-4.94,-4.36,4.62,4.62,4.62
47.53,9.53,9.53,4.93,4.93,-4.93,-4.92,-4.37,4.60,4.60,4.60
48.01,9.49,9.49,4.90,4.91,-4.91,-4.89,-4.39,4.58,4.58,4.59
48.49,9.43,9.43,4.88,4.87,-4.88,-4.85,-4.40,4.55,4.54,4.56
48.97,9.35,9.35,4.83,4.82,-4.85,-4.81,-4.42,4.50,4.50,4.53
49.46,9.26,9.27,4.77,4.77,-4.80,-4.76,-4.45,4.47,4.47,4.49
49.96,9.18,9.19,4.72,4.72,-4.72,-4.70,-4.47,4.46,4.47,4.46
50.46,9.11,9.12,4.66,4.67,-4.63,-4.64,-4.50,4.48,4.48,4.45
50.96,9.02,9.01,4.59,4.59,-4.52,-4.57,-4.53,4.50,4.49,4.43
51.47,8.88,8.85,4.49,4.46,-4.40,-4.49,-4.56,4.48,4.45,4.39
51.99,8.64,8.65,4.27,4.27,-4.26,-4.41,-4.60,4.38,4.38,4.37
52.51,8.41,8.43,4.06,4.08,-4.11,-4.32,-4.63,4.30,4.32,4.36
53.03,8.21,8.24,3.88,3.91,-3.95,-4.21,-4.67,4.26,4.29,4.33
53.56,8.10,8.09,3.79,3.78,-3.79,-4.10,-4.71,4.31,4.29,4.31
54.10,7.95,7.93,3.67,3.65,-3.64,-3.99,-4.75,4.31,4.29,4.28
54.64,7.78,7.77,3.53,3.52,-3.50,-3.86,-4.79,4.28,4.27,4.26
55.18,7.58,7.61,3.35,3.38,-3.39,-3.73,-4.83,4.19,4.22,4.23
55.74,7.46,7.47,3.26,3.26,-3.29,-3.60,-4.87,4.17,4.18,4.20
56.29,7.37,7.36,3.19,3.18,-3.21,-3.47,-4.91,4.16,4.16,4.19
56.86,7.29,7.29,3.14,3.13,-3.14,-3.34,-4.95,4.16,4.15,4.16
57.42,7.22,7.22,3.09,3.09,-3.08,-3.22,-4.99,4.15,4.14,4.13
58.00,7.15,7.16,3.04,3.05,-3.03,-3.10,-5.03,4.12,4.13,4.11
58.58,7.11,7.11,3.02,3.02,-3.00,-3.01,-5.06,4.11,4.11,4.09
59.16,7.07,7.06,3.00,2.99,-2.98,-2.93,-5.10,4.09,4.08,4.07
59.76,7.02,7.03,2.97,2.98,-2.98,-2.89,-5.13,4.04,4.05,4.05
60.35,7.00,7.00,2.99,2.98,-3.00,-2.87,-5.17,4.01,4.01,4.02
60.96,7.00,7.00,3.01,3.01,-3.03,-2.90,-5.20,3.97,3.97,3.99
61.57,7.02,7.02,3.07,3.07,-3.09,-2.95,-5.23,3.93,3.93,3.95
62.18,7.06,7.07,3.15,3.15,-3.17,-3.05,-5.25,3.89,3.89,3.92
62.80,7.14,7.15,3.25,3.26,-3.28,-3.17,-5.28,3.87,3.88,3.89
63.43,7.26,7.26,3.41,3.40,-3.40,-3.34,-5.30,3.87,3.87,3.86
64.07,7.40,7.39,3.57,3.56,-3.53,-3.52,-5.32,3.87,3.86,3.83
64.71,7.51,7.51,3.71,3.71,-3.68,-3.73,-5.34,3.83,3.83,3.80
65.35,7.63,7.63,3.86,3.85,-3.84,-3.96,-5.35,3.79,3.79,3.78
66.01,7.74,7.75,3.99,4.00,-4.01,-4.20,-5.37,3.73,3.75,3.75
66.67,7.89,7.89,4.17,4.17,-4.18,-4.44,-5.38,3.71,3.70,3.72
67.33,8.04,8.04,4.35,4.35,-4.36,-4.69,-5.40,3.68,3.67,3.69
68.01,8.19,8.20,4.53,4.54,-4.55,-4.94,-5.41,3.64,3.65,3.66
68.69,8.37,8.37,4.74,4.75,-4.74,-5.18,-5.42,3.63,3.63,3.63
