frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-17.39,-17.36,-24.26,-24.22,6.00,6.00,2.64,-11.39,-11.36,6.87
20.20,-17.51,-17.55,-24.41,-24.44,6.00,6.01,2.72,-11.51,-11.55,6.89
20.40,-17.64,-17.69,-24.57,-24.61,6.00,6.01,2.79,-11.64,-11.69,6.92
20.61,-17.80,-17.79,-24.74,-24.74,6.00,6.02,2.87,-11.80,-11.79,6.94
20.81,-17.88,-17.87,-24.86,-24.84,6.00,6.02,2.95,-11.88,-11.87,6.97
21.02,-17.87,-17.87,-24.87,-24.86,6.00,6.03,3.04,-11.87,-11.87,7.00
21.23,-17.78,-17.77,-24.79,-24.78,6.00,6.04,3.12,-11.78,-11.77,7.01
21.44,-17.60,-17.61,-24.62,-24.63,6.00,6.04,3.21,-11.60,-11.61,7.02
21.66,-17.41,-17.42,-24.45,-24.45,6.00,6.05,3.30,-11.41,-11.42,7.03
21.87,-17.22,-17.23,-24.25,-24.26,6.00,6.05,3.40,-11.22,-11.23,7.03
22.09,-17.06,-17.06,-24.10,-24.10,6.00,6.06,3.50,-11.06,-11.06,7.04
22.31,-16.91,-16.91,-23.95,-23.95,6.00,6.06,3.60,-10.91,-10.91,7.04
22.54,-16.79,-16.80,-23.83,-23.84,6.00,6.07,3.70,-10.79,-10.80,7.04
22.76,-16.70,-16.70,-23.74,-23.74,6.00,6.07,3.80,-10.70,-10.70,7.04
22.99,-16.63,-16.63,-23.66,-23.66,6.00,6.08,3.91,-10.63,-10.63,7.03
23.22,-16.56,-16.56,-23.59,-23.59,6.00,6.08,4.02,-10.56,-10.56,7.03
23.45,-16.48,-16.48,-23.51,-23.50,6.00,6.09,4.13,-10.48,-10.48,7.03
23.69,-16.37,-16.37,-23.40,-23.39,6.00,6.09,4.25,-10.37,-10.37,7.03
23.92,-16.24,-16.24,-23.26,-23.27,6.00,6.10,4.36,-10.24,-10.24,7.02
24.16,-16.10,-16.10,-23.13,-23.13,6.00,6.11,4.48,-10.10,-10.10,7.03
24.40,-15.96,-15.96,-22.99,-22.99,6.00,6.11,4.60,-9.96,-9.96,7.03
24.65,-15.83,-15.83,-22.86,-22.86,6.00,6.12,4.73,-9.83,-9.83,7.02
24.89,-15.70,-15.71,-22.72,-22.73,6.00,6.12,4.85,-9.70,-9.71,7.02
25.14,-15.59,-15.59,-22.61,-22.61,6.00,6.13,4.98,-9.59,-9.59,7.02
25.39,-15.48,-15.48,-22.50,-22.50,6.00,6.13,5.10,-9.48,-9.48,7.02
25.65,-15.36,-15.36,-22.38,-22.38,6.00,6.14,5.23,-9.36,-9.36,7.02
25.91,-15.24,-15.23,-22.25,-22.24,6.00,6.14,5.36,-9.24,-9.23,7.01
26.16,-15.09,-15.09,-22.10,-22.10,6.00,6.15,5.49,-9.09,-9.09,7.01
26.43,-14.94,-14.95,-21.95,-21.95,6.00,6.15,5.62,-8.94,-8.95,7.00
26.69,-14.80,-14.80,-21.81,-21.80,6.00,6.16,5.74,-8.80,-8.80,7.00
26.96,-14.66,-14.67,-21.67,-21.67,6.00,6.17,5.87,-8.66,-8.67,7.00
27.23,-14.53,-14.54,-21.53,-21.54,6.00,6.17,5.99,-8.53,-8.54,7.00
27.50,-14.41,-14.41,-21.41,-21.41,6.00,6.18,6.12,-8.41,-8.41,7.00
27.77,-14.29,-14.29,-21.28,-21.28,6.00,6.18,6.23,-8.29,-8.29,6.99
28.05,-14.16,-14.16,-21.15,-21.14,6.00,6.19,6.35,-8.16,-8.16,6.99
28.33,-14.01,-14.01,-20.99,-20.99,6.00,6.19,6.46,-8.01,-8.01,6.98
28.62,-13.86,-13.86,-20.84,-20.83,6.00,6.20,6.57,-7.86,-7.86,6.97
28.90,-13.71,-13.72,-20.68,-20.69,6.00,6.20,6.66,-7.71,-7.72,6.97
29.19,-13.59,-13.59,-20.55,-20.56,6.00,6.21,6.76,-7.59,-7.59,6.96
29.48,-13.48,-13.49,-20.45,-20.45,6.00,6.21,6.84,-7.48,-7.49,6.97
29.78,-13.40,-13.41,-20.36,-20.37,6.00,6.22,6.92,-7.40,-7.41,6.96
30.08,-13.33,-13.34,-20.29,-20.29,6.00,6.22,6.98,-7.33,-7.34,6.95
30.38,-13.26,-13.25,-20.21,-20.20,6.00,6.23,7.05,-7.26,-7.25,6.94
30.68,-13.15,-13.14,-20.09,-20.08,6.00,6.23,7.09,-7.15,-7.14,6.94
30.99,-12.99,-13.00,-19.92,-19.93,6.00,6.24,7.14,-6.99,-7.00,6.93
31.30,-12.83,-12.83,-19.76,-19.76,6.00,6.24,7.17,-6.83,-6.83,6.93
31.61,-12.67,-12.67,-19.60,-19.59,6.00,6.24,7.19,-6.67,-6.67,6.92
31.93,-12.52,-12.53,-19.44,-19.45,6.00,6.25,7.20,-6.52,-6.53,6.91
32.24,-12.42,-12.42,-19.32,-19.33,6.00,6.25,7.20,-6.42,-6.42,6.90
32.57,-12.32,-12.33,-19.22,-19.22,6.00,6.26,7.20,-6.32,-6.33,6.90
32.89,-12.24,-12.24,-19.14,-19.13,6.00,6.26,7.18,-6.24,-6.24,6.89
33.22,-12.13,-12.13,-19.01,-19.01,6.00,6.26,7.16,-6.13,-6.13,6.88
33.55,-12.00,-11.99,-18.88,-18.87,6.00,6.27,7.13,-6.00,-5.99,6.88
33.89,-11.82,-11.82,-18.69,-18.69,6.00,6.27,7.09,-5.82,-5.82,6.87
34.23,-11.64,-11.64,-18.51,-18.50,6.00,6.27,7.05,-5.64,-5.64,6.86
34.57,-11.45,-11.46,-18.30,-18.31,6.00,6.28,7.00,-5.45,-5.46,6.85
34.92,-11.30,-11.31,-18.14,-18.15,6.00,6.28,6.95,-5.30,-5.31,6.84
35.27,-11.17,-11.17,-18.01,-18.00,6.00,6.28,6.89,-5.17,-5.17,6.83
35.62,-11.05,-11.06,-17.87,-17.88,6.00,6.28,6.84,-5.05,-5.06,6.82
35.97,-10.94,-10.94,-17.75,-17.75,6.00,6.28,6.77,-4.94,-4.94,6.81
36.33,-10.81,-10.81,-17.61,-17.60,6.00,6.29,6.71,-4.81,-4.81,6.80
36.70,-10.66,-10.66,-17.45,-17.45,6.00,6.29,6.65,-4.66,-4.66,6.79
37.06,-10.50,-10.51,-17.28,-17.28,6.00,6.29,6.58,-4.50,-4.51,6.77
37.43,-10.35,-10.35,-17.12,-17.12,6.00,6.29,6.52,-4.35,-4.35,6.77
37.81,-10.21,-10.21,-16.97,-16.97,6.00,6.29,6.46,-4.21,-4.21,6.76
38.19,-10.08,-10.09,-16.82,-16.83,6.00,6.29,6.40,-4.08,-4.09,6.74
38.57,-9.97,-9.97,-16.71,-16.71,6.00,6.29,6.34,-3.97,-3.97,6.74
38.95,-9.86,-9.86,-16.58,-16.58,6.00,6.29,6.28,-3.86,-3.86,6.72
39.34,-9.73,-9.73,-16.44,-16.44,6.00,6.29,6.23,-3.73,-3.73,6.71
39.74,-9.59,-9.59,-16.28,-16.28,6.00,6.29,6.18,-3.59,-3.59,6.69
40.14,-9.43,-9.44,-16.12,-16.12,6.00,6.29,6.13,-3.43,-3.44,6.69
40.54,-9.28,-9.29,-15.95,-15.96,6.00,6.28,6.08,-3.28,-3.29,6.67
40.94,-9.13,-9.13,-15.80,-15.80,6.00,6.28,6.04,-3.13,-3.13,6.66
41.35,-8.98,-8.98,-15.63,-15.63,6.00,6.28,6.00,-2.98,-2.98,6.65
41.76,-8.82,-8.81,-15.46,-15.45,6.00,6.27,5.97,-2.82,-2.81,6.64
42.18,-8.64,-8.64,-15.28,-15.27,6.00,6.27,5.94,-2.64,-2.64,6.64
42.60,-8.47,-8.49,-15.09,-15.11,6.00,6.27,5.92,-2.47,-2.49,6.62
43.03,-8.35,-8.37,-14.96,-14.98,6.00,6.26,5.90,-2.35,-2.37,6.61
43.46,-8.28,-8.28,-14.88,-14.87,6.00,6.26,5.88,-2.28,-2.28,6.60
43.90,-8.20,-8.19,-14.77,-14.76,6.00,6.25,5.87,-2.20,-2.19,6.57
44.33,-8.09,-8.07,-14.64,-14.62,6.00,6.24,5.86,-2.09,-2.07,6.55
44.78,-7.90,-7.90,-14.44,-14.43,6.00,6.24,5.86,-1.90,-1.90,6.53
45.23,-7.71,-7.73,-14.23,-14.24,6.00,6.23,5.86,-1.71,-1.73,6.51
45.68,-7.56,-7.58,-14.06,-14.08,6.00,6.22,5.87,-1.56,-1.58,6.49
46.13,-7.48,-7.49,-13.96,-13.97,6.00,6.21,5.88,-1.48,-1.49,6.48
46.60,-7.42,-7.41,-13.89,-13.88,6.00,6.20,5.89,-1.42,-1.41,6.47
47.06,-7.34,-7.33,-13.79,-13.78,6.00,6.19,5.91,-1.34,-1.33,6.45
47.53,-7.22,-7.22,-13.65,-13.65,6.00,6.18,5.94,-1.22,-1.22,6.43
48.01,-7.07,-7.08,-13.49,-13.49,6.00,6.17,5.96,-1.07,-1.08,6.42
48.49,-6.93,-6.93,-13.32,-13.31,6.00,6.15,5.99,-0.93,-0.93,6.39
48.97,-6.76,-6.75,-13.12,-13.10,6.00,6.14,6.03,-0.76,-0.75,6.36
49.46,-6.57,-6.57,-12.89,-12.89,6.00,6.13,6.07,-0.57,-0.57,6.32
49.96,-6.37,-6.39,-12.67,-12.69,6.00,6.11,6.11,-0.37,-0.39,6.29
50.46,-6.25,-6.26,-12.53,-12.54,6.00,6.10,6.15,-0.25,-0.26,6.28
50.96,-6.15,-6.16,-12.41,-12.41,6.00,6.08,6.19,-0.15,-0.16,6.26
51.47,-6.08,-6.06,-12.31,-12.29,6.00,6.06,6.24,-0.08,-0.06,6.22
51.99,-5.95,-5.94,-12.15,-12.15,6.00,6.04,6.29,0.05,0.06,6.20
52.51,-5.80,-5.80,-11.99,-11.99,6.00,6.02,6.34,0.20,0.20,6.19
