frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.72,-6.72,-8.62,-8.62,6.00,6.58,2.76,-0.72,-0.72,1.90
20.20,-6.60,-6.60,-8.53,-8.54,6.00,6.56,2.84,-0.60,-0.60,1.93
20.40,-6.49,-6.49,-8.45,-8.45,6.00,6.55,2.92,-0.49,-0.49,1.96
20.61,-6.37,-6.37,-8.35,-8.36,6.00,6.53,3.01,-0.37,-0.37,1.98
20.81,-6.26,-6.26,-8.27,-8.27,6.00,6.51,3.09,-0.26,-0.26,2.01
21.02,-6.15,-6.15,-8.19,-8.18,6.00,6.50,3.18,-0.15,-0.15,2.04
21.23,-6.05,-6.05,-8.10,-8.10,6.00,6.48,3.27,-0.05,-0.05,2.05
21.44,-5.96,-5.96,-8.02,-8.02,6.00,6.46,3.37,0.04,0.04,2.06
21.66,-5.89,-5.89,-7.96,-7.95,6.00,6.44,3.46,0.11,0.11,2.07
21.87,-5.82,-5.83,-7.89,-7.90,6.00,6.42,3.56,0.18,0.17,2.07
22.09,-5.78,-5.78,-7.86,-7.85,6.00,6.41,3.66,0.22,0.22,2.08
22.31,-5.74,-5.74,-7.82,-7.82,6.00,6.39,3.77,0.26,0.26,2.08
22.54,-5.70,-5.70,-7.78,-7.78,6.00,6.37,3.88,0.30,0.30,2.08
22.76,-5.67,-5.67,-7.75,-7.74,6.00,6.35,3.99,0.33,0.33,2.08
22.99,-5.64,-5.64,-7.71,-7.71,6.00,6.33,4.10,0.36,0.36,2.07
23.22,-5.61,-5.61,-7.68,-7.67,6.00,6.31,4.22,0.39,0.39,2.07
23.45,-5.57,-5.57,-7.63,-7.64,6.00,6.29,4.33,0.43,0.43,2.06
23.69,-5.54,-5.54,-7.60,-7.60,6.00,6.27,4.45,0.46,0.46,2.06
23.92,-5.51,-5.51,-7.57,-7.58,6.00,6.25,4.58,0.49,0.49,2.06
24.16,-5.49,-5.49,-7.56,-7.56,6.00,6.23,4.70,0.51,0.51,2.07
24.40,-5.47,-5.48,-7.54,-7.54,6.00,6.21,4.83,0.53,0.52,2.07
24.65,-5.47,-5.47,-7.53,-7.54,6.00,6.19,4.96,0.53,0.53,2.06
24.89,-5.48,-5.48,-7.54,-7.54,6.00,6.17,5.09,0.52,0.52,2.06
25.14,-5.48,-5.48,-7.54,-7.54,6.00,6.15,5.22,0.52,0.52,2.06
25.39,-5.49,-5.48,-7.55,-7.54,6.00,6.12,5.36,0.51,0.52,2.06
25.65,-5.47,-5.47,-7.53,-7.53,6.00,6.10,5.49,0.53,0.53,2.06
25.91,-5.45,-5.45,-7.50,-7.50,6.00,6.08,5.63,0.55,0.55,2.05
26.16,-5.41,-5.41,-7.45,-7.45,6.00,6.06,5.76,0.59,0.59,2.04
26.43,-5.36,-5.36,-7.40,-7.40,6.00,6.03,5.90,0.64,0.64,2.04
26.69,-5.30,-5.30,-7.34,-7.34,6.00,6.01,6.03,0.70,0.70,2.04
26.96,-5.24,-5.24,-7.28,-7.28,6.00,5.99,6.16,0.76,0.76,2.04
27.23,-5.17,-5.18,-7.21,-7.21,6.00,5.96,6.29,0.83,0.82,2.04
27.50,-5.11,-5.11,-7.15,-7.14,6.00,5.94,6.41,0.89,0.89,2.04
27.77,-5.04,-5.04,-7.07,-7.07,6.00,5.92,6.54,0.96,0.96,2.03
