frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.33,-0.34,-4.55,-4.55,4.52,4.91,2.21,4.19,4.19,4.21
20.20,-0.31,-0.31,-4.55,-4.55,4.54,4.91,2.27,4.23,4.24,4.24
20.40,-0.29,-0.29,-4.56,-4.56,4.57,4.90,2.34,4.27,4.28,4.27
20.61,-0.27,-0.28,-4.56,-4.57,4.59,4.90,2.41,4.32,4.31,4.29
20.81,-0.27,-0.27,-4.59,-4.60,4.62,4.90,2.47,4.34,4.34,4.32
21.02,-0.28,-0.28,-4.63,-4.63,4.64,4.90,2.55,4.36,4.36,4.35
21.23,-0.30,-0.30,-4.66,-4.67,4.67,4.90,2.62,4.37,4.37,4.36
21.44,-0.33,-0.33,-4.70,-4.70,4.70,4.89,2.70,4.37,4.37,4.37
21.66,-0.37,-0.37,-4.75,-4.75,4.74,4.89,2.77,4.37,4.37,4.38
21.87,-0.40,-0.41,-4.78,-4.79,4.78,4.89,2.86,4.38,4.38,4.38
22.09,-0.44,-0.44,-4.83,-4.83,4.82,4.89,2.94,4.38,4.38,4.39
22.31,-0.47,-0.47,-4.86,-4.86,4.85,4.88,3.02,4.38,4.38,4.39
22.54,-0.50,-0.50,-4.89,-4.89,4.88,4.88,3.11,4.38,4.38,4.39
22.76,-0.53,-0.53,-4.92,-4.91,4.91,4.88,3.20,4.38,4.38,4.39
22.99,-0.56,-0.56,-4.94,-4.94,4.95,4.88,3.29,4.38,4.38,4.38
23.22,-0.59,-0.59,-4.97,-4.97,4.98,4.87,3.39,4.38,4.39,4.37
23.45,-0.62,-0.62,-5.00,-4.99,5.01,4.87,3.48,4.39,4.39,4.37
23.69,-0.65,-0.66,-5.02,-5.03,5.04,4.87,3.58,4.39,4.38,4.37
23.92,-0.69,-0.69,-5.07,-5.07,5.07,4.87,3.68,4.38,4.38,4.37
24.16,-0.73,-0.73,-5.11,-5.10,5.10,4.86,3.78,4.37,4.37,4.38
24.40,-0.75,-0.76,-5.13,-5.13,5.12,4.86,3.88,4.37,4.36,4.38
24.65,-0.77,-0.77,-5.14,-5.15,5.13,4.86,3.99,4.36,4.36,4.37
24.89,-0.78,-0.78,-5.15,-5.15,5.14,4.85,4.09,4.36,4.36,4.37
25.14,-0.78,-0.78,-5.15,-5.15,5.14,4.85,4.20,4.36,4.36,4.37
25.39,-0.77,-0.77,-5.14,-5.14,5.13,4.85,4.31,4.36,4.36,4.37
25.65,-0.75,-0.75,-5.12,-5.12,5.12,4.85,4.42,4.37,4.37,4.37
25.91,-0.73,-0.73,-5.09,-5.09,5.10,4.84,4.52,4.37,4.37,4.35
26.16,-0.71,-0.72,-5.07,-5.07,5.08,4.84,4.63,4.37,4.37,4.35
26.43,-0.70,-0.70,-5.05,-5.05,5.07,4.84,4.74,4.36,4.36,4.35
26.69,-0.69,-0.69,-5.04,-5.04,5.05,4.83,4.85,4.35,4.35,4.35
26.96,-0.68,-0.68,-5.03,-5.03,5.02,4.83,4.95,4.34,4.34,4.35
27.23,-0.66,-0.66,-5.01,-5.01,5.00,4.82,5.05,4.34,4.34,4.35
27.50,-0.64,-0.64,-4.99,-4.99,4.97,4.82,5.16,4.33,4.33,4.35
27.77,-0.61,-0.61,-4.95,-4.95,4.94,4.82,5.25,4.33,4.33,4.34
28.05,-0.58,-0.58,-4.92,-4.91,4.91,4.81,5.35,4.33,4.33,4.33
28.33,-0.55,-0.55,-4.88,-4.88,4.88,4.81,5.44,4.33,4.33,4.32
28.62,-0.52,-0.52,-4.84,-4.84,4.85,4.80,5.52,4.32,4.33,4.32
28.90,-0.49,-0.49,-4.81,-4.81,4.82,4.80,5.60,4.33,4.33,4.32
29.19,-0.47,-0.47,-4.78,-4.79,4.80,4.80,5.67,4.32,4.32,4.31
29.48,-0.46,-0.46,-4.78,-4.77,4.78,4.79,5.74,4.32,4.32,4.32
29.78,-0.46,-0.46,-4.77,-4.77,4.77,4.79,5.80,4.31,4.31,4.30
30.08,-0.46,-0.46,-4.77,-4.77,4.77,4.78,5.85,4.30,4.30,4.30
30.38,-0.47,-0.47,-4.76,-4.77,4.77,4.78,5.89,4.30,4.29,4.29
30.68,-0.49,-0.49,-4.78,-4.77,4.77,4.77,5.93,4.28,4.29,4.29
30.99,-0.50,-0.51,-4.78,-4.79,4.79,4.77,5.95,4.28,4.28,4.28
31.30,-0.52,-0.53,-4.80,-4.80,4.80,4.76,5.97,4.28,4.27,4.27
31.61,-0.55,-0.55,-4.82,-4.81,4.82,4.76,5.98,4.26,4.27,4.27
31.93,-0.57,-0.57,-4.83,-4.83,4.83,4.75,5.98,4.26,4.26,4.26
32.24,-0.59,-0.60,-4.84,-4.85,4.85,4.75,5.97,4.26,4.25,4.25
32.57,-0.62,-0.62,-4.87,-4.86,4.86,4.74,5.96,4.24,4.25,4.25
32.89,-0.64,-0.64,-4.88,-4.88,4.88,4.73,5.93,4.24,4.24,4.24
33.22,-0.65,-0.66,-4.88,-4.89,4.89,4.73,5.90,4.23,4.23,4.23
33.55,-0.67,-0.67,-4.90,-4.90,4.89,4.72,5.86,4.22,4.22,4.23
33.89,-0.68,-0.68,-4.90,-4.90,4.89,4.72,5.82,4.21,4.21,4.21
34.23,-0.68,-0.69,-4.89,-4.89,4.89,4.71,5.77,4.21,4.20,4.21
