frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.40,-7.40,-9.74,-9.74,6.00,5.91,2.81,-1.40,-1.40,2.34
20.20,-7.47,-7.47,-9.84,-9.84,6.00,5.91,2.89,-1.47,-1.47,2.37
20.40,-7.54,-7.54,-9.94,-9.94,6.00,5.91,2.97,-1.54,-1.54,2.40
20.61,-7.61,-7.61,-10.03,-10.04,6.00,5.91,3.06,-1.61,-1.61,2.42
20.81,-7.68,-7.68,-10.13,-10.13,6.00,5.91,3.14,-1.68,-1.68,2.45
21.02,-7.73,-7.73,-10.21,-10.21,6.00,5.91,3.23,-1.73,-1.73,2.48
21.23,-7.78,-7.77,-10.27,-10.27,6.00,5.92,3.32,-1.78,-1.77,2.49
21.44,-7.80,-7.79,-10.30,-10.29,6.00,5.92,3.42,-1.80,-1.79,2.50
21.66,-7.80,-7.80,-10.31,-10.31,6.00,5.92,3.51,-1.80,-1.80,2.51
21.87,-7.80,-7.80,-10.31,-10.31,6.00,5.92,3.61,-1.80,-1.80,2.51
22.09,-7.81,-7.80,-10.33,-10.32,6.00,5.92,3.71,-1.81,-1.80,2.52
22.31,-7.82,-7.82,-10.34,-10.34,6.00,5.93,3.82,-1.82,-1.82,2.52
22.54,-7.87,-7.87,-10.38,-10.39,6.00,5.93,3.93,-1.87,-1.87,2.52
22.76,-7.95,-7.96,-10.47,-10.47,6.00,5.93,4.04,-1.95,-1.96,2.52
22.99,-8.07,-8.08,-10.57,-10.58,6.00,5.93,4.15,-2.07,-2.08,2.51
23.22,-8.22,-8.21,-10.72,-10.72,6.00,5.94,4.27,-2.22,-2.21,2.50
23.45,-8.35,-8.34,-10.85,-10.85,6.00,5.94,4.38,-2.35,-2.34,2.50
23.69,-8.45,-8.44,-10.95,-10.95,6.00,5.94,4.51,-2.45,-2.44,2.50
23.92,-8.50,-8.49,-11.00,-11.00,6.00,5.94,4.63,-2.50,-2.49,2.50
24.16,-8.50,-8.49,-11.01,-11.00,6.00,5.95,4.76,-2.50,-2.49,2.51
24.40,-8.48,-8.47,-10.99,-10.98,6.00,5.95,4.88,-2.48,-2.47,2.51
24.65,-8.47,-8.48,-10.97,-10.99,6.00,5.95,5.01,-2.47,-2.48,2.50
24.89,-8.55,-8.56,-11.05,-11.06,6.00,5.95,5.14,-2.55,-2.56,2.50
25.14,-8.75,-8.76,-11.25,-11.25,6.00,5.95,5.28,-2.75,-2.76,2.50
25.39,-9.03,-9.06,-11.52,-11.55,6.00,5.96,5.41,-3.03,-3.06,2.50
25.65,-9.43,-9.43,-11.92,-11.92,6.00,5.96,5.55,-3.43,-3.43,2.50
25.91,-9.78,-9.78,-12.27,-12.27,6.00,5.96,5.68,-3.78,-3.78,2.48
26.16,-10.08,-10.02,-12.56,-12.51,6.00,5.97,5.82,-4.08,-4.02,2.48
26.43,-10.12,-10.09,-12.60,-12.57,6.00,5.97,5.96,-4.12,-4.09,2.48
26.69,-10.01,-10.01,-12.49,-12.49,6.00,5.97,6.09,-4.01,-4.01,2.48
26.96,-9.87,-9.88,-12.35,-12.36,6.00,5.97,6.22,-3.87,-3.88,2.48
27.23,-9.82,-9.87,-12.30,-12.34,6.00,5.98,6.35,-3.82,-3.87,2.48
27.50,-10.00,-10.04,-12.48,-12.51,6.00,5.98,6.48,-4.00,-4.04,2.48
27.77,-10.37,-10.39,-12.84,-12.86,6.00,5.98,6.61,-4.37,-4.39,2.47
28.05,-10.83,-10.84,-13.30,-13.30,6.00,5.98,6.73,-4.83,-4.84,2.46
28.33,-11.22,-11.16,-13.67,-13.61,6.00,5.99,6.84,-5.22,-5.16,2.45
28.62,-11.35,-11.26,-13.80,-13.71,6.00,5.99,6.96,-5.35,-5.26,2.45
28.90,-11.10,-11.09,-13.55,-13.54,6.00,5.99,7.06,-5.10,-5.09,2.45
29.19,-10.85,-10.84,-13.29,-13.28,6.00,6.00,7.16,-4.85,-4.84,2.44
29.48,-10.58,-10.68,-13.03,-13.12,6.00,6.00,7.24,-4.58,-4.68,2.45
29.78,-10.80,-10.80,-13.23,-13.24,6.00,6.00,7.32,-4.80,-4.80,2.43
30.08,-11.17,-11.28,-13.61,-13.72,6.00,6.00,7.39,-5.17,-5.28,2.43
30.38,-11.92,-11.96,-14.34,-14.38,6.00,6.01,7.45,-5.92,-5.96,2.42
30.68,-12.68,-12.49,-15.10,-14.90,6.00,6.01,7.50,-6.68,-6.49,2.42
30.99,-12.80,-12.69,-15.20,-15.10,6.00,6.01,7.54,-6.80,-6.69,2.41
31.30,-12.50,-12.48,-14.91,-14.89,6.00,6.02,7.57,-6.50,-6.48,2.40
31.61,-12.10,-12.15,-14.50,-14.55,6.00,6.02,7.59,-6.10,-6.15,2.40
31.93,-11.93,-12.04,-14.32,-14.43,6.00,6.02,7.60,-5.93,-6.04,2.39
32.24,-12.39,-12.49,-14.77,-14.88,6.00,6.03,7.60,-6.39,-6.49,2.38
32.57,-13.17,-13.37,-15.55,-15.75,6.00,6.03,7.58,-7.17,-7.37,2.38
32.89,-14.55,-14.33,-16.92,-16.70,6.00,6.03,7.56,-8.55,-8.33,2.37
