frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.97,-5.97,-9.10,-9.09,6.00,6.43,2.71,0.03,0.03,3.13
20.20,-5.93,-5.94,-9.09,-9.09,6.00,6.42,2.79,0.07,0.06,3.16
20.40,-5.90,-5.90,-9.09,-9.09,6.00,6.40,2.87,0.10,0.10,3.19
20.61,-5.87,-5.87,-9.08,-9.08,6.00,6.39,2.95,0.13,0.13,3.20
20.81,-5.83,-5.83,-9.07,-9.07,6.00,6.37,3.03,0.17,0.17,3.23
21.02,-5.79,-5.79,-9.05,-9.05,6.00,6.36,3.12,0.21,0.21,3.26
21.23,-5.74,-5.74,-9.01,-9.01,6.00,6.34,3.21,0.26,0.26,3.27
21.44,-5.68,-5.68,-8.96,-8.97,6.00,6.32,3.30,0.32,0.32,3.28
21.66,-5.62,-5.62,-8.91,-8.91,6.00,6.31,3.39,0.38,0.38,3.29
21.87,-5.55,-5.55,-8.84,-8.85,6.00,6.29,3.49,0.45,0.45,3.29
22.09,-5.48,-5.48,-8.78,-8.78,6.00,6.27,3.59,0.52,0.52,3.30
22.31,-5.41,-5.41,-8.71,-8.71,6.00,6.26,3.69,0.59,0.59,3.30
22.54,-5.34,-5.34,-8.64,-8.64,6.00,6.24,3.80,0.66,0.66,3.30
22.76,-5.27,-5.27,-8.57,-8.57,6.00,6.22,3.91,0.73,0.73,3.30
22.99,-5.20,-5.20,-8.49,-8.49,6.00,6.21,4.02,0.80,0.80,3.29
23.22,-5.13,-5.13,-8.42,-8.42,6.00,6.19,4.13,0.87,0.87,3.29
23.45,-5.05,-5.05,-8.34,-8.34,6.00,6.17,4.25,0.95,0.95,3.29
23.69,-4.98,-4.98,-8.27,-8.26,6.00,6.15,4.36,1.02,1.02,3.29
23.92,-4.90,-4.90,-8.19,-8.19,6.00,6.13,4.48,1.10,1.10,3.29
24.16,-4.83,-4.83,-8.12,-8.12,6.00,6.12,4.61,1.17,1.17,3.29
24.40,-4.76,-4.76,-8.05,-8.05,6.00,6.10,4.73,1.24,1.24,3.29
24.65,-4.69,-4.69,-7.97,-7.98,6.00,6.08,4.86,1.31,1.31,3.28
24.89,-4.62,-4.62,-7.90,-7.90,6.00,6.06,4.99,1.38,1.38,3.28
25.14,-4.56,-4.56,-7.84,-7.84,6.00,6.04,5.12,1.44,1.44,3.28
25.39,-4.49,-4.49,-7.77,-7.77,6.00,6.02,5.25,1.51,1.51,3.28
25.65,-4.43,-4.43,-7.71,-7.71,6.00,6.00,5.38,1.57,1.57,3.28
25.91,-4.37,-4.37,-7.64,-7.64,6.00,5.98,5.51,1.63,1.63,3.27
26.16,-4.31,-4.31,-7.58,-7.58,6.00,5.96,5.65,1.69,1.69,3.27
26.43,-4.25,-4.25,-7.52,-7.52,6.00,5.94,5.78,1.75,1.75,3.27
26.69,-4.19,-4.19,-7.46,-7.46,6.00,5.92,5.91,1.81,1.81,3.26
26.96,-4.14,-4.14,-7.40,-7.41,6.00,5.91,6.04,1.86,1.86,3.26
27.23,-4.09,-4.09,-7.35,-7.35,6.00,5.88,6.16,1.91,1.91,3.26
27.50,-4.04,-4.04,-7.30,-7.30,6.00,5.86,6.29,1.96,1.96,3.26
27.77,-3.99,-3.99,-7.24,-7.24,6.00,5.84,6.40,2.01,2.01,3.25
28.05,-3.94,-3.94,-7.19,-7.18,6.00,5.82,6.52,2.06,2.06,3.25
28.33,-3.88,-3.88,-7.12,-7.12,6.00,5.80,6.63,2.12,2.12,3.24
28.62,-3.82,-3.82,-7.06,-7.05,6.00,5.78,6.73,2.18,2.18,3.23
28.90,-3.76,-3.76,-6.99,-6.99,6.00,5.76,6.83,2.24,2.24,3.23
29.19,-3.70,-3.70,-6.92,-6.93,6.00,5.74,6.92,2.30,2.30,3.22
29.48,-3.65,-3.65,-6.88,-6.87,6.00,5.72,7.00,2.35,2.35,3.23
29.78,-3.60,-3.60,-6.82,-6.82,6.00,5.70,7.07,2.40,2.40,3.22
30.08,-3.56,-3.56,-6.78,-6.78,6.00,5.67,7.13,2.44,2.44,3.22
30.38,-3.52,-3.52,-6.73,-6.72,6.00,5.65,7.18,2.48,2.48,3.20
30.68,-3.47,-3.47,-6.67,-6.67,6.00,5.63,7.22,2.53,2.53,3.20
30.99,-3.42,-3.42,-6.61,-6.61,6.00,5.61,7.25,2.58,2.58,3.19
31.30,-3.36,-3.37,-6.55,-6.55,6.00,5.59,7.26,2.64,2.63,3.19
31.61,-3.31,-3.31,-6.50,-6.49,6.00,5.56,7.27,2.69,2.69,3.19
31.93,-3.25,-3.25,-6.43,-6.42,6.00,5.54,7.26,2.75,2.75,3.17
32.24,-3.19,-3.19,-6.35,-6.36,6.01,5.52,7.24,2.82,2.81,3.16
32.57,-3.13,-3.13,-6.29,-6.29,6.01,5.50,7.21,2.88,2.88,3.16
32.89,-3.07,-3.07,-6.23,-6.23,6.01,5.47,7.17,2.94,2.94,3.16
33.22,-3.02,-3.02,-6.16,-6.16,6.01,5.45,7.12,2.99,2.99,3.14
33.55,-2.96,-2.96,-6.10,-6.10,6.00,5.43,7.07,3.03,3.03,3.14
33.89,-2.91,-2.91,-6.04,-6.04,5.98,5.40,7.00,3.06,3.06,3.13
34.23,-2.86,-2.86,-5.99,-5.98,5.95,5.38,6.93,3.09,3.09,3.12
34.57,-2.81,-2.81,-5.92,-5.92,5.91,5.36,6.85,3.10,3.10,3.11
34.92,-2.76,-2.76,-5.86,-5.86,5.87,5.33,6.76,3.11,3.11,3.10
35.27,-2.71,-2.71,-5.81,-5.80,5.82,5.31,6.67,3.11,3.10,3.09
35.62,-2.67,-2.67,-5.75,-5.75,5.76,5.29,6.58,3.09,3.09,3.08
35.97,-2.62,-2.62,-5.69,-5.70,5.70,5.26,6.48,3.08,3.07,3.07
36.33,-2.58,-2.58,-5.64,-5.64,5.64,5.24,6.38,3.06,3.06,3.06
36.70,-2.53,-2.53,-5.58,-5.58,5.58,5.21,6.28,3.05,3.05,3.05
37.06,-2.48,-2.48,-5.52,-5.52,5.52,5.19,6.18,3.04,3.04,3.04
37.43,-2.43,-2.43,-5.46,-5.46,5.47,5.16,6.07,3.04,3.04,3.03
37.81,-2.39,-2.39,-5.41,-5.41,5.41,5.14,5.97,3.02,3.02,3.02
38.19,-2.35,-2.36,-5.35,-5.36,5.36,5.11,5.87,3.01,3.00,3.00
38.57,-2.33,-2.32,-5.33,-5.32,5.30,5.09,5.77,2.97,2.98,3.00
38.95,-2.29,-2.29,-5.27,-5.27,5.25,5.06,5.67,2.96,2.97,2.98
39.34,-2.24,-2.24,-5.21,-5.21,5.21,5.04,5.57,2.97,2.97,2.97
39.74,-2.19,-2.19,-5.14,-5.14,5.17,5.01,5.47,2.98,2.98,2.95
40.14,-2.14,-2.15,-5.09,-5.10,5.13,4.99,5.38,2.99,2.98,2.95
40.54,-2.13,-2.14,-5.06,-5.07,5.09,4.96,5.29,2.96,2.96,2.93
40.94,-2.14,-2.14,-5.07,-5.06,5.05,4.94,5.20,2.91,2.91,2.93
41.35,-2.14,-2.13,-5.05,-5.05,5.01,4.91,5.12,2.87,2.88,2.91
41.76,-2.11,-2.10,-5.01,-5.00,4.97,4.89,5.03,2.86,2.87,2.90
42.18,-2.03,-2.03,-4.93,-4.93,4.91,4.86,4.96,2.88,2.88,2.90
42.60,-1.95,-1.97,-4.83,-4.85,4.84,4.83,4.88,2.89,2.88,2.88
43.03,-1.90,-1.91,-4.77,-4.78,4.76,4.81,4.81,2.86,2.86,2.87
43.46,-1.86,-1.85,-4.72,-4.70,4.69,4.78,4.74,2.83,2.84,2.86
43.90,-1.80,-1.79,-4.63,-4.62,4.63,4.75,4.68,2.83,2.84,2.83
44.33,-1.72,-1.72,-4.53,-4.53,4.58,4.73,4.62,2.86,2.86,2.81
44.78,-1.66,-1.67,-4.45,-4.46,4.54,4.70,4.56,2.88,2.87,2.79
45.23,-1.65,-1.67,-4.43,-4.44,4.51,4.67,4.51,2.86,2.84,2.77
45.68,-1.70,-1.72,-4.46,-4.47,4.48,4.64,4.46,2.78,2.76,2.76
46.13,-1.79,-1.77,-4.53,-4.51,4.44,4.62,4.41,2.65,2.68,2.74
46.60,-1.79,-1.77,-4.52,-4.49,4.40,4.59,4.37,2.61,2.63,2.73
47.06,-1.71,-1.71,-4.42,-4.42,4.35,4.56,4.32,2.64,2.64,2.71
47.53,-1.59,-1.61,-4.28,-4.30,4.29,4.53,4.29,2.70,2.68,2.69
48.01,-1.51,-1.52,-4.19,-4.19,4.22,4.50,4.25,2.71,2.70,2.68
48.49,-1.46,-1.46,-4.11,-4.11,4.14,4.47,4.22,2.68,2.68,2.65
48.97,-1.42,-1.41,-4.04,-4.03,4.06,4.45,4.19,2.64,2.64,2.62
49.46,-1.37,-1.37,-3.96,-3.96,3.98,4.42,4.17,2.61,2.61,2.58
49.96,-1.33,-1.34,-3.88,-3.90,3.91,4.39,4.15,2.58,2.57,2.55
50.46,-1.32,-1.32,-3.86,-3.86,3.86,4.36,4.12,2.54,2.54,2.54
50.96,-1.31,-1.31,-3.83,-3.82,3.82,4.33,4.11,2.51,2.51,2.52
51.47,-1.31,-1.30,-3.80,-3.79,3.78,4.30,4.09,2.47,2.48,2.49
51.99,-1.29,-1.30,-3.75,-3.76,3.75,4.27,4.07,2.46,2.45,2.46
52.51,-1.28,-1.28,-3.73,-3.72,3.72,4.24,4.06,2.44,2.44,2.45
53.03,-1.27,-1.26,-3.69,-3.69,3.69,4.20,4.05,2.42,2.42,2.42
53.56,-1.24,-1.25,-3.64,-3.64,3.65,4.17,4.03,2.41,2.41,2.40
54.10,-1.23,-1.23,-3.60,-3.61,3.61,4.14,4.02,2.38,2.38,2.37
54.64,-1.22,-1.23,-3.57,-3.57,3.57,4.11,4.01,2.35,2.34,2.35
55.18,-1.23,-1.22,-3.55,-3.54,3.53,4.08,4.00,2.30,2.31,2.32
55.74,-1.20,-1.20,-3.49,-3.49,3.48,4.04,3.99,2.28,2.28,2.29
56.29,-1.16,-1.16,-3.44,-3.44,3.43,4.01,3.98,2.27,2.27,2.28
56.86,-1.12,-1.13,-3.37,-3.38,3.38,3.98,3.96,2.26,2.25,2.25
57.42,-1.10,-1.10,-3.32,-3.32,3.33,3.94,3.95,2.23,2.23,2.22
58.00,-1.08,-1.08,-3.28,-3.27,3.28,3.91,3.93,2.20,2.20,2.20
58.58,-1.05,-1.05,-3.23,-3.23,3.23,3.87,3.92,2.18,2.18,2.18
59.16,-1.02,-1.02,-3.18,-3.18,3.18,3.84,3.90,2.16,2.16,2.16
59.76,-1.00,-1.00,-3.14,-3.14,3.13,3.80,3.87,2.13,2.13,2.14
60.35,-0.98,-0.98,-3.09,-3.09,3.09,3.77,3.85,2.11,2.11,2.11
60.96,-0.98,-0.98,-3.06,-3.06,3.06,3.73,3.82,2.08,2.08,2.08
61.57,-0.98,-0.98,-3.02,-3.03,3.03,3.69,3.79,2.05,2.05,2.04
62.18,-0.99,-0.99,-3.00,-3.00,3.00,3.66,3.76,2.01,2.01,2.01
62.80,-1.00,-1.00,-2.98,-2.98,2.98,3.62,3.72,1.98,1.98,1.98
63.43,-1.02,-1.02,-2.97,-2.97,2.97,3.58,3.68,1.95,1.95,1.95
64.07,-1.05,-1.05,-2.97,-2.97,2.97,3.54,3.63,1.92,1.91,1.92
64.71,-1.09,-1.09,-2.99,-2.98,2.97,3.50,3.59,1.88,1.89,1.89
65.35,-1.13,-1.13,-3.00,-2.99,2.99,3.46,3.54,1.86,1.86,1.87
66.01,-1.17,-1.18,-3.01,-3.02,3.02,3.42,3.49,1.85,1.84,1.84
66.67,-1.25,-1.25,-3.06,-3.06,3.07,3.38,3.43,1.82,1.83,1.81
67.33,-1.34,-1.34,-3.12,-3.12,3.14,3.34,3.37,1.80,1.81,1.78
68.01,-1.44,-1.45,-3.19,-3.20,3.23,3.30,3.31,1.79,1.78,1.75
68.69,-1.58,-1.58,-3.30,-3.30,3.34,3.25,3.25,1.76,1.76,1.72
69.37,-1.74,-1.74,-3.43,-3.43,3.45,3.21,3.18,1.71,1.71,1.69
70.07,-1.91,-1.91,-3.56,-3.57,3.57,3.17,3.12,1.66,1.66,1.65
70.77,-2.08,-2.07,-3.71,-3.70,3.68,3.12,3.05,1.60,1.61,1.63
71.48,-2.21,-2.21,-3.81,-3.81,3.77,3.08,2.98,1.56,1.56,1.60
72.19,-2.32,-2.32,-3.88,-3.88,3.84,3.03,2.91,1.52,1.52,1.56
72.91,-2.39,-2.39,-3.92,-3.91,3.88,2.98,2.84,1.49,1.49,1.52
73.64,-2.42,-2.42,-3.91,-3.91,3.88,2.94,2.77,1.46,1.46,1.49
74.38,-2.41,-2.41,-3.87,-3.86,3.85,2.89,2.69,1.44,1.44,1.46
75.12,-2.36,-2.36,-3.78,-3.79,3.79,2.84,2.62,1.43,1.42,1.42
75.87,-2.30,-2.30,-3.69,-3.69,3.70,2.79,2.55,1.40,1.41,1.39
76.63,-2.22,-2.22,-3.58,-3.58,3.60,2.74,2.48,1.38,1.38,1.36
77.40,-2.14,-2.14,-3.47,-3.47,3.49,2.70,2.41,1.35,1.35,1.33
78.17,-2.06,-2.06,-3.35,-3.35,3.37,2.64,2.33,1.30,1.31,1.29
78.95,-1.97,-1.98,-3.24,-3.24,3.23,2.59,2.26,1.26,1.26,1.27
79.74,-1.89,-1.90,-3.12,-3.13,3.10,2.54,2.19,1.21,1.21,1.23
80.54,-1.81,-1.79,-3.01,-2.99,2.98,2.49,2.12,1.16,1.18,1.20
81.35,-1.70,-1.68,-2.87,-2.84,2.85,2.44,2.05,1.15,1.17,1.16
82.16,-1.54,-1.57,-2.67,-2.70,2.73,2.39,1.99,1.19,1.16,1.13
82.98,-1.47,-1.49,-2.57,-2.59,2.62,2.33,1.92,1.15,1.13,1.10
83.81,-1.46,-1.44,-2.52,-2.50,2.51,2.28,1.85,1.05,1.08,1.06
84.65,-1.41,-1.40,-2.43,-2.42,2.42,2.23,1.79,1.01,1.02,1.02
85.50,-1.35,-1.36,-2.34,-2.34,2.34,2.17,1.72,0.98,0.98,0.99
86.35,-1.30,-1.31,-2.25,-2.26,2.26,2.12,1.66,0.96,0.95,0.95
87.22,-1.28,-1.28,-2.19,-2.19,2.20,2.06,1.60,0.92,0.92,0.91
88.09,-1.26,-1.26,-2.13,-2.13,2.13,2.01,1.54,0.87,0.87,0.87
88.97,-1.24,-1.24,-2.08,-2.07,2.07,1.95,1.48,0.82,0.82,0.84
