frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.71,4.71,1.07,1.07,-1.07,-0.63,-0.43,3.64,3.64,3.64
20.20,4.73,4.73,1.06,1.06,-1.06,-0.63,-0.45,3.67,3.67,3.67
20.40,4.75,4.75,1.05,1.06,-1.05,-0.63,-0.46,3.70,3.70,3.70
20.61,4.77,4.77,1.05,1.05,-1.05,-0.63,-0.47,3.72,3.72,3.72
20.81,4.79,4.79,1.04,1.04,-1.04,-0.63,-0.49,3.75,3.74,3.75
21.02,4.80,4.80,1.02,1.03,-1.04,-0.63,-0.50,3.76,3.76,3.77
21.23,4.82,4.82,1.04,1.03,-1.04,-0.63,-0.52,3.77,3.77,3.78
21.44,4.84,4.84,1.05,1.04,-1.05,-0.64,-0.53,3.79,3.79,3.79
21.66,4.86,4.86,1.06,1.06,-1.06,-0.64,-0.55,3.80,3.80,3.80
21.87,4.88,4.88,1.08,1.07,-1.07,-0.64,-0.56,3.81,3.81,3.80
22.09,4.90,4.90,1.09,1.09,-1.09,-0.64,-0.58,3.81,3.81,3.81
22.31,4.92,4.92,1.11,1.10,-1.11,-0.64,-0.60,3.81,3.81,3.81
22.54,4.93,4.93,1.12,1.12,-1.12,-0.64,-0.61,3.81,3.81,3.81
22.76,4.94,4.94,1.13,1.14,-1.13,-0.64,-0.63,3.81,3.81,3.81
22.99,4.95,4.95,1.15,1.15,-1.14,-0.64,-0.65,3.81,3.81,3.80
23.22,4.96,4.95,1.16,1.16,-1.14,-0.65,-0.67,3.81,3.81,3.80
23.45,4.95,4.95,1.15,1.16,-1.14,-0.65,-0.69,3.81,3.81,3.80
23.69,4.95,4.94,1.15,1.15,-1.14,-0.65,-0.71,3.81,3.80,3.80
23.92,4.93,4.93,1.13,1.13,-1.13,-0.65,-0.72,3.79,3.80,3.80
24.16,4.92,4.92,1.11,1.12,-1.13,-0.65,-0.74,3.79,3.79,3.81
24.40,4.91,4.91,1.10,1.11,-1.12,-0.65,-0.76,3.79,3.79,3.80
24.65,4.91,4.91,1.12,1.11,-1.12,-0.65,-0.79,3.79,3.79,3.79
24.89,4.90,4.90,1.11,1.11,-1.12,-0.66,-0.81,3.78,3.79,3.79
25.14,4.91,4.91,1.12,1.12,-1.11,-0.66,-0.83,3.79,3.79,3.79
25.39,4.91,4.91,1.12,1.12,-1.11,-0.66,-0.85,3.80,3.79,3.79
25.65,4.91,4.91,1.12,1.12,-1.11,-0.66,-0.87,3.80,3.80,3.79
25.91,4.90,4.90,1.12,1.12,-1.11,-0.66,-0.89,3.79,3.79,3.78
26.16,4.89,4.89,1.11,1.11,-1.10,-0.66,-0.91,3.79,3.79,3.78
26.43,4.87,4.87,1.09,1.10,-1.09,-0.66,-0.93,3.78,3.78,3.78
26.69,4.86,4.86,1.08,1.08,-1.09,-0.67,-0.95,3.77,3.77,3.77
26.96,4.84,4.84,1.07,1.07,-1.08,-0.67,-0.97,3.76,3.76,3.77
27.23,4.84,4.84,1.07,1.07,-1.08,-0.67,-0.99,3.76,3.76,3.77
27.50,4.84,4.84,1.07,1.07,-1.08,-0.67,-1.01,3.75,3.76,3.77
27.77,4.85,4.85,1.09,1.09,-1.09,-0.67,-1.03,3.76,3.76,3.76
28.05,4.86,4.86,1.10,1.10,-1.09,-0.68,-1.04,3.77,3.76,3.76
28.33,4.86,4.86,1.11,1.11,-1.10,-0.68,-1.06,3.76,3.76,3.75
28.62,4.86,4.86,1.11,1.11,-1.10,-0.68,-1.07,3.76,3.76,3.75
28.90,4.85,4.85,1.11,1.11,-1.10,-0.68,-1.09,3.75,3.75,3.74
29.19,4.84,4.84,1.11,1.10,-1.10,-0.68,-1.10,3.74,3.74,3.73
29.48,4.82,4.82,1.08,1.09,-1.10,-0.69,-1.11,3.72,3.73,3.74
29.78,4.81,4.81,1.08,1.08,-1.09,-0.69,-1.12,3.72,3.72,3.73
30.08,4.80,4.80,1.07,1.08,-1.09,-0.69,-1.13,3.71,3.72,3.73
30.38,4.80,4.80,1.08,1.08,-1.08,-0.69,-1.14,3.72,3.72,3.71
30.68,4.80,4.80,1.09,1.09,-1.08,-0.69,-1.15,3.72,3.72,3.71
