frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.44,4.44,1.93,1.93,-1.93,-1.61,-0.58,2.51,2.51,2.51
20.20,4.41,4.41,1.87,1.87,-1.87,-1.60,-0.60,2.54,2.54,2.54
20.40,4.39,4.39,1.82,1.82,-1.82,-1.60,-0.61,2.57,2.57,2.57
20.61,4.37,4.36,1.78,1.77,-1.77,-1.59,-0.63,2.60,2.59,2.59
20.81,4.34,4.34,1.72,1.72,-1.72,-1.58,-0.65,2.61,2.62,2.62
21.02,4.32,4.32,1.67,1.68,-1.68,-1.58,-0.67,2.64,2.64,2.65
21.23,4.30,4.30,1.64,1.64,-1.64,-1.57,-0.68,2.66,2.66,2.66
21.44,4.28,4.28,1.61,1.61,-1.61,-1.57,-0.70,2.67,2.67,2.67
21.66,4.26,4.25,1.58,1.58,-1.57,-1.56,-0.72,2.68,2.68,2.68
21.87,4.23,4.23,1.55,1.55,-1.54,-1.55,-0.74,2.68,2.68,2.68
22.09,4.21,4.20,1.52,1.52,-1.52,-1.55,-0.76,2.69,2.68,2.68
22.31,4.18,4.18,1.49,1.49,-1.50,-1.54,-0.78,2.67,2.68,2.68
22.54,4.16,4.16,1.47,1.48,-1.49,-1.53,-0.81,2.67,2.67,2.68
22.76,4.15,4.15,1.46,1.47,-1.48,-1.53,-0.83,2.67,2.67,2.68
22.99,4.14,4.14,1.47,1.46,-1.47,-1.52,-0.85,2.67,2.67,2.67
23.22,4.14,4.13,1.47,1.46,-1.46,-1.51,-0.88,2.68,2.68,2.67
23.45,4.13,4.13,1.46,1.46,-1.45,-1.51,-0.90,2.68,2.68,2.67
23.69,4.12,4.12,1.45,1.45,-1.44,-1.50,-0.92,2.68,2.68,2.67
23.92,4.11,4.10,1.44,1.43,-1.43,-1.49,-0.95,2.68,2.68,2.67
24.16,4.09,4.09,1.41,1.41,-1.41,-1.48,-0.97,2.68,2.68,2.68
24.40,4.07,4.06,1.39,1.39,-1.39,-1.48,-1.00,2.68,2.67,2.68
24.65,4.04,4.04,1.37,1.37,-1.37,-1.47,-1.03,2.67,2.67,2.67
24.89,4.02,4.02,1.35,1.35,-1.35,-1.46,-1.05,2.67,2.67,2.67
25.14,4.00,3.99,1.33,1.33,-1.33,-1.46,-1.08,2.66,2.66,2.66
25.39,3.98,3.98,1.31,1.31,-1.32,-1.45,-1.11,2.66,2.66,2.66
25.65,3.96,3.96,1.29,1.30,-1.31,-1.44,-1.13,2.65,2.65,2.66
25.91,3.95,3.95,1.30,1.29,-1.30,-1.43,-1.16,2.65,2.65,2.65
26.16,3.95,3.95,1.30,1.30,-1.29,-1.43,-1.19,2.65,2.65,2.65
26.43,3.95,3.95,1.30,1.30,-1.29,-1.42,-1.22,2.65,2.65,2.65
26.69,3.95,3.95,1.30,1.30,-1.30,-1.41,-1.24,2.65,2.65,2.65
26.96,3.95,3.95,1.30,1.30,-1.31,-1.41,-1.27,2.64,2.64,2.65
27.23,3.96,3.96,1.31,1.31,-1.32,-1.40,-1.30,2.63,2.63,2.65
27.50,3.97,3.97,1.32,1.33,-1.34,-1.39,-1.32,2.63,2.63,2.64
27.77,3.99,3.99,1.35,1.35,-1.36,-1.39,-1.35,2.63,2.63,2.63
28.05,4.01,4.01,1.38,1.38,-1.38,-1.38,-1.38,2.63,2.63,2.63
28.33,4.03,4.03,1.41,1.40,-1.39,-1.37,-1.40,2.64,2.64,2.62
28.62,4.04,4.04,1.42,1.42,-1.40,-1.37,-1.42,2.64,2.64,2.62
28.90,4.04,4.04,1.42,1.42,-1.40,-1.36,-1.45,2.63,2.63,2.62
29.19,4.03,4.03,1.42,1.41,-1.40,-1.35,-1.47,2.62,2.62,2.60
29.48,4.01,4.01,1.39,1.40,-1.40,-1.35,-1.49,2.61,2.61,2.61
29.78,3.99,3.99,1.39,1.38,-1.39,-1.34,-1.51,2.60,2.59,2.60
30.08,3.97,3.97,1.37,1.37,-1.39,-1.34,-1.53,2.58,2.58,2.60
30.38,3.95,3.96,1.36,1.37,-1.38,-1.33,-1.55,2.56,2.57,2.59
30.68,3.96,3.96,1.37,1.37,-1.39,-1.33,-1.56,2.57,2.57,2.59
30.99,3.97,3.96,1.39,1.39,-1.39,-1.32,-1.58,2.57,2.57,2.57
31.30,3.98,3.98,1.41,1.41,-1.41,-1.32,-1.59,2.57,2.57,2.57
31.61,3.99,3.99,1.42,1.42,-1.42,-1.32,-1.61,2.57,2.57,2.57
31.93,4.00,4.00,1.44,1.44,-1.43,-1.31,-1.62,2.57,2.57,2.56
32.24,4.00,3.99,1.45,1.45,-1.43,-1.31,-1.63,2.56,2.56,2.54
32.57,3.99,3.99,1.45,1.44,-1.43,-1.31,-1.64,2.55,2.55,2.54
32.89,3.97,3.97,1.43,1.43,-1.43,-1.31,-1.65,2.54,2.54,2.54
33.22,3.95,3.95,1.42,1.42,-1.42,-1.31,-1.65,2.53,2.53,2.53
33.55,3.93,3.92,1.40,1.40,-1.40,-1.31,-1.66,2.52,2.52,2.52
33.89,3.90,3.90,1.39,1.38,-1.39,-1.31,-1.66,2.50,2.50,2.51
34.23,3.87,3.87,1.36,1.37,-1.38,-1.31,-1.67,2.49,2.49,2.51
34.57,3.86,3.86,1.36,1.36,-1.37,-1.31,-1.67,2.48,2.48,2.49
34.92,3.85,3.85,1.37,1.36,-1.37,-1.31,-1.68,2.48,2.48,2.48
35.27,3.85,3.84,1.37,1.37,-1.36,-1.31,-1.68,2.48,2.48,2.48
35.62,3.84,3.84,1.37,1.37,-1.36,-1.32,-1.68,2.48,2.47,2.46
35.97,3.83,3.82,1.38,1.37,-1.36,-1.32,-1.69,2.46,2.46,2.45
36.33,3.81,3.81,1.36,1.37,-1.37,-1.33,-1.69,2.44,2.44,2.45
36.70,3.80,3.80,1.36,1.36,-1.37,-1.33,-1.69,2.43,2.43,2.43
37.06,3.79,3.79,1.37,1.36,-1.37,-1.34,-1.70,2.41,2.41,2.42
37.43,3.78,3.78,1.36,1.37,-1.38,-1.35,-1.70,2.40,2.41,2.41
37.81,3.79,3.78,1.39,1.38,-1.38,-1.36,-1.70,2.41,2.40,2.40
38.19,3.79,3.78,1.40,1.39,-1.38,-1.37,-1.71,2.40,2.40,2.39
38.57,3.78,3.78,1.40,1.40,-1.39,-1.38,-1.71,2.39,2.39,2.38
38.95,3.77,3.76,1.40,1.40,-1.39,-1.39,-1.72,2.37,2.37,2.37
39.34,3.75,3.75,1.40,1.40,-1.40,-1.40,-1.73,2.35,2.35,2.35
39.74,3.74,3.74,1.40,1.40,-1.40,-1.42,-1.74,2.33,2.33,2.34
40.14,3.73,3.73,1.40,1.40,-1.41,-1.43,-1.74,2.32,2.32,2.33
40.54,3.73,3.73,1.41,1.41,-1.41,-1.45,-1.75,2.32,2.32,2.32
40.94,3.73,3.73,1.42,1.42,-1.41,-1.47,-1.77,2.31,2.31,2.31
41.35,3.73,3.72,1.43,1.43,-1.42,-1.48,-1.78,2.30,2.30,2.29
41.76,3.72,3.72,1.43,1.43,-1.44,-1.50,-1.79,2.28,2.28,2.29
42.18,3.72,3.72,1.44,1.44,-1.45,-1.52,-1.81,2.26,2.27,2.28
42.60,3.73,3.73,1.46,1.46,-1.47,-1.55,-1.82,2.26,2.25,2.26
43.03,3.74,3.74,1.48,1.49,-1.49,-1.57,-1.84,2.25,2.25,2.26
43.46,3.76,3.75,1.52,1.52,-1.51,-1.60,-1.86,2.25,2.25,2.24
43.90,3.77,3.76,1.55,1.54,-1.53,-1.62,-1.88,2.24,2.23,2.21
44.33,3.76,3.76,1.56,1.56,-1.55,-1.65,-1.90,2.21,2.21,2.19
44.78,3.75,3.75,1.57,1.58,-1.57,-1.68,-1.93,2.17,2.18,2.18
45.23,3.75,3.75,1.59,1.59,-1.60,-1.71,-1.95,2.15,2.15,2.16
45.68,3.75,3.75,1.61,1.61,-1.62,-1.74,-1.98,2.13,2.13,2.14
46.13,3.76,3.76,1.64,1.64,-1.64,-1.77,-2.01,2.12,2.12,2.12
46.60,3.78,3.78,1.67,1.67,-1.67,-1.80,-2.03,2.11,2.11,2.11
47.06,3.80,3.79,1.71,1.70,-1.70,-1.84,-2.07,2.10,2.10,2.09
47.53,3.81,3.81,1.74,1.73,-1.73,-1.87,-2.10,2.07,2.08,2.07
48.01,3.83,3.82,1.77,1.77,-1.77,-1.91,-2.13,2.05,2.05,2.06
