frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-13.48,-13.48,-13.67,-13.66,6.00,6.45,2.84,-7.48,-7.48,0.19
20.20,-13.36,-13.36,-13.57,-13.58,6.00,6.45,2.92,-7.36,-7.36,0.22
20.40,-13.23,-13.23,-13.47,-13.48,6.00,6.44,3.00,-7.23,-7.23,0.25
20.61,-13.10,-13.09,-13.37,-13.36,6.00,6.43,3.09,-7.10,-7.09,0.27
20.81,-12.93,-12.93,-13.22,-13.23,6.00,6.42,3.18,-6.93,-6.93,0.30
21.02,-12.76,-12.76,-13.08,-13.08,6.00,6.42,3.27,-6.76,-6.76,0.33
21.23,-12.58,-12.58,-12.91,-12.91,6.00,6.41,3.36,-6.58,-6.58,0.33
21.44,-12.40,-12.40,-12.74,-12.74,6.00,6.40,3.46,-6.40,-6.40,0.34
21.66,-12.23,-12.22,-12.58,-12.57,6.00,6.39,3.56,-6.23,-6.22,0.35
21.87,-12.06,-12.06,-12.41,-12.42,6.00,6.39,3.66,-6.06,-6.06,0.35
22.09,-11.91,-11.91,-12.27,-12.27,6.00,6.38,3.76,-5.91,-5.91,0.36
22.31,-11.78,-11.77,-12.14,-12.13,6.00,6.37,3.87,-5.78,-5.77,0.36
22.54,-11.65,-11.65,-12.01,-12.01,6.00,6.36,3.98,-5.65,-5.65,0.36
22.76,-11.55,-11.55,-11.91,-11.90,6.00,6.35,4.09,-5.55,-5.55,0.36
22.99,-11.45,-11.45,-11.80,-11.80,6.00,6.34,4.21,-5.45,-5.45,0.35
23.22,-11.37,-11.36,-11.72,-11.71,6.00,6.33,4.33,-5.37,-5.36,0.35
23.45,-11.28,-11.28,-11.63,-11.62,6.00,6.32,4.45,-5.28,-5.28,0.35
23.69,-11.19,-11.19,-11.54,-11.53,6.00,6.32,4.57,-5.19,-5.19,0.35
23.92,-11.09,-11.09,-11.43,-11.44,6.00,6.31,4.70,-5.09,-5.09,0.35
24.16,-10.99,-10.99,-11.34,-11.34,6.00,6.30,4.83,-4.99,-4.99,0.36
24.40,-10.88,-10.88,-11.23,-11.23,6.00,6.28,4.96,-4.88,-4.88,0.36
24.65,-10.77,-10.77,-11.11,-11.12,6.00,6.27,5.09,-4.77,-4.77,0.34
24.89,-10.66,-10.66,-11.00,-11.00,6.00,6.26,5.22,-4.66,-4.66,0.34
25.14,-10.57,-10.56,-10.91,-10.91,6.00,6.25,5.36,-4.57,-4.56,0.34
25.39,-10.48,-10.48,-10.82,-10.82,6.00,6.24,5.50,-4.48,-4.48,0.34
25.65,-10.42,-10.42,-10.76,-10.75,6.00,6.23,5.64,-4.42,-4.42,0.34
25.91,-10.36,-10.36,-10.69,-10.69,6.00,6.22,5.77,-4.36,-4.36,0.33
26.16,-10.31,-10.31,-10.64,-10.64,6.00,6.20,5.91,-4.31,-4.31,0.33
26.43,-10.26,-10.26,-10.59,-10.58,6.00,6.19,6.05,-4.26,-4.26,0.33
26.69,-10.21,-10.21,-10.53,-10.53,6.00,6.18,6.19,-4.21,-4.21,0.33
26.96,-10.15,-10.15,-10.47,-10.47,6.00,6.17,6.32,-4.15,-4.15,0.32
27.23,-10.08,-10.08,-10.40,-10.40,6.00,6.15,6.45,-4.08,-4.08,0.32
27.50,-10.01,-10.01,-10.33,-10.32,6.00,6.14,6.58,-4.01,-4.01,0.32
27.77,-9.93,-9.93,-10.24,-10.24,6.00,6.13,6.71,-3.93,-3.93,0.31
28.05,-9.86,-9.86,-10.17,-10.16,6.00,6.11,6.83,-3.86,-3.86,0.31
