frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.22,7.22,1.51,1.51,-1.51,-1.72,-0.52,5.71,5.71,5.71
20.20,7.21,7.22,1.50,1.51,-1.51,-1.71,-0.54,5.71,5.71,5.71
20.40,7.21,7.21,1.50,1.50,-1.50,-1.69,-0.56,5.71,5.71,5.71
20.61,7.20,7.21,1.50,1.50,-1.50,-1.68,-0.58,5.71,5.71,5.71
20.81,7.20,7.20,1.50,1.49,-1.49,-1.67,-0.59,5.71,5.71,5.71
21.02,7.19,7.19,1.49,1.49,-1.49,-1.65,-0.61,5.71,5.71,5.71
21.23,7.18,7.19,1.48,1.48,-1.48,-1.64,-0.63,5.70,5.71,5.71
21.44,7.18,7.18,1.48,1.47,-1.47,-1.63,-0.65,5.71,5.71,5.71
21.66,7.17,7.17,1.47,1.47,-1.47,-1.61,-0.67,5.71,5.70,5.70
21.87,7.16,7.17,1.46,1.46,-1.46,-1.60,-0.69,5.70,5.70,5.70
22.09,7.15,7.16,1.45,1.45,-1.46,-1.59,-0.71,5.70,5.70,5.70
22.31,7.15,7.15,1.45,1.45,-1.45,-1.57,-0.74,5.70,5.70,5.70
22.54,7.14,7.14,1.44,1.44,-1.44,-1.56,-0.76,5.70,5.70,5.70
22.76,7.13,7.14,1.43,1.44,-1.44,-1.54,-0.78,5.70,5.70,5.70
22.99,7.13,7.13,1.43,1.43,-1.43,-1.53,-0.81,5.70,5.70,5.70
23.22,7.12,7.12,1.43,1.43,-1.43,-1.51,-0.83,5.70,5.70,5.70
23.45,7.11,7.12,1.42,1.42,-1.42,-1.50,-0.86,5.69,5.70,5.70
23.69,7.11,7.11,1.42,1.41,-1.41,-1.48,-0.88,5.70,5.70,5.70
23.92,7.10,7.10,1.41,1.41,-1.41,-1.47,-0.91,5.70,5.70,5.70
24.16,7.09,7.09,1.40,1.40,-1.40,-1.45,-0.93,5.69,5.70,5.69
24.40,7.08,7.08,1.39,1.39,-1.39,-1.43,-0.96,5.69,5.69,5.69
24.65,7.07,7.07,1.38,1.38,-1.38,-1.42,-0.99,5.69,5.69,5.69
24.89,7.06,7.06,1.37,1.37,-1.37,-1.40,-1.01,5.69,5.69,5.69
25.14,7.04,7.05,1.35,1.36,-1.36,-1.39,-1.04,5.68,5.69,5.69
25.39,7.03,7.04,1.35,1.35,-1.35,-1.37,-1.07,5.68,5.69,5.69
25.65,7.02,7.02,1.34,1.34,-1.34,-1.35,-1.09,5.69,5.69,5.69
25.91,7.01,7.01,1.33,1.33,-1.33,-1.34,-1.12,5.69,5.69,5.68
26.16,6.99,7.00,1.31,1.31,-1.31,-1.32,-1.15,5.68,5.68,5.68
