frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.50,7.50,-0.31,-0.30,0.30,-0.72,-0.49,7.80,7.80,7.80
20.20,7.53,7.53,-0.28,-0.28,0.27,-0.72,-0.50,7.80,7.80,7.80
20.40,7.56,7.56,-0.24,-0.25,0.25,-0.73,-0.52,7.81,7.80,7.80
20.61,7.59,7.59,-0.21,-0.21,0.22,-0.73,-0.53,7.81,7.81,7.80
20.81,7.62,7.62,-0.18,-0.18,0.19,-0.73,-0.55,7.80,7.80,7.80
21.02,7.65,7.65,-0.15,-0.15,0.15,-0.73,-0.57,7.80,7.80,7.80
21.23,7.69,7.69,-0.11,-0.12,0.12,-0.73,-0.58,7.81,7.80,7.80
21.44,7.72,7.72,-0.08,-0.08,0.08,-0.73,-0.60,7.80,7.80,7.80
21.66,7.76,7.76,-0.04,-0.04,0.04,-0.74,-0.62,7.80,7.80,7.80
21.87,7.80,7.80,0.00,-0.00,0.00,-0.74,-0.64,7.80,7.80,7.80
22.09,7.84,7.84,0.04,0.04,-0.04,-0.74,-0.66,7.80,7.80,7.80
22.31,7.88,7.88,0.08,0.09,-0.09,-0.74,-0.68,7.79,7.79,7.80
22.54,7.93,7.93,0.13,0.13,-0.14,-0.75,-0.70,7.79,7.79,7.80
22.76,7.98,7.98,0.18,0.18,-0.19,-0.75,-0.72,7.79,7.79,7.79
22.99,8.03,8.03,0.24,0.24,-0.24,-0.75,-0.74,7.79,7.79,7.79
23.22,8.09,8.09,0.30,0.29,-0.29,-0.76,-0.76,7.80,7.79,7.79
23.45,8.14,8.14,0.35,0.35,-0.35,-0.76,-0.78,7.79,7.79,7.79
23.69,8.19,8.19,0.40,0.40,-0.40,-0.76,-0.80,7.79,7.80,7.79
23.92,8.24,8.24,0.45,0.45,-0.44,-0.77,-0.83,7.80,7.79,7.79
24.16,8.28,8.28,0.49,0.49,-0.49,-0.77,-0.85,7.79,7.79,7.79
24.40,8.32,8.32,0.53,0.53,-0.53,-0.77,-0.87,7.79,7.79,7.79
24.65,8.35,8.35,0.56,0.56,-0.56,-0.78,-0.90,7.79,7.79,7.79
24.89,8.38,8.38,0.59,0.60,-0.60,-0.78,-0.92,7.78,7.79,7.78
25.14,8.41,8.41,0.63,0.63,-0.63,-0.79,-0.95,7.78,7.78,7.78
25.39,8.44,8.44,0.66,0.65,-0.65,-0.79,-0.97,7.78,7.78,7.78
25.65,8.46,8.46,0.68,0.68,-0.68,-0.80,-0.99,7.78,7.78,7.78
25.91,8.49,8.49,0.71,0.71,-0.71,-0.80,-1.02,7.78,7.78,7.78
26.16,8.51,8.51,0.73,0.73,-0.74,-0.81,-1.04,7.77,7.77,7.78
26.43,8.54,8.54,0.76,0.76,-0.77,-0.82,-1.07,7.77,7.77,7.78
26.69,8.57,8.57,0.79,0.79,-0.79,-0.82,-1.09,7.77,7.77,7.77
26.96,8.60,8.60,0.83,0.82,-0.82,-0.83,-1.11,7.77,7.77,7.77
27.23,8.62,8.62,0.85,0.85,-0.85,-0.84,-1.14,7.77,7.77,7.77
27.50,8.65,8.65,0.88,0.88,-0.88,-0.84,-1.16,7.77,7.77,7.77
27.77,8.68,8.68,0.91,0.91,-0.91,-0.85,-1.18,7.77,7.77,7.77
28.05,8.71,8.71,0.94,0.94,-0.94,-0.86,-1.20,7.77,7.77,7.76
28.33,8.73,8.73,0.97,0.97,-0.96,-0.87,-1.22,7.77,7.77,7.76
28.62,8.75,8.75,0.99,0.99,-0.98,-0.88,-1.24,7.76,7.76,7.76
28.90,8.77,8.77,1.01,1.01,-1.01,-0.89,-1.25,7.76,7.76,7.76
29.19,8.78,8.78,1.02,1.03,-1.03,-0.90,-1.27,7.75,7.75,7.76
29.48,8.80,8.80,1.05,1.05,-1.05,-0.91,-1.28,7.75,7.75,7.75
29.78,8.82,8.82,1.07,1.07,-1.08,-0.92,-1.29,7.74,7.75,7.75
30.08,8.85,8.84,1.10,1.10,-1.10,-0.93,-1.30,7.75,7.74,7.75
30.38,8.87,8.87,1.12,1.12,-1.12,-0.95,-1.31,7.74,7.74,7.75
30.68,8.89,8.89,1.15,1.15,-1.15,-0.96,-1.32,7.74,7.75,7.74
30.99,8.92,8.92,1.18,1.18,-1.17,-0.97,-1.32,7.75,7.74,7.74
31.30,8.94,8.94,1.20,1.20,-1.20,-0.99,-1.32,7.74,7.74,7.74
31.61,8.95,8.95,1.22,1.22,-1.22,-1.01,-1.32,7.73,7.74,7.73
31.93,8.97,8.97,1.24,1.24,-1.23,-1.02,-1.32,7.73,7.73,7.73
32.24,8.98,8.98,1.25,1.25,-1.25,-1.04,-1.32,7.73,7.73,7.73
32.57,8.99,8.99,1.27,1.27,-1.27,-1.06,-1.31,7.72,7.72,7.72
32.89,9.00,9.00,1.28,1.28,-1.28,-1.08,-1.31,7.72,7.72,7.72
33.22,9.01,9.01,1.29,1.29,-1.30,-1.10,-1.30,7.71,7.71,7.72
33.55,9.02,9.02,1.31,1.31,-1.31,-1.12,-1.29,7.71,7.71,7.71
33.89,9.03,9.03,1.32,1.32,-1.32,-1.14,-1.27,7.70,7.71,7.71
34.23,9.05,9.04,1.35,1.34,-1.34,-1.16,-1.26,7.71,7.71,7.70
34.57,9.05,9.05,1.35,1.35,-1.35,-1.19,-1.25,7.70,7.70,7.70
34.92,9.06,9.06,1.36,1.36,-1.36,-1.21,-1.23,7.70,7.70,7.69
35.27,9.06,9.06,1.37,1.37,-1.37,-1.23,-1.21,7.69,7.69,7.69
35.62,9.06,9.06,1.37,1.37,-1.38,-1.26,-1.20,7.68,7.68,7.69
35.97,9.06,9.06,1.38,1.38,-1.38,-1.28,-1.18,7.68,7.68,7.68
36.33,9.06,9.06,1.38,1.39,-1.39,-1.31,-1.16,7.67,7.67,7.67
36.70,9.07,9.07,1.40,1.40,-1.40,-1.33,-1.14,7.67,7.67,7.67
37.06,9.07,9.07,1.41,1.40,-1.40,-1.36,-1.12,7.66,7.66,7.66
37.43,9.07,9.07,1.41,1.41,-1.41,-1.38,-1.10,7.66,7.66,7.66
37.81,9.07,9.07,1.42,1.42,-1.42,-1.41,-1.08,7.65,7.65,7.65
38.19,9.07,9.07,1.42,1.42,-1.42,-1.43,-1.06,7.65,7.65,7.65
38.57,9.07,9.07,1.43,1.43,-1.42,-1.45,-1.04,7.64,7.64,7.64
38.95,9.06,9.06,1.43,1.43,-1.43,-1.47,-1.02,7.63,7.63,7.63
39.34,9.05,9.05,1.42,1.42,-1.42,-1.49,-1.00,7.62,7.63,7.63
39.74,9.04,9.04,1.42,1.42,-1.42,-1.50,-0.98,7.62,7.62,7.62
40.14,9.03,9.03,1.42,1.42,-1.42,-1.51,-0.96,7.61,7.61,7.61
40.54,9.02,9.02,1.42,1.41,-1.42,-1.52,-0.94,7.60,7.60,7.60
40.94,9.00,9.00,1.40,1.41,-1.41,-1.53,-0.92,7.59,7.59,7.59
41.35,8.99,8.99,1.40,1.40,-1.40,-1.53,-0.91,7.58,7.59,7.59
41.76,8.98,8.98,1.40,1.40,-1.40,-1.53,-0.89,7.58,7.58,7.58
42.18,8.96,8.96,1.39,1.39,-1.39,-1.52,-0.87,7.57,7.57,7.57
42.60,8.94,8.94,1.38,1.38,-1.38,-1.52,-0.86,7.56,7.56,7.56
43.03,8.92,8.92,1.37,1.37,-1.36,-1.50,-0.84,7.55,7.55,7.55
43.46,8.89,8.89,1.35,1.35,-1.35,-1.49,-0.83,7.54,7.54,7.54
43.90,8.86,8.86,1.33,1.33,-1.34,-1.47,-0.81,7.52,7.52,7.53
44.33,8.84,8.84,1.32,1.32,-1.32,-1.44,-0.80,7.52,7.51,7.52
44.78,8.81,8.81,1.30,1.30,-1.31,-1.42,-0.78,7.50,7.50,7.51
45.23,8.79,8.79,1.29,1.29,-1.29,-1.39,-0.77,7.49,7.49,7.49
45.68,8.76,8.76,1.28,1.28,-1.28,-1.36,-0.76,7.48,7.48,7.48
46.13,8.74,8.74,1.27,1.27,-1.26,-1.32,-0.75,7.47,7.47,7.47
46.60,8.71,8.71,1.25,1.25,-1.25,-1.29,-0.74,7.46,7.46,7.46
47.06,8.68,8.68,1.24,1.23,-1.23,-1.25,-0.73,7.45,7.45,7.44
47.53,8.64,8.64,1.21,1.21,-1.21,-1.22,-0.72,7.43,7.43,7.43
48.01,8.60,8.60,1.18,1.18,-1.18,-1.18,-0.71,7.41,7.42,7.42
48.49,8.56,8.56,1.16,1.16,-1.16,-1.14,-0.70,7.40,7.40,7.40
48.97,8.52,8.52,1.13,1.13,-1.13,-1.10,-0.69,7.38,7.38,7.39
49.46,8.48,8.48,1.11,1.11,-1.11,-1.06,-0.69,7.37,7.37,7.37
49.96,8.43,8.43,1.08,1.08,-1.08,-1.03,-0.68,7.35,7.35,7.35
50.46,8.39,8.39,1.05,1.05,-1.05,-0.99,-0.67,7.34,7.33,7.34
50.96,8.34,8.34,1.02,1.02,-1.03,-0.95,-0.67,7.31,7.32,7.32
51.47,8.30,8.30,1.00,1.00,-1.00,-0.91,-0.66,7.30,7.30,7.30
51.99,8.25,8.25,0.97,0.97,-0.97,-0.88,-0.66,7.28,7.28,7.28
52.51,8.20,8.20,0.94,0.94,-0.93,-0.84,-0.65,7.27,7.27,7.26
53.03,8.15,8.15,0.91,0.90,-0.90,-0.81,-0.65,7.25,7.25,7.24
53.56,8.09,8.09,0.87,0.87,-0.86,-0.77,-0.64,7.22,7.23,7.22
54.10,8.03,8.03,0.83,0.83,-0.83,-0.74,-0.64,7.20,7.20,7.20
54.64,7.97,7.97,0.79,0.79,-0.79,-0.71,-0.63,7.18,7.18,7.18
55.18,7.91,7.91,0.75,0.75,-0.75,-0.68,-0.63,7.16,7.16,7.16
55.74,7.84,7.84,0.71,0.71,-0.71,-0.64,-0.62,7.13,7.13,7.13
56.29,7.78,7.78,0.67,0.67,-0.68,-0.61,-0.62,7.10,7.10,7.11
56.86,7.72,7.72,0.64,0.64,-0.64,-0.59,-0.61,7.08,7.08,7.08
57.42,7.67,7.67,0.61,0.61,-0.61,-0.56,-0.61,7.06,7.06,7.06
58.00,7.61,7.61,0.58,0.58,-0.57,-0.53,-0.60,7.04,7.03,7.03
58.58,7.55,7.55,0.54,0.55,-0.54,-0.50,-0.60,7.01,7.01,7.01
59.16,7.49,7.49,0.51,0.52,-0.51,-0.48,-0.59,6.97,6.98,6.98
59.76,7.44,7.43,0.49,0.49,-0.49,-0.45,-0.59,6.95,6.95,6.95
60.35,7.38,7.38,0.46,0.46,-0.46,-0.43,-0.58,6.92,6.92,6.92
60.96,7.32,7.32,0.43,0.43,-0.43,-0.40,-0.57,6.88,6.89,6.89
61.57,7.27,7.27,0.41,0.41,-0.41,-0.38,-0.57,6.86,6.86,6.86
62.18,7.21,7.21,0.38,0.39,-0.39,-0.36,-0.56,6.82,6.82,6.82
62.80,7.16,7.16,0.37,0.37,-0.37,-0.34,-0.55,6.79,6.79,6.79
63.43,7.10,7.10,0.34,0.35,-0.35,-0.31,-0.54,6.75,6.75,6.76
64.07,7.05,7.05,0.33,0.33,-0.33,-0.29,-0.53,6.72,6.72,6.72
64.71,7.00,7.00,0.31,0.31,-0.31,-0.27,-0.52,6.69,6.69,6.69
65.35,6.95,6.95,0.30,0.30,-0.29,-0.25,-0.51,6.65,6.65,6.65
66.01,6.89,6.89,0.28,0.28,-0.28,-0.24,-0.50,6.61,6.61,6.61
66.67,6.83,6.83,0.26,0.26,-0.26,-0.22,-0.49,6.57,6.57,6.57
67.33,6.77,6.77,0.24,0.24,-0.24,-0.20,-0.48,6.53,6.53,6.53
68.01,6.71,6.71,0.22,0.22,-0.22,-0.18,-0.47,6.49,6.49,6.49
68.69,6.65,6.65,0.20,0.20,-0.20,-0.17,-0.45,6.45,6.45,6.45
69.37,6.58,6.58,0.17,0.18,-0.18,-0.15,-0.44,6.40,6.40,6.40
70.07,6.52,6.52,0.16,0.16,-0.16,-0.14,-0.43,6.36,6.36,6.36
70.77,6.46,6.45,0.14,0.14,-0.14,-0.12,-0.42,6.32,6.31,6.32
71.48,6.39,6.39,0.12,0.12,-0.12,-0.11,-0.40,6.26,6.27,6.27
72.19,6.33,6.33,0.11,0.11,-0.11,-0.09,-0.39,6.22,6.22,6.22
72.91,6.27,6.27,0.09,0.09,-0.09,-0.08,-0.37,6.18,6.18,6.17
73.64,6.21,6.21,0.08,0.08,-0.08,-0.07,-0.36,6.13,6.13,6.12
74.38,6.14,6.14,0.06,0.07,-0.06,-0.05,-0.34,6.08,6.08,6.07
75.12,6.07,6.07,0.05,0.05,-0.05,-0.04,-0.33,6.02,6.02,6.02
75.87,6.01,6.01,0.04,0.04,-0.04,-0.03,-0.31,5.97,5.97,5.97
76.63,5.94,5.94,0.02,0.02,-0.02,-0.02,-0.30,5.91,5.92,5.92
77.40,5.88,5.88,0.02,0.01,-0.01,-0.01,-0.29,5.86,5.86,5.86
78.17,5.81,5.81,0.00,0.00,-0.01,-0.00,-0.27,5.80,5.81,5.81
78.95,5.75,5.75,-0.00,-0.00,0.00,0.01,-0.26,5.75,5.75,5.75
79.74,5.69,5.69,-0.01,-0.01,0.01,0.02,-0.24,5.70,5.70,5.69
80.54,5.63,5.63,-0.01,-0.01,0.01,0.02,-0.23,5.64,5.64,5.64
81.35,5.57,5.57,-0.01,-0.01,0.01,0.03,-0.21,5.58,5.58,5.58
82.16,5.50,5.50,-0.02,-0.01,0.01,0.04,-0.20,5.51,5.52,5.52
82.98,5.44,5.44,-0.02,-0.02,0.01,0.04,-0.18,5.45,5.45,5.46
83.81,5.38,5.38,-0.01,-0.02,0.01,0.05,-0.17,5.39,5.39,5.39
84.65,5.32,5.32,-0.01,-0.01,0.01,0.06,-0.15,5.33,5.33,5.33
85.50,5.26,5.26,-0.01,-0.01,0.01,0.06,-0.14,5.27,5.27,5.27
86.35,5.20,5.20,-0.00,-0.01,0.01,0.07,-0.12,5.21,5.21,5.20
87.22,5.13,5.13,-0.01,-0.01,0.01,0.07,-0.11,5.14,5.14,5.14
88.09,5.06,5.06,-0.01,-0.01,0.02,0.07,-0.09,5.08,5.08,5.07
