frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.51,16.51,4.68,4.68,-4.68,-4.67,-2.29,11.83,11.83,11.83
20.20,16.54,16.53,4.71,4.71,-4.71,-4.69,-2.36,11.83,11.83,11.83
20.40,16.56,16.56,4.73,4.73,-4.74,-4.71,-2.42,11.82,11.82,11.83
20.61,16.59,16.59,4.76,4.76,-4.76,-4.73,-2.49,11.82,11.82,11.83
20.81,16.62,16.61,4.79,4.79,-4.79,-4.75,-2.57,11.83,11.82,11.83
21.02,16.64,16.64,4.81,4.82,-4.82,-4.77,-2.64,11.82,11.82,11.82
21.23,16.67,16.67,4.84,4.84,-4.84,-4.79,-2.72,11.82,11.82,11.82
21.44,16.70,16.69,4.87,4.87,-4.87,-4.81,-2.80,11.83,11.82,11.82
21.66,16.72,16.72,4.89,4.90,-4.89,-4.83,-2.88,11.82,11.83,11.82
21.87,16.74,16.74,4.92,4.92,-4.92,-4.85,-2.96,11.82,11.82,11.82
22.09,16.76,16.76,4.94,4.94,-4.94,-4.87,-3.05,11.82,11.82,11.82
22.31,16.78,16.78,4.96,4.96,-4.96,-4.89,-3.14,11.82,11.82,11.82
22.54,16.80,16.79,4.98,4.97,-4.97,-4.91,-3.23,11.82,11.82,11.82
22.76,16.81,16.81,4.99,4.99,-4.99,-4.94,-3.32,11.81,11.82,11.82
22.99,16.83,16.83,5.01,5.01,-5.01,-4.96,-3.41,11.82,11.82,11.82
23.22,16.85,16.84,5.03,5.03,-5.03,-4.98,-3.51,11.82,11.81,11.82
23.45,16.86,16.86,5.04,5.05,-5.05,-5.00,-3.61,11.81,11.81,11.82
23.69,16.88,16.88,5.06,5.06,-5.07,-5.02,-3.71,11.81,11.81,11.81
23.92,16.90,16.90,5.08,5.08,-5.09,-5.04,-3.81,11.81,11.81,11.81
24.16,16.92,16.92,5.11,5.11,-5.10,-5.06,-3.92,11.81,11.81,11.81
24.40,16.94,16.94,5.13,5.12,-5.12,-5.08,-4.03,11.82,11.82,11.81
24.65,16.95,16.95,5.14,5.14,-5.13,-5.09,-4.14,11.81,11.81,11.81
24.89,16.96,16.96,5.15,5.15,-5.14,-5.11,-4.24,11.81,11.81,11.81
25.14,16.96,16.96,5.15,5.15,-5.15,-5.13,-4.36,11.80,11.81,11.81
25.39,16.97,16.96,5.16,5.16,-5.16,-5.14,-4.47,11.81,11.80,11.81
25.65,16.97,16.97,5.16,5.16,-5.16,-5.15,-4.58,11.80,11.80,11.80
25.91,16.97,16.97,5.16,5.17,-5.17,-5.17,-4.69,11.80,11.80,11.80
26.16,16.97,16.97,5.17,5.17,-5.17,-5.18,-4.80,11.80,11.80,11.80
26.43,16.97,16.97,5.17,5.17,-5.17,-5.19,-4.91,11.80,11.80,11.80
26.69,16.97,16.97,5.17,5.17,-5.17,-5.20,-5.02,11.80,11.80,11.80
26.96,16.97,16.97,5.17,5.17,-5.17,-5.20,-5.13,11.80,11.80,11.80
27.23,16.97,16.96,5.17,5.17,-5.17,-5.21,-5.24,11.80,11.80,11.79
27.50,16.96,16.96,5.17,5.17,-5.17,-5.21,-5.34,11.79,11.79,11.79
27.77,16.96,16.95,5.17,5.16,-5.17,-5.21,-5.44,11.79,11.79,11.79
28.05,16.95,16.95,5.16,5.16,-5.16,-5.21,-5.54,11.78,11.79,11.79
28.33,16.95,16.94,5.16,5.16,-5.16,-5.21,-5.62,11.79,11.79,11.79
28.62,16.94,16.94,5.15,5.15,-5.15,-5.21,-5.71,11.78,11.78,11.78
28.90,16.93,16.93,5.15,5.15,-5.15,-5.20,-5.79,11.78,11.78,11.78
29.19,16.92,16.92,5.14,5.14,-5.14,-5.20,-5.86,11.78,11.78,11.78
29.48,16.91,16.91,5.13,5.13,-5.13,-5.19,-5.92,11.78,11.78,11.78
29.78,16.90,16.89,5.12,5.12,-5.12,-5.18,-5.98,11.78,11.77,11.77
30.08,16.88,16.88,5.11,5.11,-5.11,-5.16,-6.03,11.77,11.77,11.77
30.38,16.87,16.87,5.10,5.10,-5.10,-5.15,-6.07,11.77,11.77,11.77
30.68,16.85,16.85,5.08,5.08,-5.08,-5.13,-6.09,11.76,11.77,11.77
30.99,16.84,16.83,5.07,5.07,-5.07,-5.11,-6.11,11.77,11.76,11.76
31.30,16.82,16.82,5.06,5.06,-5.06,-5.09,-6.12,11.76,11.76,11.76
31.61,16.80,16.80,5.04,5.04,-5.04,-5.07,-6.12,11.76,11.76,11.76
31.93,16.78,16.78,5.02,5.02,-5.02,-5.05,-6.11,11.75,11.75,11.75
32.24,16.76,16.76,5.01,5.01,-5.01,-5.03,-6.09,11.75,11.75,11.75
32.57,16.74,16.74,4.99,4.99,-4.99,-5.00,-6.06,11.75,11.75,11.75
32.89,16.72,16.72,4.97,4.97,-4.97,-4.98,-6.02,11.74,11.74,11.74
33.22,16.70,16.69,4.96,4.96,-4.95,-4.95,-5.98,11.74,11.74,11.74
33.55,16.67,16.67,4.93,4.93,-4.94,-4.92,-5.92,11.73,11.73,11.74
33.89,16.65,16.64,4.92,4.91,-4.91,-4.89,-5.86,11.73,11.73,11.73
34.23,16.62,16.62,4.89,4.89,-4.89,-4.86,-5.79,11.72,11.73,11.73
34.57,16.60,16.59,4.87,4.87,-4.87,-4.83,-5.72,11.73,11.72,11.72
34.92,16.57,16.57,4.85,4.85,-4.85,-4.80,-5.64,11.72,11.72,11.72
35.27,16.54,16.54,4.82,4.82,-4.82,-4.77,-5.55,11.72,11.72,11.71
35.62,16.51,16.50,4.80,4.80,-4.80,-4.74,-5.47,11.71,11.71,11.71
35.97,16.47,16.47,4.76,4.77,-4.77,-4.71,-5.37,11.70,11.70,11.70
36.33,16.44,16.44,4.74,4.74,-4.74,-4.67,-5.28,11.69,11.70,11.70
36.70,16.41,16.41,4.71,4.71,-4.72,-4.64,-5.19,11.69,11.69,11.69
37.06,16.38,16.37,4.69,4.69,-4.69,-4.61,-5.09,11.69,11.69,11.69
37.43,16.34,16.34,4.66,4.66,-4.66,-4.57,-4.99,11.68,11.68,11.68
37.81,16.31,16.31,4.63,4.63,-4.63,-4.54,-4.89,11.67,11.68,11.68
38.19,16.28,16.27,4.61,4.60,-4.60,-4.51,-4.79,11.67,11.67,11.67
