frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.79,8.79,1.81,1.81,-1.81,-1.82,-0.81,6.98,6.98,6.98
20.20,8.79,8.79,1.81,1.81,-1.81,-1.82,-0.83,6.98,6.98,6.98
20.40,8.79,8.79,1.81,1.81,-1.81,-1.82,-0.86,6.98,6.98,6.98
20.61,8.79,8.79,1.81,1.81,-1.81,-1.82,-0.88,6.98,6.98,6.98
20.81,8.79,8.79,1.81,1.81,-1.82,-1.82,-0.91,6.97,6.97,6.98
21.02,8.79,8.79,1.81,1.82,-1.82,-1.82,-0.94,6.97,6.97,6.98
21.23,8.79,8.79,1.82,1.82,-1.82,-1.82,-0.96,6.97,6.97,6.98
21.44,8.80,8.80,1.83,1.82,-1.82,-1.82,-0.99,6.98,6.98,6.97
21.66,8.80,8.80,1.83,1.83,-1.82,-1.82,-1.02,6.98,6.98,6.97
21.87,8.80,8.80,1.83,1.83,-1.83,-1.82,-1.05,6.98,6.98,6.97
22.09,8.80,8.80,1.83,1.83,-1.83,-1.82,-1.09,6.97,6.97,6.97
22.31,8.80,8.80,1.83,1.83,-1.83,-1.82,-1.12,6.97,6.97,6.97
22.54,8.80,8.80,1.83,1.83,-1.83,-1.82,-1.15,6.97,6.97,6.97
22.76,8.80,8.80,1.83,1.83,-1.83,-1.82,-1.18,6.97,6.97,6.97
22.99,8.80,8.80,1.83,1.84,-1.84,-1.82,-1.22,6.96,6.97,6.97
23.22,8.81,8.81,1.84,1.84,-1.84,-1.82,-1.25,6.97,6.97,6.97
23.45,8.81,8.81,1.84,1.84,-1.84,-1.82,-1.29,6.97,6.97,6.97
23.69,8.81,8.81,1.85,1.85,-1.84,-1.82,-1.33,6.97,6.97,6.97
23.92,8.81,8.81,1.85,1.85,-1.85,-1.82,-1.37,6.96,6.96,6.96
24.16,8.81,8.81,1.85,1.85,-1.85,-1.82,-1.40,6.96,6.96,6.96
24.40,8.81,8.81,1.85,1.85,-1.85,-1.82,-1.44,6.96,6.96,6.96
24.65,8.81,8.81,1.85,1.85,-1.85,-1.82,-1.48,6.96,6.96,6.96
24.89,8.81,8.81,1.85,1.85,-1.85,-1.82,-1.52,6.96,6.96,6.96
25.14,8.81,8.81,1.85,1.85,-1.85,-1.82,-1.56,6.96,6.96,6.96
25.39,8.81,8.81,1.85,1.85,-1.85,-1.82,-1.60,6.96,6.96,6.96
