frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.59,11.59,5.32,5.32,-5.33,-3.08,-1.13,6.25,6.25,6.27
20.20,11.54,11.54,5.27,5.27,-5.27,-3.08,-1.17,6.27,6.27,6.27
20.40,11.48,11.48,5.21,5.21,-5.21,-3.08,-1.20,6.27,6.27,6.27
20.61,11.43,11.42,5.16,5.15,-5.14,-3.08,-1.23,6.29,6.28,6.27
20.81,11.35,11.35,5.08,5.09,-5.07,-3.08,-1.27,6.28,6.28,6.27
21.02,11.28,11.28,5.01,5.01,-5.00,-3.07,-1.31,6.28,6.28,6.27
21.23,11.20,11.19,4.93,4.93,-4.93,-3.07,-1.34,6.27,6.27,6.27
21.44,11.11,11.11,4.84,4.85,-4.85,-3.07,-1.38,6.26,6.26,6.26
21.66,11.03,11.02,4.76,4.76,-4.77,-3.07,-1.42,6.26,6.26,6.26
21.87,10.94,10.94,4.67,4.68,-4.68,-3.06,-1.47,6.25,6.26,6.26
22.09,10.86,10.86,4.59,4.60,-4.60,-3.06,-1.51,6.26,6.26,6.26
22.31,10.78,10.77,4.51,4.51,-4.51,-3.06,-1.55,6.27,6.26,6.26
22.54,10.69,10.69,4.43,4.43,-4.43,-3.06,-1.60,6.26,6.26,6.26
22.76,10.60,10.60,4.34,4.34,-4.34,-3.05,-1.64,6.26,6.26,6.26
22.99,10.52,10.51,4.26,4.25,-4.26,-3.05,-1.69,6.26,6.26,6.26
23.22,10.43,10.43,4.17,4.17,-4.17,-3.05,-1.74,6.26,6.26,6.26
23.45,10.34,10.34,4.08,4.08,-4.08,-3.04,-1.79,6.25,6.26,6.26
23.69,10.26,10.25,4.00,4.00,-4.00,-3.04,-1.84,6.26,6.26,6.26
23.92,10.17,10.17,3.91,3.91,-3.91,-3.03,-1.89,6.25,6.26,6.25
24.16,10.09,10.09,3.83,3.83,-3.83,-3.03,-1.94,6.26,6.26,6.25
24.40,10.00,10.00,3.74,3.75,-3.75,-3.02,-1.99,6.25,6.25,6.25
24.65,9.92,9.91,3.67,3.66,-3.66,-3.02,-2.05,6.25,6.25,6.25
24.89,9.83,9.83,3.58,3.58,-3.58,-3.01,-2.10,6.24,6.25,6.25
25.14,9.76,9.75,3.51,3.50,-3.51,-3.01,-2.16,6.25,6.25,6.25
25.39,9.68,9.68,3.43,3.43,-3.43,-3.00,-2.21,6.25,6.25,6.25
25.65,9.60,9.60,3.35,3.36,-3.36,-3.00,-2.27,6.24,6.25,6.25
25.91,9.53,9.53,3.29,3.28,-3.28,-2.99,-2.32,6.25,6.24,6.24
26.16,9.46,9.46,3.21,3.21,-3.21,-2.98,-2.38,6.24,6.24,6.24
26.43,9.39,9.39,3.15,3.15,-3.15,-2.97,-2.43,6.24,6.24,6.24
26.69,9.32,9.32,3.08,3.08,-3.08,-2.97,-2.49,6.24,6.24,6.24
26.96,9.25,9.25,3.01,3.01,-3.02,-2.96,-2.54,6.23,6.24,6.24
27.23,9.19,9.19,2.95,2.95,-2.95,-2.95,-2.60,6.24,6.23,6.24
27.50,9.13,9.13,2.89,2.89,-2.89,-2.94,-2.65,6.24,6.23,6.23
27.77,9.07,9.07,2.84,2.83,-2.83,-2.93,-2.70,6.23,6.23,6.23
28.05,9.01,9.01,2.78,2.78,-2.78,-2.92,-2.75,6.23,6.23,6.23
28.33,8.95,8.95,2.72,2.72,-2.72,-2.90,-2.80,6.22,6.23,6.23
28.62,8.90,8.89,2.67,2.67,-2.67,-2.89,-2.84,6.23,6.22,6.23
28.90,8.84,8.84,2.61,2.62,-2.62,-2.88,-2.89,6.22,6.22,6.22
29.19,8.79,8.79,2.57,2.57,-2.57,-2.86,-2.93,6.22,6.22,6.22
29.48,8.74,8.74,2.52,2.52,-2.52,-2.85,-2.97,6.22,6.22,6.22
29.78,8.69,8.69,2.47,2.47,-2.47,-2.83,-3.00,6.22,6.22,6.22
30.08,8.64,8.64,2.43,2.42,-2.42,-2.81,-3.03,6.21,6.21,6.21
30.38,8.59,8.59,2.38,2.38,-2.38,-2.80,-3.06,6.21,6.21,6.21
30.68,8.55,8.55,2.34,2.34,-2.34,-2.78,-3.09,6.21,6.20,6.21
30.99,8.51,8.51,2.30,2.30,-2.31,-2.76,-3.11,6.20,6.20,6.20
31.30,8.47,8.47,2.27,2.27,-2.27,-2.73,-3.13,6.20,6.20,6.20
31.61,8.44,8.44,2.24,2.24,-2.24,-2.71,-3.15,6.20,6.20,6.20
31.93,8.41,8.41,2.21,2.21,-2.21,-2.69,-3.16,6.20,6.20,6.20
32.24,8.38,8.37,2.19,2.18,-2.18,-2.66,-3.17,6.20,6.19,6.19
32.57,8.34,8.34,2.15,2.16,-2.15,-2.63,-3.17,6.18,6.19,6.19
32.89,8.32,8.31,2.13,2.13,-2.13,-2.60,-3.18,6.19,6.18,6.18
33.22,8.29,8.29,2.11,2.10,-2.11,-2.57,-3.18,6.18,6.18,6.18
33.55,8.26,8.26,2.08,2.08,-2.09,-2.54,-3.17,6.17,6.18,6.18
33.89,8.24,8.24,2.06,2.06,-2.07,-2.50,-3.17,6.17,6.17,6.17
34.23,8.22,8.22,2.05,2.05,-2.05,-2.47,-3.16,6.17,6.17,6.17
34.57,8.20,8.20,2.03,2.03,-2.03,-2.43,-3.15,6.17,6.16,6.16
34.92,8.18,8.18,2.02,2.02,-2.02,-2.39,-3.14,6.16,6.16,6.16
35.27,8.16,8.16,2.00,2.01,-2.00,-2.35,-3.13,6.15,6.16,6.16
35.62,8.15,8.14,2.00,1.99,-1.99,-2.30,-3.12,6.15,6.15,6.15
35.97,8.13,8.13,1.98,1.98,-1.98,-2.26,-3.11,6.14,6.15,6.15
36.33,8.12,8.11,1.98,1.97,-1.98,-2.22,-3.09,6.14,6.14,6.14
36.70,8.10,8.10,1.96,1.97,-1.97,-2.17,-3.08,6.13,6.13,6.13
37.06,8.09,8.09,1.96,1.96,-1.96,-2.13,-3.06,6.12,6.13,6.13
37.43,8.09,8.08,1.96,1.96,-1.96,-2.08,-3.05,6.13,6.12,6.12
37.81,8.08,8.08,1.96,1.96,-1.96,-2.04,-3.04,6.12,6.12,6.12
38.19,8.07,8.07,1.96,1.96,-1.96,-2.00,-3.03,6.11,6.11,6.11
38.57,8.07,8.06,1.96,1.96,-1.96,-1.96,-3.02,6.11,6.10,6.10
38.95,8.06,8.06,1.96,1.96,-1.96,-1.92,-3.01,6.10,6.10,6.10
39.34,8.06,8.05,1.97,1.96,-1.96,-1.89,-3.00,6.09,6.09,6.09
39.74,8.05,8.05,1.97,1.97,-1.97,-1.87,-2.99,6.08,6.08,6.08
40.14,8.05,8.05,1.97,1.97,-1.97,-1.84,-2.98,6.08,6.08,6.08
40.54,8.05,8.04,1.98,1.98,-1.98,-1.83,-2.98,6.07,6.07,6.07
40.94,8.04,8.04,1.98,1.98,-1.98,-1.82,-2.98,6.05,6.06,6.06
41.35,8.04,8.04,1.99,1.99,-1.99,-1.82,-2.98,6.05,6.05,6.05
41.76,8.05,8.04,2.01,2.00,-2.00,-1.83,-2.98,6.04,6.04,6.04
42.18,8.05,8.05,2.01,2.02,-2.02,-1.85,-2.99,6.03,6.03,6.03
42.60,8.06,8.05,2.03,2.03,-2.03,-1.87,-2.99,6.03,6.02,6.02
43.03,8.06,8.06,2.04,2.05,-2.05,-1.90,-3.00,6.01,6.01,6.01
43.46,8.07,8.07,2.06,2.06,-2.06,-1.93,-3.02,6.00,6.00,6.00
43.90,8.08,8.08,2.08,2.08,-2.08,-1.98,-3.03,5.99,5.99,5.99
