frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.95,2.95,-4.62,-4.62,4.64,3.80,0.21,7.59,7.60,7.57
20.20,3.05,3.04,-4.52,-4.53,4.53,3.71,0.22,7.58,7.58,7.57
20.40,3.15,3.15,-4.42,-4.43,4.42,3.62,0.23,7.57,7.56,7.57
20.61,3.25,3.26,-4.32,-4.31,4.30,3.53,0.23,7.55,7.56,7.57
20.81,3.38,3.38,-4.19,-4.19,4.18,3.44,0.24,7.56,7.55,7.57
21.02,3.51,3.51,-4.06,-4.06,4.05,3.36,0.25,7.56,7.56,7.57
21.23,3.64,3.64,-3.93,-3.93,3.92,3.27,0.26,7.56,7.57,7.57
21.44,3.78,3.78,-3.79,-3.79,3.79,3.18,0.27,7.57,7.57,7.57
21.66,3.92,3.92,-3.65,-3.65,3.65,3.09,0.27,7.57,7.57,7.57
21.87,4.06,4.06,-3.51,-3.51,3.51,3.00,0.28,7.57,7.57,7.57
22.09,4.20,4.20,-3.37,-3.37,3.37,2.91,0.29,7.57,7.57,7.57
22.31,4.34,4.34,-3.22,-3.23,3.23,2.82,0.30,7.57,7.57,7.57
22.54,4.48,4.48,-3.09,-3.09,3.08,2.73,0.31,7.56,7.56,7.57
22.76,4.62,4.62,-2.94,-2.95,2.94,2.65,0.32,7.56,7.56,7.56
22.99,4.76,4.76,-2.80,-2.80,2.80,2.56,0.33,7.56,7.56,7.56
23.22,4.90,4.90,-2.66,-2.66,2.66,2.47,0.34,7.56,7.56,7.56
23.45,5.04,5.03,-2.52,-2.53,2.53,2.38,0.35,7.57,7.56,7.56
23.69,5.17,5.17,-2.39,-2.39,2.39,2.29,0.36,7.56,7.56,7.56
23.92,5.30,5.30,-2.26,-2.26,2.26,2.21,0.37,7.56,7.56,7.56
24.16,5.44,5.43,-2.12,-2.12,2.12,2.12,0.38,7.56,7.56,7.56
24.40,5.56,5.56,-2.00,-1.99,1.99,2.03,0.40,7.55,7.56,7.56
24.65,5.69,5.69,-1.87,-1.86,1.86,1.95,0.41,7.55,7.56,7.56
24.89,5.82,5.82,-1.73,-1.74,1.74,1.86,0.42,7.56,7.56,7.55
25.14,5.94,5.94,-1.61,-1.61,1.61,1.77,0.43,7.56,7.56,7.55
25.39,6.06,6.06,-1.49,-1.49,1.49,1.69,0.44,7.56,7.55,7.55
25.65,6.17,6.17,-1.38,-1.38,1.38,1.60,0.45,7.54,7.55,7.55
25.91,6.29,6.29,-1.26,-1.26,1.26,1.52,0.46,7.55,7.55,7.55
26.16,6.40,6.40,-1.15,-1.15,1.15,1.43,0.47,7.55,7.55,7.55
26.43,6.51,6.51,-1.04,-1.04,1.04,1.35,0.49,7.55,7.54,7.55
26.69,6.61,6.61,-0.93,-0.93,0.93,1.27,0.50,7.54,7.54,7.54
26.96,6.72,6.72,-0.82,-0.83,0.82,1.19,0.51,7.54,7.54,7.54
27.23,6.82,6.82,-0.72,-0.72,0.72,1.11,0.52,7.54,7.54,7.54
27.50,6.92,6.92,-0.62,-0.62,0.62,1.02,0.52,7.54,7.54,7.54
27.77,7.02,7.02,-0.52,-0.52,0.52,0.94,0.53,7.54,7.54,7.54
28.05,7.11,7.11,-0.42,-0.42,0.43,0.86,0.54,7.54,7.54,7.53
28.33,7.20,7.20,-0.33,-0.33,0.34,0.79,0.55,7.54,7.53,7.53
28.62,7.28,7.28,-0.25,-0.25,0.25,0.71,0.55,7.53,7.53,7.53
28.90,7.36,7.36,-0.17,-0.17,0.16,0.63,0.56,7.52,7.53,7.53
29.19,7.44,7.44,-0.09,-0.09,0.08,0.56,0.56,7.52,7.52,7.53
29.48,7.52,7.52,-0.00,-0.01,0.01,0.48,0.57,7.53,7.52,7.52
29.78,7.59,7.59,0.07,0.07,-0.07,0.41,0.57,7.52,7.52,7.52
30.08,7.66,7.66,0.14,0.14,-0.14,0.34,0.57,7.52,7.52,7.52
30.38,7.73,7.73,0.21,0.21,-0.21,0.26,0.57,7.52,7.51,7.51
30.68,7.79,7.79,0.28,0.28,-0.28,0.19,0.57,7.51,7.51,7.51
30.99,7.85,7.85,0.34,0.34,-0.34,0.13,0.57,7.51,7.51,7.51
31.30,7.91,7.91,0.40,0.40,-0.40,0.06,0.56,7.51,7.51,7.51
31.61,7.96,7.96,0.46,0.46,-0.46,-0.01,0.56,7.50,7.50,7.50
31.93,8.01,8.01,0.51,0.51,-0.51,-0.07,0.55,7.50,7.50,7.50
32.24,8.05,8.05,0.55,0.56,-0.56,-0.14,0.54,7.49,7.50,7.50
32.57,8.10,8.10,0.61,0.60,-0.60,-0.20,0.53,7.49,7.49,7.49
32.89,8.14,8.14,0.65,0.65,-0.65,-0.26,0.52,7.49,7.49,7.49
33.22,8.17,8.17,0.68,0.69,-0.69,-0.32,0.51,7.48,7.49,7.49
33.55,8.21,8.21,0.73,0.73,-0.72,-0.37,0.50,7.48,7.48,7.48
33.89,8.24,8.24,0.76,0.76,-0.76,-0.43,0.48,7.48,7.48,7.48
34.23,8.26,8.26,0.79,0.79,-0.79,-0.48,0.47,7.47,7.47,7.47
34.57,8.29,8.29,0.82,0.82,-0.82,-0.53,0.45,7.47,7.47,7.47
34.92,8.31,8.31,0.84,0.84,-0.85,-0.59,0.43,7.46,7.46,7.46
35.27,8.33,8.33,0.87,0.87,-0.87,-0.63,0.42,7.46,7.46,7.46
35.62,8.34,8.34,0.88,0.89,-0.89,-0.68,0.40,7.45,7.46,7.45
35.97,8.36,8.36,0.91,0.91,-0.90,-0.72,0.38,7.46,7.45,7.45
