frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.93,7.93,0.47,0.47,-0.41,-0.84,-0.41,7.52,7.52,7.47
20.20,7.97,7.97,0.51,0.50,-0.49,-0.84,-0.43,7.48,7.48,7.47
20.40,8.01,8.01,0.55,0.54,-0.57,-0.84,-0.44,7.45,7.44,7.47
20.61,8.05,8.06,0.59,0.59,-0.63,-0.84,-0.45,7.42,7.43,7.46
20.81,8.11,8.11,0.65,0.65,-0.69,-0.84,-0.47,7.42,7.42,7.46
21.02,8.17,8.18,0.71,0.71,-0.74,-0.84,-0.48,7.43,7.43,7.46
21.23,8.24,8.24,0.78,0.78,-0.79,-0.84,-0.50,7.45,7.45,7.46
21.44,8.30,8.30,0.84,0.84,-0.83,-0.84,-0.51,7.48,7.47,7.46
21.66,8.34,8.35,0.88,0.89,-0.87,-0.84,-0.53,7.47,7.48,7.46
21.87,8.38,8.38,0.92,0.92,-0.90,-0.84,-0.54,7.48,7.48,7.46
22.09,8.39,8.39,0.93,0.93,-0.91,-0.84,-0.56,7.48,7.48,7.46
22.31,8.39,8.39,0.93,0.94,-0.92,-0.84,-0.57,7.47,7.48,7.46
22.54,8.38,8.38,0.92,0.92,-0.91,-0.84,-0.59,7.47,7.47,7.46
22.76,8.35,8.35,0.90,0.90,-0.90,-0.84,-0.61,7.46,7.46,7.46
22.99,8.32,8.33,0.87,0.87,-0.88,-0.84,-0.63,7.44,7.45,7.46
23.22,8.30,8.30,0.85,0.85,-0.87,-0.84,-0.64,7.44,7.44,7.45
23.45,8.29,8.29,0.84,0.84,-0.86,-0.84,-0.66,7.43,7.43,7.45
23.69,8.29,8.29,0.84,0.84,-0.86,-0.84,-0.68,7.43,7.43,7.45
23.92,8.31,8.31,0.86,0.86,-0.87,-0.85,-0.70,7.44,7.44,7.45
24.16,8.33,8.34,0.88,0.89,-0.89,-0.85,-0.72,7.44,7.44,7.45
24.40,8.37,8.37,0.92,0.92,-0.92,-0.85,-0.74,7.45,7.45,7.45
24.65,8.40,8.40,0.95,0.95,-0.95,-0.85,-0.76,7.46,7.46,7.45
24.89,8.43,8.43,0.99,0.99,-0.97,-0.85,-0.78,7.46,7.46,7.45
25.14,8.45,8.45,1.01,1.01,-0.99,-0.85,-0.80,7.46,7.46,7.45
25.39,8.46,8.46,1.02,1.02,-1.01,-0.85,-0.82,7.46,7.45,7.44
25.65,8.46,8.46,1.02,1.02,-1.02,-0.85,-0.84,7.45,7.45,7.44
