frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.08,10.06,7.63,7.61,-8.02,-5.60,-1.34,2.06,2.04,2.45
20.20,9.77,9.80,7.30,7.33,-7.37,-5.55,-1.38,2.40,2.43,2.48
20.40,9.46,9.49,6.95,6.98,-6.78,-5.49,-1.42,2.68,2.70,2.51
20.61,9.16,9.11,6.63,6.58,-6.26,-5.43,-1.46,2.90,2.85,2.53
20.81,8.68,8.67,6.12,6.11,-5.80,-5.38,-1.51,2.88,2.87,2.56
21.02,8.17,8.16,5.59,5.58,-5.40,-5.32,-1.55,2.77,2.76,2.59
21.23,7.64,7.65,5.05,5.06,-5.06,-5.26,-1.60,2.58,2.59,2.60
21.44,7.20,7.22,4.59,4.62,-4.79,-5.20,-1.65,2.41,2.44,2.61
21.66,6.94,6.92,4.32,4.31,-4.53,-5.14,-1.69,2.41,2.40,2.61
21.87,6.75,6.79,4.14,4.17,-4.36,-5.08,-1.75,2.39,2.43,2.61
22.09,6.79,6.80,4.17,4.18,-4.29,-5.02,-1.80,2.50,2.51,2.62
22.31,6.93,6.91,4.30,4.29,-4.30,-4.96,-1.85,2.62,2.61,2.62
22.54,7.07,7.07,4.45,4.45,-4.37,-4.89,-1.91,2.70,2.70,2.62
22.76,7.21,7.21,4.59,4.59,-4.46,-4.83,-1.96,2.75,2.75,2.62
22.99,7.31,7.30,4.70,4.69,-4.55,-4.77,-2.02,2.76,2.75,2.61
23.22,7.34,7.34,4.73,4.73,-4.62,-4.70,-2.08,2.72,2.71,2.61
23.45,7.32,7.32,4.71,4.72,-4.67,-4.64,-2.14,2.66,2.66,2.61
23.69,7.28,7.28,4.68,4.67,-4.68,-4.57,-2.20,2.60,2.60,2.61
23.92,7.23,7.24,4.63,4.63,-4.68,-4.51,-2.26,2.55,2.56,2.61
24.16,7.20,7.21,4.59,4.60,-4.67,-4.44,-2.33,2.53,2.54,2.62
24.40,7.20,7.21,4.59,4.59,-4.67,-4.38,-2.39,2.54,2.54,2.62
24.65,7.22,7.22,4.62,4.62,-4.66,-4.31,-2.46,2.56,2.56,2.61
24.89,7.25,7.25,4.65,4.65,-4.66,-4.24,-2.52,2.60,2.60,2.60
25.14,7.26,7.27,4.66,4.66,-4.64,-4.17,-2.59,2.63,2.63,2.60
25.39,7.26,7.25,4.66,4.65,-4.60,-4.11,-2.66,2.67,2.65,2.60
25.65,7.17,7.18,4.57,4.58,-4.52,-4.04,-2.72,2.65,2.66,2.60
25.91,7.07,7.06,4.48,4.47,-4.40,-3.97,-2.79,2.67,2.66,2.59
26.16,6.89,6.88,4.30,4.29,-4.24,-3.90,-2.85,2.65,2.65,2.59
26.43,6.67,6.66,4.08,4.08,-4.04,-3.83,-2.92,2.63,2.62,2.59
26.69,6.41,6.41,3.83,3.82,-3.82,-3.76,-2.98,2.59,2.59,2.59
26.96,6.15,6.15,3.56,3.57,-3.60,-3.69,-3.05,2.55,2.55,2.59
27.23,5.91,5.91,3.32,3.32,-3.38,-3.61,-3.11,2.53,2.53,2.58
27.50,5.69,5.70,3.11,3.12,-3.18,-3.54,-3.17,2.51,2.51,2.58
27.77,5.52,5.53,2.95,2.95,-3.01,-3.47,-3.22,2.51,2.52,2.57
28.05,5.40,5.40,2.83,2.84,-2.87,-3.40,-3.28,2.53,2.53,2.57
28.33,5.31,5.31,2.75,2.75,-2.76,-3.33,-3.33,2.56,2.56,2.56
28.62,5.24,5.24,2.69,2.69,-2.67,-3.25,-3.37,2.58,2.57,2.56
28.90,5.18,5.18,2.63,2.63,-2.60,-3.18,-3.42,2.58,2.58,2.56
29.19,5.11,5.11,2.57,2.56,-2.54,-3.11,-3.45,2.57,2.57,2.54
29.48,5.04,5.04,2.49,2.50,-2.49,-3.03,-3.49,2.55,2.55,2.55
29.78,4.97,4.98,2.43,2.44,-2.43,-2.96,-3.52,2.54,2.54,2.54
30.08,4.91,4.91,2.38,2.38,-2.37,-2.89,-3.54,2.54,2.54,2.54
30.38,4.85,4.85,2.33,2.32,-2.31,-2.81,-3.56,2.54,2.54,2.53
30.68,4.78,4.78,2.26,2.26,-2.25,-2.74,-3.57,2.53,2.54,2.52
30.99,4.71,4.71,2.20,2.19,-2.19,-2.67,-3.58,2.52,2.52,2.51
31.30,4.63,4.64,2.12,2.12,-2.14,-2.59,-3.58,2.50,2.50,2.51
31.61,4.56,4.57,2.06,2.07,-2.09,-2.52,-3.57,2.47,2.48,2.51
31.93,4.51,4.51,2.02,2.02,-2.04,-2.45,-3.56,2.47,2.47,2.50
32.24,4.47,4.48,1.99,1.99,-1.99,-2.37,-3.54,2.48,2.48,2.48
32.57,4.44,4.44,1.96,1.96,-1.95,-2.30,-3.52,2.50,2.50,2.48
32.89,4.41,4.40,1.93,1.93,-1.90,-2.23,-3.49,2.51,2.50,2.48
33.22,4.35,4.35,1.89,1.88,-1.86,-2.16,-3.46,2.50,2.49,2.47
33.55,4.28,4.28,1.82,1.82,-1.81,-2.09,-3.42,2.47,2.47,2.46
33.89,4.20,4.21,1.75,1.75,-1.77,-2.02,-3.37,2.44,2.44,2.45
34.23,4.14,4.15,1.70,1.70,-1.72,-1.95,-3.33,2.42,2.42,2.45
34.57,4.09,4.10,1.66,1.67,-1.68,-1.88,-3.27,2.42,2.42,2.43
