frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.32,-5.31,-15.47,-15.46,6.00,4.86,0.51,0.68,0.69,10.15
20.20,-4.80,-4.82,-14.98,-15.00,6.00,4.79,0.53,1.20,1.18,10.18
20.40,-4.27,-4.29,-14.49,-14.50,6.00,4.72,0.55,1.73,1.71,10.21
20.61,-3.77,-3.72,-14.00,-13.96,6.00,4.64,0.57,2.23,2.28,10.23
20.81,-3.10,-3.11,-13.36,-13.37,6.00,4.57,0.59,2.90,2.89,10.26
21.02,-2.45,-2.45,-12.74,-12.74,6.00,4.49,0.61,3.55,3.55,10.29
21.23,-1.79,-1.79,-12.09,-12.09,6.00,4.42,0.63,4.21,4.21,10.30
21.44,-1.15,-1.16,-11.46,-11.48,6.00,4.34,0.66,4.85,4.84,10.31
21.66,-0.60,-0.58,-10.92,-10.90,6.00,4.27,0.68,5.40,5.42,10.32
21.87,-0.04,-0.05,-10.36,-10.38,6.00,4.19,0.70,5.96,5.95,10.32
22.09,0.43,0.42,-9.90,-9.91,6.00,4.11,0.73,6.43,6.42,10.33
22.31,0.84,0.84,-9.49,-9.49,6.00,4.03,0.75,6.84,6.84,10.33
22.54,1.21,1.21,-9.12,-9.12,6.00,3.95,0.78,7.21,7.21,10.33
22.76,1.54,1.54,-8.78,-8.78,6.02,3.87,0.80,7.56,7.56,10.33
22.99,1.84,1.84,-8.48,-8.48,6.04,3.79,0.83,7.88,7.88,10.32
23.22,2.12,2.12,-8.19,-8.19,6.05,3.71,0.86,8.17,8.17,10.32
23.45,2.39,2.39,-7.92,-7.92,6.04,3.63,0.89,8.43,8.43,10.32
23.69,2.66,2.66,-7.66,-7.65,6.00,3.54,0.91,8.66,8.67,10.31
23.92,2.95,2.94,-7.37,-7.37,5.93,3.46,0.94,8.87,8.87,10.31
24.16,3.23,3.23,-7.09,-7.08,5.82,3.37,0.97,9.05,9.05,10.32
24.40,3.55,3.55,-6.78,-6.77,5.67,3.29,1.00,9.21,9.21,10.32
24.65,3.86,3.87,-6.45,-6.45,5.48,3.20,1.03,9.34,9.35,10.31
24.89,4.22,4.21,-6.09,-6.10,5.26,3.11,1.06,9.48,9.47,10.31
25.14,4.56,4.56,-5.75,-5.75,5.01,3.02,1.09,9.56,9.57,10.31
25.39,4.91,4.90,-5.40,-5.41,4.74,2.93,1.12,9.65,9.64,10.31
25.65,5.23,5.23,-5.08,-5.07,4.46,2.84,1.15,9.69,9.69,10.31
25.91,5.55,5.55,-4.75,-4.75,4.18,2.75,1.18,9.73,9.73,10.30
26.16,5.86,5.85,-4.44,-4.45,3.92,2.66,1.20,9.78,9.77,10.30
26.43,6.14,6.15,-4.16,-4.15,3.66,2.57,1.23,9.80,9.81,10.29
26.69,6.45,6.44,-3.84,-3.85,3.41,2.47,1.26,9.86,9.85,10.29
26.96,6.75,6.75,-3.54,-3.54,3.14,2.38,1.28,9.89,9.90,10.29
