frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.49,7.49,-0.34,-0.34,0.34,-0.10,-0.11,7.83,7.83,7.83
20.20,7.51,7.51,-0.32,-0.32,0.33,-0.10,-0.11,7.84,7.83,7.83
20.40,7.52,7.52,-0.31,-0.31,0.31,-0.10,-0.12,7.83,7.83,7.83
20.61,7.54,7.54,-0.29,-0.29,0.29,-0.10,-0.12,7.83,7.83,7.83
20.81,7.56,7.56,-0.27,-0.27,0.27,-0.10,-0.12,7.83,7.83,7.83
21.02,7.57,7.57,-0.26,-0.26,0.25,-0.11,-0.13,7.83,7.83,7.83
21.23,7.59,7.59,-0.24,-0.24,0.24,-0.11,-0.13,7.83,7.83,7.83
21.44,7.61,7.61,-0.22,-0.22,0.22,-0.11,-0.13,7.83,7.83,7.83
21.66,7.63,7.63,-0.20,-0.20,0.20,-0.11,-0.14,7.83,7.83,7.83
21.87,7.65,7.65,-0.18,-0.17,0.18,-0.11,-0.14,7.83,7.83,7.83
22.09,7.67,7.67,-0.16,-0.15,0.15,-0.11,-0.14,7.82,7.83,7.83
22.31,7.70,7.69,-0.12,-0.13,0.13,-0.12,-0.15,7.83,7.83,7.83
22.54,7.71,7.71,-0.11,-0.11,0.11,-0.12,-0.15,7.82,7.83,7.82
22.76,7.73,7.73,-0.09,-0.09,0.09,-0.12,-0.16,7.82,7.82,7.82
22.99,7.75,7.75,-0.07,-0.07,0.07,-0.12,-0.16,7.82,7.82,7.82
23.22,7.77,7.77,-0.05,-0.05,0.06,-0.12,-0.17,7.83,7.82,7.82
23.45,7.78,7.78,-0.04,-0.04,0.04,-0.12,-0.17,7.82,7.82,7.82
23.69,7.80,7.80,-0.02,-0.02,0.02,-0.13,-0.17,7.82,7.82,7.82
23.92,7.81,7.81,-0.01,-0.01,0.01,-0.13,-0.18,7.82,7.82,7.82
24.16,7.82,7.83,0.00,0.01,-0.01,-0.13,-0.18,7.81,7.82,7.82
24.40,7.84,7.84,0.03,0.02,-0.03,-0.13,-0.19,7.82,7.81,7.82
