frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.58,10.58,4.32,4.32,-4.33,-4.82,-2.39,6.25,6.25,6.26
20.20,10.67,10.68,4.41,4.42,-4.42,-4.83,-2.46,6.25,6.26,6.26
20.40,10.77,10.76,4.51,4.50,-4.50,-4.83,-2.53,6.27,6.27,6.26
20.61,10.84,10.84,4.58,4.58,-4.57,-4.84,-2.61,6.27,6.27,6.26
20.81,10.90,10.90,4.64,4.64,-4.64,-4.85,-2.68,6.27,6.27,6.26
21.02,10.95,10.96,4.69,4.70,-4.70,-4.86,-2.76,6.25,6.26,6.26
21.23,11.01,11.01,4.75,4.75,-4.75,-4.87,-2.84,6.26,6.26,6.26
21.44,11.07,11.06,4.80,4.80,-4.80,-4.88,-2.92,6.27,6.26,6.27
21.66,11.10,11.10,4.83,4.84,-4.84,-4.89,-3.00,6.26,6.27,6.27
21.87,11.13,11.13,4.87,4.87,-4.87,-4.90,-3.09,6.26,6.26,6.26
22.09,11.16,11.16,4.90,4.90,-4.90,-4.91,-3.18,6.26,6.26,6.26
22.31,11.19,11.19,4.93,4.92,-4.92,-4.92,-3.27,6.27,6.26,6.26
22.54,11.21,11.21,4.95,4.95,-4.94,-4.93,-3.37,6.27,6.26,6.26
22.76,11.22,11.23,4.96,4.96,-4.96,-4.94,-3.46,6.26,6.26,6.26
22.99,11.24,11.24,4.98,4.98,-4.98,-4.96,-3.56,6.26,6.26,6.26
23.22,11.25,11.25,4.99,4.99,-4.99,-4.97,-3.66,6.26,6.26,6.26
23.45,11.26,11.26,5.00,5.00,-5.00,-4.99,-3.76,6.26,6.26,6.26
23.69,11.27,11.27,5.01,5.01,-5.01,-5.00,-3.87,6.26,6.26,6.26
23.92,11.28,11.28,5.02,5.02,-5.02,-5.02,-3.98,6.26,6.26,6.26
24.16,11.29,11.29,5.03,5.03,-5.04,-5.04,-4.09,6.25,6.25,6.26
24.40,11.30,11.30,5.04,5.05,-5.05,-5.05,-4.20,6.25,6.25,6.26
24.65,11.32,11.32,5.07,5.07,-5.07,-5.07,-4.31,6.25,6.25,6.26
24.89,11.34,11.34,5.09,5.08,-5.09,-5.09,-4.43,6.26,6.25,6.25
25.14,11.36,11.36,5.11,5.11,-5.11,-5.11,-4.54,6.25,6.25,6.25
25.39,11.38,11.38,5.13,5.13,-5.13,-5.14,-4.66,6.25,6.25,6.25
25.65,11.41,11.41,5.16,5.16,-5.16,-5.16,-4.77,6.25,6.25,6.25
25.91,11.44,11.44,5.19,5.19,-5.19,-5.18,-4.89,6.25,6.25,6.25
26.16,11.46,11.47,5.21,5.22,-5.22,-5.21,-5.01,6.24,6.25,6.25
26.43,11.50,11.50,5.25,5.25,-5.25,-5.23,-5.12,6.25,6.25,6.25
26.69,11.54,11.53,5.29,5.29,-5.29,-5.26,-5.24,6.25,6.25,6.25
26.96,11.57,11.57,5.33,5.33,-5.33,-5.28,-5.35,6.25,6.25,6.24
27.23,11.60,11.61,5.36,5.36,-5.36,-5.31,-5.46,6.24,6.25,6.24
27.50,11.64,11.64,5.40,5.39,-5.40,-5.33,-5.57,6.25,6.24,6.24
27.77,11.67,11.67,5.43,5.43,-5.43,-5.36,-5.68,6.24,6.24,6.24
28.05,11.69,11.70,5.45,5.46,-5.46,-5.39,-5.78,6.23,6.24,6.24
28.33,11.73,11.73,5.49,5.49,-5.49,-5.41,-5.87,6.24,6.24,6.24
28.62,11.75,11.75,5.52,5.51,-5.51,-5.44,-5.97,6.24,6.24,6.24
28.90,11.77,11.77,5.54,5.54,-5.54,-5.46,-6.05,6.23,6.23,6.23
29.19,11.78,11.79,5.55,5.55,-5.55,-5.48,-6.13,6.23,6.23,6.23
29.48,11.80,11.80,5.57,5.57,-5.57,-5.50,-6.20,6.23,6.23,6.23
29.78,11.81,11.81,5.58,5.58,-5.58,-5.52,-6.26,6.23,6.23,6.23
30.08,11.81,11.81,5.58,5.59,-5.58,-5.54,-6.31,6.23,6.23,6.23
30.38,11.81,11.81,5.59,5.59,-5.59,-5.55,-6.36,6.22,6.23,6.22
30.68,11.81,11.81,5.59,5.58,-5.58,-5.56,-6.39,6.23,6.23,6.22
30.99,11.80,11.80,5.57,5.58,-5.58,-5.57,-6.42,6.23,6.23,6.23
31.30,11.79,11.79,5.56,5.56,-5.56,-5.57,-6.43,6.23,6.23,6.23
31.61,11.77,11.77,5.55,5.55,-5.55,-5.57,-6.44,6.22,6.22,6.22
31.93,11.76,11.76,5.54,5.53,-5.53,-5.57,-6.43,6.23,6.22,6.22
32.24,11.73,11.73,5.51,5.51,-5.52,-5.56,-6.42,6.22,6.22,6.22
32.57,11.71,11.71,5.49,5.49,-5.50,-5.55,-6.40,6.22,6.21,6.22
32.89,11.68,11.68,5.47,5.47,-5.47,-5.53,-6.37,6.21,6.21,6.21
33.22,11.66,11.66,5.45,5.45,-5.45,-5.51,-6.32,6.21,6.21,6.21
33.55,11.63,11.63,5.43,5.43,-5.43,-5.49,-6.28,6.20,6.20,6.20
33.89,11.60,11.60,5.41,5.41,-5.41,-5.46,-6.22,6.19,6.19,6.19
34.23,11.57,11.57,5.38,5.38,-5.38,-5.43,-6.16,6.19,6.19,6.19
34.57,11.54,11.54,5.35,5.36,-5.36,-5.40,-6.09,6.18,6.19,6.19
34.92,11.52,11.52,5.34,5.33,-5.33,-5.37,-6.02,6.19,6.18,6.18
35.27,11.49,11.49,5.31,5.31,-5.31,-5.33,-5.94,6.18,6.18,6.18
35.62,11.46,11.46,5.28,5.29,-5.28,-5.29,-5.86,6.18,6.18,6.18
35.97,11.43,11.43,5.26,5.26,-5.26,-5.26,-5.78,6.17,6.17,6.17
36.33,11.40,11.40,5.23,5.23,-5.23,-5.22,-5.70,6.17,6.17,6.17
36.70,11.37,11.37,5.21,5.21,-5.21,-5.18,-5.61,6.16,6.16,6.16
37.06,11.34,11.34,5.18,5.18,-5.18,-5.14,-5.52,6.16,6.16,6.16
37.43,11.31,11.31,5.16,5.15,-5.15,-5.10,-5.43,6.16,6.16,6.16
37.81,11.28,11.28,5.13,5.13,-5.13,-5.06,-5.34,6.15,6.15,6.15
38.19,11.24,11.24,5.10,5.10,-5.10,-5.02,-5.25,6.15,6.15,6.15
38.57,11.21,11.20,5.07,5.06,-5.06,-4.98,-5.17,6.15,6.14,6.14
38.95,11.16,11.16,5.03,5.03,-5.03,-4.94,-5.08,6.13,6.13,6.13
39.34,11.12,11.12,4.99,4.99,-4.99,-4.91,-5.00,6.13,6.13,6.13
39.74,11.08,11.08,4.96,4.95,-4.95,-4.87,-4.91,6.13,6.12,6.12
40.14,11.03,11.03,4.91,4.91,-4.91,-4.83,-4.83,6.12,6.12,6.12
40.54,10.98,10.98,4.87,4.87,-4.87,-4.79,-4.76,6.11,6.11,6.11
40.94,10.93,10.93,4.83,4.82,-4.82,-4.76,-4.68,6.11,6.11,6.11
41.35,10.88,10.88,4.78,4.78,-4.78,-4.72,-4.61,6.10,6.10,6.10
41.76,10.82,10.82,4.73,4.73,-4.73,-4.69,-4.54,6.09,6.09,6.09
42.18,10.77,10.77,4.69,4.68,-4.68,-4.65,-4.47,6.09,6.09,6.08
42.60,10.71,10.71,4.63,4.63,-4.64,-4.62,-4.41,6.07,6.08,6.08
43.03,10.66,10.66,4.59,4.59,-4.59,-4.58,-4.34,6.07,6.07,6.07
43.46,10.60,10.60,4.54,4.54,-4.54,-4.55,-4.29,6.06,6.06,6.06
43.90,10.55,10.55,4.50,4.50,-4.50,-4.52,-4.23,6.05,6.05,6.05
44.33,10.50,10.50,4.46,4.46,-4.46,-4.48,-4.18,6.04,6.04,6.05
44.78,10.46,10.46,4.42,4.42,-4.42,-4.45,-4.13,6.04,6.04,6.04
45.23,10.41,10.41,4.38,4.38,-4.38,-4.42,-4.09,6.03,6.03,6.03
45.68,10.36,10.36,4.34,4.35,-4.35,-4.38,-4.05,6.02,6.02,6.02
46.13,10.32,10.32,4.31,4.31,-4.31,-4.35,-4.01,6.01,6.01,6.01
46.60,10.27,10.27,4.27,4.28,-4.27,-4.32,-3.97,6.00,6.00,6.00
