frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.41,7.41,4.59,4.59,-4.59,-4.38,-2.07,2.82,2.82,2.82
20.20,7.41,7.41,4.59,4.59,-4.59,-4.38,-2.13,2.82,2.82,2.82
20.40,7.41,7.41,4.59,4.59,-4.60,-4.37,-2.19,2.81,2.81,2.82
20.61,7.41,7.41,4.59,4.60,-4.60,-4.37,-2.26,2.81,2.81,2.82
20.81,7.42,7.42,4.60,4.60,-4.60,-4.37,-2.32,2.82,2.82,2.82
21.02,7.42,7.42,4.60,4.61,-4.60,-4.37,-2.39,2.82,2.82,2.81
21.23,7.43,7.43,4.61,4.61,-4.61,-4.37,-2.46,2.82,2.82,2.82
21.44,7.43,7.43,4.61,4.61,-4.61,-4.37,-2.53,2.82,2.82,2.82
21.66,7.43,7.43,4.61,4.61,-4.61,-4.37,-2.61,2.82,2.82,2.82
21.87,7.43,7.43,4.61,4.61,-4.61,-4.37,-2.68,2.82,2.82,2.82
22.09,7.44,7.44,4.62,4.61,-4.61,-4.37,-2.76,2.82,2.82,2.82
22.31,7.44,7.44,4.62,4.62,-4.62,-4.37,-2.84,2.82,2.82,2.82
22.54,7.44,7.44,4.62,4.62,-4.62,-4.37,-2.92,2.82,2.82,2.82
22.76,7.44,7.44,4.62,4.62,-4.62,-4.37,-3.01,2.82,2.82,2.82
22.99,7.44,7.44,4.62,4.62,-4.62,-4.37,-3.09,2.82,2.82,2.82
23.22,7.44,7.44,4.62,4.62,-4.62,-4.37,-3.18,2.82,2.82,2.82
23.45,7.44,7.44,4.62,4.62,-4.62,-4.37,-3.27,2.82,2.82,2.82
23.69,7.43,7.43,4.61,4.62,-4.62,-4.37,-3.36,2.81,2.81,2.82
23.92,7.44,7.44,4.62,4.62,-4.63,-4.37,-3.46,2.81,2.81,2.82
24.16,7.44,7.44,4.62,4.63,-4.63,-4.37,-3.55,2.81,2.81,2.81
24.40,7.45,7.45,4.64,4.63,-4.63,-4.37,-3.65,2.82,2.81,2.81
24.65,7.45,7.45,4.64,4.64,-4.64,-4.36,-3.75,2.81,2.81,2.81
24.89,7.46,7.46,4.65,4.65,-4.64,-4.36,-3.85,2.82,2.81,2.81
25.14,7.46,7.46,4.65,4.65,-4.65,-4.36,-3.95,2.81,2.81,2.81
25.39,7.46,7.46,4.65,4.65,-4.65,-4.36,-4.05,2.81,2.81,2.81
25.65,7.46,7.46,4.65,4.65,-4.65,-4.36,-4.15,2.81,2.81,2.81
25.91,7.46,7.46,4.65,4.65,-4.65,-4.36,-4.25,2.81,2.81,2.81
26.16,7.45,7.45,4.64,4.65,-4.65,-4.36,-4.35,2.80,2.80,2.81
26.43,7.45,7.45,4.64,4.64,-4.65,-4.36,-4.45,2.80,2.80,2.80
26.69,7.45,7.45,4.65,4.64,-4.65,-4.36,-4.55,2.80,2.80,2.80
26.96,7.45,7.45,4.65,4.65,-4.65,-4.36,-4.65,2.80,2.80,2.80
27.23,7.45,7.45,4.65,4.65,-4.65,-4.36,-4.75,2.80,2.80,2.80
27.50,7.45,7.45,4.65,4.65,-4.65,-4.35,-4.84,2.80,2.80,2.80
27.77,7.45,7.45,4.65,4.65,-4.65,-4.35,-4.93,2.80,2.80,2.80
28.05,7.45,7.45,4.65,4.65,-4.66,-4.35,-5.02,2.79,2.79,2.80
28.33,7.45,7.45,4.65,4.66,-4.66,-4.35,-5.10,2.79,2.79,2.79
28.62,7.46,7.46,4.67,4.66,-4.66,-4.35,-5.18,2.80,2.79,2.79
28.90,7.46,7.46,4.67,4.66,-4.66,-4.35,-5.25,2.80,2.79,2.79
29.19,7.45,7.45,4.66,4.67,-4.66,-4.35,-5.32,2.79,2.79,2.79
29.48,7.45,7.45,4.66,4.66,-4.66,-4.35,-5.38,2.79,2.79,2.79
29.78,7.45,7.44,4.66,4.66,-4.66,-4.34,-5.44,2.79,2.79,2.79
30.08,7.44,7.44,4.66,4.65,-4.65,-4.34,-5.48,2.79,2.79,2.78
30.38,7.42,7.42,4.64,4.64,-4.64,-4.34,-5.52,2.78,2.78,2.78
30.68,7.41,7.41,4.63,4.63,-4.63,-4.34,-5.55,2.78,2.78,2.78
30.99,7.40,7.40,4.62,4.62,-4.62,-4.34,-5.58,2.78,2.78,2.78
31.30,7.40,7.39,4.61,4.61,-4.62,-4.34,-5.59,2.78,2.78,2.78
31.61,7.39,7.39,4.61,4.61,-4.61,-4.33,-5.60,2.78,2.78,2.78
31.93,7.38,7.38,4.60,4.60,-4.60,-4.33,-5.60,2.78,2.78,2.78
32.24,7.38,7.38,4.60,4.60,-4.60,-4.33,-5.59,2.78,2.78,2.78
32.57,7.37,7.37,4.60,4.60,-4.60,-4.33,-5.57,2.77,2.77,2.77
32.89,7.37,7.37,4.60,4.60,-4.60,-4.32,-5.55,2.77,2.77,2.77
33.22,7.36,7.36,4.60,4.60,-4.60,-4.32,-5.52,2.76,2.76,2.76
