frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.07,-1.06,-2.78,-2.78,2.78,1.78,0.43,1.71,1.72,1.71
20.20,-0.98,-0.99,-2.69,-2.70,2.70,1.77,0.44,1.72,1.72,1.71
20.40,-0.90,-0.91,-2.61,-2.62,2.62,1.76,0.46,1.72,1.71,1.71
20.61,-0.85,-0.83,-2.56,-2.55,2.54,1.74,0.47,1.69,1.71,1.71
20.81,-0.76,-0.76,-2.47,-2.48,2.47,1.73,0.49,1.71,1.70,1.71
21.02,-0.68,-0.69,-2.40,-2.41,2.39,1.72,0.50,1.72,1.71,1.72
21.23,-0.62,-0.61,-2.34,-2.33,2.32,1.71,0.52,1.70,1.72,1.72
21.44,-0.53,-0.54,-2.25,-2.26,2.26,1.69,0.54,1.73,1.72,1.72
21.66,-0.46,-0.47,-2.18,-2.19,2.19,1.68,0.55,1.73,1.72,1.72
21.87,-0.41,-0.40,-2.13,-2.12,2.13,1.66,0.57,1.72,1.72,1.72
22.09,-0.34,-0.34,-2.06,-2.06,2.06,1.65,0.59,1.73,1.72,1.72
22.31,-0.29,-0.29,-2.01,-2.00,2.01,1.64,0.61,1.72,1.72,1.72
22.54,-0.23,-0.23,-1.95,-1.95,1.95,1.62,0.62,1.72,1.72,1.72
22.76,-0.18,-0.18,-1.91,-1.90,1.90,1.60,0.64,1.72,1.72,1.73
22.99,-0.12,-0.12,-1.86,-1.85,1.85,1.59,0.66,1.73,1.73,1.74
23.22,-0.06,-0.06,-1.80,-1.81,1.80,1.57,0.68,1.74,1.74,1.74
23.45,-0.01,-0.00,-1.76,-1.76,1.75,1.55,0.70,1.74,1.75,1.75
23.69,0.05,0.05,-1.71,-1.71,1.71,1.54,0.72,1.76,1.76,1.76
23.92,0.10,0.10,-1.66,-1.66,1.66,1.52,0.74,1.77,1.76,1.76
24.16,0.14,0.14,-1.62,-1.62,1.63,1.50,0.77,1.77,1.77,1.76
24.40,0.18,0.18,-1.58,-1.58,1.60,1.48,0.79,1.78,1.78,1.76
24.65,0.21,0.21,-1.56,-1.56,1.57,1.46,0.81,1.78,1.79,1.77
24.89,0.24,0.24,-1.54,-1.54,1.55,1.44,0.83,1.79,1.79,1.78
25.14,0.26,0.26,-1.53,-1.53,1.53,1.42,0.85,1.79,1.79,1.79
25.39,0.27,0.27,-1.53,-1.52,1.51,1.39,0.88,1.78,1.79,1.80
25.65,0.29,0.29,-1.51,-1.51,1.49,1.37,0.90,1.78,1.78,1.80
25.91,0.31,0.31,-1.49,-1.49,1.46,1.34,0.92,1.77,1.77,1.80
26.16,0.35,0.36,-1.45,-1.45,1.43,1.32,0.94,1.78,1.79,1.80
26.43,0.41,0.41,-1.40,-1.39,1.40,1.29,0.96,1.81,1.81,1.81
26.69,0.48,0.47,-1.32,-1.34,1.36,1.26,0.98,1.84,1.83,1.80
26.96,0.52,0.52,-1.29,-1.29,1.32,1.23,1.00,1.84,1.84,1.81
27.23,0.55,0.55,-1.26,-1.26,1.27,1.20,1.02,1.82,1.82,1.81
27.50,0.57,0.57,-1.24,-1.24,1.23,1.16,1.04,1.80,1.80,1.81
27.77,0.60,0.60,-1.20,-1.20,1.18,1.12,1.06,1.78,1.78,1.81
28.05,0.64,0.66,-1.15,-1.14,1.13,1.08,1.07,1.77,1.79,1.79
28.33,0.72,0.72,-1.06,-1.07,1.07,1.04,1.09,1.80,1.80,1.78
28.62,0.81,0.78,-0.97,-1.00,1.01,0.99,1.10,1.82,1.79,1.78
28.90,0.84,0.84,-0.94,-0.94,0.93,0.94,1.11,1.77,1.77,1.78
29.19,0.87,0.89,-0.89,-0.87,0.84,0.89,1.13,1.71,1.74,1.76
29.48,0.96,0.97,-0.79,-0.78,0.75,0.83,1.13,1.71,1.72,1.75
29.78,1.08,1.07,-0.66,-0.66,0.65,0.76,1.14,1.73,1.72,1.73
30.08,1.18,1.18,-0.53,-0.54,0.56,0.69,1.14,1.74,1.74,1.71
30.38,1.27,1.27,-0.44,-0.44,0.47,0.61,1.15,1.74,1.74,1.71
30.68,1.34,1.34,-0.36,-0.36,0.38,0.53,1.15,1.72,1.71,1.70
30.99,1.39,1.39,-0.30,-0.29,0.29,0.45,1.14,1.68,1.69,1.69
31.30,1.43,1.44,-0.23,-0.23,0.22,0.37,1.14,1.65,1.66,1.67
31.61,1.48,1.48,-0.16,-0.17,0.16,0.29,1.13,1.64,1.64,1.64
31.93,1.52,1.51,-0.11,-0.11,0.11,0.22,1.12,1.63,1.63,1.63
32.24,1.53,1.53,-0.08,-0.07,0.08,0.16,1.11,1.61,1.61,1.61
32.57,1.53,1.53,-0.05,-0.05,0.05,0.12,1.10,1.58,1.58,1.58
32.89,1.52,1.52,-0.03,-0.03,0.03,0.10,1.08,1.56,1.56,1.55
33.22,1.51,1.51,-0.03,-0.03,0.03,0.10,1.07,1.54,1.54,1.54
33.55,1.48,1.48,-0.04,-0.03,0.04,0.12,1.05,1.52,1.52,1.52
33.89,1.45,1.44,-0.03,-0.05,0.06,0.15,1.03,1.51,1.50,1.48
34.23,1.38,1.38,-0.08,-0.08,0.08,0.19,1.00,1.46,1.46,1.46
34.57,1.31,1.31,-0.13,-0.13,0.11,0.23,0.98,1.43,1.42,1.44
34.92,1.23,1.24,-0.18,-0.17,0.16,0.27,0.95,1.39,1.39,1.42
35.27,1.17,1.18,-0.21,-0.21,0.21,0.31,0.92,1.38,1.39,1.38
35.62,1.13,1.12,-0.24,-0.25,0.26,0.35,0.90,1.39,1.38,1.37
35.97,1.07,1.06,-0.28,-0.30,0.32,0.38,0.86,1.39,1.37,1.35
36.33,0.97,0.97,-0.37,-0.36,0.38,0.41,0.83,1.35,1.35,1.34
36.70,0.88,0.89,-0.45,-0.44,0.44,0.44,0.80,1.32,1.32,1.33
37.06,0.81,0.81,-0.50,-0.50,0.49,0.46,0.77,1.30,1.30,1.31
37.43,0.75,0.75,-0.56,-0.55,0.54,0.48,0.74,1.29,1.29,1.31
37.81,0.71,0.70,-0.58,-0.59,0.58,0.50,0.70,1.29,1.28,1.29
38.19,0.66,0.66,-0.63,-0.63,0.61,0.51,0.67,1.27,1.28,1.29
38.57,0.64,0.65,-0.64,-0.64,0.63,0.53,0.63,1.27,1.28,1.29
38.95,0.65,0.66,-0.64,-0.63,0.63,0.54,0.60,1.28,1.28,1.29
39.34,0.68,0.67,-0.60,-0.61,0.61,0.54,0.56,1.29,1.29,1.29
39.74,0.71,0.68,-0.58,-0.60,0.59,0.55,0.53,1.30,1.27,1.29
40.14,0.69,0.72,-0.59,-0.57,0.56,0.54,0.49,1.25,1.28,1.28
40.54,0.73,0.76,-0.56,-0.53,0.53,0.53,0.45,1.26,1.29,1.29
40.94,0.84,0.80,-0.44,-0.48,0.50,0.51,0.42,1.34,1.31,1.28
41.35,0.86,0.84,-0.43,-0.44,0.47,0.48,0.38,1.33,1.32,1.29
41.76,0.84,0.86,-0.45,-0.42,0.44,0.45,0.35,1.29,1.31,1.29
42.18,0.86,0.86,-0.41,-0.42,0.42,0.41,0.31,1.28,1.28,1.27
42.60,0.88,0.88,-0.40,-0.40,0.39,0.36,0.27,1.27,1.26,1.28
43.03,0.90,0.90,-0.37,-0.37,0.36,0.31,0.24,1.26,1.26,1.27
43.46,0.93,0.93,-0.33,-0.33,0.32,0.25,0.20,1.25,1.25,1.26
