frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.68,4.68,2.81,2.81,-2.81,-2.31,-1.27,1.86,1.86,1.87
20.20,4.66,4.66,2.79,2.79,-2.79,-2.31,-1.31,1.87,1.87,1.87
20.40,4.64,4.64,2.77,2.77,-2.77,-2.31,-1.35,1.87,1.87,1.87
20.61,4.62,4.62,2.75,2.75,-2.75,-2.30,-1.39,1.87,1.87,1.87
20.81,4.60,4.60,2.73,2.73,-2.72,-2.30,-1.43,1.87,1.87,1.87
21.02,4.58,4.58,2.70,2.70,-2.71,-2.30,-1.47,1.87,1.87,1.88
21.23,4.56,4.56,2.68,2.68,-2.69,-2.30,-1.51,1.87,1.87,1.88
21.44,4.54,4.54,2.66,2.67,-2.67,-2.30,-1.56,1.87,1.87,1.87
21.66,4.53,4.53,2.65,2.65,-2.65,-2.30,-1.61,1.87,1.87,1.87
21.87,4.52,4.51,2.64,2.64,-2.64,-2.30,-1.65,1.88,1.87,1.87
22.09,4.50,4.50,2.62,2.63,-2.63,-2.30,-1.70,1.87,1.87,1.87
22.31,4.49,4.49,2.61,2.62,-2.61,-2.30,-1.75,1.87,1.88,1.87
22.54,4.48,4.48,2.61,2.61,-2.60,-2.29,-1.81,1.88,1.88,1.87
22.76,4.48,4.47,2.60,2.59,-2.59,-2.29,-1.86,1.89,1.89,1.88
22.99,4.47,4.47,2.58,2.58,-2.58,-2.29,-1.91,1.89,1.89,1.89
23.22,4.46,4.46,2.56,2.56,-2.56,-2.29,-1.97,1.89,1.90,1.90
23.45,4.46,4.46,2.55,2.55,-2.55,-2.29,-2.03,1.90,1.90,1.91
23.69,4.46,4.45,2.54,2.54,-2.54,-2.29,-2.08,1.91,1.91,1.92
23.92,4.45,4.45,2.53,2.53,-2.54,-2.29,-2.14,1.91,1.92,1.92
24.16,4.45,4.45,2.53,2.53,-2.53,-2.28,-2.20,1.92,1.92,1.92
24.40,4.45,4.45,2.53,2.53,-2.52,-2.28,-2.26,1.92,1.92,1.92
24.65,4.45,4.45,2.52,2.52,-2.52,-2.28,-2.33,1.93,1.93,1.92
24.89,4.45,4.45,2.51,2.52,-2.51,-2.28,-2.39,1.93,1.94,1.93
25.14,4.46,4.45,2.51,2.51,-2.51,-2.28,-2.45,1.95,1.94,1.94
25.39,4.46,4.46,2.51,2.51,-2.51,-2.28,-2.51,1.95,1.95,1.95
25.65,4.46,4.46,2.51,2.51,-2.51,-2.27,-2.58,1.95,1.95,1.95
25.91,4.46,4.46,2.50,2.50,-2.50,-2.27,-2.64,1.95,1.96,1.96
26.16,4.47,4.46,2.51,2.50,-2.50,-2.27,-2.70,1.96,1.96,1.96
26.43,4.47,4.47,2.50,2.51,-2.50,-2.27,-2.76,1.96,1.96,1.97
26.69,4.47,4.47,2.51,2.51,-2.51,-2.26,-2.82,1.96,1.96,1.96
26.96,4.48,4.47,2.51,2.51,-2.51,-2.26,-2.88,1.97,1.96,1.97
27.23,4.48,4.48,2.51,2.52,-2.52,-2.26,-2.94,1.96,1.96,1.96
27.50,4.49,4.49,2.52,2.52,-2.52,-2.26,-3.00,1.96,1.96,1.96
27.77,4.49,4.49,2.53,2.53,-2.53,-2.25,-3.05,1.96,1.96,1.96
28.05,4.50,4.50,2.55,2.55,-2.54,-2.25,-3.10,1.95,1.95,1.95
28.33,4.50,4.50,2.56,2.56,-2.56,-2.25,-3.15,1.94,1.94,1.94
28.62,4.51,4.50,2.57,2.57,-2.57,-2.25,-3.20,1.94,1.93,1.94
28.90,4.51,4.51,2.57,2.58,-2.59,-2.24,-3.24,1.92,1.92,1.94
29.19,4.52,4.52,2.60,2.60,-2.60,-2.24,-3.28,1.91,1.92,1.91
29.48,4.53,4.52,2.63,2.62,-2.62,-2.24,-3.31,1.91,1.90,1.90
29.78,4.53,4.53,2.64,2.64,-2.64,-2.23,-3.34,1.89,1.89,1.89
30.08,4.53,4.53,2.66,2.66,-2.65,-2.23,-3.36,1.88,1.88,1.87
30.38,4.54,4.53,2.67,2.67,-2.67,-2.23,-3.38,1.87,1.87,1.87
30.68,4.54,4.54,2.68,2.68,-2.69,-2.22,-3.39,1.85,1.85,1.85
30.99,4.54,4.54,2.70,2.70,-2.70,-2.22,-3.40,1.83,1.83,1.84
31.30,4.54,4.54,2.72,2.72,-2.72,-2.21,-3.40,1.82,1.82,1.82
31.61,4.54,4.54,2.74,2.74,-2.74,-2.21,-3.40,1.80,1.80,1.80
31.93,4.54,4.54,2.75,2.76,-2.76,-2.20,-3.39,1.78,1.78,1.79
32.24,4.54,4.53,2.77,2.78,-2.77,-2.20,-3.38,1.77,1.76,1.76
32.57,4.53,4.53,2.80,2.79,-2.79,-2.19,-3.36,1.74,1.74,1.73
32.89,4.52,4.52,2.81,2.81,-2.80,-2.19,-3.34,1.71,1.72,1.71
33.22,4.51,4.51,2.81,2.81,-2.82,-2.18,-3.31,1.69,1.69,1.70
33.55,4.49,4.49,2.82,2.82,-2.83,-2.18,-3.28,1.66,1.66,1.67
33.89,4.48,4.48,2.84,2.83,-2.84,-2.17,-3.24,1.64,1.64,1.64
34.23,4.46,4.46,2.84,2.84,-2.84,-2.16,-3.20,1.61,1.62,1.62
34.57,4.44,4.44,2.84,2.85,-2.85,-2.16,-3.15,1.59,1.59,1.59
34.92,4.42,4.42,2.85,2.85,-2.84,-2.15,-3.11,1.57,1.57,1.57
35.27,4.39,4.39,2.85,2.85,-2.84,-2.14,-3.06,1.55,1.55,1.54
35.62,4.36,4.36,2.83,2.83,-2.83,-2.13,-3.00,1.53,1.53,1.52
